GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "40000" ,"Oklahoma",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",73950023,75014143,75486923,75795759,75716295,76318147,77217499,79019555,80928085,82722357,84227121,85578121,87494208,88430012,88228604,89263448,89511632,90015472,90407440,90997752,92761056,93968140,94627792,95856208,99170608,101008524,102351544,104326868,107641028,109828484,112002420,114737076,122003612,123146948,123906320,124590516,124921764,126748008,129164788,130440168,134993192,142872808,143349464,144639968,136604220,131234884,128816392,128963724,131871264,136179544,139433876,141825216,143527100,146799124,149583268,151203776,155721072,157528356,157073396,162620036,163268008,165621508,166691840,167860072,173314248,175951952,178147200,178093432,174098512,172335140,172944980,171166288,165333636,164797096,164740240,165556928,171358016,173963664,175573616,176846312,179436243,181408328
 "40000" ,"Oklahoma",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",11454960,11544736,11613652,11741236,11962696,12025552,12160944,12270952,12414000,12742236,12915432,13115616,13796752,14189916,13898716,14643396,14877680,15012128,15129788,15372316,15733784,15984984,16260868,16385576,16766708,16950016,17016916,17262312,17835048,18187276,18423456,18596088,19523548,19879160,20204436,20407044,21187192,21230344,21556896,21813192,22187236,26741568,23730448,23574068,24741824,26289200,26309820,26438060,27571312,27588888,27801084,27788732,27925140,28014744,28010804,28142600,28272868,28713752,28680148,28900420,29137256,29171148,29332896,29392484,29617080,30186208,30552532,30718500,31131224,31282480,31549540,31487412,32228696,32346476,32489460,32618016,32949420,33155948,33442332,33632256,33984430,34186011
 "40000" ,"Oklahoma",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",4738572,4757032,4785828,4788740,4859644,4880292,4899832,4920932,5041432,5189636,5176116,5179920,5380836,5401048,5471856,5473748,5661388,5698804,5736572,5781804,5876192,5945516,5969208,6013256,6161000,6228688,6247504,6319616,6523960,6613052,6631624,6680680,6955048,7032680,7069572,7108124,7372812,7464352,7505728,7538480,7738876,7805020,7882124,7942060,8435216,8573164,8645672,8741552,8774448,8892892,8937648,8992880,9034032,9128032,9168028,9231744,9597212,9665836,9728956,9791608,10007112,10064328,10141728,10209432,10386920,10483404,10523412,10597348,10802616,10890456,10946620,11029768,11086612,11175776,11240764,11316864,11436356,11513968,11594388,11660244,11975722,12078464
 "40000" ,"Oklahoma",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",2665592,2650812,2637908,2626820,2619216,2616972,2622456,2635896,2633016,2673760,2729832,2801436,2866368,2954104,3028696,3089908,3129428,3191748,3260480,3335948,3411176,3502772,3601664,3707300,3807492,3908004,4011280,4086976,4163204,4230128,4315552,4419812,5101520,5214536,5317492,5409160,5478524,5553168,5628128,5702992,5771008,5846920,5929180,6018204,6116144,6192836,6260468,6319284,6366152,6419904,6478436,6541704,6600572,6659664,6710728,6753820,6795904,6835192,6879580,6929040,6988676,6947132,7002360,7058896,7120596,7191572,7274440,7369484,7473760,7568640,7650912,7720528,7780328,7847212,7924280,8011524,8106496,8195068,8274620,8345052,8428532,8556250
 "40000" ,"Oklahoma",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",1302480,1340464,1338616,1407920,1463892,1461804,1543692,1605968,1622488,1711928,1787588,1804420,2040344,2205880,2052544,2361512,2331944,2295732,2344120,2409360,2418916,2374144,2458488,2422596,2565088,2594892,2523340,2535212,2696380,2849088,2853920,2950092,2871860,3024348,3181592,3185696,3476884,3265044,3417852,3485380,3594060,3702348,3661832,3790152,3869652,3947184,4053548,3872980,3959828,3900264,3988312,4026660,4134080,4149320,4157572,4249600,4383416,4752888,4646896,4747376,4628080,4678772,4724460,4717532,4576960,4876052,5082200,5076948,4811644,4684404,4754308,4498704,4685404,4626856,4635472,4647092,4777708,4831984,4927468,4938588,4867055,4790936
 "40000" ,"Oklahoma",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",97420,97956,111476,116524,137256,143704,135740,128792,111176,117316,117912,131832,157692,168944,209148,228028,262020,368336,335580,344400,362884,397480,398304,381240,301416,239760,203344,187620,176648,165132,164752,161116,144156,145096,150900,158944,173636,170700,166568,156480,151868,165700,277032,361468,541060,773768,1026368,1106144,1128480,953280,864964,759228,693128,633260,559240,498664,546372,492472,412060,375056,344884,326100,316248,312916,237776,222992,226808,245668,297004,334856,363864,376692,394940,391836,369352,325292,276944,241644,230796,213292,204663,189929
 "40000" ,"Oklahoma",6,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",2650896,2698472,2739824,2801232,2882688,2922780,2959224,2979364,3005888,3049596,3103984,3198008,3351512,3459940,3136472,3490200,3492900,3457508,3453036,3500804,3664616,3765072,3833204,3861184,3931712,3978672,4031448,4132888,4274856,4329876,4457608,4384388,4450964,4462500,4484880,4545120,4685336,4777080,4838620,4929860,4931424,9221580,5980280,5462184,5779752,6802248,6323764,6398100,7342404,7422548,7531724,7468260,7463328,7444468,7415236,7408772,6949964,6967364,7012656,7057340,7168504,7154816,7148100,7093708,7294828,7412188,7445672,7429052,7746200,7804124,7833836,7861720,8281412,8304796,8319592,8317244,8351916,8373284,8415060,8475080,8508458,8570432
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
