GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "41000" ,"Oregon",8,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",85577992,86442012,87172476,88258948,88641623,89592079,90832475,93124899,95626291,97311087,98970883,99184659,101071256,100847912,100321788,100188452,100761524,101716572,101952028,103031612,103661920,104512500,106188528,107886020,109127252,111345956,112105632,113373624,114671844,115870100,117587040,120449964,125470368,127075084,128834884,130514780,131542812,133256060,134429408,136125748,137764316,142313396,140008020,137913480,134446012,135401952,134687908,134787896,137202124,137462136,138708684,139939864,144642120,145476800,146048296,148159280,152337596,153674764,153536128,156718864,154291396,155983224,157469032,158832460,163105696,166636092,169803116,172365232,176856208,179726524,183361244,184145056,187608136,188662976,189734400,192572068,196047364,198530900,199827324,203283212,205666716,207873663
 "41000" ,"Oregon",8,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",11159060,11293932,11421236,11720584,12123040,12309640,12542448,12649632,12710452,12993620,13149236,13344188,14240044,14638308,14515160,15216052,15602336,15810224,15890212,15980516,15898980,16264800,16609100,16263208,16575224,16589736,16724840,17028780,17457644,17656344,17744064,17817840,18586504,18943724,19199536,19287936,20067584,20194484,20494632,20926512,21477108,26022632,23668628,23673624,25475588,27523788,27518944,27806012,29166868,29114260,29335024,29510740,29624216,29782568,29598576,29740912,29570956,29596180,29638696,29830636,30385280,30597116,30905168,31107988,32396956,33222480,33996256,34375320,35031892,35709168,35881336,36100024,36276968,36732140,36925840,37067240,37525028,37418696,37804612,38051068,38597229,39037348
 "41000" ,"Oregon",8,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",4776344,4797804,4832248,4841592,4923376,4948908,4967784,4982760,5096600,5249140,5233160,5242376,5474512,5505120,5587680,5590424,5793804,5832256,5871604,5919716,6012096,6088828,6119284,6174904,6347280,6428184,6455348,6536992,6762680,6853656,6862920,6897468,7169584,7232212,7257100,7289476,7580644,7680188,7728608,7770992,8006860,8084868,8166916,8220716,8771820,8922288,9004052,9124388,9184556,9352020,9428368,9519972,9590028,9730936,9791976,9876128,10345904,10433384,10514748,10597056,10899348,10977876,11086316,11182948,11437512,11576548,11636412,11743840,12035564,12163624,12248312,12372036,12460000,12590144,12682936,12787928,12950404,13055284,13165472,13256600,13615269,13732076
 "41000" ,"Oregon",8,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",1892688,1887464,1903068,1939748,1981372,2029616,2066420,2091316,2109216,2147172,2212828,2307332,2432484,2526208,2598132,2647060,2676352,2706236,2741040,2781056,2847748,2900492,2959620,3024628,3109428,3172192,3235600,3275700,3312416,3357596,3426296,3519540,4124788,4241780,4350144,4448672,4529340,4622044,4718512,4818568,4914360,5016532,5114356,5207412,5299240,5378552,5451836,5519752,5587920,5653036,5720220,5789240,5861372,5930424,5995192,6055984,6115680,6179596,6248204,6321292,6399924,6347620,6434996,6527708,6623024,6732452,6850936,6978420,7110300,7234428,7346820,7447764,7541688,7639976,7746900,7862148,7982008,8095980,8200696,8296204,8379196,8506166
 "41000" ,"Oregon",8,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",1644600,1693112,1707480,1834808,1972752,1998312,2109928,2154444,2103328,2167080,2219660,2219716,2556392,2695492,2569856,2832796,2772300,2727016,2718688,2696932,2495220,2434248,2549556,2375020,2555868,2722864,2796028,2934708,2961344,2894644,2769788,2811068,2686292,2851184,2915788,2765936,3014332,2833628,2858440,2983536,3088416,3208404,3324860,3387832,3618160,3746552,3864956,3825244,3858664,3940728,4166200,4256908,4483644,4613240,4420608,4560252,4498636,4564512,4572200,4637680,4877428,5159128,5352988,5447396,6604980,7106252,7702028,7881668,7981340,8348904,8271216,8235440,8254824,8428012,8383204,8361212,8496040,8237416,8352656,8334244,8454228,8609394
 "41000" ,"Oregon",8,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",413692,423932,415572,433748,447044,443852,438016,421792,403064,391272,399056,411096,510616,573480,699420,817776,1030592,1262780,1297232,1298536,1136736,1366804,1465040,1163748,996888,664804,588340,533004,515756,568668,562272,523140,485360,464304,480404,506108,510064,504912,543000,573760,625420,676740,1042344,1451160,2064300,2611160,2773924,2838308,2949276,2491604,2293076,2267316,2112516,1961192,1859464,1765908,1666636,1469664,1328196,1283448,1162932,1091544,1007632,962044,626168,577124,548256,526536,522788,520856,535248,504116,481048,494368,504488,478832,458920,435680,484440,516140,503281,474931
 "41000" ,"Oregon",8,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",2431736,2491620,2562868,2670688,2798496,2888952,2960300,2999320,2998244,3038956,3084532,3163668,3266040,3338008,3060072,3327996,3329288,3281936,3261648,3284276,3407180,3474428,3515600,3524908,3565760,3601692,3649524,3748376,3905448,3981780,4122788,4066624,4120480,4154244,4196100,4277744,4433204,4553712,4646072,4779656,4842052,9036088,6020152,5406504,5722068,6865236,6424176,6498320,7586452,7676872,7727160,7677304,7576656,7546776,7531336,7482640,6944100,6949024,6975348,6991160,7045648,7020948,7023236,6987892,7105272,7230104,7258624,7244856,7381900,7441356,7479740,7540668,7539408,7579640,7608312,7577120,7637656,7594336,7601348,7647880,7645255,7714781
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
