GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "94000" ,"Plains",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",492867265,499831629,506785773,512785209,513151782,518379790,523777158,538322586,547747584,558015188,566830884,568221224,576887184,580063960,578530604,582893336,584340028,588860592,592926844,599858616,606563580,612754140,619892416,625032540,636788436,644262052,650703444,664076428,659320972,668997492,677308252,685422128,703329412,713962704,717166360,726990052,746932452,760461908,764811276,777344968,797708372,820682900,808059032,802326572,780077236,784416776,782186032,789431216,792909336,807788036,819306552,831683352,857943640,866910344,878000532,885157872,908966388,920124016,913413404,944084780,922648300,930332748,935812948,936778924,949292188,967877980,979578356,989369464,993721556,1000292408,1010139388,1010806680,1006701728,1011436020,1019840468,1027640064,1037563448,1044725004,1048069564,1058100092,1065530026,1077388370
 "94000" ,"Plains",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",62867636,63342012,63613840,64439336,65586292,65862000,66878068,67719488,68727748,70744388,71983268,73222208,75970240,78285320,77291908,81435712,82858160,84052144,84460692,85297136,86168948,87144008,87817244,88032416,90223284,90910652,91685492,92817284,95235776,96940052,97347828,98225324,102243864,104181300,106067836,107175508,111113892,111622004,113114636,115151056,117684128,140499960,126719656,124614040,131691160,139979188,139099272,139772652,145563344,146449888,148251608,148930132,149645860,149184584,149368652,150362756,148864076,150462248,149735928,150803460,152297172,152533332,154132548,155094456,156295792,158819052,161149820,161852244,165217340,166338176,167347796,168082656,170116660,172221044,172778120,173510680,175042932,174933524,176906936,177956844,181034257,182636615
 "94000" ,"Plains",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",26849772,26952684,27114876,27141516,27512252,27636640,27752668,27874724,28512704,29318512,29282416,29353640,30462180,30612104,31003048,31007092,31941812,32096008,32246940,32430644,32883496,33192032,33288336,33501076,34272048,34608948,34698452,35044092,36031612,36469036,36567636,36829944,38235124,38646824,38837744,39022760,40341752,40789340,40986060,41144652,42169336,42512208,42913928,43228712,45840712,46567812,46939308,47425460,47588484,48216824,48459904,48775552,49017484,49571488,49821860,50201684,52241552,52652292,53029708,53402396,54616604,54956708,55412184,55812520,56826320,57382504,57614172,58033364,59191644,59678332,59979016,60425872,60716880,61196336,61544600,61961464,62629368,63062408,63513124,63883372,65611794,66174686
 "94000" ,"Plains",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",12788912,12724700,12720880,12777616,12850628,12965944,13076500,13182544,13310100,13518608,13840368,14278508,14824160,15282348,15646560,15913180,16123620,16318400,16510316,16698968,16949516,17222828,17569552,17989992,18453544,18935632,19458596,19881368,20267740,20692536,21197728,21784012,25271888,25897340,26460468,26953540,27286780,27697560,28122300,28559736,28954852,29403816,29880900,30387996,30909700,31330232,31690864,31992344,32218772,32474996,32753420,33053740,33363972,33641412,33880772,34082644,34303216,34501340,34733880,35000768,35321020,35113172,35446272,35795240,36152452,36579628,37055700,37581532,38139368,38654924,39110708,39506872,39859904,40245804,40681896,41167728,41689484,42177884,42618508,43010884,43441146,44099412
 "94000" ,"Plains",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",10189972,10398072,10277996,10689032,10965304,10821772,11355288,11785980,11953316,12667324,13231008,13325684,13666040,14787392,14010312,16278800,16505732,16541788,17003392,17438448,17077580,16950684,17092920,16950364,18376756,18575476,18651756,18795636,19103948,19709468,18820804,19219896,18489880,19204828,20075152,19951640,21295376,20163368,20303664,20826644,21282612,21385136,21918104,21628880,23266284,23725764,24135084,23374176,23380496,23643940,24786272,25112616,26347128,25731888,26053632,26773376,26181124,27769628,26824372,27292084,27253128,27458516,28457332,28794360,28352528,29486176,31042084,31320120,31608876,31680096,31701864,31375464,31815852,33125972,32790776,32784352,33055092,32199276,33107564,33167804,33883343,34147804
 "94000" ,"Plains",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",984004,961272,982936,999532,1085248,1044788,1073144,1087440,1134456,1121688,1179040,1293684,1495304,1650580,1884268,2165176,2262776,3236700,2908200,2834148,2806824,3104940,3117816,2937340,2409224,2058376,2027464,1903668,1884460,1787424,1842700,1815480,1714084,1766980,1778712,1815028,1912876,1883732,1921988,1934932,2028136,2127620,3014492,3822548,5272780,6996996,7837256,8041296,8199608,7239880,6628672,6487808,5967108,5398756,4975484,4836344,4491900,4001660,3549148,3432276,3253524,2973220,2751180,2800736,2276788,2111448,1979468,1942660,1978376,1935484,1981180,1958684,1971568,1946612,1959996,1926164,1921312,1845540,1839060,1685012,1696559,1568882
 "94000" ,"Plains",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",12054976,12305284,12517152,12831640,13172860,13392856,13620468,13788800,13817172,14118256,14450436,14970692,15522556,15952896,14747720,16071464,16024220,15859248,15791844,15894928,16451532,16673524,16748620,16653644,16711712,16732220,16849224,17192520,17948016,18281588,18918960,18575992,18532888,18665328,18915760,19432540,20277108,21088004,21780624,22685092,23249192,45071180,28992232,25545904,26401684,31358384,28496760,28939376,34175984,34874248,35623340,35500416,34950168,34841040,34636904,34468708,31646284,31537328,31598820,31675936,31852896,32031716,32065580,31891600,32687704,33259296,33458396,32974568,34299076,34389340,34575028,34815764,35752456,35706320,35800852,35670972,35747676,35648416,35828680,36209772,36401415,36645831
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
