GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "44000" ,"Rhode Island",1,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",27722218,28109158,28481342,28806370,28939802,29344390,29889914,30386002,31305681,31658165,32273301,32578049,33355316,33638308,33586548,33959068,34505148,34969088,35144732,35493088,36242348,36385528,36979068,37629024,37946484,38589480,39171948,39219476,38911164,39401524,39605856,40328940,40646472,41522960,42215900,42249548,43215984,43274208,43484000,43631016,43860676,44793460,43877720,43810240,42230980,42906352,43074676,43574960,44061088,45045112,45537608,45975304,46155956,47046676,47181556,47349164,48345996,48622124,48445700,49457540,48464632,48568304,48881896,49193524,50103480,50505108,51026100,51977728,52251660,53010500,53219036,53542040,53150376,53540856,53988920,54243632,54946732,55558424,56462936,56767772,57487635,57779729
 "44000" ,"Rhode Island",1,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",4565860,4556592,4538552,4601212,4697292,4705592,4772960,4806052,4796472,4897456,4962084,5032876,5357980,5523236,5428396,5710028,5684536,5759732,5744848,5787788,5833140,5879272,5962676,5943980,6100480,6292812,6348220,6451352,6507704,6574052,6548580,6564956,6746860,6705444,6856888,6834960,7211160,7325084,7538844,7670156,7703604,8965760,8237956,8138912,8604184,9070800,9074004,9104748,9512636,9535820,9475524,9613000,9593604,9638268,9633216,9606408,9567512,9459488,9411640,9520100,9552064,9587172,9685280,9692976,10094484,10263380,10401340,10512428,10602348,10711336,10741764,10686588,10744164,10724748,10703004,10777420,10932652,11031212,11366432,11493592,11630025,11707635
 "44000" ,"Rhode Island",1,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1615132,1620164,1627952,1628364,1647492,1653976,1661500,1670836,1706072,1751208,1750468,1753520,1807228,1813336,1832740,1833464,1880920,1889808,1898260,1908060,1931292,1945640,1949372,1957948,1993044,2006836,2009540,2024408,2071372,2090648,2093936,2104520,2170900,2189084,2196952,2204860,2266728,2288640,2298764,2307592,2357404,2376944,2400212,2419944,2555916,2596076,2616056,2639856,2644804,2674208,2683932,2697584,2707816,2735112,2748228,2769356,2876860,2900408,2921672,2942100,3003304,3021164,3044588,3064868,3115248,3143016,3154284,3175100,3233476,3257552,3272000,3293692,3307284,3330676,3347636,3368312,3401960,3423752,3446492,3465212,3558966,3589499
 "44000" ,"Rhode Island",1,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",917196,910316,903728,897388,893408,888504,885924,885720,885076,897724,921496,956988,999400,1037832,1062776,1073384,1067328,1066680,1068008,1071388,1082860,1095248,1112916,1135948,1164636,1191732,1219796,1240948,1253072,1276892,1308308,1347556,1558848,1601740,1637304,1664868,1677720,1699480,1725100,1754736,1782592,1815192,1848012,1881032,1912144,1937552,1959148,1976968,1987784,2001896,2016856,2032608,2047996,2061960,2075032,2087280,2103072,2114580,2126612,2139132,2153804,2140552,2156352,2173580,2192224,2214608,2239896,2268132,2298380,2326296,2350924,2372256,2391140,2411960,2435628,2462132,2490692,2517304,2541156,2562200,2587831,2627045
 "44000" ,"Rhode Island",1,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",995908,974584,946712,991796,1054216,1058424,1102828,1112308,1068848,1084640,1105588,1105788,1294784,1380312,1291176,1444784,1403728,1374300,1396200,1432976,1415644,1424772,1498044,1453516,1579700,1741016,1750136,1815836,1771760,1791136,1706684,1696472,1616896,1503672,1586904,1475012,1668340,1676920,1805720,1856020,1813516,1869384,1836484,1825028,1904568,1901588,1972036,1928688,1976264,1988660,2012860,2082856,2054912,2070652,2061472,2000120,2021600,1918852,1870012,1941208,1924728,1973440,2052144,2055056,2411216,2501732,2621256,2672068,2637288,2677016,2669652,2557124,2557928,2461128,2382708,2426140,2511456,2582884,2868356,2937536,2927129,2934092
 "44000" ,"Rhode Island",1,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",146128,143480,140664,147468,152800,144244,146664,145676,144824,145844,141520,138656,151668,163944,184452,220812,198872,302444,260388,251212,257412,261940,251228,253316,215456,204056,213908,196504,207104,196844,193080,194212,191844,192884,190876,193212,218380,216020,226724,239084,254496,256452,391984,439316,591132,689872,735168,753936,793344,731888,596380,640872,614564,600572,575800,571956,546736,493572,439632,423616,359860,331496,308760,290644,207064,191400,178692,170208,169592,163496,161052,155760,154400,155768,157936,152348,150332,144976,148444,152824,160935,148611
 "44000" ,"Rhode Island",1,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",891496,908048,919496,936196,949376,960444,976044,991512,991652,1018040,1043012,1077924,1104900,1127812,1057252,1137584,1133688,1126500,1121992,1124152,1145932,1151672,1151116,1143252,1147644,1149172,1154840,1173656,1204396,1218532,1246572,1222196,1208372,1218064,1244852,1297008,1379992,1444024,1482536,1512724,1495596,2647788,1761264,1573592,1640424,1945712,1791596,1805300,2110440,2139168,2165496,2159080,2168316,2169972,2172684,2177696,2019244,2032076,2053712,2074044,2110368,2120520,2123436,2108828,2168732,2212624,2207212,2226920,2263612,2286976,2288136,2307756,2333412,2365216,2379096,2368488,2378212,2362296,2361984,2375820,2395164,2408388
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
