GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "45000" ,"South Carolina",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",87244396,89047112,90752896,92141732,92462389,93566097,95023965,96578929,98795146,101123770,101986306,102738950,104042212,104572432,104405728,105588848,105782108,107462620,107891024,108972276,109522516,110210996,111631492,113300456,113689964,116794860,118659552,120882308,121722480,123580232,124895756,127756276,132217132,133628948,135334196,137135392,140636428,143124796,144015920,145491964,146676480,153040840,149405092,147819804,144555296,146091916,145435968,146353140,147574760,149978888,151516884,152736716,157149584,158966048,159841748,160406744,165586680,167001744,166753632,170813008,167747352,168839952,170941552,172367108,176306480,180213072,182726072,185186032,188795428,191870196,194816072,196036228,197100892,198629996,200516480,203519436,207110472,208301932,209729100,211576788,214519019,216401535
 "45000" ,"South Carolina",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",13382328,13485456,13552724,13770032,14159792,14246964,14468196,14621832,14918712,15383336,15629008,15875856,16719752,17270312,16941252,18049272,18470548,18712992,18772576,18945736,19269740,19592244,19922656,19942860,20518052,21261568,21418440,21948152,22617432,22787124,22959388,23175420,24405840,24387944,25089696,25147508,26104648,26267704,26348932,26693808,27474380,33975564,30100812,29980444,31958616,34136508,33984592,34230768,35982716,36073636,36688572,36683464,36831400,36867600,36614776,36680068,36593836,36894412,36964784,37213248,37617640,37733852,38068588,38284124,38951544,39929812,40781556,41233116,42159712,42863396,42899800,43098928,43866812,44119192,44419820,44667860,45233000,45471324,45797912,46081908,46800731,47186963
 "45000" ,"South Carolina",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",5256240,5290072,5345364,5366104,5493056,5537560,5570592,5596048,5763568,5976620,5951600,5960044,6276848,6313100,6420800,6420640,6699088,6746332,6793500,6851116,6988804,7088184,7122464,7192080,7425208,7531952,7557716,7660248,7962216,8099324,8135884,8232500,8690824,8832656,8894236,8943172,9346672,9481552,9550684,9622232,9998824,10121220,10235616,10293428,11065832,11253912,11359304,11535252,11638872,11890492,12008928,12143212,12245520,12438868,12519444,12629972,13269508,13382668,13489268,13599104,14017444,14123052,14269236,14399256,14750384,14937492,15016052,15158596,15551164,15722628,15836864,16006052,16128560,16310140,16442668,16593620,16824928,16975388,17130728,17257592,17724511,17876573
 "45000" ,"South Carolina",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",2661704,2642948,2646032,2671084,2709988,2753320,2794212,2832656,2891888,2953808,3045084,3166340,3328160,3442032,3528604,3586776,3632204,3673760,3722844,3779972,3863696,3938840,4024024,4118624,4229172,4335856,4460856,4571984,4700260,4804592,4905628,5001772,5789472,5886416,5993800,6111544,6240908,6372952,6508400,6646872,6793084,6935044,7075652,7214684,7355992,7481076,7589940,7683032,7767856,7852640,7943448,8040056,8156480,8258952,8354480,8443532,8524888,8618368,8719116,8826796,8929948,8862144,9008860,9173936,9351716,9534248,9713944,9889628,10053284,10209192,10352132,10482900,10608300,10740104,10884484,11040948,11204188,11360824,11506224,11640584,11757031,11935186
 "45000" ,"South Carolina",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",2281380,2320916,2292716,2397828,2489720,2456624,2564016,2625052,2613668,2740188,2832948,2837288,3006688,3217104,3027408,3424320,3375416,3328596,3381872,3445716,3358500,3421040,3601436,3478156,3731056,4274944,4216172,4380984,4366580,4167320,3999016,4096864,4001132,3713060,4188628,4002080,4220340,4044412,3884256,3961588,4241300,4423656,4533964,4649880,4708408,4767892,4775944,4708216,4935788,4894276,5342796,5309120,5212788,5035868,4677884,4621480,4605032,4818456,4744052,4827808,4738064,4891872,4977000,4992388,5017068,5386468,5887296,5887348,5904800,6168296,5994096,5988400,6009576,6012156,6123808,6105160,6165428,6031828,5991056,5922112,5893489,5935892
 "45000" ,"South Carolina",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",163384,164944,168632,186224,195652,196692,195668,187224,180392,180516,209616,238792,293712,345808,410836,502916,496448,666604,558792,516220,545400,562676,556756,540640,446004,376928,355164,340704,334900,349020,361596,354764,329276,334380,359840,362664,387000,366432,371620,377120,403656,439960,807816,990476,1423664,1711256,1870164,1859652,1914576,1672988,1574684,1425672,1339004,1220780,1129776,1071836,1018012,886684,777648,683424,591172,503628,449648,405128,231196,216716,212500,206480,199668,185924,181504,185440,196664,192288,181624,171924,183512,173724,165360,170468,185884,162001
 "45000" ,"South Carolina",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",3019620,3066576,3099980,3148792,3271376,3302768,3343708,3380852,3469196,3532204,3589760,3673392,3814344,3952268,3553604,4114620,4267392,4297700,4315568,4352712,4513340,4581504,4617976,4613360,4686612,4741888,4828532,4994232,5253476,5366868,5557264,5489520,5595136,5621432,5653192,5728048,5909728,6002356,6033972,6085996,6037516,12055684,7447764,6831976,7404720,8922372,8389240,8444616,9725624,9763240,9818716,9765404,9877608,9913132,9933192,9913248,9176396,9188236,9234700,9276116,9341012,9353156,9363844,9313416,9601180,9854888,9951764,10091064,10450796,10577356,10535204,10436136,10923712,10864504,10787236,10756208,10854944,10929560,11004544,11091152,11239816,11277311
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
