GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "46000" ,"South Dakota",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",17878216,18095872,18223692,18764860,18561854,18921074,19104290,19788726,19848230,20260946,20528926,20661794,20827916,20990948,21016140,21095172,20706972,20782616,21089076,21435264,22510196,22745888,23019516,23402956,24277300,24551088,24558492,24986052,25584304,25962440,26188296,26485240,27104664,27378912,27576680,27955264,29722504,30360504,30675568,31400520,32764548,33280512,32464320,32021636,31141184,31613040,31792332,32180452,32616376,33213436,34012480,34206852,36155136,36310664,36690112,37387988,37651004,37824352,36158064,38455328,37972220,38103284,38091480,37795860,38995880,39861428,40012456,40423380,40812288,41248892,41898748,42241264,41466296,41614076,42028200,42045736,42199272,42383308,42508624,42730048,43127932,43511385
 "46000" ,"South Dakota",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",2367968,2382964,2389772,2414848,2451688,2461252,2495984,2524724,2569108,2640748,2688752,2732576,2805568,2875672,2839184,2974500,3035076,3056364,3072308,3097036,3128612,3148796,3192924,3188212,3274684,3334076,3340648,3400544,3497664,3573452,3601424,3620840,3793840,3860944,3919352,3952280,4095132,4116456,4181864,4251020,4355884,5296876,4680368,4605204,4803420,5073256,4999984,5036172,5276808,5340248,5446072,5449532,5478772,5472188,5454228,5476592,5438508,5480272,5480060,5504660,5546840,5589392,5629380,5657448,5714228,5813692,5896348,5941824,6009296,6069324,6107992,6156160,6252492,6326628,6377244,6416060,6498700,6502056,6548940,6594692,6698898,6746944
 "46000" ,"South Dakota",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1048432,1051856,1057192,1057672,1070556,1074404,1077940,1081688,1103460,1132532,1130892,1133340,1174388,1180260,1195476,1196452,1233444,1240312,1246768,1254200,1270524,1282596,1286356,1294656,1324848,1338588,1343020,1358068,1399668,1417604,1420544,1428516,1480180,1494100,1500964,1509340,1564388,1584504,1594092,1601584,1642756,1656696,1672708,1684988,1787952,1816300,1830316,1848740,1855604,1879636,1888388,1900128,1910308,1932016,1941400,1956016,2039096,2055656,2071000,2086336,2138816,2153548,2173388,2190960,2236672,2261952,2272676,2291788,2344064,2366832,2381896,2404180,2420160,2444432,2462612,2483708,2515972,2537128,2558580,2575864,2645556,2668253
 "46000" ,"South Dakota",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",461500,459820,461368,466164,472780,479312,484444,488140,492568,499212,510556,526760,548728,564808,576000,582056,585088,589052,595476,604496,619816,633816,648844,664764,678868,695360,713152,726656,736412,751988,772984,799640,945604,975956,1002292,1024184,1035436,1052232,1069516,1087236,1100876,1118984,1138444,1159356,1180268,1196416,1209708,1220156,1226912,1234968,1244136,1254404,1266744,1276056,1283644,1289524,1297296,1303108,1310380,1319128,1330320,1322156,1335576,1350284,1365168,1383668,1403536,1424764,1446624,1467200,1485816,1502508,1517992,1534908,1554000,1575260,1598156,1619304,1638120,1654564,1671116,1696438
 "46000" ,"South Dakota",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",354416,358940,352736,365020,372744,366920,384316,398828,405120,429448,448244,450444,438448,472424,456944,530584,549264,556596,569144,572952,545860,525172,546100,527784,575728,604892,583548,599780,607532,628744,609784,609036,588960,606920,626868,611472,653316,609912,624680,637936,669764,685740,690504,711184,733196,753692,757856,746384,760220,767076,806492,791696,796868,764692,741524,744284,747600,775956,757952,767088,753144,788496,795184,791308,755748,790208,839620,836104,819532,831692,825788,812796,845496,862616,865520,875776,883392,864216,871240,870400,878204,872199
 "46000" ,"South Dakota",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",13560,13864,14256,13416,15232,14252,14016,11332,14984,10788,15064,17520,19888,18832,20920,25480,29568,40564,33780,32696,33512,37944,39668,35072,31284,31684,31268,27048,26944,28972,24780,23788,22608,24648,22184,21768,24168,22172,21852,21116,20676,22232,30856,41640,60840,84232,91416,90568,89896,77744,71624,68396,63728,56392,51288,49708,48232,45608,43336,41188,38240,38216,36296,35564,31968,29996,28140,28484,29056,28864,29820,29580,30624,32160,33560,31952,29984,29032,30824,32580,31613,29192
 "46000" ,"South Dakota",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",490060,498484,504220,512576,520376,526364,535268,544736,552976,568768,583996,604512,624116,639348,589844,639928,637712,629840,627140,632692,658900,669268,671956,665936,663956,663552,669660,688992,727108,746144,773332,759860,756488,759320,767044,785516,817824,847636,871724,903148,921812,1813224,1147856,1008036,1041164,1222616,1110688,1130324,1344176,1380824,1435432,1434908,1441124,1443032,1436372,1437060,1306284,1299944,1297392,1290920,1286320,1286976,1288936,1289332,1324672,1347868,1352376,1360684,1370020,1374736,1384672,1407096,1438220,1452512,1461552,1449364,1471196,1452376,1450176,1461284,1472409,1480862
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
