GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "95000" ,"Southeast",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1647824763,1677791655,1703107527,1724856815,1741961143,1755450399,1778650075,1810653771,1857195822,1887570478,1914298358,1934495614,1966641640,1987023016,1984135144,1999986232,2011087844,2034571920,2043571144,2064664404,2085681720,2104935416,2138428232,2176676228,2210036932,2256661792,2294267888,2343567324,2372497676,2412983912,2453822704,2503525240,2572292340,2602593584,2626094464,2661651200,2712358808,2754654328,2769362480,2790142092,2810344400,2903343180,2839335600,2811025540,2734833896,2762081740,2750843576,2767441824,2805149936,2852522592,2888616812,2917817996,2984086820,3007801056,3035058696,3056071484,3108510716,3140839644,3133442576,3223660820,3136762004,3153461160,3172816156,3195601828,3270386132,3330056532,3376786920,3423582320,3465597392,3516882124,3555928300,3567323796,3582051384,3603666056,3637924948,3681001952,3736992700,3760169988,3797279824,3840426936,3892104834,3933342767
 "95000" ,"Southeast",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",238450624,239908668,240684848,243314448,247932516,249054684,252339284,255124520,259274668,266992544,271134868,275386928,287819896,296239024,291095360,307920396,314353364,318222356,320108828,324179752,328625664,332778380,338345684,340001864,349302720,357235768,362512052,366968864,378957360,384983460,396552688,397162716,408602048,410212436,415931396,419065732,435867492,438702240,443749248,450358640,459046940,562004288,495756884,491173852,521638548,556580932,553309724,556320756,583559120,588569072,597912292,602453980,608645180,609741828,609014840,613363056,605625044,611937596,613589100,617621676,624458348,627491700,631555424,634643192,643049032,656790632,665793100,673578024,688271236,696186488,699328200,701664312,713533088,719781168,723684240,727320456,738082724,743777092,753598340,757165396,769622415,776002196
 "95000" ,"Southeast",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",94303812,94794920,95585108,95811020,97664912,98281844,98784620,99234700,101949304,105326848,104980072,105100940,109892000,110419276,112080776,112105516,116363120,117160560,117971900,118959084,121015524,122565180,123132820,124191200,127620976,129175508,129613244,131174932,135678696,137562336,137890772,138883656,144880104,146473508,147141020,147817084,153584052,155532032,156480624,157359292,162227152,163857688,165557756,166672600,177775756,180739432,182326124,184656620,185750268,188938740,190332176,192005512,193285704,195917648,197067048,198714404,207815112,209547208,211151156,212760512,218438780,219947796,222015400,223855540,228605656,231202548,232304040,234277660,239676008,241999932,243496540,245703992,247225836,249556564,251213784,253121816,256124912,258060708,260101312,261792736,268875771,271182494
 "95000" ,"Southeast",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",53575900,53297592,53222620,53351012,53626804,54026408,54494080,55032960,55569592,56527584,57810004,59417060,61206220,62956552,64432460,65632276,66654260,67744964,68854712,69984068,71154352,72631712,74431800,76557840,78883596,81166192,83523812,85340312,87240100,88738792,90364440,92105612,106117968,107973996,109878944,111821368,113823492,115844272,117956204,120155732,122449956,124758712,127085168,129429896,131810708,133873780,135642304,137120992,138393380,139743148,141242552,142890816,144624068,146269544,147735752,149026420,150177040,151515832,153072656,154848916,156813948,155870732,157783292,159676516,161579784,163708488,166087520,168719712,171512660,174102060,176401416,178413912,180230000,182175576,184341032,186721644,189242192,191635660,193830516,195827044,197786014,200783078
 "95000" ,"Southeast",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",35761500,36109792,35430820,36726316,37725376,37184624,38884240,40126000,40365880,42548992,44286984,44542136,46984364,50634768,47660980,54787152,54518660,54240812,55727208,57430668,56583640,55870920,58513796,57746416,61965424,66124284,65293544,66136128,67533304,68175984,65852404,66038184,62942716,62961920,65989796,64942420,71048976,68007260,68861596,70995308,72600040,73565828,74390648,74855148,77633996,79016868,79783880,78020788,79343204,82064192,86881120,87266680,89290320,86250756,83568424,85544512,84713360,89617100,88843020,89710240,89415612,91694604,93327144,94359020,93389984,98261332,102741824,103775664,105261928,106462812,106174512,105027568,105534500,108000224,109130144,109825940,111687644,113079388,116133080,115731052,115128784,116425599
 "95000" ,"Southeast",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",2942956,2954884,3037816,3053712,3102764,3152712,3062120,3050916,3073672,3135840,3375440,3735816,4417112,4900320,5507496,7003064,7365728,10087876,8729736,8409788,8245372,8727404,8501876,7676684,6498864,5592472,5326084,5044020,4832160,4828280,5021620,6173496,4963348,4364040,4681960,4963816,5060796,5020304,5249496,5514484,6024060,6471988,10493540,13076996,19495200,24394216,26719312,26620548,28560888,24533216,23443012,22658552,21138364,19597056,18286612,17657272,15791272,14119728,12749276,11943780,10925736,9987580,8249888,7699804,5120232,4582052,4214540,3936868,3818936,3619872,3541364,3465004,3462692,3365852,3333388,3251980,3239784,2902872,2678372,2553904,2586012,2410282
 "95000" ,"Southeast",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",51866456,52751480,53408484,54372388,55812660,56409096,57114224,57679944,58316220,59453280,60682368,62590976,65320200,67328108,61413648,68392388,69451596,68988144,68825272,69396144,71626776,72983164,73765392,73829724,74333860,75177312,78755368,79273472,83673100,85678068,97423452,93961768,89697912,88438972,88239676,89521044,92350176,94298372,95201328,96333824,95745732,193350072,118229772,107139212,114922888,138556636,128838104,129901808,151511380,153289776,156013432,157632420,160306724,161706824,162357004,162420448,147128260,147137728,147772992,148358228,148864272,149990988,150179700,149052312,154353376,159036212,160445176,162868120,168001704,170001812,169714368,169053836,177080060,176682952,175665892,174399076,177788192,178098464,180855060,181260660,185245834,185200743
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
