GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "96000" ,"Southwest",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",727416606,739862598,752251038,761003322,766373394,774626926,783588578,803584238,828841588,843669124,859192416,868884740,896338380,899722452,899480500,903606604,905821140,912951812,917318296,926231704,936821300,948811160,959676256,970602332,985114720,999129656,1015631524,1040091488,1064760588,1087644088,1112453244,1143520012,1188306848,1205550540,1218732184,1236122904,1253165788,1276306900,1293014488,1311551616,1349213256,1410751612,1396402904,1396818576,1336617108,1320542436,1308649396,1317023784,1348676136,1377114788,1402917256,1425300652,1475206456,1496031552,1518014460,1528693136,1578709888,1597725652,1590194368,1645674052,1613095392,1635926244,1651265832,1668512748,1723157072,1753071360,1778239048,1793694808,1800350196,1801055396,1813199280,1808499084,1799746596,1805398248,1819484020,1835239068,1867673044,1881757232,1905071016,1924618596,1957545359,1983554841
 "96000" ,"Southwest",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",91054184,91705684,91803884,92769576,94577172,94792220,95757228,96496800,97923776,100656676,102046528,103512036,108110408,111821768,109440744,116928240,120011396,121704520,123013924,125448540,128403564,130733280,133275380,133565136,136873192,138663348,140352024,143337880,149385472,152983736,155881636,157773468,162710528,164888108,167243304,168954496,177839388,179414752,182452696,185388876,188060460,235520868,203280632,200704216,214288852,230376524,231541340,233425736,246658276,247940432,252543260,253124108,255806148,256429020,255591676,256699328,254352756,256832800,255445372,258263460,260589704,262488568,266238612,268735828,271298104,277772600,283210508,286256756,292335752,295904060,297722528,298723732,306052152,309023116,311271088,311368620,315886456,315189256,319710384,320310076,324831293,327357022
 "96000" ,"Southwest",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",33824256,33995564,34268212,34328844,34966524,35182060,35375292,35569132,36613988,37900492,37778248,37806460,39566800,39728404,40321996,40303248,41924504,42219748,42532572,42925764,43759216,44388516,44623012,45043608,46355684,46985828,47180508,47839052,49658368,50459956,50632436,51069552,53473796,54128152,54404008,54671544,56943600,57697908,58063528,58405152,60355148,60970996,61593892,61968816,66212252,67296340,67876120,68770052,69232936,70488280,71051960,71724296,72246268,73282144,73731752,74362484,77868216,78528040,79141452,79760788,82026236,82605964,83395504,84084732,85994888,86995752,87402860,88165944,90308476,91242248,91869480,92807380,93497744,94526012,95298244,96186288,97532608,98416312,99309676,100028176,102734527,103615902
 "96000" ,"Southwest",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",20477608,20326720,20185960,20054524,19991188,19938000,19971176,20093156,20256520,20586512,21012248,21532040,22037428,22679272,23256488,23772380,24243216,24792052,25340776,25888600,26331504,26989572,27755184,28627752,29497492,30460984,31518848,32421408,33464244,34189092,34848432,35427396,40892544,41432484,42098192,42893076,43885796,44767496,45616400,46425468,47265664,48083256,48960036,49900404,50934284,51830276,52588948,53211060,53778432,54347832,54988840,55701584,56436092,57158028,57785148,58318220,58747264,59318592,60020828,60856492,61810408,61469476,62309404,63092112,63848040,64703328,65683692,66791300,67987560,69091504,70065692,70911376,71667612,72509436,73477312,74570896,75760060,76871904,77874128,78765468,79553403,80758881
 "96000" ,"Southwest",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",14068476,14224816,13977988,14511304,14942588,14703404,15268096,15577016,15421612,16044452,16570960,16614000,17403904,18930284,17769732,20794508,21026516,21107700,22117984,23357132,23450720,23673156,25000216,24184512,25598764,26035116,26088220,26532548,28094224,29503704,29080388,30224488,28420488,29430784,30480376,30227764,33914252,32792268,34070912,35282904,35454520,35379428,35675076,36046252,38399448,40106704,41141304,40616668,41882952,42034436,45045684,45166248,46029740,45067812,43448904,43706188,42888956,45356480,43093968,44179932,42955892,44830360,47136128,48676240,47523508,50369944,53902920,55680060,56202212,56833708,56706764,55818276,58944364,59990160,60629696,59016172,60032420,57262676,57865596,58368660,58600215,58738859
 "96000" ,"Southwest",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",1189760,1334692,1310484,1466488,1617212,1697864,1609888,1505608,1412556,1416216,1406812,1405488,1582412,1888052,2292680,2909688,3368952,4379288,3876108,3806068,3992372,4126372,3975576,3811180,3049880,2509688,2373716,2196300,2038340,1899808,1895872,1841740,1637508,1641172,1709528,1718908,1839628,1753076,1772384,1822496,1962732,2117496,3363500,4264036,5768328,8707212,10632228,11016108,11862532,10627632,9919740,9231528,8709864,8161960,7615740,7335800,7788516,6467828,5632068,5524124,5050116,4726844,4535868,4511972,3159448,2989256,2956780,3025236,3276996,3465796,3733128,3861596,3986476,3978512,3859632,3665968,3568052,3328100,2829100,2606140,2683363,2561859
 "96000" ,"Southwest",6,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",21494084,21823892,22061240,22408416,23059660,23270892,23532776,23751888,24219100,24709004,25278260,26154048,27519864,28595756,25799848,29148416,29448208,29205732,29146484,29470976,30869752,31555664,31921392,31898084,32371372,32671732,33190732,34348572,36130296,36931176,39424508,39210292,38286192,38255516,38551200,39443204,41256112,42404004,42929472,43452856,43022396,88969692,53688128,48524708,52974540,62435992,59302740,59811848,69901424,70442252,71537036,71300452,72384184,72759076,73010132,72976636,67059804,67161860,67557056,67942124,68747052,68855924,68861708,68370772,70772220,72714320,73264256,72594216,74560508,75270804,75347464,75325104,77955956,78018996,78006204,77929296,78993316,79310264,81831884,80541632,81259785,81681521
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
