GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "48000" ,"Texas",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",502119224,510673948,519751968,525373424,531160315,535943587,542332319,557338759,575161520,585085736,596305068,601920732,624946348,625502676,624542424,626415656,626166168,630886920,633762380,639127156,644923680,652910368,660272544,665179868,671635380,679331708,690442576,706084108,723012060,736386344,753123804,775921248,803560036,815823092,824169084,836667408,848536408,866523724,878176200,894162372,926644324,970375344,963066256,966096248,922730136,910759488,902792752,908625472,938463852,958259944,977288296,993589240,1036181748,1052042052,1068698324,1075214632,1116177436,1129552352,1124389780,1165084864,1138111896,1155164484,1167397664,1180772380,1221773440,1244733480,1262891412,1273999776,1280662184,1278655804,1288068016,1282133400,1277723704,1279953108,1290263744,1302808628,1321714516,1331503124,1347088268,1361967748,1386059313,1406506873
 "48000" ,"Texas",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",59061676,59395796,59314936,59809904,60772248,60749716,61277012,61739212,62716112,64512304,65484104,66435772,68776360,71035936,69735812,74298564,76393968,77637036,78379892,79830088,81653456,83123148,84693536,84520508,86168024,87273552,88429564,90291108,94453780,96619388,98848340,100296160,102438792,103608964,104877788,105986600,112031204,113434508,115434688,117189368,118333164,149866948,127327692,125384948,133894132,144778756,145556148,146915020,155830280,157129648,160352676,161145340,163609964,164261952,164153612,164863884,162854320,163925624,163020112,165047852,166458184,167889104,170784188,173025576,173279860,177726300,181364548,183696772,188124120,190532112,191972496,192590768,198668488,200763048,202541940,202302548,205567628,203999820,207409816,207223836,210115054,212288372
 "48000" ,"Texas",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",20672116,20771828,20929188,20956260,21325312,21449668,21568368,21695376,22341612,23131948,23064992,23082244,24135968,24228592,24584336,24570444,25548676,25728084,25919688,26161604,26678112,27062764,27205200,27457952,28251896,28629840,28740684,29133120,30237368,30722444,30825468,31095256,32576384,32984916,33159432,33328008,34725952,35199968,35437876,35665392,36890668,37283696,37670092,37890836,40505356,41161392,41511400,42064596,42360272,43146784,43503440,43927840,44261788,44911232,45194096,45587964,47765232,48175652,48556280,48939744,50352608,50711820,51203196,51633280,52834368,53459284,53710968,54182968,55514644,56094356,56486084,57075612,57514276,58165012,58656724,59221828,60074600,60635532,61199844,61652068,63320119,63863353
 "48000" ,"Texas",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",13798504,13685424,13563192,13431084,13341528,13259092,13254736,13330488,13468320,13693344,13971196,14300732,14594280,15008324,15382308,15718248,16020892,16383208,16743296,17100484,17371356,17799660,18304004,18884752,19468636,20119168,20836284,21458720,22190524,22671240,23074916,23389240,26849576,27117040,27497208,27994360,28691008,29274628,29828196,30346500,30899436,31436192,32028936,32681952,33415780,34058772,34590308,35009632,35384864,35760428,36192432,36681260,37184000,37684596,38114132,38472888,38744364,39139784,39644864,40262332,40969980,40776880,41365280,41888296,42372292,42922956,43567980,44309464,45122068,45866076,46515688,47071396,47559456,48114660,48764872,49510408,50331572,51096928,51784356,52392760,52916874,53718727
 "48000" ,"Texas",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",9960664,10019680,9775808,10053516,10229984,9987736,10326512,10535196,10474704,10927648,11303532,11329188,11348848,12168656,11584164,13229636,13444764,13542436,14145224,14869044,14822312,14974964,15854296,15080628,15741404,16102756,16197508,16392728,17576980,18260400,17870292,18672940,17083036,17640424,18133668,17983432,20708800,20371072,21267404,22004024,21649524,20904980,20929072,20951796,22594976,23939608,24432064,24308976,25238848,25711444,27751624,28075544,28820968,28381404,27671072,27815148,27161688,28584396,27122844,27841676,26944272,28422664,30365748,32034684,29689552,31495044,33782948,35011596,35463204,35685012,35854640,35321064,37925736,38695124,39445292,37998360,38587532,35508720,35691016,36101208,36018611,36719008
 "48000" ,"Texas",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",873436,958848,955456,1087564,1211080,1283716,1203412,1109852,1040580,1032560,1032228,1029692,1141632,1374612,1689876,2141824,2517808,3265472,2884220,2798732,2948720,3036448,2904500,2780872,2204288,1796300,1703888,1550796,1431552,1327536,1329720,1306840,1170404,1159664,1190268,1181812,1222908,1161332,1180896,1205316,1288844,1385388,2231868,2833544,3724876,5928760,7178560,7276516,7820124,7013908,6494048,6108960,5842976,5521776,5242336,5169268,5658932,4522044,3990324,4075980,3767220,3474304,3368088,3351160,2296300,2168832,2164756,2236172,2449624,2623088,2853020,2969080,3060756,3060584,2977232,2855452,2807032,2616636,2159496,1989028,2055289,1988002
 "48000" ,"Texas",6,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",13756956,13960016,14091292,14281480,14664344,14769504,14923984,15068300,15390896,15726804,16112156,16693916,17555632,18255752,16495128,18638412,18861828,18717836,18687464,18900224,19832956,20249312,20425536,20316304,20501800,20625488,20951200,21755744,23017356,23637768,25747944,25831884,24759392,24706920,24897212,25498988,26682536,27427508,27720316,27968136,27604692,58856692,34467724,31026820,33653144,39690224,37843816,38255300,45026172,45497084,46411132,46351736,47500232,47762944,47931976,47818616,43524104,43503748,43705800,43928120,44424104,44503436,44481876,44118156,46087348,47680184,48137896,47956572,49574580,50263580,50263064,50153616,52608264,52727668,52697820,52716500,53766892,54142004,56575104,55088772,55804161,55999282
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
