GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "51000" ,"Virginia",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",193738473,197983109,201884749,205017561,210747885,210760013,214685549,219733093,225455160,230352120,234561380,237765624,242385212,245537840,243258556,245365252,247227308,250210236,252091148,254183836,259249876,263120660,268191452,273359588,277588964,281933364,286718264,293587904,296614332,302301016,307255716,312711060,321854732,324838532,327196504,330796548,338278244,342449364,345253796,347169988,352002088,360726016,357598872,355410668,345553476,350125008,349169392,350928828,356580088,363152324,366867448,370930128,380684940,384113240,388913656,391480196,399397428,402580564,402853128,414258804,400415528,401542580,401747912,404552252,412292960,417893388,422817172,427940188,433244464,440572100,444788548,444689820,444128352,445770580,449312344,455522728,460985340,463775244,468952384,473260136,478911113,484091881
 "51000" ,"Virginia",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",19012876,19126380,19228496,19485688,19929336,20086560,20376764,20603940,21029316,21656908,21900092,22173740,23702344,24253736,23663460,24929240,25241808,25489296,25648952,26003972,26824108,27397072,27708420,27856976,28473852,28775256,29013972,29667596,30715968,31497864,31954524,32227320,33960556,34410408,34829632,35045180,36282288,36417920,36924460,37552176,38618840,47362556,42018940,41334364,43455320,46081092,45946424,46154536,48662356,49238936,50123888,50311956,50949776,51381816,51437688,51894172,51519888,51791048,51926148,52388340,53217920,53730136,54157584,54380388,54744648,55816144,56682200,57095828,58660608,59634780,59846228,60085324,61363868,61693052,62087744,62479760,63520368,64073028,64874808,65648272,66681540,67169631
 "51000" ,"Virginia",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",8068340,8115976,8192972,8217228,8391092,8455604,8511308,8564092,8829644,9161084,9133660,9147400,9600908,9647932,9800744,9797068,10189728,10257712,10328448,10417064,10612968,10755616,10808512,10907916,11227428,11371432,11410400,11550828,11956004,12128208,12163132,12264544,12824324,12979440,13044800,13105012,13620304,13790088,13872404,13950796,14395556,14539324,14685248,14774716,15760424,16012324,16144460,16345808,16447580,16732576,16858780,17012320,17134860,17377864,17484408,17634340,18460700,18619712,18767200,18915508,19445616,19586352,19779044,19950164,20402988,20648272,20752168,20939172,21451336,21673772,21819596,22034716,22186744,22417964,22587804,22784072,23087268,23284828,23488092,23653684,24293655,24502074
 "51000" ,"Virginia",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",3938864,3918340,3921076,3947136,3989300,4038692,4087748,4136616,4196896,4273804,4379184,4512856,4665640,4799620,4912900,5005564,5086692,5171692,5262440,5359188,5476064,5587096,5706752,5833924,5975164,6107820,6257692,6381492,6532508,6644540,6760480,6878980,7904588,8038784,8190964,8361372,8550672,8734476,8910516,9077320,9232312,9403312,9586328,9782268,9989840,10171900,10322236,10440712,10532452,10633288,10749000,10879620,11016748,11150416,11269988,11375748,11472076,11577856,11698364,11833584,11977236,11900740,12047908,12196656,12353184,12521496,12708132,12913300,13129880,13326824,13497196,13641028,13765104,13905128,14068292,14254536,14458492,14650340,14824428,14980624,15130484,15359757
 "51000" ,"Virginia",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",2358444,2367556,2320988,2417504,2509356,2482068,2591460,2653440,2633632,2749664,2843476,2853004,3527968,3720028,3424968,3710024,3474824,3309532,3326880,3441084,3575036,3688164,3711592,3728700,3984964,4012056,3965524,4151624,4302904,4634960,4604152,4713812,4610340,4689180,4821496,4730332,5123916,4825584,4950516,5084420,5321456,5430168,5641240,5734452,5852860,5936960,6072016,5981024,6195140,6422528,6775116,6838612,7088696,7166152,7021016,7132164,6992804,7016592,6924112,7070252,7153560,7535112,7665908,7730828,7172336,7451628,7938108,7808392,8087040,8439220,8394872,8394460,8537064,8529892,8679936,8747820,9097360,9167592,9480908,9791876,9755596,9812220
 "51000" ,"Virginia",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",168100,165128,160792,162008,171060,159448,154376,158368,165080,185180,179424,178052,214712,260032,314100,622752,683236,1007160,970964,887548,838836,792724,752576,617960,462956,389584,370080,352460,343720,336708,333868,335276,319240,317856,350740,380888,367060,356960,383964,403560,429988,450116,674924,819508,1178264,1565392,1942808,1788576,1837776,1558964,1442304,1333996,1258104,1184496,1165916,1146144,1119436,1036740,874488,796696,732080,712252,691216,676884,531356,498324,463980,431012,412444,380424,366696,366108,376040,379544,386444,372528,350316,328404,316036,307124,292832,257375
 "51000" ,"Virginia",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",4479128,4559380,4632668,4741812,4868528,4950748,5031872,5091424,5204064,5287176,5364348,5482428,5693116,5826124,5210748,5793832,5807328,5743200,5760220,5899088,6321204,6573472,6728988,6768476,6823340,6894364,7010276,7231192,7580832,7753448,8092892,8034708,8302064,8385148,8421632,8467576,8620336,8710812,8807060,9036080,9239528,17539636,11431200,10223420,10673932,12394516,11464904,11598416,13649408,13891580,14298688,14247408,14451368,14502888,14496360,14605776,13474872,13540148,13661984,13772300,13909428,13995680,13973508,13825856,14284784,14696424,14819812,15003952,15579908,15814540,15767868,15649012,16498916,16460524,16365268,16320804,16526932,16641864,16765344,16914964,17208973,17238205
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
