GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "53000" ,"Washington",8,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",165640662,168483118,171321814,173057610,177518947,177419895,182299251,188221119,194097002,193078502,193546802,196106034,198330844,201650644,197629244,198690144,201848488,202044328,202351452,205201800,206611564,210079908,212942648,213822768,215262888,220287416,220767568,247658300,229722972,232974832,235141824,243066268,251024076,254647996,257556600,262840732,269744452,277358772,281564516,285955912,289140552,297270016,294347028,288619808,278141284,280426840,278126048,279456940,281631176,285249084,288343284,291705548,300257360,301564512,304363996,309571388,321828764,327230840,327457224,339280648,330499636,333470500,338401700,341191604,352792984,359657348,367299932,372055940,376751008,383460020,388764556,389628544,396582036,400871504,405324680,414150304,420702276,424950952,430737432,438670096,449267026,451073042
 "53000" ,"Washington",8,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",19567428,19648956,19834108,20124480,20610480,20840152,21119052,21373272,21682732,22282996,22654668,23039204,24478436,25198244,24818952,25972180,26358100,26709532,26820464,26958608,27198616,28205016,28225540,28242220,28367992,28290500,28298332,28669516,29479972,30136056,30365724,30406344,31725172,31990436,32538996,32956544,34372336,34653236,35128224,35822120,36591352,44962836,40061536,39548340,42429500,45786832,46440940,47121012,49697476,49722244,50551140,50744032,50332912,50042404,49575888,49839828,49731508,50280864,49928920,50242008,50667768,50667968,51168084,51277168,53671048,55400620,56434896,56995548,56652900,56357796,56493468,56965592,58129348,59295964,60412704,61715532,61179284,61238320,62338120,63211032,63949971,64501557
 "53000" ,"Washington",8,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",7143852,7180400,7239504,7258208,7393164,7441980,7482340,7518840,7717740,7977784,7954932,7967628,8336356,8378212,8504784,8503256,8827492,8884308,8943400,9017308,9181632,9302944,9346848,9429676,9699836,9823384,9856244,9978588,10329608,10483784,10518028,10612300,11110148,11254172,11318072,11377136,11842908,11998264,12071808,12138712,12537292,12659688,12782588,12852716,13743572,13966340,14084664,14271956,14376764,14650932,14779524,14935104,15056628,15295008,15400648,15542384,16310064,16457120,16594096,16732692,17237700,17369172,17548976,17707588,18134064,18362208,18457792,18632480,19114564,19325928,19467644,19677348,19830368,20054720,20217652,20401964,20683588,20866512,21055972,21211064,21784948,21971844
 "53000" ,"Washington",8,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",3128848,3115600,3124204,3154792,3194116,3244500,3291064,3333796,3388684,3445060,3521524,3617544,3736320,3840408,3937684,4029140,4131884,4207000,4262576,4297348,4321608,4372792,4463204,4594756,4765288,4922956,5075904,5185512,5289184,5373596,5470320,5578992,6463584,6584492,6703544,6819676,6958568,7079528,7207540,7342492,7497128,7653452,7817684,7990388,8178364,8350288,8501884,8633408,8740548,8858512,8979856,9104124,9217300,9338380,9450424,9553952,9654704,9758264,9870644,9991544,10126120,10040912,10177136,10319444,10470476,10637300,10820540,11020268,11229312,11424800,11600296,11756172,11899348,12051744,12220188,12404308,12598380,12782116,12950072,13102264,13233333,13433859
 "53000" ,"Washington",8,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",3331688,3353448,3296272,3444480,3589752,3564752,3738792,3846652,3838500,4025140,4173820,4194052,4864424,5088936,4725376,5053256,4686248,4501060,4543344,4727216,4596496,5331800,5315604,5246676,5440188,5404872,5280684,5366536,5509080,5807672,5608508,5590968,5462040,5412812,5702292,5631544,6053304,5777536,5824788,6059832,6174108,6288460,6255436,6178660,6404504,6494540,6677316,6553580,6686272,6737876,7512428,7589508,7720936,7545144,7189736,7337084,7429452,7945024,7505716,7684448,7550960,7564376,7943236,7877040,9836956,10847784,11535068,11954116,10559872,9738836,9491724,9537872,10483956,11226584,11963984,12915644,11738280,11472692,12143348,12606868,12616833,12676044
 "53000" ,"Washington",8,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",790776,749732,861400,861352,919300,1003664,937088,926684,931084,898152,930276,991704,1055236,1238152,1481308,1713884,2062784,2555240,2553732,2370336,2323012,2329580,2196952,2100304,1546588,1192412,1065252,929136,813588,765952,784060,765264,753216,732620,687388,759616,739212,707900,737288,769808,840192,914932,1314708,1716800,2467588,3465016,4240360,4593080,4818012,4344228,3979508,3745340,3490016,3153708,2868032,2865064,2690980,2468272,2254880,2080524,1900468,1827516,1623156,1563248,1116488,1064080,1024628,1002124,978768,953668,976528,974512,987044,987672,982088,971940,996432,959228,973512,972288,1021922,979157
 "53000" ,"Washington",8,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",5172264,5249776,5312728,5405648,5514148,5585256,5669768,5747300,5806724,5936860,6074116,6268276,6486100,6652536,6169800,6672644,6649692,6561924,6517412,6546400,6775868,6867900,6902932,6870808,6916092,6946876,7020248,7209744,7538512,7705052,7984808,7858820,7936184,8006340,8127700,8368572,8778344,9090008,9286800,9511276,9542632,17446304,11891120,10809776,11635472,13510648,12936716,13068988,15075880,15130696,15299824,15369956,14848032,14710164,14667048,14541344,13646308,13652184,13703584,13752800,13852520,13865992,13875580,13809848,14113064,14489248,14596868,14386560,14770384,14914564,14957276,15019688,14928632,14975244,15028792,15021676,15162604,15157772,15215216,15318548,15292935,15440653
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
