GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "56000" ,"Wyoming",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",12315971,12585719,12812191,12911267,13222166,13353294,13551230,13892542,14187420,14374332,14517432,14977848,15043500,15296240,15359896,15581240,15570044,15656008,15714500,15957616,16220036,16441000,16826204,17188132,17313400,17660576,17921404,18332528,18877896,19300628,19686236,20433164,21610856,22478936,23045160,23164680,23406540,23921940,24087372,24658168,25885812,26631080,26623684,26194440,25301356,24424488,23918768,23742580,25140116,25687080,26337800,26703548,27820108,28082100,28595404,29207784,30283596,31006064,30493096,32027176,30624912,30733560,30924040,31365048,32241288,32908772,33348252,33581332,33626448,33595352,33720916,33115620,32761764,32387204,32254252,32335108,32871344,33083940,33233788,33696596,34116626,34496792
 "56000" ,"Wyoming",7,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",1520252,1529924,1534660,1550844,1576800,1584488,1604100,1618460,1659952,1709404,1734632,1758936,1818812,1857540,1813204,1905804,1939896,1958556,1987956,2033952,2087272,2137512,2177088,2178096,2234964,2258104,2271272,2303132,2354160,2387772,2395196,2401096,2489956,2515260,2548008,2566384,2640624,2649252,2693820,2765760,2847188,3482404,3102568,3050876,3203984,3435888,3415532,3451680,3617324,3627932,3666808,3657372,3668808,3657920,3643148,3662260,3628024,3657564,3644428,3686484,3735308,3770848,3804552,3826184,3845232,3907372,3956884,4020724,4101740,4163268,4190228,4220364,4315928,4365424,4381876,4382116,4482012,4495848,4544496,4610372,4664995,4684699
 "56000" ,"Wyoming",7,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",625076,628312,633468,634732,646560,650356,653412,656140,674584,696632,694760,696288,728848,732920,743936,743556,770432,774948,779960,786544,798124,808312,812748,820400,843048,853948,858860,870772,901312,912336,911336,910864,936788,939132,939536,943288,980148,993412,1000032,1005152,1031780,1040944,1051292,1059100,1125892,1145256,1154948,1167884,1173028,1191328,1199460,1210456,1220176,1238384,1246472,1257260,1316064,1327432,1338100,1348964,1388616,1399156,1413392,1425824,1461040,1479148,1486248,1499520,1537484,1554064,1565644,1583400,1597312,1617484,1633212,1651240,1677900,1695588,1712936,1726576,1773290,1788503
 "56000" ,"Wyoming",7,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",261472,261540,264152,269324,275680,282064,286840,289960,291760,295556,301596,309916,321280,329172,334144,336100,336432,338636,343984,352656,365216,377344,389164,400532,409424,419172,429376,436936,443608,450584,459376,470020,544652,555816,565352,573068,579492,585572,592104,599072,606404,616280,628708,643860,662724,677464,688736,696452,700092,705392,711652,718868,726624,734544,741816,748476,756168,763128,771004,779796,788956,783700,794172,805012,815840,828484,842212,857012,872364,886448,898772,909352,918676,929300,941752,956040,971776,986420,999540,1011120,1021235,1036710
 "56000" ,"Wyoming",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",198552,200736,196376,201912,204368,198752,205428,209988,209840,219976,227780,227868,233696,255456,237880,280288,279880,280076,294528,313168,315132,326716,352784,340624,374400,380180,381384,395560,398512,414148,405672,412120,406780,417776,439400,438080,457536,427536,435180,459660,480812,498304,497912,503592,520632,535308,530388,508584,510620,506084,529976,521724,539552,528036,525284,533960,524472,548012,521808,539012,536720,554000,562824,561164,517480,534628,559808,558172,559212,573104,568184,553856,555684,561404,561368,551636,599188,599936,620792,649072,625659,620076
 "56000" ,"Wyoming",7,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",26156,25988,25988,28476,31228,32276,30036,22752,25496,23180,24608,27428,28788,24504,24792,27124,35740,47988,49996,54088,57820,64460,57232,52780,46084,45316,44204,40568,37628,35348,32212,32904,29660,29484,28300,29164,32996,33068,34612,35752,38532,40544,54440,72112,114116,180636,217016,239840,241244,213988,190040,175696,162880,141952,122220,117860,113308,105072,97516,99080,97796,93256,84788,80412,61600,54792,56772,59336,68216,78652,91596,103716,120568,123528,109508,91876,78128,61076,53684,54648,51578,45800
 "56000" ,"Wyoming",7,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",408996,413348,414676,416400,418964,421040,428384,439620,458272,474060,485888,497436,506200,515488,472452,518736,517412,516908,519488,527496,550980,560680,565160,563760,562008,559488,557448,559296,573100,575356,586600,575188,572076,573052,575420,582784,590452,609664,631892,666124,689660,1286332,870216,772212,780620,897224,824444,838920,992340,1011140,1035680,1030628,1019576,1015004,1007356,1004704,918012,913920,916000,919632,923220,940736,949376,953772,989272,1010320,1011844,1046684,1064464,1071000,1066032,1070040,1123688,1133708,1136036,1131324,1155020,1152828,1157544,1168956,1193233,1193610
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
