GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "02000" ,"Alaska*",8,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",17855.2,17934.1,18062.5,18332.2,18334.9,18485.4,18533.1,19059.1,19620.9,19903.2,20199.4,20357.6,20690.4,21228.3,21257.9,21550.2,21830.5,22010.5,22267.6,22699.2,22679.3,23082.7,23365.4,23635.1,23793.8,24031.0,24389.0,24867.6,25148.8,25587.3,26122.2,26695.7,27133.5,27526.7,27640.9,28126.8,29189.6,29736.6,29823.4,30100.6,31901.7,32958.0,32841.0,33106.8,32159.1,32767.6,32854.1,33215.4,34357.4,34930.7,35485.0,35878.5,36583.3,37329.9,37908.8,38500.5,38524.3,38832.5,38723.8,39210.0,38236.7,38252.4,38674.9,38846.1,40178.9,40806.8,41164.5,41590.8,42159.6,42330.2,42335.3,42338.8,41306.7,41336.6,41418.8,41783.4,41871.0,42053.8,42472.7,42806.2,43136.9,43454.1
 "02000" ,"Alaska*",8,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",17838.5,17917.9,18046.5,18314.6,18313.6,18466.6,18515.4,19042.8,19602.3,19881.4,20179.3,20336.7,20670.9,21208.9,21238.0,21530.7,21812.6,21993.1,22247.7,22678.0,22670.0,23071.9,23353.6,23621.8,23779.3,24016.7,24375.9,24853.1,25135.4,25573.3,26108.2,26683.1,27123.6,27517.6,27631.8,28116.7,29179.9,29728.7,29815.5,30091.5,31901.2,32958.0,32842.3,33107.6,32155.2,32763.4,32850.0,33210.7,34351.9,34925.9,35480.6,35874.4,36578.3,37326.4,37905.0,38496.8,38512.9,38823.3,38715.7,39201.3,38228.3,38244.4,38668.3,38837.7,40167.8,40795.1,41155.6,41584.1,42150.2,42321.1,42325.4,42327.3,41294.7,41323.4,41405.2,41771.1,41864.1,42047.7,42467.5,42801.6,43135.7,43452.1
 "02000" ,"Alaska*",8,SQINC4,12,"..."," Farm income 2/","Millions of dollars",16.7,16.2,16.1,17.6,21.2,18.8,17.7,16.3,18.6,21.9,20.1,20.9,19.5,19.4,19.9,19.5,18.0,17.4,19.8,21.2,9.3,10.8,11.8,13.3,14.5,14.3,13.1,14.5,13.4,14.1,14.1,12.6,9.8,9.1,9.1,10.2,9.6,7.8,7.9,9.0,0.6,(L),-1.3,-0.9,4.0,4.2,4.1,4.7,5.5,4.8,4.4,4.1,5.0,3.5,3.8,3.7,11.4,9.2,8.1,8.7,8.5,8.0,6.6,8.3,11.0,11.7,8.8,6.7,9.4,9.1,9.9,11.5,12.0,13.2,13.6,12.3,6.8,6.1,5.1,4.6,1.2,2.0
 "02000" ,"Alaska*",8,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),708451,712138,715138,717270,719235,721207,723403,725607,727693,729748,731690,733305,734656,736000,736802,736924,736847,736755,737020,737470,737638,737825,738500,739458,740215,741041,741367,741027,740491,739976,739686,739393,738852,738333
 "02000" ,"Alaska*",8,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48496,49050,49620,50021,50864,51760,52403,53060,52940,53214,52924,53470,52047,51973,52490,52714,54528,55387,55853,56397,57155,57372,57326,57257,55804,55782,55868,56386,56545,56831,57420,57894,58384,58854
 "02000" ,"Alaska*",8,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",14461.3,14384.9,14482.1,14781.1,14729.2,14802.6,14764.3,15232.3,15615.1,15754.7,16000.9,16097.8,16525.0,17045.3,17202.9,17345.1,17664.3,17836.8,18101.3,18489.4,18453.6,18925.0,19088.9,19341.1,19499.8,19694.2,20147.7,20379.8,20565.6,20835.2,21424.1,21819.0,21894.6,22242.7,22335.0,22846.8,23103.7,23439.9,23419.7,23609.9,23958.5,24200.3,24557.2,25005.5,24923.1,25394.2,25557.1,26008.5,26374.2,26857.1,27239.2,27450.0,27673.7,28275.1,28811.3,29139.9,29364.0,29620.0,29777.3,29861.5,29667.7,29634.5,30109.7,30079.0,30471.0,30679.6,30752.1,31009.2,31498.1,31605.4,31602.5,31593.0,30789.1,30541.3,30300.2,30432.3,30615.0,30622.2,30931.1,30954.2,31205.5,31522.8
 "02000" ,"Alaska*",8,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",1549.5,1533.2,1541.9,1569.2,1563.2,1564.1,1555.1,1597.4,1630.9,1635.1,1656.1,1654.7,1699.0,1742.7,1746.2,1763.6,1799.7,1813.8,1833.3,1863.4,1849.7,1890.3,1900.1,1925.5,1972.2,1990.8,2040.6,2057.2,2096.6,2121.3,2187.7,2219.3,2291.4,2357.5,2374.4,2427.3,2448.2,2466.4,2455.0,2477.6,2502.7,2526.5,2554.5,2589.3,2559.4,2595.4,2585.1,2608.3,2637.7,2673.6,2696.6,2699.4,2493.3,2530.2,2569.1,2589.5,2649.6,2685.3,2712.3,2743.6,3102.1,3108.6,3150.2,3118.3,3148.2,3124.4,3099.9,3120.0,3150.6,3174.7,3165.0,3156.3,3098.6,3065.5,3039.4,3047.2,3077.9,3075.3,3110.4,3104.9,3149.0,3182.8
 "02000" ,"Alaska*",8,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",733.1,725.8,728.3,741.1,741.8,743.1,737.7,759.4,774.1,778.0,790.1,792.9,818.1,842.5,846.7,854.0,871.6,877.5,887.9,904.3,898.2,918.5,924.3,936.5,957.8,966.0,987.6,993.8,1014.7,1023.6,1051.0,1067.3,1107.8,1142.8,1154.0,1181.1,1200.8,1216.6,1214.1,1225.4,1243.6,1256.0,1270.2,1283.8,1272.8,1285.6,1282.5,1298.7,1316.1,1338.2,1351.3,1348.6,1084.1,1096.0,1107.3,1116.9,1129.4,1143.1,1154.1,1159.1,1503.7,1505.6,1530.7,1519.6,1552.0,1550.6,1544.9,1557.7,1581.4,1593.9,1588.2,1583.1,1567.3,1551.6,1537.7,1544.6,1572.3,1573.0,1591.2,1589.7,1620.1,1637.3
 "02000" ,"Alaska*",8,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",816.4,807.4,813.6,828.1,821.4,821.0,817.3,837.9,856.8,857.1,866.0,861.9,880.9,900.2,899.5,909.6,928.1,936.3,945.4,959.2,951.5,971.8,975.8,988.9,1014.4,1024.8,1053.0,1063.4,1081.9,1097.6,1136.7,1151.9,1183.6,1214.7,1220.5,1246.2,1247.4,1249.8,1240.9,1252.2,1259.1,1270.5,1284.3,1305.5,1286.5,1309.8,1302.7,1309.6,1321.6,1335.4,1345.3,1350.7,1409.2,1434.3,1461.7,1472.6,1520.2,1542.2,1558.2,1584.5,1598.4,1603.0,1619.5,1598.7,1596.2,1573.8,1554.9,1562.3,1569.3,1580.9,1576.8,1573.2,1531.3,1513.9,1501.7,1502.6,1505.6,1502.3,1519.1,1515.3,1528.9,1545.4
 "02000" ,"Alaska*",8,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-821.2,-814.9,-818.2,-834.0,-820.8,-823.4,-818.2,-844.9,-865.3,-871.0,-886.0,-888.5,-838.5,-863.8,-870.2,-879.3,-773.7,-782.2,-795.6,-814.9,-681.6,-699.5,-705.0,-713.9,-594.1,-599.8,-614.9,-622.1,-502.6,-507.8,-518.4,-521.7,-410.2,-417.9,-420.4,-430.8,-302.1,-308.1,-308.8,-312.6,-169.3,-171.7,-174.5,-177.8,-176.2,-179.0,-179.0,-180.7,-175.8,-179.0,-181.7,-182.8,-189.2,-193.3,-196.3,-198.6,-203.3,-205.0,-206.7,-206.6,-205.2,-204.2,-208.4,-207.3,-218.6,-220.2,-219.9,-222.1,-223.1,-224.8,-223.8,-222.7,-200.8,-198.1,-194.8,-194.5,-185.3,-184.0,-185.4,-184.6,-186.0,-188.1
