GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "05000" ,"Arkansas",5,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",55017.2,55605.7,56191.2,56854.4,57434.7,57639.6,58307.0,59136.8,59975.0,60733.5,61678.3,62159.7,63889.5,64481.8,64314.7,64813.7,65021.2,65640.1,65999.2,66852.1,68441.5,69107.8,70105.7,71232.9,72314.6,73480.9,74515.6,76324.4,76363.0,77605.7,78265.8,80319.6,81602.0,82767.4,83372.0,84341.9,86123.7,87825.0,88493.5,91497.2,90187.7,94238.9,91729.2,91036.9,90546.6,90343.5,89827.9,90251.8,90591.3,92727.3,94388.8,94705.3,97964.1,98250.6,99840.6,101259.4,104712.2,106388.1,105573.9,109473.6,105973.2,106324.5,106814.5,106606.3,109811.9,112093.1,113299.9,115271.7,114502.5,115830.1,117273.4,117388.4,117401.1,118338.1,118841.7,120497.7,122374.4,122928.1,123292.0,124659.1,126663.2,128244.0
 "05000" ,"Arkansas",5,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",53396.1,54085.1,54735.6,55124.1,55479.0,55849.7,56529.9,57501.3,58415.7,59008.7,59976.9,60393.8,61796.8,62429.3,62376.2,62923.9,63752.2,64546.1,64774.7,65407.3,66158.6,66646.8,67646.1,68851.3,69367.8,70731.8,71959.9,73540.8,74461.9,75640.8,76392.3,78609.9,80184.4,81261.3,81855.4,82783.4,84271.5,85987.8,86648.8,89492.9,88321.6,92503.7,90326.8,89727.0,89765.3,89543.7,88900.4,89108.0,90136.4,92131.5,93657.4,93928.1,97082.5,97601.4,99165.5,100731.1,103452.8,105284.8,104554.2,108490.9,103431.9,103634.3,104147.6,104604.4,107859.3,109858.6,111439.9,113364.2,113424.6,114716.4,116012.1,116347.5,116484.5,117363.8,118038.1,119881.2,121011.2,121625.1,122127.7,123453.2,124774.4,126023.7
 "05000" ,"Arkansas",5,SQINC4,12,"..."," Farm income 2/","Millions of dollars",1621.1,1520.6,1455.6,1730.2,1955.7,1790.0,1777.2,1635.5,1559.3,1724.8,1701.5,1765.9,2092.7,2052.4,1938.6,1889.8,1269.0,1094.1,1224.5,1444.9,2282.9,2461.0,2459.6,2381.6,2946.8,2749.1,2555.7,2783.6,1901.1,1964.8,1873.6,1709.7,1417.6,1506.1,1516.6,1558.5,1852.2,1837.1,1844.7,2004.3,1866.1,1735.2,1402.4,1309.9,781.3,799.8,927.5,1143.8,454.9,595.8,731.4,777.2,881.6,649.2,675.2,528.3,1259.4,1103.3,1019.7,982.7,2541.4,2690.2,2666.9,2001.9,1952.6,2234.5,1860.0,1907.6,1077.9,1113.8,1261.3,1040.9,916.6,974.3,803.6,616.5,1363.2,1303.0,1164.3,1206.0,1888.8,2220.3
 "05000" ,"Arkansas",5,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2913215,2918848,2924320,2929025,2932705,2936464,2940330,2943365,2945674,2947879,2950746,2953306,2954387,2955714,2958137,2960734,2962232,2963789,2966723,2970129,2972067,2974233,2977650,2981367,2983800,2986550,2990600,2995129,2998579,3002137,3006748,3011302,3014688,3018245
 "05000" ,"Arkansas",5,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31097,31768,32277,32333,33404,33459,33956,34403,35548,36090,35779,37068,35870,35973,36109,36007,37071,37821,38190,38810,38526,38945,39385,39374,39346,39624,39738,40231,40811,40947,41005,41397,42015,42490
 "05000" ,"Arkansas",5,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",39675.6,40026.0,40575.5,41363.0,42092.9,42293.4,42864.5,43370.5,44211.9,44407.3,44992.2,45224.4,46533.9,46813.3,46908.0,46857.7,47135.0,47601.0,48007.7,48575.6,49836.0,50497.9,51328.9,52414.3,53095.8,53872.2,54837.9,55333.4,55159.9,55718.8,56186.2,57479.9,57755.3,58269.4,58371.1,58946.6,59333.8,59987.2,60088.7,63042.8,60526.5,60949.7,60813.2,60856.6,59860.6,58657.0,59139.5,59845.0,59391.0,61254.2,62244.9,61811.3,63143.1,62929.1,63994.2,64136.2,66303.3,67003.4,66764.5,67779.1,69518.5,69884.4,69862.3,69205.1,70533.6,71137.7,71237.8,72612.8,70939.0,71606.8,72799.5,73067.2,72499.8,72889.8,72891.9,74233.4,75471.2,75771.9,75907.9,76620.5,78277.2,79406.2
 "05000" ,"Arkansas",5,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",4653.5,4700.4,4768.2,4814.0,4891.4,4925.0,4984.3,5047.6,5183.1,5158.0,5224.5,5218.5,5346.4,5353.6,5351.6,5347.5,5446.6,5518.6,5539.7,5561.9,5627.1,5667.3,5738.9,5843.7,5879.8,5958.0,6081.1,6102.0,6228.2,6293.8,6361.3,6542.9,6733.5,6813.2,6831.6,6889.2,6953.8,7019.3,7039.5,7393.4,7271.2,7383.4,7441.6,7476.4,7486.4,7346.4,7360.0,7377.8,7458.1,7624.5,7701.9,7627.5,7082.9,7066.8,7163.1,7151.6,7240.4,7283.9,7218.4,7290.8,8247.9,8265.6,8267.3,8272.2,8484.8,8525.9,8593.8,8799.7,8739.6,8843.4,8942.9,8963.2,8922.1,8930.1,8899.3,9056.3,9196.0,9212.6,9224.3,9297.4,9477.1,9571.7
 "05000" ,"Arkansas",5,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",2370.6,2395.1,2431.8,2459.9,2508.6,2528.4,2559.5,2591.5,2653.7,2640.8,2674.7,2677.4,2753.0,2765.7,2773.4,2774.7,2838.5,2876.6,2889.8,2903.0,2926.4,2943.4,2981.7,3037.6,3054.9,3101.1,3170.4,3189.6,3272.1,3314.6,3353.7,3453.1,3578.5,3624.7,3633.8,3659.5,3705.4,3745.2,3758.5,3982.4,3893.9,3958.7,3987.6,4004.8,4031.4,3933.7,3934.8,3936.9,3956.3,4038.6,4086.4,4058.6,3346.1,3355.4,3412.3,3421.3,3432.5,3451.3,3415.3,3431.1,4398.3,4402.9,4405.5,4399.6,4536.0,4558.4,4594.3,4699.5,4688.3,4744.8,4803.0,4821.8,4842.4,4856.5,4843.4,4932.6,5039.1,5047.6,5049.8,5092.0,5215.6,5268.2
 "05000" ,"Arkansas",5,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",2282.8,2305.2,2336.5,2354.0,2382.8,2396.6,2424.8,2456.0,2529.4,2517.2,2549.8,2541.1,2593.4,2587.9,2578.3,2572.9,2608.2,2642.0,2649.9,2658.9,2700.6,2723.9,2757.2,2806.1,2825.0,2856.9,2910.7,2912.3,2956.1,2979.2,3007.6,3089.8,3155.0,3188.5,3197.7,3229.6,3248.4,3274.2,3281.0,3411.0,3377.3,3424.7,3454.0,3471.7,3455.0,3412.7,3425.2,3441.0,3501.8,3585.9,3615.5,3568.9,3736.9,3711.4,3750.8,3730.3,3807.9,3832.5,3803.1,3859.7,3849.7,3862.8,3861.9,3872.7,3948.8,3967.4,3999.5,4100.2,4051.3,4098.5,4139.9,4141.4,4079.7,4073.7,4055.9,4123.7,4156.9,4165.0,4174.5,4205.5,4261.5,4303.4
 "05000" ,"Arkansas",5,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-306.0,-300.4,-309.2,-310.0,-321.1,-319.0,-327.5,-319.3,-365.3,-355.8,-355.2,-361.7,-369.0,-375.0,-378.9,-374.3,-363.6,-371.7,-375.2,-380.7,-339.8,-340.2,-352.9,-372.3,-305.2,-315.1,-325.9,-330.1,-286.2,-289.0,-280.9,-296.3,-258.8,-252.6,-245.6,-236.9,-167.1,-169.0,-163.0,-226.9,-134.8,-142.9,-144.1,-134.5,-142.5,-108.6,-114.5,-114.7,-116.7,-136.4,-143.5,-120.5,-126.8,-105.5,-105.8,-111.0,-156.9,-164.8,-156.7,-144.7,-224.3,-218.6,-216.5,-201.5,-227.8,-222.5,-217.3,-233.5,-216.4,-227.3,-240.4,-251.2,-193.6,-207.8,-199.3,-222.2,-258.1,-247.1,-235.1,-245.2,-244.8,-245.4
