GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "06000" ,"California",8,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",941083.9,952752.9,970168.6,986979.2,1003036.2,1015973.6,1031731.7,1062791.7,1102918.4,1122060.5,1157541.3,1158737.9,1181035.2,1177618.8,1171432.7,1170624.2,1180312.4,1189843.9,1195759.7,1209201.8,1223233.8,1239916.7,1260304.1,1275746.6,1296745.8,1320620.3,1335534.2,1364000.0,1371047.5,1395125.2,1418876.8,1450811.5,1499149.4,1505884.5,1524030.4,1542528.7,1567229.4,1582044.7,1583844.6,1599000.4,1603373.3,1623055.5,1614570.8,1586058.5,1548792.3,1556491.3,1550173.4,1561461.7,1593280.3,1619626.2,1627625.6,1670823.9,1722082.1,1729272.7,1748634.4,1753663.2,1812977.6,1835723.5,1834035.2,1931132.7,1843015.8,1874268.4,1896402.3,1929003.3,1962958.3,2001029.5,2045174.3,2077398.1,2118281.9,2169680.2,2196690.6,2208546.0,2229776.9,2245406.5,2266382.4,2296089.7,2329510.7,2348587.7,2368882.4,2409536.8,2431378.9,2458295.4
 "06000" ,"California",8,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",933223.0,945108.8,962507.2,978656.5,993807.2,1007440.6,1023361.7,1054866.2,1094987.9,1113246.7,1148975.1,1150368.2,1173114.0,1169825.2,1162846.6,1162996.2,1172338.9,1182726.9,1186687.1,1199271.9,1215417.8,1230669.5,1250298.9,1264344.9,1284872.7,1307906.4,1324301.7,1352614.7,1359157.7,1382967.0,1406832.4,1439461.5,1489430.6,1496729.0,1514368.7,1531806.2,1554762.3,1570261.0,1572052.3,1585647.1,1592146.7,1611740.2,1604570.0,1576604.6,1537648.5,1545561.5,1538528.6,1548555.3,1580863.9,1607212.5,1615039.2,1657664.8,1707269.9,1714974.7,1733912.7,1738660.9,1797095.7,1819508.7,1816675.5,1913554.5,1823668.3,1853846.0,1875978.6,1911782.3,1941874.3,1977516.6,2024326.5,2056944.1,2098653.5,2149670.8,2175386.2,2186222.7,2212089.4,2227207.8,2248383.0,2278802.0,2306993.2,2326680.1,2347643.5,2388555.1,2412847.0,2438800.8
 "06000" ,"California",8,SQINC4,12,"..."," Farm income 2/","Millions of dollars",7860.9,7644.0,7661.4,8322.6,9229.0,8533.0,8370.0,7925.5,7930.5,8813.7,8566.3,8369.6,7921.1,7793.6,8586.1,7627.9,7973.5,7116.9,9072.7,9929.9,7816.0,9247.1,10005.1,11401.7,11873.1,12713.9,11232.5,11385.3,11889.8,12158.2,12044.4,11350.0,9718.8,9155.5,9661.7,10722.5,12467.1,11783.6,11792.3,13353.4,11226.5,11315.3,10000.8,9453.9,11143.8,10929.8,11644.8,12906.4,12416.5,12413.7,12586.5,13159.1,14812.3,14298.0,14721.7,15002.3,15881.8,16214.8,17359.6,17578.2,19347.5,20422.4,20423.7,17221.0,21083.9,23512.9,20847.9,20453.9,19628.3,20009.4,21304.4,22323.3,17687.6,18198.7,17999.4,17287.6,22517.5,21907.6,21238.9,20981.6,18531.8,19494.6
 "06000" ,"California",8,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37210670,37290427,37377032,37470491,37551300,37629992,37721349,37814232,37896779,37976348,38068249,38160178,38234228,38306959,38396332,38492911,38576125,38657614,38750307,38842136,38917134,38991865,39071590,39145093,39203514,39263415,39331664,39397947,39451918,39505702,39571374,39635631,39688165,39741997
 "06000" ,"California",8,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42818,43433,43546,44590,45859,45955,46357,46376,47840,48339,48178,50606,48203,48928,49390,50113,50885,51763,52778,53483,54431,55644,56222,56419,56877,57188,57622,58279,59047,59449,59864,60792,61262,61856
 "06000" ,"California",8,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",712119.5,718724.1,735357.1,754058.8,769896.3,782942.1,797563.4,827374.8,860689.4,873897.2,909194.4,906416.0,922015.1,915236.9,911717.0,910089.0,920664.6,929095.3,934973.3,943871.9,948191.8,966064.7,983269.4,996497.1,1015018.2,1036105.3,1052026.6,1062666.1,1067105.0,1079150.0,1102511.3,1116402.1,1149812.7,1142923.0,1154088.3,1171716.8,1186002.7,1188544.0,1186341.5,1197556.5,1184233.3,1188303.8,1184826.6,1162047.5,1134092.6,1133132.6,1132945.8,1146163.1,1161070.1,1180652.9,1187471.9,1215228.0,1240580.0,1242608.9,1259456.3,1252674.7,1299001.5,1309066.0,1317081.3,1377702.1,1342182.2,1368745.3,1378646.4,1406966.5,1423976.7,1434145.2,1460493.7,1479553.8,1514357.8,1538975.7,1552814.8,1562722.2,1579737.9,1591712.1,1609924.6,1633543.2,1660572.2,1685476.2,1706456.6,1736780.7,1750535.7,1768988.4
 "06000" ,"California",8,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",73547.1,73942.2,75533.5,77315.5,79153.1,80385.0,81579.3,84307.8,87578.7,88133.2,92278.5,92288.0,95000.7,94785.0,94686.5,95187.7,96545.9,97710.5,98212.8,98891.8,99909.1,101929.3,103979.4,105754.6,109328.4,111797.8,113931.2,114821.5,116056.8,116785.7,118404.7,118940.4,121967.3,120140.9,120293.6,121076.6,122518.4,122271.1,122174.0,123840.4,124163.7,125322.8,126061.2,124451.3,121818.8,121830.3,120587.5,120016.4,121068.9,121414.6,121104.1,123706.7,114319.3,114434.9,115533.6,114133.2,117813.8,117795.6,118002.8,123481.9,136300.2,138971.5,139831.4,143409.0,145795.9,145989.3,148422.6,150196.4,153996.4,156326.3,157033.6,158332.1,160701.2,162196.5,163602.4,165375.0,168051.5,170009.8,171944.9,174647.4,177381.6,179192.4
 "06000" ,"California",8,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",38302.5,38526.8,39338.1,40242.9,41281.4,41936.7,42590.1,44085.2,45857.8,46208.3,48337.5,48209.9,49585.3,49326.4,49155.0,49276.2,49991.0,50392.2,50505.9,50691.8,50823.2,51633.1,52461.1,53129.3,54645.8,55745.9,56778.3,57329.2,58274.4,58764.9,59744.7,60167.4,62364.4,61670.0,61915.7,62421.5,63600.5,63734.3,63880.5,65008.7,65682.4,66637.0,67301.6,66681.6,65679.7,65800.7,65325.1,65183.1,65672.0,65952.0,65938.7,67605.2,55659.0,55959.5,56609.5,56038.8,57292.6,57137.0,57078.8,59489.2,74148.7,75538.8,76060.3,78020.2,79563.8,79624.1,80852.4,81657.0,83878.5,85060.7,85395.2,86000.6,87921.9,88690.0,89395.8,90278.9,92133.1,93183.2,94106.6,95672.8,97537.8,98523.5
 "06000" ,"California",8,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",35244.6,35415.4,36195.3,37072.6,37871.7,38448.4,38989.2,40222.6,41720.9,41924.8,43941.0,44078.1,45415.4,45458.6,45531.5,45911.4,46554.9,47318.3,47706.9,48200.0,49086.0,50296.2,51518.4,52625.3,54682.7,56051.9,57152.9,57492.3,57782.4,58020.8,58660.0,58773.0,59602.9,58470.9,58377.9,58655.1,58917.9,58536.7,58293.5,58831.8,58481.3,58685.9,58759.6,57769.8,56139.1,56029.6,55262.4,54833.3,55396.9,55462.6,55165.3,56101.4,58660.3,58475.4,58924.0,58094.4,60521.2,60658.6,60924.0,63992.7,62151.5,63432.7,63771.1,65388.9,66232.2,66365.2,67570.2,68539.4,70117.9,71265.6,71638.4,72331.5,72779.3,73506.5,74206.6,75096.0,75918.4,76826.6,77838.3,78974.5,79843.8,80668.9
 "06000" ,"California",8,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-77.0,-59.4,-71.3,-88.1,-36.2,-61.6,-87.4,-132.1,-210.5,-219.8,-319.0,-267.0,-376.8,-310.8,-282.5,-286.1,-431.6,-432.7,-427.7,-421.6,-581.1,-594.7,-606.0,-592.4,-782.9,-789.3,-790.8,-787.9,-965.0,-948.0,-993.7,-1001.4,-1259.5,-1198.5,-1228.7,-1240.5,-1488.3,-1510.6,-1498.6,-1517.8,-1739.3,-1785.7,-1781.2,-1709.2,-1545.5,-1520.7,-1499.5,-1491.7,-1414.7,-1428.0,-1426.0,-1541.5,-1409.6,-1395.2,-1415.4,-1378.0,-1258.1,-1253.5,-1269.0,-1445.0,-1081.8,-1134.2,-1161.6,-1253.4,-1205.2,-1213.3,-1277.9,-1294.0,-1407.5,-1468.8,-1475.6,-1488.9,-1581.6,-1612.2,-1622.4,-1688.9,-1773.7,-1841.3,-1856.4,-1941.7,-1910.8,-1934.9
