GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "08000" ,"Colorado",7,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",118231.9,120721.4,124897.6,125408.0,128374.6,130865.4,132078.4,137501.5,141336.7,145943.2,150062.0,151595.2,154961.9,155089.3,153822.7,153765.4,153537.8,154690.6,154658.4,156175.2,155177.3,156500.3,159641.9,158853.2,159541.1,162475.1,163629.6,168062.2,170144.2,173320.6,176416.1,179205.7,185983.0,187168.7,190290.5,191770.9,196360.1,200582.5,202139.5,205827.1,204016.7,210417.6,209656.8,206999.9,201132.4,197977.7,196459.6,197019.0,199254.7,202191.3,206103.8,211217.8,218837.8,221337.2,224525.8,225587.1,231995.4,235091.2,234166.3,245496.7,243142.8,247206.8,250749.1,254737.2,264332.4,269354.9,273280.3,277436.5,280673.4,283857.1,285684.7,286356.4,285354.1,287389.7,290867.3,294872.4,301188.6,303726.3,308015.6,312714.1,316875.6,320966.1
 "08000" ,"Colorado",7,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",117460.4,119957.6,124123.5,124572.9,127428.3,129956.2,131183.7,136620.8,140618.9,145193.5,149294.9,150811.4,153903.4,154062.6,152807.6,152673.5,152948.9,154110.6,153924.6,155320.0,154495.6,155719.3,158862.2,158204.9,158546.7,161563.4,162786.4,167118.2,169013.8,172139.1,175312.9,178281.1,185159.7,186318.1,189501.5,191114.4,195175.7,199557.3,201104.1,204829.4,202936.3,209472.8,208936.1,206343.8,200511.4,197339.5,195742.7,196126.0,198489.4,201283.7,205051.3,210064.4,217399.5,220097.8,223268.3,224396.6,230536.5,233994.9,233082.5,244317.3,241944.5,245815.5,249410.3,253552.0,263132.7,267993.7,271940.9,275956.4,279140.3,282270.8,283980.3,285001.4,284030.8,286058.1,289683.8,293856.0,299802.9,302291.7,306705.2,311396.0,315725.8,319680.6
 "08000" ,"Colorado",7,SQINC4,12,"..."," Farm income 2/","Millions of dollars",771.5,763.9,774.1,835.0,946.2,909.2,894.7,880.7,717.8,749.6,767.2,783.8,1058.6,1026.7,1015.0,1091.8,588.9,580.0,733.8,855.3,681.7,781.1,779.8,648.3,994.5,911.7,843.1,944.0,1130.4,1181.5,1103.2,924.5,823.4,850.6,789.0,656.5,1184.4,1025.2,1035.4,997.7,1080.3,944.8,720.7,656.1,621.1,638.2,716.9,893.0,765.3,907.7,1052.4,1153.3,1438.3,1239.4,1257.5,1190.5,1458.9,1096.3,1083.8,1179.4,1198.3,1391.3,1338.8,1185.2,1199.8,1361.2,1339.5,1480.1,1533.1,1586.4,1704.4,1355.0,1323.3,1331.6,1183.5,1016.4,1385.8,1434.5,1310.4,1318.0,1149.9,1285.5
 "08000" ,"Colorado",7,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5020517,5038584,5057372,5075196,5091321,5107687,5125763,5143876,5160682,5177480,5196853,5216979,5234642,5252812,5273098,5293984,5313009,5332238,5355572,5381185,5404375,5428048,5452426,5475709,5496869,5518662,5540337,5560359,5578671,5597222,5617451,5637379,5655679,5674446
 "08000" ,"Colorado",7,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39688,40129,40753,41618,42983,43334,43803,43855,44954,45406,45059,47057,46449,47062,47553,48118,49752,50514,51027,51557,51934,52295,52396,52296,51912,52076,52500,53031,53989,54264,54832,55472,56028,56563
 "08000" ,"Colorado",7,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",91593.4,93441.8,97671.1,98180.7,101262.2,103690.0,104443.8,109604.4,112245.1,116168.9,119881.6,120705.9,123757.5,123368.5,122489.9,122042.6,121843.0,122969.2,123336.2,124499.1,122288.0,123805.0,126975.8,125912.0,126608.7,129275.5,130352.4,132787.7,134551.0,136231.9,139229.2,139787.0,145296.8,144875.8,147391.0,148153.6,150831.8,152742.2,153513.0,157200.2,154214.3,155976.0,157920.8,156462.7,150408.7,146248.4,146003.0,147332.2,147485.2,149536.4,152231.8,155763.7,158218.4,159652.1,162412.2,161464.4,166495.1,168205.6,169122.7,175188.4,179338.6,182749.1,184685.8,187964.8,195020.1,197497.5,199601.5,203188.3,204859.0,204823.8,205081.9,205715.0,203992.9,204980.4,208266.6,211598.1,216465.3,219286.2,223306.8,225591.4,229008.0,232244.8
 "08000" ,"Colorado",7,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",9363.5,9532.5,9978.7,9965.1,10242.9,10472.7,10484.7,10996.2,11220.8,11574.6,11981.9,12036.7,12330.9,12314.1,12263.6,12346.6,12528.0,12730.7,12789.7,12851.7,12718.7,12835.3,13171.4,13093.3,13443.2,13765.2,13918.9,14178.9,14412.2,14561.8,14867.2,14894.7,15472.9,15409.6,15680.3,15786.7,16078.1,16309.2,16397.2,16896.6,17027.0,17150.3,17252.5,17022.0,16659.9,16452.8,16435.3,16413.0,16528.2,16535.4,16663.5,16943.0,15585.6,15716.4,15981.3,15902.2,16286.8,16466.0,16516.1,17019.8,18880.9,19129.4,19285.6,19595.7,20243.6,20457.4,20726.1,21300.0,21539.2,21789.7,21897.9,22089.5,22145.2,22278.5,22598.7,22869.5,23387.5,23589.8,23978.2,24164.7,24643.7,24954.0
 "08000" ,"Colorado",7,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",4909.2,4997.3,5227.6,5222.7,5380.0,5502.4,5508.3,5774.5,5873.0,6067.6,6282.6,6324.4,6501.6,6490.4,6428.9,6397.3,6412.4,6441.2,6438.8,6472.6,6410.6,6477.9,6646.7,6582.6,6712.3,6847.7,6900.9,7016.7,7149.6,7224.1,7364.2,7379.7,7737.2,7728.9,7900.6,7966.7,8171.3,8311.9,8362.4,8613.2,8694.7,8761.3,8820.2,8716.5,8592.3,8496.2,8510.1,8514.4,8547.1,8533.6,8586.5,8707.2,7007.4,7046.2,7145.6,7130.6,7257.1,7359.0,7416.1,7667.2,9734.2,9893.1,9989.9,10121.5,10457.9,10537.0,10647.1,10929.4,11116.5,11238.8,11274.8,11342.5,11420.9,11454.8,11601.1,11735.2,12077.3,12205.2,12398.3,12501.2,12801.0,12966.4
 "08000" ,"Colorado",7,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",4454.3,4535.2,4751.1,4742.4,4862.9,4970.4,4976.4,5221.7,5347.8,5507.0,5699.4,5712.4,5829.3,5823.8,5834.7,5949.4,6115.5,6289.5,6350.9,6379.1,6308.1,6357.4,6524.6,6510.8,6730.9,6917.5,7018.0,7162.2,7262.7,7337.7,7503.0,7515.0,7735.7,7680.7,7779.7,7819.9,7906.7,7997.4,8034.8,8283.4,8332.2,8389.0,8432.2,8305.5,8067.6,7956.6,7925.2,7898.6,7981.2,8001.7,8077.0,8235.9,8578.1,8670.2,8835.6,8771.6,9029.7,9107.0,9100.1,9352.6,9146.7,9236.3,9295.7,9474.3,9785.7,9920.4,10079.0,10370.6,10422.7,10550.9,10623.1,10746.9,10724.2,10823.7,10997.5,11134.3,11310.2,11384.6,11580.0,11663.5,11842.7,11987.7
 "08000" ,"Colorado",7,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",230.4,231.6,226.0,236.0,258.1,257.8,264.2,262.6,293.7,285.0,284.9,289.0,301.0,304.7,312.3,317.1,332.5,338.2,341.9,344.3,353.5,360.9,361.2,378.2,387.9,393.9,405.5,405.8,417.2,423.4,432.0,444.3,460.7,472.9,477.2,492.6,498.2,503.1,507.7,511.1,522.4,522.4,523.4,523.6,568.1,565.9,559.4,559.4,648.2,662.2,669.2,672.9,818.5,823.0,832.5,833.7,1013.4,1024.2,1023.3,1047.5,1168.2,1179.7,1184.5,1199.7,1213.2,1221.5,1238.5,1254.2,1227.2,1228.4,1233.7,1229.9,1201.4,1199.5,1201.3,1211.5,1289.4,1304.1,1315.6,1327.4,1347.4,1361.0
