GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "09000" ,"Connecticut",1,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",124158.3,125753.3,127839.8,129715.6,130913.3,132841.3,135391.2,137559.4,143793.0,145797.0,148505.4,149965.3,154730.4,156182.7,154804.5,155588.5,154235.0,155755.5,155270.8,155702.3,154121.5,156338.3,158565.8,160926.3,161118.7,164827.2,168488.1,171259.8,171715.0,174321.6,175790.8,181104.7,187756.4,189569.2,190811.0,194206.5,203004.4,204672.1,205729.6,206643.7,217379.3,219846.6,216921.2,213943.3,211334.0,213821.5,213741.1,215850.6,218218.4,223004.7,224708.9,224594.8,226160.5,229984.3,230831.4,229244.3,231088.8,233727.1,231039.6,238941.4,227680.5,228685.3,229668.7,230972.6,235872.7,238287.7,241359.7,243908.5,243092.9,245623.1,247343.6,247989.2,248983.2,249102.9,249383.6,250583.1,254811.4,256681.6,258803.1,260558.1,262890.5,265636.7
 "09000" ,"Connecticut",1,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",123983.1,125586.5,127673.7,129542.3,130698.2,132657.6,135215.0,137393.0,143599.3,145579.9,148272.7,149740.6,154541.0,155997.2,154605.1,155401.9,154063.5,155597.9,155083.4,155504.5,153966.0,156164.8,158380.5,160723.6,160925.4,164626.1,168308.1,171078.7,171528.9,174135.9,175607.7,180936.0,187596.1,189415.5,190650.1,194026.4,202813.2,204493.6,205552.2,206446.4,217174.4,219641.3,216734.2,213766.6,211151.9,213641.9,213552.0,215643.2,218029.8,222817.0,224514.5,224393.7,225980.6,229811.9,230650.3,229061.0,230841.6,233486.8,230806.3,238714.4,227436.9,228428.2,229413.6,230747.9,235692.5,238092.6,241197.9,243750.1,242917.0,245441.9,247150.0,247790.6,248828.8,248941.1,249223.3,250433.5,254658.9,256530.3,258659.9,260417.9,262768.1,265506.0
 "09000" ,"Connecticut",1,SQINC4,12,"..."," Farm income 2/","Millions of dollars",175.1,166.8,166.1,173.3,215.1,183.8,176.1,166.4,193.7,217.1,232.8,224.7,189.5,185.5,199.4,186.6,171.5,157.6,187.4,197.8,155.5,173.5,185.3,202.7,193.2,201.2,180.0,181.1,186.1,185.7,183.1,168.6,160.3,153.8,160.8,180.1,191.2,178.6,177.4,197.3,204.9,205.3,187.0,176.7,182.1,179.6,189.1,207.4,188.6,187.8,194.4,201.1,179.9,172.4,181.1,183.3,247.2,240.3,233.2,227.0,243.6,257.1,255.1,224.7,180.2,195.0,161.8,158.4,175.9,181.2,193.5,198.6,154.4,161.8,160.2,149.5,152.5,151.3,143.3,140.3,122.4,130.7
 "09000" ,"Connecticut",1,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3572520,3577092,3582271,3585817,3588076,3590400,3593126,3595081,3596066,3596965,3599044,3601046,3601237,3601736,3602634,3602793,3601609,3600465,3600124,3599349,3596855,3594605,3593668,3592811,3590440,3588345,3588225,3588947,3588430,3587975,3588745,3589372,3588716,3588236
 "09000" ,"Connecticut",1,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61082,62342,62728,62634,63031,64055,64243,63766,64262,64979,64195,66353,63223,63493,63750,64109,65491,66182,67042,67765,67585,68331,68828,69024,69346,69420,69501,69821,71009,71539,72115,72592,73255,74030
 "09000" ,"Connecticut",1,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",90712.4,91534.0,93591.9,95732.4,97131.5,99118.9,101193.2,102688.3,108228.7,108894.2,110934.7,111467.9,115887.6,117616.9,116574.9,117755.3,116500.2,117958.4,118208.8,118284.8,115833.7,118351.8,120045.1,121822.0,120166.7,122916.6,126333.0,126531.1,127044.4,128375.0,129500.3,131924.0,135762.4,134960.8,134962.1,137519.7,143501.4,143046.9,143223.1,143391.0,152215.5,151706.1,150409.3,149284.7,151003.3,152391.1,153085.8,155423.1,154012.7,158314.6,159418.4,157745.8,156770.4,160280.9,160946.4,157281.8,156445.8,157245.7,155671.1,159508.0,155317.6,156033.4,156203.4,156249.6,159342.9,159498.9,160805.2,162919.7,162597.0,163145.8,163970.1,165507.4,166667.9,166247.5,165863.0,166259.3,166257.5,168146.7,169706.4,169124.9,170595.7,172127.4
 "09000" ,"Connecticut",1,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",9421.4,9467.9,9643.4,9836.1,9823.7,9996.4,10158.2,10235.8,10635.0,10574.3,10763.0,10747.2,10924.5,11074.4,10968.1,11222.8,11258.9,11533.2,11625.5,11604.8,11523.6,11709.8,11817.2,11958.8,12046.0,12259.9,12574.4,12498.9,12603.2,12702.5,12770.6,12995.0,13288.1,13193.6,13141.0,13335.4,13844.1,13787.1,13816.4,13898.6,14248.0,14186.2,14336.4,14375.0,13847.9,13958.4,13916.5,13954.7,13862.1,14077.0,14142.5,14022.9,13051.2,13061.2,13027.0,12783.6,13211.9,13192.5,13236.4,13654.9,15315.4,15412.4,15524.3,15509.8,15870.1,15857.1,15860.5,16094.5,16248.7,16362.3,16426.5,16658.7,16665.7,16779.2,16693.3,16763.8,16916.8,17096.0,17221.3,17173.6,17399.2,17550.7
 "09000" ,"Connecticut",1,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",4822.8,4852.0,4949.9,5055.1,5081.4,5178.9,5265.1,5306.9,5488.0,5452.7,5558.6,5574.8,5688.3,5774.1,5703.5,5800.7,5765.2,5879.0,5913.0,5907.4,5853.0,5970.7,6032.3,6098.7,6138.8,6245.2,6417.1,6399.6,6473.3,6545.3,6601.4,6752.1,6985.2,6937.1,6915.8,7015.5,7320.7,7271.0,7277.9,7305.9,7531.6,7487.5,7561.5,7553.4,7275.6,7317.5,7296.1,7323.6,7264.1,7387.3,7424.1,7366.5,6047.7,6062.1,6034.4,5907.6,6052.2,6056.0,6087.4,6287.9,8031.0,8096.0,8177.6,8171.2,8413.6,8400.3,8398.8,8501.2,8627.5,8669.9,8690.8,8821.0,8900.7,8961.2,8912.8,8935.7,9062.2,9150.4,9210.3,9180.4,9335.6,9412.0
 "09000" ,"Connecticut",1,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",4598.6,4615.9,4693.5,4781.0,4742.2,4817.6,4893.1,4928.9,5147.0,5121.6,5204.4,5172.4,5236.2,5300.3,5264.5,5422.0,5493.7,5654.2,5712.5,5697.4,5670.6,5739.0,5784.8,5860.1,5907.2,6014.7,6157.2,6099.3,6129.9,6157.2,6169.2,6242.9,6302.9,6256.5,6225.2,6319.9,6523.4,6516.0,6538.4,6592.7,6716.4,6698.8,6775.0,6821.6,6572.3,6640.9,6620.4,6631.0,6598.0,6689.7,6718.4,6656.5,7003.5,6999.1,6992.6,6876.0,7159.8,7136.5,7149.1,7367.0,7284.4,7316.4,7346.7,7338.7,7456.4,7456.8,7461.7,7593.4,7621.3,7692.4,7735.8,7837.7,7765.0,7818.0,7780.5,7828.2,7854.6,7945.7,8011.1,7993.2,8063.7,8138.7
 "09000" ,"Connecticut",1,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",5297.2,5573.0,5557.0,5499.8,5421.2,5274.6,5396.4,5354.8,5315.6,5437.3,5512.0,5839.4,5889.0,5532.8,5457.7,5372.4,5746.0,5798.3,5703.9,5664.3,5662.3,5838.0,5846.1,5975.3,6693.1,6792.0,6949.9,6936.5,7482.5,7520.5,7744.1,7860.8,8574.5,8756.3,8782.8,9140.8,10543.8,10142.3,10249.2,10409.8,11690.5,11377.6,11428.7,11369.7,8481.7,8932.5,8953.4,9067.5,10746.4,11025.5,10847.1,10789.6,11445.9,11283.3,11382.9,11344.8,12870.8,13065.3,13224.4,13614.3,12243.2,12524.5,12497.1,12762.2,12837.2,12719.3,12958.7,13193.2,12913.2,13202.0,13457.7,13287.5,12637.5,12624.9,12707.5,12848.5,15536.9,15655.4,15919.2,16447.8,16501.1,16621.5
