GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "98000" ,"Far West",8,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",1295092.7,1312029.5,1334795.4,1356118.6,1378456.5,1393287.6,1416599.2,1458251.9,1510002.4,1532520.2,1571620.9,1576831.8,1605501.9,1606995.0,1596691.5,1596542.8,1612028.8,1624083.7,1631533.7,1651140.8,1668339.8,1691433.2,1719298.9,1740288.3,1766811.1,1801425.0,1821182.9,1882723.1,1876774.5,1910190.3,1939122.9,1985565.2,2051474.9,2065871.7,2089641.4,2117616.2,2153193.3,2179758.3,2188078.4,2211819.4,2221055.4,2257135.0,2240633.9,2202134.3,2146887.8,2159192.9,2148902.6,2162637.7,2201590.6,2234895.8,2249813.5,2299176.1,2367277.8,2378512.5,2402429.0,2416270.5,2495441.6,2526915.5,2524258.1,2642130.8,2537127.7,2574224.1,2604735.7,2643777.4,2698365.3,2750956.8,2809412.1,2852570.9,2907333.3,2972107.9,3009708.8,3024919.1,3055541.5,3077981.6,3108613.2,3150498.3,3198786.2,3226285.9,3256938.4,3311426.6,3350179.9,3383204.8
 "98000" ,"Far West",8,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",1284499.3,1301681.1,1324404.4,1344890.3,1366807.0,1382292.7,1405724.4,1447824.2,1499425.6,1520936.8,1560337.1,1565681.8,1594986.2,1596688.9,1585359.4,1586422.5,1601535.7,1614767.0,1619631.2,1638084.2,1657577.4,1678792.5,1705656.8,1724826.2,1751253.9,1784839.9,1806563.3,1867856.9,1861466.4,1894574.5,1923699.0,1971105.1,2038455.8,2053546.6,2076689.0,2103296.6,2136971.3,2164448.9,2172736.6,2194379.2,2205860.5,2241976.0,2227266.0,2189527.3,2132428.8,2145031.3,2133820.4,2145819.0,2185565.3,2218886.8,2233557.1,2282220.5,2347658.1,2359657.7,2382957.1,2396480.3,2475009.1,2506003.2,2501760.6,2619448.3,2512267.2,2548138.7,2578790.4,2622033.3,2672210.8,2721881.7,2783790.2,2827382.2,2881122.9,2945484.6,2981509.6,2995627.2,3032223.5,3053994.9,3084907.5,3127819.3,3170911.3,3199140.0,3230705.4,3285462.3,3326877.5,3358633.8
 "98000" ,"Far West",8,SQINC4,12,"..."," Farm income 2/","Millions of dollars",10593.4,10348.4,10391.0,11228.3,11649.5,10994.9,10874.8,10427.7,10576.7,11583.4,11283.7,11150.0,10515.7,10306.1,11332.1,10120.2,10493.1,9316.7,11902.6,13056.7,10762.4,12640.7,13642.1,15462.1,15557.2,16585.1,14619.6,14866.2,15308.1,15615.8,15423.9,14460.0,13019.1,12325.1,12952.4,14319.6,16222.0,15309.4,15341.8,17440.2,15194.9,15159.0,13367.8,12607.0,14459.0,14161.6,15082.2,16818.7,16025.4,16009.0,16256.3,16955.6,19619.7,18854.8,19471.8,19790.2,20432.5,20912.3,22497.5,22682.5,24860.5,26085.5,25945.2,21744.1,26154.6,29075.0,25621.9,25188.6,26210.4,26623.3,28199.2,29291.9,23317.9,23986.7,23705.7,22679.0,27874.9,27145.9,26233.0,25964.3,23302.4,24571.0
 "98000" ,"Far West",8,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52519566,52633137,52756648,52888594,53002734,53115228,53246697,53380928,53500719,53617394,53751482,53885431,53993894,54101822,54234939,54379526,54504945,54628856,54775112,54926246,55053046,55180564,55323245,55464474,55584188,55706819,55839791,55968069,56078535,56189171,56317537,56444264,56553628,56665183
 "98000" ,"Far West",8,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41919,42462,42645,43472,44663,44780,45119,45265,46643,47129,46962,49032,46989,47581,48027,48617,49507,50357,51290,51935,52810,53861,54402,54538,54971,55253,55670,56291,57041,57418,57832,58667,59239,59705
 "98000" ,"Far West",8,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",982072.2,992170.6,1013474.5,1036904.3,1059571.1,1073218.0,1094792.7,1134316.7,1176635.8,1189828.4,1226708.4,1226554.0,1247149.4,1244781.4,1238339.7,1235618.3,1251811.1,1261951.0,1269940.9,1283579.2,1288267.9,1311639.9,1334924.0,1352405.2,1374956.3,1405960.7,1426469.8,1443479.2,1454611.9,1471949.7,1500020.6,1522645.1,1568462.6,1565197.8,1579856.2,1606133.6,1625004.8,1632315.9,1634100.1,1651470.3,1636708.3,1639037.3,1636271.2,1607879.0,1564030.5,1563856.0,1562490.1,1580142.2,1596986.3,1622278.0,1634002.2,1663441.5,1697226.2,1701432.3,1722943.4,1719007.6,1780924.8,1795163.6,1806908.2,1872370.0,1842756.5,1873498.1,1887481.9,1919479.0,1947251.9,1960960.6,1994745.7,2021748.3,2067154.3,2099007.6,2120030.7,2132969.4,2157572.0,2172380.8,2197859.3,2230919.6,2269766.1,2303569.3,2333592.7,2371132.5,2400795.2,2422867.6
 "98000" ,"Far West",8,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",106731.9,107396.8,109335.0,111338.4,113869.6,114828.5,116681.7,120538.1,125065.5,125340.7,129570.6,129676.5,132778.7,132803.6,132186.7,132591.5,134836.1,136298.4,136975.0,138057.5,139337.4,141824.2,144479.4,146670.1,151026.2,154607.8,157286.3,158726.7,160962.1,162296.6,164401.6,165962.0,170685.9,169413.4,170003.8,171735.6,173964.3,174137.9,174398.8,176582.6,176904.5,177763.6,178751.9,176727.5,173147.2,173498.6,171989.3,171632.8,173380.6,174075.2,174064.1,176631.5,163543.5,163667.0,165135.0,163866.0,168745.8,169010.0,169506.7,175499.1,195118.7,198357.5,199775.0,203824.8,207844.8,208147.5,211459.3,214355.1,219058.2,222433.1,223883.8,225366.8,228752.8,230435.5,232577.1,235479.5,239572.5,242732.6,245797.9,249421.7,254603.2,256738.3
 "98000" ,"Far West",8,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",53583.0,53946.3,54938.9,55994.7,57479.0,58045.6,59068.2,61118.1,63440.0,63688.0,65852.5,65794.4,67426.6,67384.3,66942.9,67060.2,68269.5,68784.0,68968.6,69352.0,69498.6,70506.7,71599.1,72428.1,74287.3,75911.1,77176.8,78038.2,79533.8,80367.9,81581.8,82535.8,85775.3,85440.2,85952.3,86940.0,88644.4,89049.9,89436.2,90896.2,91709.4,92570.0,93371.1,92511.7,91089.9,91281.8,90622.5,90529.4,91187.4,91572.9,91676.1,93317.3,76546.2,76896.5,77717.4,77304.6,78946.7,78958.6,79050.8,81561.6,102783.2,104446.3,105266.8,107447.8,109972.9,110130.4,111808.4,113160.7,115963.3,117669.1,118384.0,119093.5,121803.4,122658.0,123749.8,125168.5,127956.3,129604.7,131097.2,133092.9,136403.9,137545.5
 "98000" ,"Far West",8,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",53148.9,53450.5,54396.1,55343.7,56390.6,56782.9,57613.5,59419.9,61625.5,61652.7,63718.1,63882.1,65352.1,65419.3,65243.9,65531.3,66566.6,67514.5,68006.4,68705.5,69838.8,71317.5,72880.3,74241.9,76738.9,78696.7,80109.5,80688.4,81428.3,81928.7,82819.8,83426.2,84910.6,83973.2,84051.5,84795.6,85320.0,85088.1,84962.5,85686.4,85195.1,85193.6,85380.8,84215.8,82057.3,82216.8,81366.8,81103.4,82193.2,82502.3,82388.1,83314.3,86997.3,86770.5,87417.6,86561.4,89799.2,90051.4,90456.0,93937.6,92335.5,93911.2,94508.3,96377.0,97871.9,98017.0,99650.9,101194.4,103094.9,104764.1,105499.7,106273.3,106949.4,107777.5,108827.3,110311.0,111616.2,113127.9,114700.8,116328.8,118199.3,119192.7
 "98000" ,"Far West",8,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-993.9,-990.4,-1022.7,-1062.9,-1038.9,-1046.7,-1089.4,-1171.5,-1174.6,-1164.2,-1231.5,-1180.4,-1290.4,-1295.1,-1245.8,-1233.7,-1327.1,-1331.0,-1339.1,-1368.3,-1447.9,-1486.7,-1534.2,-1543.2,-1656.7,-1707.5,-1732.0,-1768.7,-1845.1,-1891.9,-1895.7,-1923.0,-1963.7,-1930.2,-1954.0,-1984.5,-2032.3,-2074.4,-2097.6,-2163.9,-2244.5,-2251.6,-2261.5,-2173.8,-2140.8,-2110.9,-2070.0,-2064.9,-1974.1,-1996.1,-2008.2,-2077.0,-1912.1,-1913.3,-1928.6,-1913.8,-1932.5,-1932.6,-1956.5,-2070.1,-1763.0,-1796.5,-1837.6,-1912.2,-1941.9,-1954.2,-2027.5,-2063.7,-2023.5,-2111.6,-2121.7,-2141.2,-2297.4,-2320.3,-2395.1,-2442.3,-2468.4,-2544.4,-2593.0,-2652.9,-2729.0,-2730.0
