GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "13000" ,"Georgia",5,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",199159.9,203013.0,207586.8,210677.9,214802.9,216576.7,219271.7,224522.5,231359.3,235403.0,238720.2,241759.0,245459.2,248426.3,249334.1,251693.2,252087.6,255554.1,256041.1,258790.2,260775.2,263147.6,266419.4,269360.9,272093.3,277798.0,281729.4,286257.1,289834.5,294537.0,297396.3,305141.5,311129.5,314633.2,318123.8,323624.6,327358.8,331406.3,332831.1,333969.4,330490.9,342038.2,332948.5,329511.6,325058.8,329129.6,327730.8,327581.8,329321.3,332972.7,337251.3,341726.8,355969.7,357565.3,361844.5,362919.4,363188.1,365874.2,365161.5,376991.0,368590.9,372527.3,374213.0,378093.7,388500.4,395847.4,402564.0,408615.2,415026.6,421258.3,426671.2,428423.9,434783.7,436232.3,440646.5,446635.2,454046.6,457066.6,462083.0,468415.4,472926.0,477784.5
 "13000" ,"Georgia",5,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",197229.4,201325.8,205985.6,208764.4,212329.4,214640.8,217507.0,222977.0,229817.5,233458.4,236932.1,239715.7,243244.4,246251.1,247181.1,249449.6,250468.9,254106.7,254448.6,256946.8,258882.3,261085.2,264351.9,267226.9,269893.2,275654.0,279712.6,284035.8,287386.0,291977.7,294904.0,302774.2,309475.3,313023.8,316579.2,322166.8,325313.7,329571.3,331023.9,332205.3,328042.6,339768.6,330990.5,327555.9,323374.9,327320.9,325756.8,325373.6,328132.1,331625.8,335794.0,340265.4,354180.0,356027.0,360292.2,361420.0,360455.3,363421.2,362882.9,374741.5,365960.7,369832.2,371421.8,375865.1,386682.5,393700.0,400659.1,406660.7,412717.5,418874.5,424196.4,426316.6,433038.4,434477.3,439076.6,445271.1,452080.5,455076.5,460254.6,466552.0,470537.3,475164.2
 "13000" ,"Georgia",5,SQINC4,12,"..."," Farm income 2/","Millions of dollars",1930.6,1687.1,1601.2,1913.4,2473.5,1935.9,1764.7,1545.5,1541.8,1944.6,1788.1,2043.2,2214.8,2175.2,2152.9,2243.6,1618.6,1447.3,1592.5,1843.4,1892.9,2062.5,2067.5,2134.0,2200.2,2143.9,2016.7,2221.3,2448.5,2559.2,2492.3,2367.2,1654.1,1609.4,1544.6,1457.7,2045.2,1835.0,1807.3,1764.0,2448.3,2269.6,1958.0,1955.7,1683.9,1808.7,1974.1,2208.2,1189.2,1346.9,1457.3,1461.4,1789.7,1538.3,1552.3,1499.4,2732.8,2453.1,2278.5,2249.6,2630.2,2695.1,2791.2,2228.7,1817.8,2147.5,1904.9,1954.6,2309.0,2383.9,2474.8,2107.3,1745.3,1755.0,1570.0,1364.1,1966.1,1990.0,1828.4,1863.4,2388.7,2620.3
 "13000" ,"Georgia",5,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9678711,9700566,9726219,9752135,9775291,9798205,9824210,9850526,9874942,9898582,9921733,9941390,9956827,9972661,9995519,10022856,10047081,10071076,10100010,10130998,10157852,10185037,10215119,10245236,10271594,10298931,10329259,10359762,10386916,10414383,10444832,10474536,10501405,10529103
 "13000" ,"Georgia",5,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34025,34325,34674,35041,36415,36493,36832,36843,36779,36962,36804,37921,37019,37355,37438,37723,38668,39305,39858,40333,40858,41361,41769,41817,42329,42357,42660,43112,43713,43888,44240,44719,45035,45378
 "13000" ,"Georgia",5,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",157196.9,160366.3,165077.2,168686.1,173017.2,174681.0,176984.0,181781.8,187042.5,189311.6,191515.7,193389.5,196767.9,198640.4,200391.7,201034.9,200481.2,203556.7,204136.6,205963.0,207242.3,209414.3,212198.5,215368.3,217934.7,222487.7,226325.0,227742.8,230439.1,232593.8,234660.3,240151.2,243576.1,245631.8,247650.6,252472.9,252682.8,253375.6,254439.2,255365.5,251263.3,250347.8,249830.0,248181.0,241911.3,243558.7,243568.2,244370.0,243255.9,246275.3,248839.6,250956.5,256658.6,256346.7,260095.0,258143.9,263744.7,265301.9,265574.3,271233.4,273215.5,276007.7,275822.3,278811.8,286405.2,289525.6,293593.7,298412.0,302915.5,307310.3,312039.6,314017.8,319318.9,319529.6,323327.8,328578.1,334760.1,336904.6,341521.1,345642.1,348345.0,352332.2
 "13000" ,"Georgia",5,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",16257.5,16589.2,17090.4,17418.2,17768.0,17982.3,18186.7,18665.8,19175.8,19250.1,19477.5,19623.9,19919.9,20107.3,20260.6,20314.6,20342.6,20647.3,20604.3,20625.0,20760.1,20923.8,21238.4,21692.0,22363.6,22903.6,23376.3,23415.3,23605.2,23725.6,23956.8,24708.0,25164.3,25379.7,25509.8,25856.1,26205.4,26060.7,26150.0,26382.9,27060.3,27244.5,27472.2,27436.4,26512.8,26661.9,26525.1,26449.7,26827.1,26999.7,27076.1,27142.0,24931.9,24710.0,24975.0,24696.3,25407.6,25580.9,25669.7,26266.3,29889.4,30235.5,30194.5,30516.7,31252.7,31425.0,31785.9,32327.4,32673.1,33188.5,33665.3,33938.6,34474.1,34468.3,34854.2,35354.5,36005.5,36168.4,36663.3,37077.9,37495.2,37891.8
 "13000" ,"Georgia",5,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",8522.5,8697.2,8963.4,9138.9,9349.6,9461.9,9566.3,9814.1,10071.2,10115.6,10222.6,10287.8,10435.7,10534.8,10616.1,10637.9,10679.9,10842.6,10846.5,10900.0,10978.4,11056.9,11181.4,11339.8,11546.3,11746.7,11950.7,11981.6,12181.5,12292.2,12430.1,12852.3,13149.3,13281.0,13358.7,13547.3,13819.5,13769.7,13823.2,13933.0,14321.0,14412.0,14509.5,14480.8,14030.1,14089.2,14030.1,14002.8,14164.7,14257.1,14311.2,14342.4,11619.7,11514.8,11637.2,11557.5,11813.8,11921.3,11978.5,12228.2,15806.6,15990.5,15977.5,16141.9,16627.4,16725.3,16908.7,17175.4,17426.6,17688.4,17933.4,18073.7,18505.5,18505.5,18711.5,18991.7,19460.0,19565.5,19834.8,20063.7,20373.1,20590.3
 "13000" ,"Georgia",5,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",7735.0,7892.1,8126.9,8279.3,8418.4,8520.4,8620.4,8851.7,9104.7,9134.5,9254.9,9336.1,9484.1,9572.5,9644.5,9676.7,9662.7,9804.7,9757.8,9725.1,9781.7,9866.9,10057.0,10352.2,10817.4,11156.9,11425.6,11433.7,11423.6,11433.4,11526.7,11855.7,12014.9,12098.6,12151.1,12308.9,12385.8,12291.0,12326.8,12449.9,12739.4,12832.4,12962.7,12955.6,12482.7,12572.7,12495.0,12446.9,12662.3,12742.7,12764.9,12799.6,13312.3,13195.3,13337.8,13138.8,13593.9,13659.6,13691.2,14038.1,14082.8,14245.0,14217.0,14374.8,14625.3,14699.7,14877.2,15151.9,15246.5,15500.1,15731.9,15864.9,15968.6,15962.7,16142.8,16362.8,16545.5,16602.9,16828.5,17014.2,17122.1,17301.4
 "13000" ,"Georgia",5,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-548.1,-556.2,-612.4,-624.2,-584.2,-583.9,-593.0,-638.3,-722.6,-730.0,-728.7,-748.4,-752.0,-772.8,-793.7,-788.3,-814.1,-828.3,-818.0,-823.5,-841.0,-839.6,-842.6,-836.7,-793.2,-796.3,-802.0,-803.0,-743.6,-760.1,-757.1,-865.4,-770.6,-767.6,-787.3,-820.1,-820.7,-797.1,-777.5,-712.7,-697.8,-686.5,-688.2,-714.2,-918.0,-949.7,-943.8,-888.1,-949.5,-924.4,-941.3,-977.0,-1215.3,-1164.1,-1194.2,-1158.6,-1333.3,-1325.1,-1324.8,-1372.9,-1481.2,-1526.7,-1506.2,-1542.6,-1567.9,-1583.9,-1629.8,-1660.1,-1527.4,-1544.1,-1576.5,-1594.5,-1805.6,-1779.7,-1803.2,-1839.3,-1786.6,-1789.6,-1844.3,-1889.4,-1834.2,-1865.0
