GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "15000" ,"Hawaii*",8,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",32335.0,32563.7,32842.4,33072.3,33204.6,33504.9,34252.7,34495.1,34985.0,35774.5,36053.0,36597.0,37033.3,37182.6,37604.5,37597.5,38355.1,38843.4,39155.3,39694.8,40044.4,40523.5,41046.2,41794.7,42620.9,43543.9,44486.3,45568.0,46093.1,47070.6,47491.9,48782.2,49794.0,50460.1,51217.3,51622.9,52422.3,53255.9,53899.8,54503.0,55364.1,57093.3,56275.5,55931.8,55691.8,56297.4,55975.1,56089.3,55995.3,56642.1,57562.8,58205.4,59312.5,59593.9,59982.7,60800.3,61700.1,62456.1,62201.9,63380.5,62622.5,63023.3,63538.3,64236.2,65466.7,66558.8,67501.3,68071.0,69177.4,70025.5,70726.0,71364.7,71863.8,72318.2,72812.7,73605.6,74693.8,74925.9,75619.6,76181.3,76762.1,77341.5
 "15000" ,"Hawaii*",8,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",32131.8,32360.9,32636.6,32857.0,32961.0,33274.2,34024.6,34273.6,34763.9,35543.6,35825.3,36367.0,36815.2,36964.5,37361.0,37381.5,38130.7,38634.9,38901.0,39430.0,39851.9,40299.0,40798.4,41512.8,42387.6,43287.2,44255.8,45341.6,45845.2,46819.1,47239.0,48545.9,49551.6,50229.8,50975.3,51350.3,52192.7,53034.9,53677.5,54248.2,55117.6,56841.7,56040.8,55713.8,55414.9,56031.4,55700.0,55788.4,55730.4,56389.2,57305.5,57932.6,59020.7,59315.0,59693.7,60504.2,61381.5,62133.0,61878.8,63060.8,62324.2,62714.4,63238.8,63976.4,65184.8,66265.2,67243.6,67816.8,68887.6,69728.3,70418.9,71044.2,71626.7,72072.5,72565.9,73373.3,74434.3,74666.6,75370.0,75929.9,76510.2,77083.6
 "15000" ,"Hawaii*",8,SQINC4,12,"..."," Farm income 2/","Millions of dollars",203.2,202.8,205.8,215.3,243.6,230.7,228.1,221.5,221.2,230.9,227.7,229.9,218.1,218.1,243.5,216.0,224.3,208.5,254.3,264.8,192.5,224.5,247.8,281.9,233.3,256.7,230.5,226.4,247.8,251.5,252.9,236.3,242.3,230.3,242.0,272.6,229.6,221.0,222.3,254.9,246.5,251.6,234.7,218.0,276.9,266.0,275.1,300.9,264.9,252.8,257.3,272.7,291.7,278.9,289.0,296.1,318.6,323.1,323.2,319.6,298.3,308.8,299.6,259.8,282.0,293.6,257.7,254.1,289.7,297.2,307.1,320.5,237.1,245.7,246.8,232.3,259.4,259.3,249.6,251.4,251.8,257.9
 "15000" ,"Hawaii*",8,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1358219,1362027,1365781,1369617,1373132,1376525,1380290,1384135,1387629,1391009,1394987,1399235,1402873,1406225,1409319,1412049,1414341,1416502,1419025,1421516,1423440,1425276,1426789,1427587,1427995,1428372,1428687,1428641,1428175,1427626,1427586,1427570,1427067,1426509
 "15000" ,"Hawaii*",8,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41227,41587,42146,42498,43195,43293,43457,43927,44464,44900,44590,45297,44639,44817,45084,45491,46288,46988,47569,47886,48599,49131,49570,49990,50325,50630,50965,51521,52300,52483,52970,53364,53790,54217
 "15000" ,"Hawaii*",8,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",23968.1,23976.1,24153.5,24377.0,24537.3,24748.3,25456.9,25561.4,25907.8,26546.8,26708.9,27207.1,27775.7,27842.3,28414.0,28220.3,29070.6,29577.1,30068.8,30632.0,30974.5,31557.1,31989.1,32522.4,32960.3,33619.0,34497.4,35117.8,35604.0,36256.1,36725.6,37505.0,37940.3,38300.2,38858.7,39261.2,39480.3,39600.3,40066.7,40402.8,40835.8,40873.6,40585.0,40427.7,39956.3,40257.2,40037.3,40418.7,40292.0,40672.6,41296.1,41551.3,42065.0,42102.1,42655.8,42990.4,43862.6,44422.0,44554.1,45144.2,45489.5,45703.7,45807.2,46283.6,46940.6,47382.6,47867.4,48443.1,49362.8,49846.8,50244.3,50786.1,51013.6,51187.7,51498.8,52069.0,52946.2,53005.2,53531.0,53666.6,54082.6,54602.6
 "15000" ,"Hawaii*",8,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",2672.2,2659.5,2669.5,2682.9,2691.3,2708.5,2775.9,2783.6,2817.0,2879.1,2899.7,2959.8,3015.9,3026.5,3085.4,3063.5,3158.1,3214.4,3270.4,3334.6,3420.6,3484.7,3514.2,3545.7,3588.7,3620.8,3700.4,3758.9,3825.8,3899.7,3957.7,4054.3,4156.6,4212.6,4287.9,4332.6,4397.3,4407.3,4463.0,4502.3,4555.1,4544.8,4517.3,4509.6,4440.0,4490.6,4463.9,4509.5,4624.5,4680.6,4752.8,4769.7,4458.4,4447.3,4496.1,4506.2,4553.2,4611.3,4638.0,4729.5,5375.3,5423.1,5420.2,5431.3,5451.7,5427.6,5439.7,5503.3,5614.6,5685.7,5720.5,5778.6,5802.9,5811.0,5835.5,5885.0,6024.6,6027.1,6091.4,6100.3,6184.2,6241.9
 "15000" ,"Hawaii*",8,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",1343.0,1337.5,1343.0,1351.1,1360.0,1370.0,1407.6,1408.5,1422.0,1454.5,1462.9,1494.5,1524.4,1531.0,1562.2,1549.0,1599.8,1621.0,1642.2,1666.2,1692.5,1718.1,1734.5,1759.8,1796.1,1825.9,1874.9,1909.5,1942.3,1975.0,1996.7,2039.5,2099.0,2126.1,2164.5,2190.6,2243.3,2259.8,2295.8,2320.5,2360.8,2360.9,2347.4,2345.7,2317.2,2332.6,2306.5,2306.3,2328.4,2331.1,2349.8,2342.1,1907.8,1898.9,1917.3,1932.6,1941.8,1966.6,1970.8,1987.1,2573.3,2587.0,2597.7,2627.7,2695.7,2718.0,2743.6,2783.4,2847.8,2883.3,2905.6,2942.5,2996.7,3010.4,3024.5,3049.1,3130.4,3124.7,3151.7,3153.8,3212.0,3242.8
 "15000" ,"Hawaii*",8,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",1329.2,1322.0,1326.6,1331.9,1331.3,1338.5,1368.4,1375.1,1394.9,1424.5,1436.8,1465.4,1491.5,1495.5,1523.1,1514.5,1558.3,1593.4,1628.2,1668.3,1728.0,1766.6,1779.7,1785.8,1792.6,1794.9,1825.5,1849.4,1883.5,1924.7,1961.0,2014.7,2057.6,2086.4,2123.4,2142.0,2154.0,2147.5,2167.2,2181.9,2194.3,2183.9,2169.9,2163.9,2122.8,2158.1,2157.4,2203.1,2296.1,2349.5,2403.0,2427.6,2550.6,2548.3,2578.8,2573.5,2611.5,2644.8,2667.3,2742.4,2802.0,2836.1,2822.4,2803.6,2756.0,2709.6,2696.1,2719.9,2766.7,2802.4,2814.9,2836.1,2806.2,2800.6,2810.9,2835.8,2894.2,2902.5,2939.7,2946.5,2972.1,2999.1
 "15000" ,"Hawaii*",8,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
