GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "17000" ,"Illinois",3,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",359859.1,366495.5,371491.1,374631.9,377981.9,381636.1,383471.2,393055.6,404796.7,410087.1,417960.8,420928.0,428833.0,428157.8,428421.5,429557.0,429088.3,435424.8,434553.1,437931.8,435447.6,439918.7,444091.1,448326.9,449298.2,456424.5,461246.7,469327.0,468270.1,472725.3,478952.6,488104.9,500341.8,507497.4,511526.5,517723.2,529401.2,536546.4,540332.9,548071.9,547130.5,561536.1,553336.1,546085.9,524663.6,526434.8,523412.0,527818.9,528694.9,537114.4,545042.8,551003.3,564916.3,566784.2,570094.6,570822.1,585298.0,591664.2,588421.1,607702.1,600543.2,606533.3,609634.4,614927.7,627536.7,634977.3,641439.3,648292.1,653523.0,662239.2,670597.5,670825.1,669000.8,670630.8,673290.4,681193.7,686174.0,689389.7,696880.2,703211.9,714249.6,722866.3
 "17000" ,"Illinois",3,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",358555.0,365061.9,369940.4,372852.0,376756.8,380575.2,382546.6,392018.0,403239.1,408247.8,416145.0,418978.5,426894.6,426361.7,426674.2,428354.3,428026.9,434818.2,433565.2,436684.9,433994.8,438056.0,442153.9,446121.8,445331.4,452465.1,458050.5,465896.2,466553.7,470750.4,477091.8,486655.1,498431.4,505663.6,509701.5,515504.1,526598.3,533773.3,537143.7,544029.8,542030.0,556769.6,549202.9,542318.1,522406.9,524102.7,521060.6,524636.6,526481.0,534843.2,542509.6,547960.1,559260.0,561792.2,564575.8,565712.2,581820.3,587959.0,585512.8,605713.9,591677.6,598125.1,601686.7,608499.6,623351.9,630453.3,638655.8,645709.8,653649.9,662293.9,670250.3,669881.4,666537.7,667812.5,670530.9,678748.0,684292.9,687925.6,695635.0,701971.1,714079.8,722092.1
 "17000" ,"Illinois",3,SQINC4,12,"..."," Farm income 2/","Millions of dollars",1304.0,1433.6,1550.7,1779.9,1225.1,1060.9,924.7,1037.6,1557.6,1839.3,1815.8,1949.5,1938.3,1796.1,1747.3,1202.7,1061.4,606.5,987.9,1246.9,1452.8,1862.7,1937.2,2205.1,3966.8,3959.4,3196.2,3430.9,1716.3,1974.8,1860.9,1449.8,1910.4,1833.7,1824.9,2219.1,2802.9,2773.2,3189.2,4042.1,5100.4,4766.5,4133.3,3767.8,2256.7,2332.1,2351.5,3182.3,2213.8,2271.2,2533.1,3043.2,5656.4,4992.0,5518.8,5109.9,3477.8,3705.2,2908.3,1988.2,8865.7,8408.2,7947.7,6428.1,4184.8,4524.1,2783.6,2582.3,-126.9,-54.7,347.3,943.7,2463.1,2818.4,2759.5,2445.7,1881.1,1464.2,1245.3,1240.8,169.8,774.1
 "17000" ,"Illinois",3,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12827397,12836170,12845919,12853272,12856273,12859420,12865922,12871714,12874285,12876393,12882579,12888391,12887984,12888497,12890944,12891436,12887369,12883374,12882388,12880102,12871890,12864475,12860735,12856495,12846956,12838626,12833150,12826762,12816058,12805702,12799607,12793077,12781961,12771543
 "17000" ,"Illinois",3,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41216,41844,42429,42869,43941,44075,44310,44347,45463,45950,45676,47151,46597,47060,47292,47700,48694,49287,49792,50333,50771,51478,52143,52178,52075,52235,52465,53107,53540,53835,54445,54968,55880,56600
 "17000" ,"Illinois",3,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",272398.4,278247.8,283660.0,288162.0,293474.3,297432.6,297800.0,305042.5,314156.1,316022.1,322232.1,325265.5,332564.7,331738.2,333585.7,333907.7,334526.0,339607.4,339491.4,341724.7,338244.4,343733.2,347401.9,351276.4,351550.8,357768.1,363333.9,366307.6,365572.4,367605.6,372209.2,375361.5,385741.5,389103.0,391128.0,397191.4,403737.0,406405.0,407068.2,414226.8,411731.9,412151.4,412637.9,409280.4,389060.5,387132.6,386887.7,391403.8,389053.4,397407.6,402960.5,405536.7,414524.2,416688.7,421535.3,418144.4,430663.1,433144.0,432516.3,440698.1,449974.1,454054.3,453874.6,456916.1,465530.0,466677.3,468432.3,473998.4,477738.0,480157.5,488132.1,488991.3,488044.4,488225.9,489284.3,496920.6,498316.8,501259.9,507794.5,508264.9,516674.1,522639.4
 "17000" ,"Illinois",3,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",28670.0,29197.4,29667.7,29999.2,30440.8,30758.0,30651.0,31276.6,32025.2,32011.5,32580.3,32735.7,33302.5,33044.2,33075.7,33137.5,33258.3,33780.5,33725.4,33827.3,33860.6,34380.8,34714.4,35114.7,35660.1,36286.0,37025.9,37323.1,38195.6,38436.7,38874.2,39127.0,40097.1,40345.0,40428.4,40956.0,41825.9,42104.0,42159.0,42970.9,42956.2,43037.2,43231.6,42932.9,41278.1,41176.8,40994.3,41129.0,41181.0,41801.4,42100.9,42150.4,39097.5,39202.1,39566.1,39317.6,40607.4,40790.2,40908.1,41728.0,46611.7,47021.6,47017.2,47508.8,48450.9,48345.4,48480.1,48904.8,49554.2,49681.3,50450.9,50508.0,50629.1,50654.9,50690.3,51375.8,51883.1,52100.5,52720.8,52686.3,54013.4,54554.1
 "17000" ,"Illinois",3,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",14586.6,14858.4,15090.9,15267.5,15533.9,15702.2,15650.7,15964.7,16322.3,16322.6,16616.0,16705.5,17002.4,16883.8,16921.3,16952.0,17045.3,17312.0,17271.9,17333.1,17282.7,17530.6,17675.7,17839.0,18040.5,18290.4,18576.6,18645.0,19021.6,19090.7,19275.3,19414.7,20098.9,20314.3,20425.2,20717.5,21286.4,21476.6,21556.3,22012.9,22169.3,22283.9,22430.1,22352.9,21609.5,21585.0,21517.3,21593.0,21500.9,21769.3,21899.4,21855.3,17780.1,17778.1,17860.3,17707.5,18003.5,18055.1,18140.6,18530.2,23791.1,24119.4,24220.3,24502.1,25126.6,25095.5,25161.5,25394.2,25869.6,25936.8,26327.3,26349.1,26583.7,26590.3,26585.5,26932.4,27365.4,27469.8,27796.1,27750.6,28592.9,28878.0
 "17000" ,"Illinois",3,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",14083.4,14339.0,14576.8,14731.6,14906.9,15055.8,15000.3,15311.9,15703.0,15688.9,15964.3,16030.2,16300.1,16160.3,16154.4,16185.5,16213.0,16468.5,16453.5,16494.2,16577.9,16850.1,17038.7,17275.8,17619.6,17995.7,18449.4,18678.1,19174.0,19346.0,19598.9,19712.3,19998.2,20030.7,20003.2,20238.6,20539.5,20627.4,20602.6,20958.0,20787.0,20753.3,20801.5,20580.0,19668.5,19591.8,19477.0,19536.1,19680.0,20032.0,20201.6,20295.1,21317.4,21424.0,21705.8,21610.1,22603.9,22735.1,22767.5,23197.9,22820.6,22902.1,22796.9,23006.7,23324.3,23250.0,23318.7,23510.6,23684.6,23744.5,24123.6,24158.9,24045.5,24064.6,24104.8,24443.5,24517.8,24630.7,24924.8,24935.7,25420.4,25676.1
 "17000" ,"Illinois",3,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-965.4,-1037.8,-1055.9,-1077.1,-1153.8,-1189.2,-1113.4,-1128.6,-1339.3,-1299.8,-1391.9,-1487.3,-1587.8,-1530.6,-1561.0,-1566.9,-1638.2,-1737.5,-1657.6,-1641.8,-1557.9,-1614.1,-1617.1,-1583.8,-1595.5,-1624.1,-1635.5,-1671.3,-1798.2,-1743.4,-1755.8,-1782.6,-1756.3,-1790.9,-1857.8,-1926.3,-2287.3,-2277.2,-2271.8,-2392.0,-1870.0,-1811.6,-1878.1,-1524.9,-2110.6,-2088.4,-2070.6,-2101.6,-2040.6,-2106.6,-2193.7,-2217.3,-2591.2,-2593.1,-2562.0,-2534.2,-2425.2,-2385.0,-2389.0,-2448.8,-2632.2,-2689.5,-2663.6,-2726.9,-2410.5,-2325.0,-2290.8,-2331.7,-2550.8,-2515.1,-2674.1,-2614.4,-2845.2,-2808.0,-2720.2,-2816.8,-3110.8,-3120.5,-3243.8,-3157.5,-3293.9,-3333.1
