GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "18000" ,"Indiana",3,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",151294.5,153868.2,155555.3,157336.9,157891.7,159148.8,160689.3,165258.1,169115.3,171228.4,173309.2,172007.7,175863.8,175748.9,175025.6,175352.0,175562.9,177619.1,178546.7,180342.4,179505.7,180706.2,182234.0,186121.9,185993.3,190366.4,192010.8,194503.6,192339.3,195703.5,198110.5,200914.2,206000.7,208116.4,209872.8,211243.9,214373.3,216330.7,216147.6,218552.0,222725.0,231085.6,226130.2,223429.6,218346.3,219093.8,218826.1,222584.1,224191.5,228551.4,231034.1,234132.3,239611.9,242539.1,247141.8,248911.9,251763.4,255514.8,256029.7,261722.3,259354.9,259443.6,259696.2,259605.2,263342.4,268427.3,271736.3,274866.0,275835.9,278918.8,280850.9,283214.1,284238.6,287309.4,290629.1,294480.1,297831.8,299318.3,301995.3,304887.3,309182.8,312054.7
 "18000" ,"Indiana",3,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",150643.6,153160.0,154774.8,156455.9,157306.5,158709.1,160314.4,164824.4,168370.7,170326.0,172461.7,171064.3,174688.6,174643.2,173934.0,174510.7,175102.3,177354.4,178066.9,179709.5,178487.5,179463.3,180939.5,184717.3,183808.2,188175.7,190173.2,192538.5,191024.2,194242.1,196714.6,199762.4,204862.3,207060.8,208803.1,210003.5,212924.1,214925.3,214647.9,216653.1,220132.3,228543.3,224104.9,221558.9,217036.5,217766.2,217332.1,220656.2,222759.2,227096.1,229431.4,232348.7,236677.3,239893.8,244203.6,246459.0,249497.0,253093.4,253842.4,259662.0,253714.1,253740.9,254421.9,255074.7,260248.5,264930.1,269099.7,272224.1,274791.9,277814.6,279531.4,281884.8,282719.5,285614.2,289072.7,293159.5,296640.1,298435.9,301281.1,304199.1,308878.4,311281.5
 "18000" ,"Indiana",3,SQINC4,12,"..."," Farm income 2/","Millions of dollars",650.9,708.2,780.5,881.0,585.2,439.7,374.9,433.7,744.6,902.4,847.5,943.4,1175.3,1105.7,1091.6,841.4,460.6,264.7,479.9,632.9,1018.2,1242.9,1294.5,1404.5,2185.1,2190.7,1837.6,1965.1,1315.1,1461.5,1395.9,1151.8,1138.5,1055.6,1069.7,1240.4,1449.2,1405.5,1499.7,1898.9,2592.8,2542.3,2025.3,1870.7,1309.8,1327.6,1494.0,1927.9,1432.3,1455.3,1602.7,1783.5,2934.6,2645.3,2938.3,2452.9,2266.4,2421.4,2187.3,2060.4,5640.8,5702.7,5274.4,4530.5,3093.9,3497.1,2636.5,2641.9,1044.0,1104.1,1319.5,1329.4,1519.1,1695.2,1556.5,1320.7,1191.6,882.5,714.2,688.1,304.4,773.3
 "18000" ,"Indiana",3,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6480840,6486988,6494172,6501402,6506476,6511958,6518597,6524438,6528722,6533012,6540857,6550126,6556218,6563145,6571357,6578930,6584213,6589824,6596531,6602218,6604876,6608221,6614438,6621420,6625703,6630782,6638806,6647978,6655048,6662354,6671727,6680833,6687688,6694984
 "18000" ,"Indiana",3,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34593,35232,35576,36013,36827,37245,37913,38151,38562,39111,39143,39957,39559,39530,39519,39460,39996,40734,41194,41632,41762,42208,42460,42772,42899,43330,43777,44296,44753,44927,45265,45636,46232,46610
 "18000" ,"Indiana",3,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",113480.8,115562.9,117119.2,119417.4,120368.8,121679.0,122813.0,126623.2,129347.6,130098.7,131278.0,129460.5,132367.5,131908.9,131820.6,131309.2,132052.4,133776.2,135132.5,136592.0,135487.4,136874.5,138170.0,142326.4,141581.8,145454.6,146919.8,147555.0,146089.1,148773.5,150586.9,151513.1,155052.3,155730.3,156162.4,157486.2,159095.1,159659.0,159472.7,160862.5,164345.1,163608.1,162507.6,161557.6,154693.3,154315.1,154790.8,158766.1,158560.9,163290.2,165236.3,167010.3,169658.6,172006.3,176236.0,176417.4,179416.5,181309.7,181625.7,183501.9,186823.2,187247.2,187840.7,187561.6,189264.1,191773.4,193401.9,195321.5,194602.6,196859.5,198505.9,200394.8,201116.2,203307.7,206148.6,209638.5,212450.7,212249.6,214231.5,216039.4,219118.3,221766.7
 "18000" ,"Indiana",3,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",12899.7,13101.1,13237.5,13466.0,13588.0,13711.9,13796.7,14164.9,14403.9,14389.5,14517.5,14275.1,14661.1,14586.8,14548.9,14531.5,14695.3,14911.4,15043.1,15167.5,15204.3,15333.3,15438.2,15876.2,15854.6,16235.7,16444.3,16505.7,16636.6,16920.0,17140.3,17264.1,17710.8,17829.3,17878.9,17995.5,18286.2,18341.0,18333.9,18509.8,18769.5,18742.3,18795.5,18841.3,17948.9,17986.4,17954.6,18205.7,18167.2,18526.0,18529.6,18540.3,16913.1,17003.2,17257.1,17162.8,17634.0,17735.3,17785.4,17991.4,20546.0,20624.9,20748.4,20726.8,21138.5,21257.1,21486.7,21792.2,21960.7,22330.5,22421.5,22585.3,22526.1,22652.6,22871.7,23182.8,23612.6,23556.1,23767.3,23915.4,24469.2,24718.2
 "18000" ,"Indiana",3,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",6714.5,6821.4,6892.3,7006.9,7093.2,7152.7,7193.2,7384.3,7494.9,7497.9,7565.1,7444.5,7662.4,7635.1,7624.8,7617.4,7729.5,7840.5,7910.2,7972.1,7950.1,8004.3,8059.9,8296.7,8278.5,8481.7,8582.5,8606.0,8674.0,8813.3,8917.6,8981.2,9294.9,9379.3,9412.5,9466.6,9658.7,9697.8,9697.4,9790.4,9969.8,9965.8,9992.7,10023.1,9579.7,9592.1,9590.7,9741.6,9698.4,9891.8,9898.9,9900.8,7961.0,8002.5,8114.9,8099.1,8269.1,8328.6,8357.4,8420.0,10909.4,10938.6,11006.1,10975.8,11244.9,11306.2,11416.0,11566.4,11706.7,11895.9,11942.9,12025.3,12083.6,12151.0,12266.7,12436.5,12741.9,12720.9,12835.3,12917.1,13281.8,13417.6
 "18000" ,"Indiana",3,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",6185.2,6279.8,6345.1,6459.1,6494.7,6559.1,6603.5,6780.6,6909.0,6891.6,6952.4,6830.6,6998.7,6951.6,6924.1,6914.1,6965.7,7070.9,7132.9,7195.4,7254.2,7329.0,7378.3,7579.5,7576.1,7754.0,7861.8,7899.7,7962.6,8106.7,8222.7,8282.9,8415.9,8450.0,8466.4,8528.9,8627.5,8643.2,8636.5,8719.5,8799.7,8776.5,8802.8,8818.2,8369.2,8394.3,8363.9,8464.1,8468.8,8634.2,8630.6,8639.5,8952.1,9000.7,9142.2,9063.7,9364.9,9406.8,9428.0,9571.4,9636.6,9686.2,9742.3,9751.0,9893.5,9950.9,10070.6,10225.8,10254.0,10434.7,10478.6,10560.0,10442.6,10501.6,10605.0,10746.4,10870.7,10835.2,10931.9,10998.3,11187.5,11300.6
 "18000" ,"Indiana",3,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",2501.7,2550.0,2602.8,2642.2,2775.6,2826.7,2825.2,2877.1,3037.5,3049.5,3134.5,3236.4,3317.9,3335.6,3382.9,3403.3,3395.6,3455.8,3434.0,3440.2,3460.5,3510.8,3555.0,3534.6,3736.5,3741.2,3836.1,3890.5,4059.3,4071.0,4123.8,4165.9,4244.4,4295.6,4335.9,4412.5,4641.9,4679.3,4683.7,4777.2,4643.3,4698.4,4710.3,4692.0,4593.4,4602.2,4606.8,4600.1,4370.6,4435.8,4524.6,4527.7,4701.1,4713.5,4745.6,4729.2,4690.9,4700.9,4708.4,4815.6,5190.3,5248.4,5217.7,5267.8,5173.3,5144.4,5144.8,5230.0,5792.7,5842.7,5949.2,5966.0,5874.3,5837.7,5838.5,5889.6,5914.6,5990.4,6069.5,6049.9,6114.0,6174.2
