GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "25000" ,"Massachusetts",1,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",200033.2,206044.7,209495.9,211410.6,214387.1,217317.8,222861.5,228837.1,239938.3,241441.8,248832.5,251355.4,256960.3,255613.1,254030.7,254157.2,252771.1,255143.4,254189.3,254928.0,256320.5,257437.0,261309.2,264192.2,266910.2,272496.1,276029.0,278168.5,278232.6,282576.5,287100.2,294679.4,302461.5,306800.6,308551.1,313230.5,318760.1,321635.8,324096.4,328365.8,332317.3,339260.3,335691.3,334636.0,327413.8,332320.7,333259.6,335613.8,339919.7,346718.8,352100.5,354936.6,359088.7,367559.4,366685.1,368773.7,375223.9,380552.5,379170.4,392851.4,380637.0,384444.8,386510.7,389761.1,396737.5,400492.1,408089.3,415040.3,423542.5,430455.0,434214.1,438074.9,438935.8,442368.6,448044.2,449901.4,457805.8,461110.4,466841.8,469964.8,479275.6,481897.2
 "25000" ,"Massachusetts",1,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",199931.7,205943.4,209395.1,211310.5,214282.9,217216.0,222759.7,228734.5,239820.6,241316.4,248705.6,251226.1,256859.3,255514.0,253919.0,254058.9,252655.2,255039.2,254056.9,254787.5,256221.7,257319.4,261179.0,264045.8,266770.7,272345.3,275896.8,278036.9,278112.8,282454.0,286978.7,294570.9,302338.1,306686.6,308435.0,313094.7,318636.0,321523.5,323984.6,328234.7,332131.2,339071.7,335519.5,334467.1,327269.4,332178.8,333110.3,335445.9,339765.5,346568.0,351949.0,354784.3,358927.6,367409.1,366531.9,368620.6,374983.0,380334.0,378970.8,392651.7,380437.6,384239.9,386311.8,389595.6,396591.9,400340.5,407962.7,414917.0,423426.4,430337.8,434090.0,437942.0,438822.3,442246.4,447920.9,449784.9,457702.4,461010.5,466747.1,469871.6,479198.7,481810.5
 "25000" ,"Massachusetts",1,SQINC4,12,"..."," Farm income 2/","Millions of dollars",101.5,101.3,100.8,100.1,104.2,101.8,101.9,102.6,117.7,125.4,126.9,129.3,101.0,99.1,111.7,98.3,115.9,104.2,132.3,140.5,98.7,117.6,130.2,146.4,139.6,150.8,132.3,131.6,119.7,122.4,121.5,108.5,123.4,113.9,116.2,135.8,124.1,112.3,111.7,131.1,186.1,188.6,171.8,168.9,144.4,142.0,149.3,167.9,154.2,150.8,151.6,152.3,161.0,150.3,153.2,153.1,240.9,218.5,199.6,199.8,199.4,204.9,199.0,165.5,145.6,151.6,126.7,123.3,116.1,117.2,124.0,132.8,113.5,122.3,123.3,116.5,103.4,99.9,94.7,93.2,76.9,86.8
 "25000" ,"Massachusetts",1,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6543649,6556277,6571928,6584684,6595137,6606018,6618868,6631508,6642456,6653504,6667338,6681581,6692536,6704286,6717678,6730535,6741036,6751886,6763685,6774104,6781327,6789269,6798686,6807223,6813042,6819677,6828992,6838999,6846773,6854898,6865142,6874961,6882492,6890611
 "25000" ,"Massachusetts",1,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51947,52883,53576,53903,54447,55640,55400,55609,56489,57196,56870,58796,56875,57343,57536,57909,58854,59316,60335,61269,62457,63402,63867,64354,64426,64867,65609,65785,66864,67267,68002,68359,69637,69935
 "25000" ,"Massachusetts",1,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",153962.9,159781.7,163238.0,165291.1,169050.5,171859.7,177239.5,182517.2,193139.0,192491.4,199673.2,201311.4,205936.3,203062.6,202250.8,201314.8,201016.1,202727.8,202228.5,201984.0,201090.2,202253.8,206579.1,209590.9,212694.1,218201.6,221694.0,219714.0,220595.9,221759.2,226176.1,229401.7,234076.2,236100.8,236260.6,241852.4,245996.1,247044.7,248776.3,252632.3,254514.6,255550.4,253462.4,254310.9,247396.7,250894.0,253730.5,257618.8,259603.4,266617.7,271126.2,271366.3,270655.1,278807.2,277190.8,276820.7,281708.1,284874.0,285506.4,291685.3,289912.9,293366.6,293817.7,296072.5,300541.9,300347.8,304952.4,311951.5,316864.0,321856.8,323160.0,327689.9,327731.4,330106.6,336503.0,337274.0,344554.3,347859.1,353012.5,354355.3,363576.3,364987.5
 "25000" ,"Massachusetts",1,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",16403.2,17018.7,17338.8,17478.5,17775.9,17990.9,18519.8,18947.3,19995.6,19756.5,20540.5,20719.1,21074.7,20760.1,20641.6,20599.8,20670.5,20849.3,20753.8,20641.7,20546.6,20638.9,21108.0,21510.2,22046.4,22722.3,23183.5,23010.7,23472.3,23605.4,23991.6,24136.2,24532.2,24606.2,24508.6,25005.1,25633.1,25673.7,25832.7,26246.1,26519.1,26668.4,26605.4,26941.0,25972.0,26303.2,26416.7,26516.8,26441.2,26830.6,27162.1,27002.0,24723.3,25383.2,25095.9,24982.1,25575.9,25787.6,25855.7,26435.1,29540.9,30020.8,30171.7,30500.0,31314.3,31205.6,31498.6,32149.1,32206.8,32685.4,32661.2,33242.6,33256.2,33573.1,34317.8,34253.8,35152.5,35366.0,35896.5,35945.4,37138.7,37263.0
 "25000" ,"Massachusetts",1,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",8316.5,8631.2,8798.9,8870.9,9059.4,9173.1,9437.6,9676.4,10192.3,10071.7,10455.5,10525.5,10711.5,10540.3,10490.6,10477.8,10557.0,10673.7,10663.2,10635.8,10617.2,10654.1,10865.0,10970.1,11105.4,11350.4,11519.3,11411.3,11716.2,11806.8,12011.7,12100.1,12368.6,12441.4,12403.8,12677.2,13063.7,13107.5,13205.6,13410.6,13605.7,13681.7,13626.3,13780.0,13292.7,13437.7,13492.7,13549.2,13463.4,13670.4,13840.8,13778.7,11056.3,11387.3,11238.8,11216.3,11394.4,11521.3,11597.9,11858.7,15180.0,15455.1,15562.3,15716.7,16202.3,16138.2,16315.4,16688.5,16896.0,17180.5,17198.4,17510.3,17583.7,17744.6,18111.6,18052.4,18608.5,18735.1,18993.7,19012.9,19761.8,19801.6
 "25000" ,"Massachusetts",1,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",8086.7,8387.5,8539.9,8607.5,8716.6,8817.9,9082.1,9270.9,9803.2,9684.8,10084.9,10193.6,10363.2,10219.8,10151.0,10122.1,10113.5,10175.6,10090.6,10005.9,9929.4,9984.8,10243.0,10540.1,10941.1,11371.9,11664.2,11599.4,11756.1,11798.5,11979.9,12036.0,12163.6,12164.8,12104.8,12327.8,12569.4,12566.2,12627.2,12835.5,12913.3,12986.7,12979.1,13161.0,12679.3,12865.4,12924.0,12967.6,12977.8,13160.3,13321.3,13223.4,13667.0,13996.0,13857.1,13765.8,14181.5,14266.4,14257.8,14576.4,14360.9,14565.7,14609.4,14783.2,15112.1,15067.4,15183.2,15460.6,15310.8,15504.9,15462.9,15732.3,15672.5,15828.5,16206.2,16201.4,16544.0,16630.9,16902.9,16932.5,17376.9,17461.4
 "25000" ,"Massachusetts",1,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-3391.0,-3625.9,-3697.3,-3693.1,-3995.8,-4052.6,-4246.5,-4446.5,-4955.3,-4883.5,-5185.8,-5175.0,-5412.7,-5193.4,-5140.1,-5041.1,-5119.5,-5132.0,-5078.1,-5023.4,-5011.2,-4996.7,-5161.1,-5194.9,-5473.2,-5655.1,-5672.6,-5552.8,-5348.0,-5319.8,-5486.5,-5551.2,-5614.3,-5693.3,-5637.8,-5843.2,-5898.8,-6006.6,-6154.4,-6382.7,-6002.5,-6146.2,-6060.5,-6101.5,-5416.9,-5454.5,-5473.3,-5544.8,-5738.6,-5896.7,-6131.2,-6219.4,-6413.9,-6820.8,-6652.5,-6708.6,-7219.9,-7332.2,-7405.7,-7562.8,-7185.5,-7342.4,-7373.8,-7464.5,-6820.4,-6762.1,-6999.3,-7213.3,-7621.6,-7814.3,-7860.9,-7990.0,-8445.3,-8494.4,-8822.8,-8815.2,-9468.5,-9568.2,-9681.4,-9781.4,-10181.3,-10176.0
