GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "24000" ,"Maryland",2,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",158749.8,162321.5,165032.4,167358.4,170260.1,171521.0,174584.7,178034.4,184438.3,186997.4,190598.9,193670.1,196760.2,198826.4,199497.8,201289.0,203804.6,206404.4,207717.2,210034.3,211401.1,214655.7,218432.4,221585.6,225731.9,229948.9,232647.4,237599.9,237880.8,242241.1,246335.5,250928.4,253733.9,256417.0,258980.7,261715.5,264332.6,268054.9,269025.2,271932.9,276884.9,283260.2,280960.0,280130.3,274588.7,278803.0,279189.0,281605.3,281800.3,287110.3,290263.0,295252.8,300427.5,303920.4,307631.6,308734.1,312147.9,312751.2,313213.8,318452.8,311949.0,312687.2,312918.2,315224.7,318385.4,323457.3,327875.5,330154.8,336693.1,340204.6,343152.4,345130.6,348104.2,351774.4,355186.0,360453.9,363760.8,366604.2,369419.2,373248.6,376491.6,379941.1
 "24000" ,"Maryland",2,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",158425.5,162012.7,164732.3,167027.1,169858.8,171171.2,174266.3,177734.1,184078.8,186577.1,190188.2,193230.8,196351.8,198430.0,199089.1,200872.9,203614.7,206233.3,207486.5,209766.3,211131.4,214353.2,218115.5,221269.6,225281.4,229507.3,232238.0,237162.4,237497.9,241848.0,245954.0,250583.4,253423.5,256104.2,258672.7,261418.6,264025.8,267770.3,268737.0,271635.5,276420.0,282822.2,280582.4,279777.3,274209.6,278418.4,278761.7,281115.0,281477.0,286747.6,289869.9,294856.9,299921.8,303465.1,307171.3,308295.6,311467.2,312130.1,312642.6,317883.9,311162.4,311869.8,312116.9,314556.1,317799.2,322793.9,327286.1,329554.3,336274.4,339766.3,342679.3,344717.6,347725.5,351376.9,354824.4,360138.2,363324.6,366169.9,369021.0,372856.1,376133.9,379527.9
 "24000" ,"Maryland",2,SQINC4,12,"..."," Farm income 2/","Millions of dollars",324.2,308.7,300.0,331.3,401.3,349.8,318.4,300.3,359.5,420.4,410.7,439.2,408.4,396.4,408.6,416.1,189.9,171.0,230.7,268.0,269.7,302.5,316.9,316.0,450.5,441.6,409.4,437.5,382.8,393.1,381.5,345.0,310.5,312.8,308.0,296.9,306.8,284.7,288.2,297.4,464.8,438.0,377.6,353.0,379.1,384.6,427.4,490.4,323.3,362.7,393.1,395.9,505.7,455.3,460.2,438.5,680.8,621.1,571.2,568.9,786.6,817.4,801.3,668.6,586.2,663.4,589.5,600.5,418.6,438.3,473.2,413.1,378.7,397.5,361.6,315.7,436.3,434.4,398.2,392.5,357.7,413.2
 "24000" ,"Maryland",2,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5767341,5780890,5795839,5810605,5823508,5836206,5849906,5862837,5874492,5885630,5897942,5909511,5918383,5927407,5938048,5948646,5957233,5965595,5975171,5984107,5990417,5996803,6004479,6011620,6016371,6021561,6028986,6036898,6042675,6048503,6056481,6064276,6069867,6075679
 "24000" ,"Maryland",2,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48861,49665,50081,50813,51589,52075,52587,52660,53136,53138,53106,53888,52708,52753,52697,52991,53445,54220,54873,55172,56205,56731,57149,57411,57859,58419,58913,59708,60199,60611,60996,61549,62026,62535
 "24000" ,"Maryland",2,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",105597.2,108386.4,110313.7,112837.4,115273.2,115753.5,117898.9,120104.8,123964.2,125550.2,128651.6,130542.3,133281.2,134590.8,135914.7,137069.9,139705.5,141747.3,143234.2,144714.1,144989.8,148106.1,151005.7,152926.6,155746.4,158864.5,161075.4,163497.8,163838.9,166595.4,170533.2,172340.2,174265.4,175263.9,176979.8,179521.3,180256.0,181474.2,180823.1,183484.8,187589.3,188355.6,188607.9,189183.8,185517.0,188201.9,189675.6,192612.7,191861.9,195863.7,197540.5,200732.9,202441.2,205110.1,208620.3,207623.7,211841.0,210846.6,212282.0,214101.1,214285.3,214358.9,213667.3,214510.6,216923.4,219190.6,221724.0,222915.0,228115.9,230096.3,232656.1,234722.6,237002.8,239728.3,242042.7,245895.3,247972.0,250176.5,251762.8,254841.2,256388.4,258937.4
 "24000" ,"Maryland",2,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",11620.9,11895.0,12078.9,12326.9,12590.4,12584.0,12767.3,12942.0,13255.8,13363.7,13741.0,14003.8,14390.8,14582.0,14735.1,14875.7,15161.6,15324.3,15440.0,15539.9,15596.4,15948.4,16248.1,16479.6,16869.8,17165.6,17400.1,17617.2,17731.4,17978.1,18408.3,18637.8,19058.0,19235.7,19470.1,19753.3,20010.8,20173.4,20175.1,20586.4,20845.7,20982.3,21065.0,21142.9,20693.8,20974.0,21031.1,21240.3,21411.2,21796.6,21844.9,22019.0,20047.6,20144.0,20364.8,20176.5,20756.9,20621.4,20771.5,20907.8,23679.2,23629.0,23454.6,23465.7,23878.8,24012.8,24258.7,24463.3,24935.6,25253.7,25557.2,25835.4,25770.6,26042.1,26269.0,26626.9,26842.4,27085.0,27241.9,27534.6,27864.2,28153.8
 "24000" ,"Maryland",2,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",5927.0,6072.5,6169.6,6305.0,6465.4,6469.5,6568.7,6652.3,6797.6,6854.5,7039.6,7174.3,7378.7,7486.2,7569.3,7638.2,7806.6,7891.1,7963.5,8034.5,8053.9,8228.7,8362.2,8436.6,8556.3,8667.4,8768.8,8892.0,9020.0,9173.2,9399.2,9502.9,9754.5,9835.0,9953.7,10102.0,10304.6,10416.2,10420.0,10624.8,10780.0,10853.1,10891.7,10939.9,10761.1,10888.6,10902.3,10971.7,10949.0,11085.9,11086.9,11163.4,8915.8,8956.7,9041.2,8961.5,9130.4,9087.1,9196.8,9276.8,12096.3,12127.4,12089.1,12119.8,12420.7,12500.7,12615.1,12691.7,12954.8,13094.7,13248.1,13412.1,13519.0,13695.1,13826.0,14025.6,14210.3,14338.8,14421.7,14570.8,14820.3,14974.6
 "24000" ,"Maryland",2,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",5693.9,5822.4,5909.3,6021.9,6125.0,6114.5,6198.6,6289.7,6458.2,6509.2,6701.4,6829.5,7012.1,7095.8,7165.9,7237.5,7355.0,7433.1,7476.5,7505.4,7542.5,7719.7,7885.9,8043.0,8313.5,8498.2,8631.4,8725.2,8711.4,8804.8,9009.1,9134.9,9303.6,9400.7,9516.4,9651.3,9706.2,9757.2,9755.1,9961.6,10065.7,10129.2,10173.4,10203.0,9932.7,10085.5,10128.8,10268.7,10462.1,10710.7,10758.0,10855.6,11131.9,11187.3,11323.6,11215.0,11626.5,11534.3,11574.7,11631.0,11582.9,11501.6,11365.6,11345.9,11458.1,11512.1,11643.6,11771.6,11980.8,12159.0,12309.1,12423.2,12251.6,12346.9,12443.0,12601.3,12632.1,12746.3,12820.3,12963.8,13043.9,13179.2
 "24000" ,"Maryland",2,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",15432.2,15500.2,15908.8,15832.0,16205.8,16476.4,16920.8,17384.4,18895.0,18783.2,18828.7,19453.5,19567.6,19898.3,19907.3,20096.9,19759.7,20159.9,20350.5,20660.6,20520.5,20943.0,21216.8,21712.3,21982.1,22327.1,22743.7,23130.3,23211.7,23574.8,23739.5,23903.7,22842.1,22839.6,22985.5,23129.2,23209.8,23305.7,24102.7,23840.2,22945.3,22790.1,23107.0,23463.8,22787.5,23258.9,23331.6,23550.9,23082.0,23717.3,23828.9,23897.3,23135.2,23217.2,23440.3,23320.7,22603.0,22907.7,22822.2,23431.1,22720.7,22901.5,22756.0,23230.4,21749.5,21882.8,22057.9,22568.7,22505.1,22978.7,22948.0,22950.4,22648.6,22653.3,22803.1,23104.4,23544.4,23344.2,24046.4,23679.7,24255.7,24490.1
