GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "92000" ,"Mideast",2,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",1398234.4,1427426.9,1442020.2,1454627.2,1485584.8,1491883.3,1515355.9,1536229.1,1591139.7,1619141.0,1642361.3,1671161.9,1691855.1,1691806.0,1702385.5,1693947.2,1700321.4,1717495.1,1715901.0,1723533.0,1724294.6,1748529.1,1768143.5,1791338.6,1803762.8,1835470.1,1866512.4,1901333.2,1889749.3,1917510.7,1942847.9,1985569.1,2025345.5,2053997.5,2071737.8,2108152.2,2179622.7,2188165.4,2201953.2,2220636.9,2248503.9,2281189.8,2258979.3,2238333.5,2179219.4,2221881.2,2220731.5,2243219.6,2260407.7,2303587.0,2317850.1,2335527.6,2413029.6,2423604.0,2443609.9,2450886.2,2505314.9,2530799.2,2528424.9,2604653.8,2539109.6,2565069.9,2574116.2,2593998.8,2634759.8,2660207.5,2695924.9,2723620.5,2749382.0,2791330.1,2821504.6,2817760.4,2846125.6,2857621.7,2880106.5,2912754.6,2969382.0,2992756.4,3029010.2,3074313.1,3099074.9,3127433.3
 "92000" ,"Mideast",2,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",1395966.4,1425256.5,1439882.0,1452348.2,1483068.6,1489655.1,1513243.5,1534194.6,1588756.1,1616377.9,1639641.2,1668342.6,1689202.4,1689185.1,1699651.4,1691047.8,1698717.5,1715977.0,1713928.0,1721279.2,1721791.1,1745736.8,1765221.7,1788402.9,1800140.2,1831857.4,1863116.6,1897763.7,1886368.6,1914054.2,1939460.4,1982445.9,2022470.7,2051116.3,2068894.2,2105360.0,2176160.0,2184887.1,2198646.4,2217176.9,2244379.0,2277258.5,2255549.4,2235072.0,2176673.4,2219310.0,2217920.0,2239936.2,2257187.9,2299997.5,2313991.5,2331551.8,2408367.9,2419183.9,2439064.0,2446449.9,2499837.6,2525786.3,2523613.2,2599809.5,2533323.6,2558821.2,2567961.9,2588491.3,2629069.0,2653886.4,2689806.8,2717256.3,2745324.1,2787118.6,2817110.0,2813941.5,2843144.3,2854571.2,2877311.5,2910314.7,2965868.8,2989186.8,3025752.7,3071099.9,3096616.1,3124651.1
 "92000" ,"Mideast",2,SQINC4,12,"..."," Farm income 2/","Millions of dollars",2268.0,2170.4,2138.2,2279.0,2516.2,2228.2,2112.4,2034.5,2383.5,2763.2,2720.2,2819.4,2652.7,2620.9,2734.1,2899.4,1604.0,1518.0,1972.9,2253.7,2503.6,2792.3,2921.8,2935.7,3622.6,3612.7,3395.9,3569.5,3380.7,3456.5,3387.5,3123.2,2874.8,2881.2,2843.6,2792.2,3462.7,3278.3,3306.8,3460.1,4124.9,3931.2,3429.8,3261.5,2546.1,2571.1,2811.5,3283.4,3219.8,3589.5,3858.6,3975.8,4661.6,4420.1,4545.9,4436.3,5477.4,5012.9,4811.7,4844.3,5786.0,6248.6,6154.3,5507.5,5690.8,6321.1,6118.1,6364.2,4057.9,4211.5,4394.6,3818.9,2981.4,3050.5,2795.0,2439.9,3513.1,3569.6,3257.6,3213.2,2458.7,2782.2
 "92000" ,"Mideast",2,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48118954,48178968,48254966,48331349,48390812,48450456,48520948,48586468,48639570,48690288,48753986,48813572,48848973,48887024,48938729,48988650,49020897,49052817,49097179,49137352,49154226,49173326,49205226,49233535,49241262,49252872,49283382,49318186,49335517,49353631,49389317,49423907,49439699,49457564
 "92000" ,"Mideast",2,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46975,47813,48033,48323,49865,50022,50362,50444,51508,51977,51861,53359,51979,52469,52599,52951,53748,54231,54910,55429,55934,56765,57342,57233,57800,58019,58440,59060,60188,60639,61329,62203,62684,63235
 "92000" ,"Mideast",2,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",1052667.6,1078230.0,1091974.7,1105486.6,1140830.0,1145486.2,1164502.7,1176731.2,1221440.6,1238108.5,1257994.2,1290098.6,1310461.3,1308685.6,1306599.9,1311783.7,1321532.5,1333191.8,1333501.1,1335752.4,1329496.1,1358275.6,1372958.3,1394790.5,1400372.1,1426049.0,1457727.2,1467168.6,1461162.6,1476172.1,1504441.4,1525152.6,1551899.8,1563279.6,1569472.7,1604703.7,1658885.5,1645329.6,1653545.8,1668015.6,1693672.2,1678074.9,1681777.9,1676371.3,1610368.8,1642576.7,1651650.2,1681654.8,1683815.5,1725184.2,1730859.1,1733457.2,1778464.9,1780459.7,1800586.7,1786671.4,1830907.0,1844166.3,1853298.8,1893951.5,1885074.9,1908469.4,1906166.6,1923985.4,1954714.5,1957429.0,1979714.4,2002875.3,2019205.3,2041252.7,2063081.0,2063385.5,2086111.1,2090573.4,2103299.5,2125459.5,2170312.4,2188636.3,2217465.3,2246114.6,2261427.2,2282173.5
 "92000" ,"Mideast",2,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",113698.0,116191.6,117311.7,118530.6,121476.7,121492.2,122893.0,123529.4,128003.6,128922.6,131148.9,134697.9,136576.3,136751.2,136520.1,137468.1,139545.6,140815.2,140835.9,140700.5,141388.0,144153.0,145309.9,147336.6,148894.9,151087.3,154388.9,154913.3,156764.4,158328.6,161041.0,162886.4,166486.3,167598.5,167961.9,171340.8,177167.2,175752.8,176603.5,178669.5,183166.2,182180.3,183557.9,184222.3,176533.7,180361.0,180344.4,181869.6,183054.9,185653.4,184896.8,183932.8,170563.2,170060.3,171141.2,169134.2,172660.2,173075.1,174257.3,178116.2,200359.0,203301.8,203343.7,205290.2,210165.3,209819.9,211644.1,214564.8,216848.8,219725.0,222111.9,223007.4,223942.1,224971.2,226373.5,228811.6,233551.3,235517.7,238737.5,241562.7,244674.4,246881.2
 "92000" ,"Mideast",2,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",56636.2,57967.5,58578.0,59197.3,61132.5,61168.5,61973.6,62157.9,64306.1,64758.9,65746.8,67632.2,68675.8,68663.9,68583.0,69030.3,70254.5,70926.7,70957.2,70953.4,71104.2,72663.4,73287.2,74381.8,75040.5,76160.3,77875.0,78269.7,79373.1,80256.6,81662.8,82596.1,85082.4,85630.8,85785.2,87526.1,91286.8,90290.3,90751.4,91639.8,94398.6,93651.0,94394.3,94754.2,90979.8,93130.0,93231.8,94056.6,94215.3,95554.3,94984.3,94474.3,77276.3,76939.6,77468.7,76619.2,77428.3,77823.0,78466.8,80215.6,102758.0,104432.2,104435.1,105302.8,108373.8,107905.7,108656.2,110003.8,111645.1,113077.0,114318.1,114794.4,116410.6,117142.9,117939.7,119189.3,122536.1,123601.1,125367.5,127001.1,129002.2,130143.2
 "92000" ,"Mideast",2,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",57061.8,58224.1,58733.6,59333.3,60344.2,60323.8,60919.4,61371.6,63697.5,64163.7,65402.1,67065.7,67900.5,68087.3,67937.1,68437.8,69291.1,69888.5,69878.8,69747.2,70283.7,71489.7,72022.7,72954.8,73854.4,74927.0,76513.8,76643.7,77391.3,78072.0,79378.2,80290.3,81403.9,81967.7,82176.7,83814.7,85880.4,85462.5,85852.0,87029.7,88767.7,88529.3,89163.6,89468.1,85553.9,87231.0,87112.6,87813.0,88839.6,90099.2,89912.5,89458.6,93286.9,93120.7,93672.5,92515.0,95231.9,95252.1,95790.5,97900.6,97601.0,98869.6,98908.6,99987.5,101791.5,101914.2,102987.9,104561.1,105203.8,106648.0,107793.8,108213.0,107531.5,107828.2,108433.8,109622.3,111015.2,111916.6,113370.0,114561.6,115672.2,116738.0
 "92000" ,"Mideast",2,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-12782.2,-13058.4,-13222.5,-12954.5,-12861.0,-13125.1,-13520.2,-13588.6,-11898.9,-11688.2,-11719.3,-12620.1,-12880.7,-12628.1,-12844.1,-12866.4,-14278.1,-14603.0,-14545.6,-14851.8,-15183.3,-15785.8,-15838.0,-16107.7,-17291.8,-17622.1,-17946.7,-18075.1,-18909.9,-19223.3,-19608.1,-19882.4,-21918.9,-22125.3,-22363.3,-22932.1,-25048.9,-24728.6,-25313.9,-25445.8,-28554.5,-27953.8,-28172.8,-28392.9,-24035.9,-25038.0,-25182.1,-25563.0,-27930.0,-28863.1,-28703.5,-28995.2,-31350.6,-31343.8,-31737.8,-31338.1,-32678.7,-32764.3,-32910.7,-33555.5,-31089.8,-31495.5,-31360.8,-32023.5,-33721.9,-33880.0,-34419.0,-34875.6,-34572.6,-35018.0,-35320.2,-35392.6,-35591.3,-35875.2,-36028.0,-36500.8,-39659.2,-39794.4,-40505.5,-41023.0,-41333.2,-41685.6
