GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "23000" ,"Maine",1,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",30136.2,30804.2,31239.5,31585.4,31703.8,32186.6,33187.3,33104.6,34281.2,34938.9,35335.3,35668.1,36527.9,36978.3,37029.2,37463.5,37918.9,38317.6,38647.7,38999.6,39343.5,39662.9,40295.5,41164.4,41318.4,41902.0,42325.4,43100.9,42228.8,42794.9,43302.7,44353.3,45079.9,45510.6,45623.4,45902.5,46643.4,47222.8,47480.5,47700.5,48421.2,49958.0,49260.2,49014.6,48174.2,49300.9,49289.0,49575.4,49665.9,50173.2,50648.5,50526.8,51848.8,51944.3,52366.1,52863.4,52956.4,53548.0,53137.2,53837.9,52888.4,53127.8,53366.5,53880.7,54345.5,55346.9,55971.5,57002.3,56837.0,57797.1,58349.7,58927.4,58835.2,59507.3,59671.8,60294.3,61340.6,61583.7,62441.3,62874.3,63763.4,64420.7
 "23000" ,"Maine",1,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",29957.4,30632.7,31076.5,31408.3,31468.4,31993.7,33011.6,32948.0,34108.2,34724.0,35119.1,35461.1,36345.5,36795.8,36838.0,37267.6,37781.3,38185.4,38488.2,38824.9,39202.2,39506.4,40132.2,40997.1,41143.7,41725.5,42160.8,42928.4,42061.0,42622.3,43133.2,44196.9,44917.3,45350.6,45460.4,45730.8,46467.1,47054.5,47306.4,47514.4,48219.7,49761.6,49084.0,48856.3,48004.9,49134.6,49121.8,49373.8,49420.0,49921.3,50388.5,50261.1,51625.1,51735.1,52153.2,52654.4,52691.9,53291.9,52875.0,53588.2,52623.1,52847.1,53089.2,53643.2,54115.6,55100.0,55748.5,56781.7,56612.1,57564.8,58102.3,58691.5,58673.7,59337.7,59506.7,60143.6,61180.5,61430.2,62298.7,62738.3,63652.6,64290.9
 "23000" ,"Maine",1,SQINC4,12,"..."," Farm income 2/","Millions of dollars",178.8,171.6,163.0,177.1,235.5,192.9,175.8,156.6,173.1,214.9,216.2,206.9,182.5,182.5,191.1,195.8,137.7,132.2,159.5,174.8,141.4,156.5,163.3,167.4,174.7,176.5,164.7,172.5,167.8,172.6,169.5,156.4,162.6,160.0,163.0,171.7,176.3,168.3,174.1,186.1,201.5,196.4,176.1,158.3,169.3,166.3,167.2,201.5,245.9,251.9,260.0,265.7,223.7,209.2,213.0,209.0,264.5,256.1,262.2,249.6,265.2,280.7,277.3,237.4,229.9,246.9,223.0,220.7,224.9,232.3,247.4,235.9,161.5,169.5,165.1,150.7,160.0,153.5,142.6,136.0,110.8,129.7
 "23000" ,"Maine",1,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1328737,1327952,1327824,1328127,1327922,1327860,1328130,1328340,1328168,1328048,1328340,1328593,1328135,1327898,1328244,1328743,1328720,1328771,1329033,1329051,1328375,1327871,1328292,1329187,1329442,1329880,1331112,1332777,1333921,1335132,1336799,1338432,1339528,1340735
 "23000" ,"Maine",1,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37378,37782,38144,38044,39045,39119,39428,39797,39872,40321,40003,40522,39822,40009,40178,40550,40901,41653,42114,42889,42787,43526,43928,44333,44256,44746,44829,45240,45985,46126,46710,46976,47601,48049
 "23000" ,"Maine",1,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",20724.4,21286.3,21722.4,22139.6,22239.8,22775.6,23779.0,23426.2,24258.1,24603.6,24807.2,24977.9,25780.4,26067.4,26229.5,26381.3,26781.8,27065.0,27375.4,27445.6,27667.7,27892.3,28314.6,29173.2,29129.2,29559.8,30013.9,30247.8,29713.4,30016.4,30379.3,31090.2,31571.0,31877.3,31949.2,32014.8,32427.4,32532.8,32507.2,32596.0,33060.5,32964.6,32999.3,32942.3,31923.1,32512.4,32906.6,33365.6,33240.6,33817.1,34162.7,33779.3,34075.9,33947.8,34265.7,34395.6,34764.9,35113.6,34833.2,34931.0,35253.4,35326.1,35309.9,35583.1,35874.1,36227.4,36493.6,37364.6,36988.9,37769.9,38174.2,38855.9,38445.5,38917.3,38963.1,39499.6,40171.7,40313.7,40993.7,41053.6,41613.2,42147.3
 "23000" ,"Maine",1,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",2465.0,2526.5,2571.8,2611.5,2602.3,2658.1,2769.0,2704.6,2788.1,2803.2,2826.6,2843.1,2947.7,2961.4,2948.1,2939.7,2967.8,2973.5,2985.4,2967.9,3010.4,3025.5,3060.4,3140.5,3160.9,3194.2,3246.2,3269.3,3276.6,3303.6,3327.5,3382.0,3490.9,3542.1,3554.5,3573.8,3671.6,3692.6,3699.3,3724.4,3805.7,3795.6,3810.6,3798.0,3658.5,3719.7,3743.4,3772.2,3788.2,3841.0,3876.4,3816.4,3507.4,3484.7,3516.4,3530.4,3585.7,3633.2,3603.9,3618.4,4182.4,4189.5,4175.9,4185.2,4222.4,4225.5,4251.9,4383.7,4355.5,4490.3,4538.5,4611.1,4558.2,4596.7,4587.8,4645.2,4739.7,4758.7,4841.4,4843.3,4943.8,5002.5
 "23000" ,"Maine",1,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",1237.4,1268.8,1293.2,1314.8,1315.4,1344.9,1400.8,1368.0,1403.5,1412.3,1425.5,1438.3,1501.3,1518.4,1524.3,1529.6,1561.6,1572.6,1586.6,1583.6,1603.9,1613.7,1635.9,1684.8,1697.8,1722.1,1753.1,1771.5,1780.6,1797.6,1809.5,1837.9,1908.2,1936.9,1945.6,1954.5,2017.5,2030.6,2033.4,2043.3,2092.6,2086.6,2093.2,2089.2,2022.2,2053.9,2064.9,2074.0,2064.4,2086.7,2106.4,2077.9,1701.5,1700.0,1721.4,1736.7,1751.6,1774.1,1758.3,1753.8,2285.7,2284.4,2277.0,2285.4,2322.1,2330.6,2344.4,2414.1,2401.1,2472.5,2497.9,2540.8,2535.9,2563.8,2562.9,2595.6,2665.5,2675.6,2722.8,2723.0,2792.5,2824.8
 "23000" ,"Maine",1,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",1227.6,1257.7,1278.6,1296.7,1286.9,1313.2,1368.2,1336.6,1384.7,1390.9,1401.1,1404.8,1446.4,1443.1,1423.8,1410.0,1406.2,1400.9,1398.8,1384.3,1406.5,1411.8,1424.6,1455.7,1463.1,1472.1,1493.1,1497.8,1496.0,1506.0,1518.1,1544.1,1582.7,1605.1,1608.9,1619.3,1654.1,1662.0,1665.9,1681.1,1713.1,1709.0,1717.4,1708.8,1636.3,1665.8,1678.5,1698.1,1723.7,1754.3,1769.9,1738.5,1805.9,1784.7,1795.0,1793.7,1834.1,1859.0,1845.6,1864.6,1896.7,1905.1,1898.9,1899.7,1900.3,1894.8,1907.5,1969.6,1954.4,2017.8,2040.6,2070.2,2022.4,2032.9,2024.9,2049.6,2074.2,2083.0,2118.6,2120.3,2151.3,2177.8
 "23000" ,"Maine",1,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",497.0,511.2,526.9,539.7,569.0,575.5,581.7,611.3,694.3,685.3,704.0,721.1,725.3,711.5,704.9,708.0,669.8,680.6,675.9,680.5,642.1,650.9,661.3,671.9,659.9,677.6,698.6,693.0,673.3,685.6,698.2,699.8,706.9,704.2,714.0,764.8,711.7,729.9,719.7,730.3,709.7,705.7,700.8,706.7,683.1,682.3,692.5,693.2,699.6,732.9,739.9,745.3,779.3,808.6,804.4,792.8,817.1,816.1,827.1,867.2,857.5,871.8,873.1,879.2,912.0,925.0,922.1,953.5,965.4,986.1,985.7,1013.5,988.1,994.7,1013.9,998.0,998.1,999.8,1032.0,1016.4,1059.9,1057.5
 "23000" ,"Maine",1,SQINC4,45,"..."," Equals: Net earnings by place of residence","Millions of dollars",18756.4,19271.0,19677.4,20067.8,20206.6,20693.0,21591.7,21332.9,22164.2,22485.7,22684.5,22855.9,23557.9,23817.5,23986.2,24149.7,24483.8,24772.1,25065.9,25158.3,25299.4,25517.8,25915.5,26704.6,26628.3,27043.3,27466.3,27671.4,27110.1,27398.4,27750.0,28408.0,28787.0,29039.4,29108.6,29205.8,29467.4,29570.1,29527.7,29601.9,29964.4,29874.7,29889.5,29851.0,28947.8,29474.9,29855.6,30286.6,30152.1,30709.0,31026.2,30708.2,31347.8,31271.6,31553.7,31658.0,31996.3,32296.5,32056.4,32179.8,31928.6,32008.4,32007.1,32277.1,32563.6,32927.0,33163.8,33934.4,33598.8,34265.7,34621.4,35258.3,34875.4,35315.3,35389.2,35852.4,36430.1,36554.8,37184.2,37226.7,37729.3,38202.2
 "23000" ,"Maine",1,SQINC4,46,"..."," Plus: Dividends, interest, and rent 7/","Millions of dollars",6269.7,6399.0,6429.4,6331.1,6248.3,6255.5,6288.3,6400.4,6675.3,6844.3,6963.3,7062.3,7047.5,7081.6,7078.0,7057.0,7108.7,7165.9,7108.3,7176.8,7244.1,7172.2,7199.8,7295.8,7334.6,7398.8,7355.1,7792.3,7217.7,7290.1,7292.1,7640.3,7839.7,8131.8,8281.2,8366.2,8495.9,8826.0,8880.2,8883.7,8993.4,8915.3,9026.0,8843.7,8399.8,8293.2,8165.4,8078.7,8092.0,8201.7,8277.3,8522.1,8766.1,8906.9,8994.3,9255.3,9355.3,9467.5,9298.8,9817.1,9108.8,9157.4,9316.0,9476.2,9790.1,10157.4,10386.1,10472.1,10485.7,10691.4,10810.5,10786.9,10876.5,10999.1,11096.2,11221.6,11449.0,11503.1,11552.4,11808.8,11915.0,12008.7
 "23000" ,"Maine",1,SQINC4,47,"..."," Plus: Personal current transfer receipts","Millions of dollars",5110.0,5134.2,5132.7,5186.5,5249.0,5238.1,5307.3,5371.3,5441.6,5608.9,5687.5,5749.8,5922.5,6079.2,5964.9,6256.8,6326.4,6379.6,6473.6,6664.6,6800.0,6972.9,7180.2,7164.0,7355.5,7459.9,7504.0,7637.2,7901.1,8106.4,8260.6,8304.9,8453.2,8339.4,8233.6,8330.5,8680.0,8826.7,9072.6,9214.9,9463.4,11168.1,10344.7,10320.0,10826.7,11532.7,11268.0,11210.1,11421.8,11262.5,11344.9,11296.5,11734.8,11765.7,11818.1,11950.1,11604.8,11784.1,11782.0,11841.1,11851.0,11962.0,12043.4,12127.4,11991.8,12262.6,12421.6,12595.8,12752.5,12840.0,12917.8,12882.2,13083.3,13192.9,13186.4,13220.3,13461.4,13525.7,13704.8,13838.7,14119.1,14209.7
 "23000" ,"Maine",1,SQINC4,50,"..."," Wages and salaries","Millions of dollars",14776.8,15173.7,15492.7,15781.6,15760.1,16145.5,16873.8,16575.7,17162.3,17291.0,17442.5,17502.9,18121.5,18227.5,18252.7,18337.3,18616.5,18841.0,19063.2,19064.2,19255.3,19415.3,19707.4,20325.7,20248.8,20556.3,20906.2,21043.8,20805.6,20922.0,21010.8,21278.2,21827.0,22063.1,22121.8,22236.3,22836.0,22990.8,23036.7,23223.7,23764.6,23720.5,23818.9,23753.7,22686.6,23050.8,23167.2,23319.9,22925.6,23347.2,23665.2,23392.4,23813.9,23672.0,23855.6,23828.3,24199.0,24437.9,24242.8,24420.6,24852.4,24870.6,24823.4,25037.6,25408.1,25560.1,25718.0,26432.8,26046.2,26726.5,26974.6,27465.2,27256.8,27617.1,27657.5,28033.7,28431.9,28500.3,29010.3,29013.7,29463.6,29828.3
 "23000" ,"Maine",1,SQINC4,60,"..."," Supplements to wages and salaries","Millions of dollars",3400.9,3504.3,3581.8,3634.9,3631.4,3734.2,3913.4,3893.8,4033.4,4113.4,4150.6,4180.1,4322.5,4349.1,4387.0,4415.5,4527.4,4568.9,4623.2,4654.8,4713.2,4734.3,4799.3,4942.2,5014.0,5085.9,5152.2,5222.0,5216.4,5278.2,5312.1,5434.1,5595.9,5710.3,5772.1,5754.9,5830.1,5853.9,5860.8,5855.6,5936.7,5923.9,5919.4,5911.4,5784.5,5860.1,5895.8,5916.6,5927.4,5969.1,5988.6,5859.9,5920.7,5837.0,5858.8,5910.4,5976.0,6068.8,6049.8,6041.7,6173.5,6196.5,6213.6,6272.2,6288.5,6350.2,6392.3,6559.8,6471.1,6650.9,6716.1,6816.3,6762.7,6860.4,6862.6,6940.0,7044.3,7072.3,7176.7,7181.4,7250.5,7318.3
 "23000" ,"Maine",1,SQINC4,61,"...","  Employer contributions for employee pension and insurance funds 8/","Millions of dollars",2173.2,2246.6,2303.2,2338.2,2344.5,2421.0,2545.2,2557.3,2648.7,2722.5,2749.5,2775.3,2876.0,2906.0,2963.2,3005.5,3121.2,3168.1,3224.4,3270.5,3306.7,3322.5,3374.8,3486.5,3550.9,3613.8,3659.1,3724.2,3720.4,3772.2,3794.1,3890.1,4013.2,4105.2,4163.2,4135.6,4176.0,4191.9,4195.0,4174.6,4223.6,4214.9,4202.0,4202.6,4148.3,4194.3,4217.2,4218.5,4203.7,4214.8,4218.7,4121.4,4114.8,4052.3,4063.8,4116.6,4141.9,4209.8,4204.1,4177.1,4276.8,4291.5,4314.6,4372.5,4388.2,4455.4,4484.8,4590.2,4516.7,4633.1,4675.4,4746.0,4740.3,4827.5,4837.7,4890.5,4970.1,4989.3,5058.0,5061.1,5099.3,5140.5
 "23000" ,"Maine",1,SQINC4,62,"...","  Employer contributions for government social insurance","Millions of dollars",1227.6,1257.7,1278.6,1296.7,1286.9,1313.2,1368.2,1336.6,1384.7,1390.9,1401.1,1404.8,1446.4,1443.1,1423.8,1410.0,1406.2,1400.9,1398.8,1384.3,1406.5,1411.8,1424.6,1455.7,1463.1,1472.1,1493.1,1497.8,1496.0,1506.0,1518.1,1544.1,1582.7,1605.1,1608.9,1619.3,1654.1,1662.0,1665.9,1681.1,1713.1,1709.0,1717.4,1708.8,1636.3,1665.8,1678.5,1698.1,1723.7,1754.3,1769.9,1738.5,1805.9,1784.7,1795.0,1793.7,1834.1,1859.0,1845.6,1864.6,1896.7,1905.1,1898.9,1899.7,1900.3,1894.8,1907.5,1969.6,1954.4,2017.8,2040.6,2070.2,2022.4,2032.9,2024.9,2049.6,2074.2,2083.0,2118.6,2120.3,2151.3,2177.8
 "23000" ,"Maine",1,SQINC4,70,"..."," Proprietors' income 9/","Millions of dollars",2546.8,2608.4,2647.8,2723.1,2848.3,2895.9,2991.8,2956.7,3062.4,3199.2,3214.0,3294.9,3336.4,3490.9,3589.9,3628.5,3637.9,3655.0,3689.0,3726.6,3699.3,3742.8,3807.8,3905.3,3866.4,3917.6,3955.5,3981.9,3691.4,3816.2,4056.3,4377.8,4148.0,4103.8,4055.3,4023.7,3761.2,3688.1,3609.6,3516.7,3359.2,3320.2,3261.0,3277.1,3452.1,3601.5,3843.6,4129.1,4387.6,4500.8,4508.9,4527.0,4341.3,4438.8,4551.3,4656.9,4589.9,4606.9,4540.7,4468.7,4227.6,4258.9,4273.0,4273.3,4177.4,4317.0,4383.3,4371.9,4471.7,4392.6,4483.6,4574.4,4426.1,4439.8,4443.0,4525.9,4695.5,4741.1,4806.7,4858.6,4899.1,5000.7
 "23000" ,"Maine",1,SQINC4,71,"...","  Farm proprietors' income","Millions of dollars",103.9,96.3,88.2,103.0,165.6,124.2,106.7,85.9,96.6,135.3,133.9,122.8,100.3,99.2,107.2,111.9,33.1,28.5,56.8,73.1,49.9,65.1,71.1,73.3,87.5,87.3,74.2,81.4,95.0,100.1,97.8,85.7,84.4,81.7,83.1,88.7,86.7,75.3,78.9,90.3,113.6,109.0,88.8,70.7,84.7,81.7,83.0,118.2,163.4,171.1,181.0,188.8,155.7,141.3,143.0,134.7,148.1,133.5,136.4,123.7,139.4,156.2,152.8,111.9,97.0,113.0,89.6,89.4,114.1,123.2,138.6,125.9,40.2,46.3,40.7,25.9,47.3,40.5,29.1,21.6,-4.5,13.6
 "23000" ,"Maine",1,SQINC4,72,"...","  Nonfarm proprietors' income","Millions of dollars",2442.9,2512.0,2559.7,2620.1,2682.7,2771.7,2885.1,2870.7,2965.8,3063.9,3080.1,3172.1,3236.1,3391.7,3482.6,3516.6,3604.8,3626.5,3632.1,3653.4,3649.4,3677.7,3736.7,3832.0,3778.9,3830.3,3881.3,3900.5,3596.3,3716.1,3958.6,4292.1,4063.7,4022.1,3972.2,3935.0,3674.5,3612.8,3530.7,3426.4,3245.6,3211.3,3172.2,3206.4,3367.3,3519.8,3760.7,4010.8,4224.2,4329.7,4327.8,4338.2,4185.6,4297.5,4408.3,4522.2,4441.8,4473.3,4404.2,4345.0,4088.2,4102.7,4120.1,4161.4,4080.5,4204.0,4293.6,4282.6,4357.6,4269.3,4345.0,4448.5,4385.9,4393.5,4402.2,4500.0,4648.2,4700.7,4777.6,4837.0,4903.6,4987.1
"Note: See the included footnote file."
"SQINC4 Personal Income by Major Component "
