GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "29000" ,"Missouri",4,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",138509.7,140319.9,142222.2,143514.2,144578.0,145718.9,147183.0,150620.0,154029.4,156767.2,158895.0,158958.8,161468.9,162141.9,161591.9,163083.4,164034.4,165073.3,165984.7,167997.6,169619.9,170883.1,172532.5,174123.9,177287.5,179222.3,181559.9,184272.6,182931.6,185832.7,187560.0,191186.8,195213.0,198402.7,199130.1,201046.8,204095.6,207781.7,209058.4,211802.3,214834.2,223149.6,217949.3,221713.9,214354.3,216289.1,215581.2,215937.6,217533.2,220091.0,221767.8,222794.4,226932.2,228167.4,230889.3,232588.5,237607.5,240409.5,239069.5,246804.7,240964.4,242243.6,243121.5,243928.6,246826.1,250146.4,253395.1,256192.0,257121.6,259556.9,261956.0,261944.0,263794.6,264265.9,265489.4,268430.7,271794.8,274088.2,276014.4,278005.8,281183.6,284046.6
 "29000" ,"Missouri",4,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",138058.2,139855.8,141663.2,142867.1,144143.8,145506.1,147000.1,150547.7,153351.5,155976.7,158115.8,158111.8,160575.9,161295.8,160795.7,162331.6,163671.3,164843.7,165592.1,167417.2,168717.4,169818.8,171460.6,173023.8,174842.6,176883.7,179516.5,182019.9,181508.8,184299.1,186092.2,189899.5,193981.6,197158.8,197870.6,199760.7,202830.2,206458.6,207695.8,210110.6,212517.2,220973.8,216126.3,220047.6,212930.0,214826.4,213985.4,214017.0,216221.1,218749.0,220285.0,221206.0,224574.4,226084.2,228795.4,230581.8,235744.3,238894.2,238056.8,245772.9,238048.2,239223.3,240103.1,241505.5,243690.6,246854.7,250434.9,253246.6,256604.4,258963.8,261207.3,261423.7,262748.1,263183.8,264589.7,267796.4,270615.7,272981.0,275088.4,277083.7,280391.4,282966.0
 "29000" ,"Missouri",4,SQINC4,12,"..."," Farm income 2/","Millions of dollars",451.5,464.1,558.9,647.2,434.2,212.8,183.0,72.3,677.8,790.5,779.2,847.0,892.9,846.1,796.2,751.8,363.1,229.7,392.7,580.4,902.6,1064.4,1071.9,1100.0,2444.9,2338.6,2043.4,2252.7,1422.8,1533.6,1467.8,1287.3,1231.5,1243.9,1259.5,1286.1,1265.4,1323.1,1362.6,1691.7,2317.0,2175.8,1823.0,1666.3,1424.4,1462.7,1595.8,1920.6,1312.1,1342.0,1482.7,1588.4,2357.7,2083.2,2093.8,2006.7,1863.3,1515.3,1012.7,1031.8,2916.2,3020.3,3018.4,2423.1,3135.5,3291.7,2960.2,2945.4,517.2,593.1,748.6,520.4,1046.4,1082.1,899.7,634.3,1179.2,1107.1,926.1,922.1,792.1,1080.5
 "29000" ,"Missouri",4,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5985064,5992230,5998455,6002975,6005437,6008229,6012598,6016593,6019079,6021542,6026672,6032426,6035128,6038566,6043927,6049306,6052428,6055798,6061016,6066004,6068007,6070652,6075868,6081611,6084748,6088599,6094699,6101289,6105758,6110431,6117226,6123893,6128198,6132845
 "29000" ,"Missouri",4,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36346,36729,36971,37114,37788,37976,38401,38658,39476,39925,39669,40913,39927,40116,40226,40323,40781,41307,41807,42234,42373,42756,43114,43071,43353,43403,43561,43996,44515,44856,45121,45397,45884,46316
 "29000" ,"Missouri",4,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",104865.2,106174.3,108162.5,109719.6,111303.3,112428.3,113442.9,116276.0,118902.9,120463.8,122021.9,121952.3,123586.0,124073.3,124438.5,125261.1,126828.1,127308.4,128403.6,129597.1,130263.8,131551.4,132966.8,134099.8,137102.0,138708.3,141019.2,141360.8,141190.6,143132.1,144847.4,146871.0,149602.9,151270.9,150969.7,152510.3,153795.4,155910.3,156256.3,158023.1,159737.4,161807.1,160246.9,167346.9,158536.4,158757.4,159298.6,159841.4,159708.1,161525.3,162264.4,162339.0,163623.2,164658.6,167001.7,165992.0,169658.9,170631.7,170411.3,174447.8,177041.0,178285.9,178103.3,178338.0,180095.8,180780.6,182370.8,184541.4,184631.7,186161.7,188047.4,188216.6,189138.6,188815.8,189461.6,191977.5,194093.7,196070.7,197440.4,198152.9,200491.6,202711.7
 "29000" ,"Missouri",4,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",11790.7,11910.6,12107.7,12230.5,12455.5,12561.4,12622.5,12907.3,13133.3,13236.6,13418.2,13415.0,13622.9,13678.7,13686.2,13766.3,13933.5,13968.3,14046.5,14130.8,14283.6,14400.5,14523.7,14584.4,14781.7,14893.7,15143.6,15114.9,15421.2,15632.7,15828.1,16068.9,16502.8,16745.0,16730.2,16920.1,17241.9,17481.5,17533.8,17737.3,17867.0,18129.8,18055.6,18962.8,17829.2,17804.0,17705.2,17546.4,17694.1,17732.0,17699.0,17677.4,16165.1,16274.1,16480.0,16297.1,16634.7,16655.1,16655.1,17044.6,19309.4,19455.3,19456.3,19552.8,19848.3,19866.3,20036.3,20328.2,20731.3,21004.6,21224.3,21383.4,21442.2,21498.3,21545.3,21803.1,22060.6,22198.7,22315.8,22361.5,22782.8,22993.2
 "29000" ,"Missouri",4,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",6123.7,6186.4,6286.7,6354.6,6484.9,6541.3,6572.4,6717.7,6819.5,6877.9,6965.6,6962.9,7076.3,7111.7,7125.5,7168.1,7284.3,7297.3,7338.7,7382.0,7430.9,7487.4,7558.5,7606.4,7726.5,7796.1,7930.1,7906.9,8074.2,8169.8,8258.1,8373.9,8657.8,8796.4,8790.4,8889.2,9100.0,9237.8,9254.7,9338.0,9412.6,9546.8,9483.0,10001.7,9407.0,9395.3,9366.7,9300.4,9375.0,9400.9,9404.0,9409.6,7615.0,7685.1,7793.6,7736.5,7826.5,7838.2,7845.7,8001.9,10299.8,10369.4,10373.3,10419.3,10623.1,10626.8,10705.8,10842.2,11085.4,11209.4,11315.9,11389.2,11511.0,11538.6,11574.0,11725.3,11959.2,12060.5,12128.5,12159.6,12445.1,12561.5
 "29000" ,"Missouri",4,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",5667.0,5724.2,5821.0,5875.9,5970.6,6020.0,6050.1,6189.6,6313.8,6358.6,6452.6,6452.1,6546.6,6567.1,6560.7,6598.1,6649.2,6671.0,6707.8,6748.9,6852.7,6913.1,6965.2,6978.0,7055.2,7097.6,7213.5,7208.0,7347.0,7462.9,7570.0,7695.1,7845.0,7948.6,7939.8,8030.9,8141.9,8243.7,8279.1,8399.3,8454.4,8583.0,8572.7,8961.2,8422.3,8408.7,8338.5,8245.9,8319.0,8331.1,8295.0,8267.8,8550.1,8588.9,8686.4,8560.6,8808.3,8816.9,8809.4,9042.7,9009.6,9085.9,9082.9,9133.6,9225.3,9239.5,9330.5,9486.0,9645.9,9795.2,9908.4,9994.2,9931.2,9959.7,9971.3,10077.8,10101.4,10138.2,10187.3,10201.9,10337.7,10431.7
 "29000" ,"Missouri",4,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-3495.1,-3509.5,-3579.9,-3618.4,-3610.8,-3652.1,-3699.5,-3757.5,-3927.6,-3950.7,-3968.8,-4007.9,-4022.4,-4007.8,-3994.0,-4053.6,-4100.8,-4062.0,-4151.7,-4209.6,-4109.4,-4181.6,-4213.5,-4222.6,-4237.2,-4258.6,-4308.9,-4322.3,-4473.9,-4552.2,-4568.0,-4695.4,-4987.5,-5055.9,-4956.2,-4894.3,-4758.9,-4848.8,-4872.7,-4870.0,-5211.7,-5331.8,-5212.2,-5947.0,-5169.4,-5130.1,-5132.5,-5044.8,-5001.0,-4960.6,-4893.8,-4854.0,-4363.8,-4301.9,-4367.8,-4315.2,-4783.7,-4841.2,-4888.1,-4999.3,-4762.3,-4720.6,-4693.6,-4715.6,-4691.6,-4719.3,-4805.5,-4912.1,-4902.8,-4963.3,-5057.6,-5041.5,-4913.9,-4836.9,-4798.2,-4904.6,-5018.3,-5132.5,-5152.8,-5167.3,-5248.4,-5284.7
