GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "28000" ,"Mississippi",5,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",55757.1,56509.9,57145.7,57804.9,57730.0,58076.3,58882.1,59843.3,60755.9,61693.4,62159.6,62587.5,64472.5,65444.3,65061.6,65956.1,65509.5,66279.2,66608.0,67092.8,68218.3,68404.2,69187.3,70111.5,71165.5,72349.9,73553.1,74515.8,75377.0,76435.9,79085.4,80198.2,80178.3,80739.0,81312.1,82046.0,83711.9,86290.2,87169.6,87267.4,88025.8,92877.5,89814.9,89434.9,88565.5,89149.6,88209.1,88394.6,89773.7,91892.0,92824.4,93227.2,95332.4,95146.3,96114.0,96785.2,98734.3,99665.8,98814.3,100427.3,100134.7,100536.6,102493.5,101383.4,101969.8,103548.6,103877.8,104622.4,103775.1,104785.0,105511.1,105500.5,106322.7,106526.8,106911.8,107898.5,108874.2,108636.7,109632.3,110153.3,111871.8,113056.8
 "28000" ,"Mississippi",5,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",54800.4,55614.4,56208.7,56766.5,56741.0,57145.5,57960.9,58949.7,60019.7,60903.5,61370.7,61780.5,62800.9,63803.0,63528.8,64517.8,64880.2,65743.9,65996.4,66349.4,67104.4,67186.9,67968.0,68951.1,69270.3,70579.6,71878.0,72674.7,73666.9,74576.1,77267.8,78574.3,79242.1,79910.6,80535.5,81330.8,82530.1,85170.8,86058.4,86098.3,87118.5,92077.4,89228.6,88877.7,87807.3,88385.3,87376.7,87444.3,89063.2,91066.8,91902.3,92222.7,94688.3,94620.4,95552.7,96305.1,97899.1,98888.8,98045.1,99648.8,98092.5,98448.2,99149.9,99743.7,100684.0,102041.9,102669.9,103414.0,103162.1,104127.3,104762.4,104894.7,105751.7,105896.7,106374.2,107468.7,108091.0,107893.0,108982.3,109507.3,110508.7,111468.4
 "28000" ,"Mississippi",5,SQINC4,12,"..."," Farm income 2/","Millions of dollars",956.6,895.5,937.0,1038.4,989.0,930.8,921.2,893.6,736.2,789.9,789.0,807.0,1671.7,1641.3,1532.8,1438.3,629.3,535.3,611.6,743.4,1114.0,1217.3,1219.3,1160.4,1895.2,1770.3,1675.1,1841.1,1710.1,1859.8,1817.5,1623.9,936.1,828.4,776.6,715.3,1181.9,1119.4,1111.2,1169.1,907.4,800.2,586.3,557.2,758.2,764.3,832.4,950.4,710.4,825.2,922.1,1004.5,644.1,525.9,561.2,480.1,835.2,777.0,769.2,778.5,2042.1,2088.5,3343.6,1639.7,1285.8,1506.7,1207.9,1208.4,613.0,657.7,748.8,605.8,571.0,630.0,537.5,429.7,783.2,743.7,650.1,646.0,1363.1,1588.4
 "28000" ,"Mississippi",5,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2966928,2969254,2971745,2974016,2975343,2976582,2978488,2980258,2981451,2982318,2984104,2985942,2986454,2987056,2988155,2988969,2988820,2988527,2988721,2988565,2987120,2985731,2985733,2986299,2985661,2985302,2985618,2985813,2984948,2984134,2984390,2984600,2983642,2982807
 "28000" ,"Mississippi",5,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30258,30948,31236,31347,32041,31965,32269,32475,33116,33419,33114,33633,33530,33657,34300,33919,34117,34649,34757,35008,34741,35095,35338,35328,35611,35684,35809,36137,36474,36405,36735,36907,37495,37903
 "28000" ,"Mississippi",5,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",38812.0,39301.2,39925.3,40704.9,40642.6,40973.5,41669.8,42289.5,42684.0,43057.7,43010.3,43105.4,44314.8,44860.0,44738.9,45007.7,44638.1,45295.3,45679.5,45851.4,46750.5,47095.1,47809.3,48661.1,49535.3,50346.8,51358.5,51427.1,51894.2,52337.2,52633.4,54205.9,53980.4,54429.2,54697.9,55372.7,56173.7,55994.4,56735.5,57396.9,58167.1,58559.5,58242.5,58376.1,56739.1,56245.3,55903.0,56258.9,57115.7,58447.4,59060.9,58817.7,59365.6,59296.4,60068.4,59992.8,62307.0,62614.9,62109.4,62580.9,64439.6,64526.1,66163.7,64883.1,65123.1,65970.6,65545.6,65981.5,64764.3,65159.7,65580.5,65539.0,65970.7,65694.7,65770.1,66466.1,67347.3,67116.5,67859.9,68039.6,69225.6,70123.3
 "28000" ,"Mississippi",5,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",4486.1,4544.0,4606.3,4680.3,4702.1,4740.4,4814.7,4874.3,4924.7,4938.8,4925.0,4915.9,4962.3,5020.1,5007.7,5061.1,5136.2,5226.8,5255.6,5235.4,5299.6,5315.4,5393.0,5493.7,5587.9,5680.6,5789.0,5734.2,5850.0,5853.4,5871.1,6082.1,6254.5,6370.1,6434.4,6536.7,6635.0,6602.3,6683.6,6762.7,6862.4,6900.8,6880.6,6913.6,6790.7,6834.8,6797.7,6773.4,6844.5,6917.1,6932.3,6869.2,6344.3,6362.8,6454.5,6453.1,6625.8,6652.4,6582.1,6608.6,7544.5,7528.6,7554.6,7577.1,7677.7,7734.8,7721.8,7837.1,7837.7,7952.8,8000.6,8006.4,8097.5,8042.2,8036.7,8119.0,8263.9,8241.6,8342.6,8359.1,8462.1,8539.5
 "28000" ,"Mississippi",5,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",2347.8,2378.7,2412.1,2453.4,2471.3,2494.6,2534.4,2565.5,2586.7,2597.4,2588.2,2591.1,2622.4,2658.2,2654.0,2680.4,2723.5,2770.3,2790.0,2787.9,2820.9,2831.1,2872.3,2922.8,2960.2,3007.7,3068.1,3050.8,3134.7,3152.1,3171.8,3291.4,3408.9,3477.4,3516.9,3575.9,3653.1,3642.8,3687.2,3726.6,3794.8,3814.1,3795.8,3809.9,3749.1,3769.6,3757.5,3755.3,3794.2,3835.5,3842.1,3795.2,3093.0,3094.2,3133.6,3142.4,3203.9,3224.0,3197.1,3203.4,4146.5,4146.9,4170.8,4186.4,4263.2,4300.0,4292.3,4351.6,4366.2,4424.7,4449.5,4452.1,4536.6,4506.0,4502.6,4550.1,4658.0,4645.9,4702.4,4710.2,4790.2,4835.6
 "28000" ,"Mississippi",5,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",2138.3,2165.3,2194.2,2227.0,2230.8,2245.8,2280.3,2308.8,2338.0,2341.5,2336.8,2324.8,2339.9,2361.9,2353.7,2380.7,2412.7,2456.5,2465.7,2447.5,2478.7,2484.3,2520.7,2570.9,2627.8,2672.9,2720.9,2683.4,2715.3,2701.4,2699.3,2790.7,2845.7,2892.7,2917.5,2960.8,2981.9,2959.5,2996.5,3036.1,3067.6,3086.7,3084.8,3103.7,3041.6,3065.3,3040.2,3018.1,3050.3,3081.7,3090.2,3074.0,3251.3,3268.6,3321.0,3310.7,3422.0,3428.4,3385.0,3405.1,3398.0,3381.7,3383.8,3390.7,3414.6,3434.9,3429.6,3485.5,3471.5,3528.1,3551.0,3554.2,3560.9,3536.2,3534.1,3568.8,3606.0,3595.7,3640.2,3648.9,3671.9,3704.0
 "28000" ,"Mississippi",5,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",1151.8,1194.2,1193.5,1211.4,1260.0,1281.9,1279.7,1324.5,1456.6,1457.5,1508.3,1488.9,1531.3,1534.4,1548.6,1548.5,1561.7,1580.4,1581.6,1609.9,1624.4,1659.2,1677.9,1706.0,1731.7,1761.1,1799.6,1818.0,1866.7,1886.8,1923.4,1904.8,2052.3,2103.6,2121.0,2173.8,2216.3,2265.7,2270.3,2321.2,2410.7,2395.2,2425.8,2405.3,2373.5,2358.7,2350.0,2381.3,2372.9,2405.8,2443.6,2487.7,2602.6,2637.0,2684.8,2671.0,2784.1,2835.4,2842.1,2938.7,2980.7,2989.2,2980.4,3008.5,3008.9,3020.0,3060.1,3111.9,3129.0,3189.1,3224.3,3247.2,3192.9,3221.7,3289.1,3340.4,3306.4,3351.4,3375.9,3398.4,3478.3,3504.5
 "28000" ,"Mississippi",5,SQINC4,45,"..."," Equals: Net earnings by place of residence","Millions of dollars",35477.7,35951.3,36512.5,37236.0,37200.5,37515.0,38134.8,38739.7,39215.9,39576.3,39593.6,39678.3,40883.8,41374.3,41279.7,41495.1,41063.6,41648.9,42005.5,42225.9,43075.3,43438.9,44094.1,44873.4,45679.1,46427.4,47369.1,47511.0,47911.0,48370.6,48685.7,50028.6,49778.2,50162.7,50384.4,51009.8,51755.0,51657.8,52322.2,52955.4,53715.3,54053.9,53787.7,53867.8,52322.0,51769.2,51455.3,51866.8,52644.1,53936.0,54572.2,54436.2,55623.9,55570.5,56298.7,56210.8,58465.3,58797.9,58369.4,58911.0,59875.8,59986.7,61589.5,60314.5,60454.3,61255.8,60883.9,61256.3,60055.6,60396.0,60804.2,60779.8,61066.1,60874.3,61022.5,61687.5,62389.8,62226.4,62893.1,63078.8,64241.8,65088.3
