GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "38000" ,"North Dakota",4,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",14906.8,15095.4,15289.2,15491.3,15067.1,15241.6,15448.5,15957.4,16446.7,16685.0,17028.2,17060.1,16997.2,17160.0,17212.9,17136.4,17305.4,17334.1,17581.9,17889.3,18526.9,18850.7,19229.5,19481.5,19023.0,19314.6,19267.2,19760.3,19927.8,20358.7,20563.4,20814.1,21037.8,21366.5,21441.2,21890.7,23169.7,23484.4,23842.3,24698.6,26427.8,27162.7,26843.9,26407.0,26054.1,26321.9,26636.2,27017.5,28296.6,29076.6,29754.5,30657.2,31684.5,32281.7,33324.7,34442.9,37040.3,38370.9,39079.3,40975.0,38026.5,38835.7,39415.2,39191.7,40274.0,41498.0,41674.6,42024.9,41081.6,40378.2,40217.9,40041.0,39482.6,39611.1,40000.6,39970.5,39283.6,39720.9,39367.8,39562.0,40400.0,40937.4
 "38000" ,"North Dakota",4,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",14069.2,14198.7,14296.6,14365.1,14404.3,14590.8,14730.7,15258.3,15435.8,15575.7,15947.4,15898.9,16124.1,16301.2,16365.5,16556.2,16690.0,16917.3,16976.5,17153.9,17303.0,17389.2,17682.6,17821.9,17993.5,18302.8,18448.4,18830.2,18827.7,19118.2,19335.0,19797.3,20243.9,20675.3,20752.5,21095.0,21573.5,21974.9,22262.2,22721.5,23737.1,24683.7,24554.6,24435.0,24701.9,24881.6,25106.6,25280.6,26284.5,27118.9,27702.9,28380.3,29591.9,30358.0,31405.7,32621.6,34013.3,35261.4,35332.3,36793.7,35934.9,36701.3,37444.4,37935.7,39295.7,40308.9,41100.2,41522.5,41195.0,40289.3,39897.5,39351.5,38828.3,38737.7,39073.7,39236.4,39009.6,39605.2,39403.4,39731.7,40209.1,40667.9
 "38000" ,"North Dakota",4,SQINC4,12,"..."," Farm income 2/","Millions of dollars",837.7,896.6,992.6,1126.1,662.8,650.8,717.8,699.1,1010.9,1109.2,1080.8,1161.2,873.1,858.8,847.4,580.1,615.4,416.7,605.5,735.3,1224.0,1461.5,1546.9,1659.6,1029.5,1011.8,818.8,930.1,1100.2,1240.5,1228.3,1016.8,793.9,691.2,688.6,795.7,1596.2,1509.5,1580.1,1977.2,2690.7,2479.0,2289.3,1972.0,1352.2,1440.3,1529.6,1736.9,2012.1,1957.8,2051.6,2276.9,2092.7,1923.6,1919.0,1821.3,3027.0,3109.5,3747.0,4181.2,2091.6,2134.4,1970.8,1255.9,978.4,1189.2,574.4,502.4,-113.4,89.0,320.4,689.5,654.4,873.4,926.9,734.2,274.0,115.7,-35.6,-169.8,190.9,269.5
 "38000" ,"North Dakota",4,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),671412,673553,675924,678586,681017,683510,686976,691192,695246,699295,704210,709744,714909,720172,724944,729023,732819,736661,740830,745041,748860,752804,755051,755350,755326,755417,755592,755658,755488,755366,755453,755525,755344,755216
 "38000" ,"North Dakota",4,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42145,43169,44020,45178,46525,47229,48509,49831,53276,54871,55494,57732,53191,53926,54370,53759,54958,56333,56254,56406,54859,53637,53265,53010,52272,52436,52939,52895,51998,52585,52112,52364,53486,54206
 "38000" ,"North Dakota",4,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",11072.4,11178.2,11347.1,11582.5,11258.8,11459.0,11620.0,11879.1,12449.3,12521.8,12691.2,12738.1,12715.2,12879.3,12988.1,12843.7,12994.8,12995.8,13294.0,13585.7,14210.1,14576.9,14989.2,15234.2,14858.4,15119.7,15092.0,15373.1,15667.3,15996.2,16214.7,16334.5,16427.7,16664.7,16633.3,17059.0,18076.7,18181.4,18422.3,19199.7,20327.6,20317.8,20513.2,20390.9,19857.4,20136.9,20740.6,21150.7,21994.0,22658.1,23161.5,23907.9,24618.2,25158.8,26234.6,27131.9,29853.8,31012.6,31797.6,32773.7,31146.4,31887.9,32351.7,32047.4,32987.1,34131.9,34294.2,34778.6,33805.0,32637.2,32269.5,32015.9,31051.0,31009.0,31371.8,31261.7,30466.0,31081.0,30586.1,30503.3,31332.1,31844.6
 "38000" ,"North Dakota",4,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",1433.7,1436.3,1440.4,1443.8,1451.7,1472.4,1477.0,1512.8,1552.7,1540.2,1563.1,1543.4,1579.8,1588.8,1592.4,1604.4,1616.7,1642.2,1656.7,1676.2,1705.5,1719.8,1758.3,1765.8,1810.6,1834.5,1848.9,1864.2,1894.2,1911.1,1924.9,1945.6,1981.6,2016.3,2003.2,2041.3,2075.4,2098.0,2117.1,2163.5,2193.9,2219.0,2287.0,2347.1,2367.2,2416.9,2463.0,2432.7,2451.3,2482.1,2506.8,2574.4,2499.1,2579.9,2680.6,2740.5,2803.3,2851.4,2833.2,2887.1,3326.0,3442.2,3541.6,3597.4,3721.7,3823.1,3916.9,4005.5,3987.2,3862.2,3804.1,3742.2,3664.0,3639.4,3673.8,3683.0,3742.0,3846.8,3805.8,3810.4,3892.3,3948.4
 "38000" ,"North Dakota",4,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",670.4,672.9,677.0,682.8,691.3,703.8,704.5,718.9,730.9,724.6,739.3,738.1,769.1,782.8,788.2,791.8,793.3,800.5,805.7,816.4,831.4,840.1,860.6,865.8,887.8,899.1,907.4,917.1,937.0,948.2,956.8,969.9,997.0,1020.0,1019.6,1045.7,1076.8,1098.6,1116.2,1147.1,1174.6,1187.6,1213.0,1226.9,1214.2,1221.0,1238.6,1232.5,1257.7,1283.4,1298.0,1322.7,1108.8,1135.8,1176.9,1214.9,1254.5,1289.9,1285.7,1297.2,1688.9,1731.4,1765.6,1776.5,1828.8,1868.3,1905.5,1945.1,1949.4,1886.6,1859.2,1832.0,1814.5,1802.7,1813.2,1807.6,1828.8,1866.2,1835.9,1833.3,1882.4,1909.2
 "38000" ,"North Dakota",4,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",763.3,763.4,763.4,761.0,760.4,768.6,772.5,793.9,821.8,815.6,823.8,805.3,810.8,805.9,804.2,812.5,823.4,841.7,851.0,859.8,874.2,879.7,897.6,900.0,922.8,935.4,941.5,947.1,957.2,962.9,968.0,975.7,984.7,996.3,983.6,995.6,998.5,999.5,1001.0,1016.4,1019.3,1031.4,1074.0,1120.2,1153.0,1195.8,1224.3,1200.2,1193.6,1198.7,1208.8,1251.7,1390.3,1444.1,1503.7,1525.6,1548.8,1561.4,1547.5,1589.8,1637.1,1710.7,1776.0,1820.9,1892.9,1954.8,2011.4,2060.4,2037.8,1975.6,1944.9,1910.1,1849.5,1836.7,1860.6,1875.4,1913.2,1980.7,1969.9,1977.1,2009.9,2039.2
 "38000" ,"North Dakota",4,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-344.2,-343.5,-344.2,-344.1,-361.9,-370.1,-371.1,-378.7,-407.6,-399.8,-407.8,-400.4,-416.2,-429.3,-438.9,-444.4,-435.2,-445.5,-449.7,-457.5,-458.4,-459.8,-475.5,-483.8,-509.0,-521.1,-527.3,-529.2,-555.2,-566.7,-569.4,-588.8,-612.7,-634.9,-635.6,-655.1,-679.8,-690.4,-708.7,-735.6,-733.7,-753.1,-770.6,-789.8,-778.8,-790.7,-819.3,-823.0,-921.1,-960.6,-982.7,-1003.4,-1233.0,-1270.0,-1348.3,-1434.9,-1800.1,-1907.1,-1930.1,-1968.0,-2207.3,-2268.3,-2326.2,-2365.8,-2521.4,-2608.8,-2676.3,-2732.3,-2533.3,-2411.7,-2346.6,-2280.3,-2000.7,-1972.8,-1977.5,-1976.3,-2046.9,-2113.5,-2082.9,-2075.9,-2125.0,-2157.4
