GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "91000" ,"New England",1,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",432467.7,442188.9,449612.6,454865.9,459887.9,466404.0,477084.9,487035.8,509622.7,514974.5,526996.8,532876.7,546567.4,547443.9,544315.5,546554.9,545057.9,550480.6,549456.6,551912.4,552776.6,557033.1,565250.7,573593.7,577291.6,589516.8,598846.4,605217.3,604107.7,612994.5,620418.9,636474.4,654087.9,662282.4,666990.0,677395.2,693717.0,700268.3,704004.7,709956.1,727270.3,740788.1,731351.0,726640.0,712597.9,722758.6,724375.8,730100.0,737685.7,753032.1,761972.8,765519.2,774478.4,789206.9,790344.4,792228.0,803079.1,812908.8,808011.9,834391.8,805523.4,811540.0,815405.1,821499.6,835091.9,844513.4,857190.6,870527.2,877766.7,890936.9,897952.6,904795.2,906527.5,911972.7,919549.2,923762.7,940490.0,946806.5,958130.3,963895.5,979292.0,986477.5
 "91000" ,"New England",1,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",431821.0,441566.6,449007.9,454225.7,459096.8,465725.0,476444.5,486434.6,508954.1,514207.6,526212.4,532099.4,545903.2,546783.5,543613.4,545852.2,544474.9,549936.2,548799.6,551199.7,552185.3,556373.5,564551.8,572862.3,576512.9,588721.1,598108.4,604455.5,603368.8,612241.2,619675.6,635790.5,653461.7,661671.3,666373.5,676739.6,692937.8,699536.9,703265.9,709169.4,726345.0,739878.2,730534.1,725861.7,711941.7,722102.5,723694.1,729314.9,736879.5,752186.3,761089.4,764607.3,773584.9,788352.8,789468.7,791363.6,801927.5,811839.6,806986.5,833386.7,804436.9,810376.8,814263.3,820483.9,834135.5,843473.3,856231.9,869556.0,876932.5,890072.4,897046.8,903942.7,905827.3,911243.7,918844.7,923115.2,939823.8,946144.3,957514.0,963293.2,978829.6,985958.6
 "91000" ,"New England",1,SQINC4,12,"..."," Farm income 2/","Millions of dollars",646.7,622.3,604.6,640.2,791.0,678.9,640.4,601.2,668.6,766.9,784.5,777.2,664.2,660.5,702.1,702.8,583.0,544.4,657.0,712.7,591.3,659.5,698.9,731.4,778.8,795.7,738.0,761.8,738.9,753.3,743.2,683.8,626.2,611.2,616.5,655.6,779.2,731.5,738.8,786.6,925.3,909.9,816.9,778.3,656.2,656.1,681.8,785.1,806.1,845.8,883.3,911.9,893.4,854.0,875.7,864.4,1151.6,1069.2,1025.5,1005.1,1086.5,1163.2,1141.8,1015.7,956.4,1040.1,958.7,971.2,834.2,864.5,905.8,852.6,700.2,729.0,704.5,647.4,666.2,662.2,616.3,602.3,462.4,519.0
 "91000" ,"New England",1,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14440341,14456733,14478332,14495616,14507750,14520760,14537481,14553302,14565296,14577423,14594829,14612463,14622800,14634890,14651265,14667242,14677916,14689224,14702689,14713300,14716908,14721959,14732252,14742703,14747041,14753012,14765847,14781258,14791672,14802670,14818423,14833492,14843368,14854319
 "91000" ,"New England",1,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51085,52089,52628,52810,53384,54350,54366,54436,55136,55765,55363,57101,55087,55452,55654,56009,56894,57492,58302,59166,59643,60518,60951,61372,61472,61816,62275,62496,63582,63962,64658,64981,65975,66410
 "91000" ,"New England",1,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",319383.1,327586.2,334978.9,340885.1,346570.8,353046.1,362727.7,370549.9,390576.3,391386.9,401649.6,405318.8,417078.5,416393.9,414852.1,415835.3,415722.5,420058.4,420421.0,421065.2,418332.1,422968.9,430467.4,438123.5,439342.7,449728.4,458907.8,456909.2,458269.4,462080.3,468822.9,476169.2,486555.0,488740.5,490045.0,499953.6,510363.5,511353.8,512386.5,516435.2,529347.2,528899.3,524970.5,525195.2,516057.1,522384.8,527819.7,535808.7,536084.7,550945.4,557881.7,555890.2,554187.7,567398.8,567416.5,563532.1,569057.4,574036.2,572910.2,584925.0,578876.5,583621.9,584065.9,587220.4,596471.0,597738.5,604054.4,616609.7,619795.0,627710.1,630623.1,639360.1,639129.3,642411.1,649453.4,651202.3,661321.8,667337.4,677080.4,677099.1,690707.1,694852.7
 "91000" ,"New England",1,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",34574.5,35401.9,36098.5,36596.5,36856.2,37416.8,38344.2,38909.6,40719.1,40436.5,41520.9,41839.9,42660.9,42510.1,42249.1,42494.1,42709.8,43244.7,43279.9,43190.5,43189.1,43574.3,44296.9,45144.9,45845.6,46943.5,47971.8,47667.1,48424.9,48769.0,49299.9,49773.1,50761.7,50866.8,50873.3,51776.1,53136.4,53197.2,53331.0,53904.3,54866.4,54855.4,54963.2,55459.1,53499.7,54102.0,54299.4,54501.6,54328.5,55221.0,55696.1,55274.7,50798.6,51599.7,51368.9,50996.7,52216.4,52516.6,52576.5,53744.5,60408.0,61031.4,61242.8,61628.9,63129.4,63072.8,63385.8,64752.9,64900.4,65860.4,65989.7,67133.8,66996.0,67598.3,68375.3,68423.1,69889.7,70377.1,71410.6,71294.6,73199.6,73599.2
 "91000" ,"New England",1,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",17669.3,18101.2,18475.3,18745.2,18963.9,19270.8,19744.4,20059.3,20930.8,20785.4,21335.8,21515.8,21985.1,21929.6,21813.6,21930.3,22066.1,22353.2,22410.4,22412.8,22426.2,22633.3,22989.6,23333.0,23545.1,24014.8,24495.4,24345.5,24850.6,25079.6,25375.7,25662.8,26364.2,26461.6,26494.7,26996.6,27840.0,27894.6,27967.9,28231.1,28859.7,28831.4,28841.8,29045.6,28035.1,28283.3,28372.6,28470.4,28270.3,28739.4,28993.5,28810.2,23320.0,23757.6,23634.5,23495.1,23850.7,24027.6,24104.3,24619.2,31560.4,31921.8,32090.8,32280.9,33238.0,33208.1,33387.3,34129.4,34468.0,34991.1,35073.8,35700.1,35830.4,36154.6,36540.1,36520.0,37496.5,37765.2,38302.0,38220.1,39441.1,39620.5
 "91000" ,"New England",1,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",16905.3,17300.7,17623.2,17851.3,17892.3,18146.0,18599.8,18850.3,19788.2,19651.1,20185.1,20324.0,20675.8,20580.5,20435.5,20563.8,20643.7,20891.5,20869.5,20777.7,20762.8,20941.0,21307.4,21811.9,22300.6,22928.7,23476.4,23321.6,23574.3,23689.4,23924.2,24110.3,24397.5,24405.2,24378.6,24779.6,25296.3,25302.5,25363.1,25673.2,26006.8,26024.0,26121.4,26413.5,25464.5,25818.7,25926.8,26031.2,26058.2,26481.6,26702.6,26464.5,27478.7,27842.2,27734.4,27501.7,28365.7,28488.9,28472.3,29125.2,28847.6,29109.7,29152.0,29348.0,29891.4,29864.7,29998.5,30623.5,30432.4,30869.3,30915.9,31433.7,31165.6,31443.7,31835.2,31903.1,32393.2,32611.9,33108.6,33074.5,33758.6,33978.8
 "91000" ,"New England",1,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",6365.1,6622.7,6621.6,6592.3,6559.2,6425.1,6549.3,6495.7,6532.2,6669.3,6744.9,7094.4,7113.2,6799.2,6689.2,6631.0,6897.5,6973.0,6882.9,6844.9,6746.3,6988.3,6996.8,7144.5,7796.4,7911.9,8133.4,8159.8,8614.5,8685.1,8914.6,9071.2,9734.7,9869.5,9889.5,10286.6,11757.0,11321.4,11427.7,11560.9,12834.7,12458.1,12547.4,12438.3,9422.1,9895.2,9894.4,10012.5,11605.7,11905.8,11693.2,11621.6,12354.1,12076.4,12205.9,12096.4,13559.4,13726.2,13879.6,14331.7,12737.4,13005.1,12983.4,13228.9,13312.8,13201.3,13414.8,13597.8,13345.0,13597.4,13861.7,13652.5,13023.3,12983.1,12960.9,13128.4,15836.7,15947.1,16188.9,16743.7,16704.2,16856.7
