GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "35000" ,"New Mexico",6,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",37646.3,38008.6,38380.0,38879.0,38632.2,38984.9,39191.3,39920.4,41032.7,41989.6,42507.5,43321.2,44397.5,45150.0,45558.3,45996.5,46151.9,46838.3,47119.6,47616.9,48068.2,48685.4,49304.1,50110.9,50871.8,51514.8,52226.8,53762.9,54070.1,55641.0,56326.4,57091.8,58767.5,59404.8,59918.5,60715.8,61871.9,62797.3,63671.2,64415.2,65601.2,68678.5,67083.3,66898.2,66331.5,66562.3,66676.1,67144.9,67666.0,68782.7,69819.2,70780.1,71914.3,72451.6,73196.1,73720.9,74112.0,74871.1,74124.9,75226.5,73061.7,73326.3,73374.4,73862.4,75794.3,77128.8,78398.4,79667.9,79372.2,79930.3,80098.3,80412.2,80508.5,81108.7,81396.7,81724.5,82619.8,82619.6,83427.8,83841.9,84884.9,85597.5
 "35000" ,"New Mexico",6,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",37060.9,37432.9,37851.0,38274.1,37828.4,38275.0,38586.3,39384.9,40562.6,41452.5,41971.3,42745.1,43653.3,44395.7,44797.4,45153.4,45670.1,46358.5,46565.3,46986.5,47551.8,48117.4,48725.6,49543.4,50020.8,50670.2,51399.0,52844.3,53220.6,54752.9,55453.7,56245.8,58162.1,58806.4,59321.5,60140.7,60951.4,61939.3,62820.6,63632.4,64764.3,67922.9,66457.7,66295.3,66021.7,66213.0,66278.2,66646.6,66930.0,67946.7,68898.8,69815.5,70781.2,71379.1,72081.2,72601.5,73029.5,73933.0,73145.2,74218.6,72173.4,72324.8,72351.8,72905.7,74720.7,75925.4,77114.8,78293.6,78533.8,79093.0,79203.9,79658.0,79574.4,80182.9,80534.3,80923.7,81708.5,81665.5,82522.4,82928.7,84113.8,84791.6
 "35000" ,"New Mexico",6,SQINC4,12,"..."," Farm income 2/","Millions of dollars",585.4,575.7,529.0,604.9,803.8,709.9,605.0,535.5,470.2,537.1,536.3,576.1,744.2,754.3,760.9,843.1,481.8,479.8,554.4,630.3,516.4,568.0,578.5,567.5,851.0,844.5,827.9,918.6,849.5,888.1,872.8,846.1,605.5,598.4,597.0,575.1,920.5,858.0,850.7,782.8,836.9,755.6,625.7,602.8,309.8,349.2,397.9,498.3,735.9,836.0,920.4,964.6,1133.1,1072.5,1114.9,1119.5,1082.4,938.1,979.7,1007.9,888.2,1001.6,1022.6,956.7,1073.6,1203.4,1283.7,1374.3,838.4,837.2,894.4,754.2,934.2,925.9,862.4,800.8,911.3,954.1,905.4,913.2,771.1,805.9
 "35000" ,"New Mexico",6,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2055739,2061865,2066665,2070411,2073344,2076129,2078846,2080726,2081905,2082907,2084290,2085239,2085125,2084976,2085258,2085315,2084485,2083500,2083582,2083909,2083170,2082441,2083056,2084325,2084665,2085037,2086079,2087155,2087471,2087714,2088754,2089843,2090091,2090319
 "35000" ,"New Mexico",6,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32916,33359,33784,34186,34685,34897,35210,35430,35598,35945,35564,36076,35039,35169,35187,35420,36361,37019,37627,38230,38102,38383,38452,38579,38619,38900,39019,39156,39579,39574,39941,40119,40613,40949
 "35000" ,"New Mexico",6,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",26626.0,26727.3,27032.1,27599.0,27339.5,27713.1,27864.7,28529.1,29423.6,30129.3,30396.8,30964.9,31634.5,32036.9,32759.4,32731.5,33032.6,33754.8,34101.5,34380.1,34579.8,35258.8,35767.4,36579.4,37003.5,37601.2,38176.2,38896.4,39183.3,40057.5,40615.4,40964.8,42275.2,42650.0,42980.4,43657.2,44068.5,44429.0,45062.1,45507.0,46303.4,46520.4,46560.0,46792.2,45527.4,45084.2,45390.1,46130.2,45965.2,46857.3,47549.1,48095.8,48188.5,48550.4,49326.2,49172.1,49336.2,49754.3,49196.0,49457.1,49374.0,49517.3,49295.8,49579.8,50325.2,50670.0,51279.3,52475.5,51623.4,51807.3,51980.9,52116.4,51864.9,52164.7,52334.1,52689.6,53266.4,53201.6,53997.6,54166.0,54856.6,55395.7
 "35000" ,"New Mexico",6,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",3042.5,3049.8,3090.7,3149.6,3134.2,3190.3,3210.6,3276.7,3315.2,3366.0,3396.9,3464.1,3547.6,3599.3,3681.2,3666.9,3738.5,3811.4,3833.6,3840.0,3904.9,3969.6,4013.2,4087.6,4137.6,4178.8,4225.9,4278.7,4353.9,4444.2,4505.2,4570.7,4763.3,4839.7,4905.6,4988.2,5044.6,5086.3,5163.4,5248.2,5353.1,5394.6,5424.7,5481.6,5358.1,5337.6,5356.6,5385.1,5407.4,5442.1,5469.2,5491.1,4992.5,5015.4,5078.0,5043.9,5131.0,5181.0,5111.8,5144.8,5908.3,5929.3,5901.2,5936.5,6011.8,6031.4,6119.9,6325.4,6338.2,6434.7,6486.8,6527.7,6443.8,6455.9,6447.5,6470.4,6539.3,6505.7,6589.6,6598.4,6741.9,6799.0
 "35000" ,"New Mexico",6,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",1577.0,1581.0,1603.6,1638.0,1634.3,1666.5,1678.7,1714.7,1731.5,1759.8,1773.1,1808.0,1853.1,1880.7,1923.5,1911.0,1949.9,1984.6,1994.6,1999.4,2028.6,2064.4,2092.2,2139.1,2170.0,2198.6,2228.1,2260.2,2307.2,2356.7,2386.9,2416.4,2531.1,2570.9,2603.6,2647.1,2691.7,2717.8,2756.2,2792.4,2846.8,2862.8,2872.2,2898.5,2841.2,2825.0,2835.3,2850.9,2849.3,2864.0,2879.6,2893.7,2314.4,2329.5,2361.6,2357.8,2383.9,2412.3,2380.3,2382.3,3103.9,3110.6,3098.0,3118.6,3181.9,3192.3,3224.8,3306.2,3289.0,3310.9,3319.6,3335.9,3322.1,3341.0,3355.9,3392.7,3483.8,3490.7,3553.2,3564.9,3659.6,3691.3
 "35000" ,"New Mexico",6,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",1465.5,1468.8,1487.1,1511.6,1499.8,1523.8,1531.9,1562.0,1583.7,1606.2,1623.8,1656.1,1694.5,1718.6,1757.8,1755.9,1788.6,1826.8,1839.0,1840.5,1876.3,1905.2,1921.0,1948.5,1967.7,1980.1,1997.8,2018.5,2046.8,2087.5,2118.4,2154.3,2232.2,2268.7,2302.0,2341.0,2352.9,2368.5,2407.2,2455.8,2506.3,2531.8,2552.6,2583.0,2516.9,2512.6,2521.3,2534.2,2558.1,2578.1,2589.6,2597.4,2678.1,2685.9,2716.4,2686.1,2747.1,2768.7,2731.5,2762.6,2804.4,2818.7,2803.2,2817.8,2829.8,2839.1,2895.1,3019.2,3049.3,3123.8,3167.2,3191.9,3121.7,3114.9,3091.6,3077.7,3055.6,3015.0,3036.4,3033.4,3082.3,3107.7
 "35000" ,"New Mexico",6,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",174.9,183.5,192.9,194.7,208.3,211.2,215.3,224.5,235.2,234.2,245.7,243.9,222.9,213.9,204.5,205.1,198.3,192.5,192.1,193.5,181.6,182.3,184.4,180.8,133.0,135.1,139.4,137.3,66.4,60.8,70.4,81.3,73.1,77.4,86.5,92.6,72.3,77.3,70.3,73.6,57.3,57.8,59.5,55.8,68.9,72.1,67.6,65.4,7.3,7.1,8.5,10.2,-21.8,-21.7,-21.8,-17.6,-32.5,-33.6,-12.4,15.2,-85.6,-69.7,-57.2,-53.7,-80.9,-74.5,-72.0,-79.0,-53.9,-57.7,-53.7,-59.4,-15.0,-21.9,-17.5,-14.5,46.7,61.6,61.6,67.5,72.7,81.8
