GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "36000" ,"New York",2,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",586665.0,600952.8,605418.8,609108.5,629388.3,629277.1,641014.5,645579.7,668344.3,679281.2,688704.4,703261.8,713987.7,706391.0,717947.3,701399.8,702505.0,711548.7,707593.4,709232.9,703444.0,716011.9,722805.9,732546.0,731722.1,745697.3,759954.4,775391.2,769731.9,780031.0,789568.7,809861.8,829959.5,841709.3,848023.7,868315.0,911298.8,904160.1,911092.3,917734.3,930817.0,936173.5,927589.6,914128.7,893488.0,919002.0,918878.9,926976.3,938221.1,959742.0,958434.7,961060.2,1008990.9,1005479.6,1010497.6,1012245.2,1043962.2,1060796.5,1056938.6,1100198.9,1065556.8,1079699.8,1085855.6,1093419.1,1109402.1,1116448.1,1132916.3,1144819.8,1148792.4,1173153.5,1188522.7,1180383.0,1199580.6,1202488.0,1208316.6,1222997.5,1256767.6,1267178.2,1284616.0,1315767.9,1321995.9,1335798.4
 "36000" ,"New York",2,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",586019.6,600317.5,604788.0,608443.5,628586.0,628546.7,640308.3,644897.2,667663.7,678545.9,687956.8,702497.1,713139.8,705544.8,717065.0,700470.4,701917.2,710991.0,706895.7,708442.8,702709.0,715183.3,721936.9,731670.6,730664.3,744642.2,758955.4,774340.0,768706.3,778976.0,788533.7,808912.2,829066.6,840830.4,847157.1,867465.5,910009.4,902955.4,909880.9,916494.4,929265.5,934668.6,926229.5,912839.4,892713.1,918208.3,918012.3,925949.6,936955.1,958351.5,956933.5,959472.0,1007218.4,1003752.5,1008725.3,1010498.4,1042132.1,1059106.6,1055267.1,1098468.6,1063564.2,1077526.4,1083688.9,1091390.1,1107489.4,1114321.9,1130777.4,1142557.3,1147509.0,1171811.4,1187140.4,1179205.6,1198487.4,1201389.4,1207303.2,1222103.5,1255621.1,1266012.6,1283550.3,1314727.7,1321314.1,1335015.7
 "36000" ,"New York",2,SQINC4,12,"..."," Farm income 2/","Millions of dollars",645.4,635.3,630.9,665.0,802.3,730.3,706.2,682.6,680.6,735.3,747.7,764.7,847.9,846.1,882.3,929.4,587.8,557.7,697.7,790.1,735.0,828.7,869.0,875.4,1057.8,1055.0,999.0,1051.2,1025.7,1055.1,1035.0,949.6,892.9,878.9,866.6,849.5,1289.4,1204.7,1211.4,1239.9,1551.5,1505.0,1360.1,1289.4,774.9,793.8,866.6,1026.7,1266.0,1390.5,1501.2,1588.2,1772.6,1727.1,1772.3,1746.8,1830.1,1689.9,1671.5,1730.3,1992.6,2173.4,2166.7,2029.0,1912.7,2126.2,2138.9,2262.5,1283.4,1342.1,1382.3,1177.4,1093.2,1098.6,1013.5,894.0,1146.5,1165.6,1065.7,1040.2,681.8,782.7
 "36000" ,"New York",2,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),19368796,19391366,19423588,19457278,19484249,19511043,19541372,19569016,19591616,19613071,19640395,19666866,19683735,19701227,19722561,19741817,19754080,19766043,19783312,19799378,19806237,19813696,19824596,19832582,19832490,19833792,19840579,19847254,19847060,19847075,19853819,19860040,19859115,19858991
 "36000" ,"New York",2,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48440,49493,49344,49393,51785,51534,51711,51727,53286,54086,53815,55942,54134,54804,55057,55386,56161,56483,57266,57821,58002,59209,59952,59517,60486,60628,60901,61620,63323,63847,64704,66252,66569,67264
 "36000" ,"New York",2,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",456544.9,470479.3,474220.1,477528.7,501210.5,499934.6,510470.3,510465.2,534114.2,540930.9,550342.3,569167.4,583231.5,572859.3,566688.5,565982.7,565648.7,573029.3,569432.2,567079.3,557804.5,573643.2,577333.3,587717.0,584535.6,595126.6,610947.0,611052.0,608214.6,612247.0,624035.1,636484.3,655890.2,658781.0,659859.4,682046.9,723210.3,703632.3,709056.5,714241.2,730795.2,714366.2,718449.7,711013.8,672801.7,697813.0,701089.0,713587.5,720464.6,742950.5,736851.2,732051.5,770651.9,759893.5,764710.8,756645.8,781016.1,793097.8,796046.8,823100.0,807033.6,820491.3,820672.1,829229.3,844168.4,839991.8,851827.1,863305.7,863714.6,877007.8,889804.5,884217.5,904360.9,904713.3,903734.4,911907.9,941695.7,948065.9,960543.9,984282.1,985550.0,993898.0
 "36000" ,"New York",2,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",46747.7,48076.8,48252.0,48442.8,50179.4,49825.8,50641.2,50320.0,52941.0,53279.4,54223.5,56102.4,57368.4,56469.7,55854.7,56063.4,56712.3,57734.9,57574.7,57401.6,57654.4,59219.1,59429.6,60328.4,60853.1,61608.1,63094.0,62735.3,63842.4,64210.9,65207.9,66313.8,68187.5,68307.0,68089.7,69932.3,73849.3,71730.6,72119.2,72802.8,75812.5,74523.0,75489.2,75482.3,70969.4,73738.0,73524.5,73885.2,74794.3,76046.2,74748.8,73703.3,70044.7,68904.9,68956.9,67977.8,69332.0,69959.1,70508.5,73150.5,81265.3,83129.5,83522.8,84582.0,87332.4,86670.8,87684.4,89077.7,89595.5,91256.8,92820.6,92769.2,94097.7,94349.6,94211.4,95101.7,98078.0,98723.8,100041.1,102413.4,103164.3,104008.0
 "36000" ,"New York",2,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",23119.6,23841.9,23954.5,24034.0,25205.9,24977.3,25446.8,25167.8,26473.2,26610.8,26998.1,28019.1,28720.3,28113.3,27777.2,27812.9,28142.7,28660.1,28521.5,28404.3,28404.4,29309.9,29386.3,29863.8,30054.2,30423.4,31217.8,31145.2,31779.8,32049.8,32586.8,33127.9,34359.3,34308.6,34145.9,35132.4,37697.1,36306.3,36558.9,36797.4,38628.6,37712.1,38288.0,38297.7,36009.1,37693.5,37687.7,37912.7,38214.7,38968.8,38114.6,37559.8,31625.9,30980.9,31061.2,30587.7,30832.1,31288.0,31583.5,32903.0,41471.6,42538.9,42670.5,43089.7,44671.8,44052.5,44447.1,45094.2,45571.5,46484.2,47318.7,47278.8,48556.5,48817.6,48766.6,49160.7,51147.9,51447.5,52175.9,53595.1,53996.7,54417.4
 "36000" ,"New York",2,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",23628.1,24235.0,24297.4,24408.8,24973.5,24848.5,25194.3,25152.2,26467.8,26668.5,27225.4,28083.2,28648.1,28356.4,28077.5,28250.5,28569.6,29074.8,29053.3,28997.3,29249.9,29909.2,30043.2,30464.6,30798.9,31184.7,31876.2,31590.1,32062.6,32161.0,32621.1,33185.9,33828.3,33998.4,33943.8,34799.8,36152.1,35424.3,35560.3,36005.4,37183.9,36810.9,37201.3,37184.6,34960.3,36044.5,35836.8,35972.5,36579.6,37077.4,36634.2,36143.4,38418.7,37924.0,37895.6,37390.1,38499.9,38671.1,38925.0,40247.5,39793.6,40590.6,40852.3,41492.3,42660.6,42618.2,43237.3,43983.5,44024.0,44772.6,45502.0,45490.4,45541.2,45532.0,45444.8,45941.0,46930.1,47276.3,47865.2,48818.3,49167.6,49590.5
 "36000" ,"New York",2,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-26516.7,-27587.6,-27522.6,-27544.2,-28485.5,-28112.9,-28889.6,-28524.4,-31500.7,-31727.3,-32317.1,-33651.0,-34801.9,-33278.4,-32452.7,-32014.3,-30777.8,-31390.1,-30989.5,-30650.8,-30421.8,-31587.1,-31669.6,-32526.5,-35136.7,-35839.6,-37053.0,-36880.5,-39236.5,-39576.4,-40459.8,-41553.8,-46169.2,-46305.3,-46422.1,-48472.4,-57263.1,-54829.7,-55544.2,-55954.4,-57827.8,-55876.4,-56336.5,-55469.2,-42271.5,-44468.0,-44285.9,-44946.7,-49229.5,-51261.5,-50441.2,-50051.5,-55102.5,-53715.6,-53946.3,-53090.1,-54729.7,-55806.7,-56155.8,-58827.9,-55065.5,-56346.3,-56427.4,-57199.4,-59879.5,-59216.0,-60217.4,-61255.9,-61383.5,-62679.9,-63832.6,-63133.2,-64446.1,-64317.2,-63820.1,-64301.4,-71979.6,-72303.0,-73419.3,-76089.7,-75732.4,-76336.5
