GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "42000" ,"Pennsylvania",2,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",329328.6,334833.6,336978.3,341517.1,344043.6,347163.6,351081.6,357104.0,366411.6,372020.8,377626.1,381560.1,386899.6,389100.3,388654.8,390022.6,392908.0,395816.8,397194.8,398831.8,403900.1,406825.4,411046.6,416822.2,423449.2,429553.6,436714.2,443921.5,441497.7,448850.8,454706.9,462505.9,467554.0,473835.1,480037.1,485985.6,497675.2,504370.9,509505.5,514444.4,518537.1,531876.8,524820.8,522203.6,506407.5,512153.2,509835.7,518459.1,520267.9,530808.8,539009.4,545227.5,554450.6,560634.3,566622.3,568781.0,579381.4,584602.8,585731.9,598666.5,585912.4,592217.1,593379.2,597180.3,607297.6,614186.6,621609.2,628488.8,633411.6,640408.3,646946.8,649723.5,648945.6,652241.0,660620.4,666852.0,674175.7,678058.5,686503.6,691397.1,699506.6,704542.1
 "42000" ,"Pennsylvania",2,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",328434.4,333991.9,336148.5,340633.7,343147.7,346376.2,350332.5,356369.6,365466.1,370881.5,376533.0,380431.7,385960.9,388173.1,387690.1,388935.7,392406.7,395329.2,396535.7,398056.5,402805.1,405622.2,409795.8,415592.5,421910.6,428030.5,435268.0,442396.1,440142.5,447475.1,453357.7,461256.3,466459.6,472704.0,478930.0,484919.4,496394.3,503139.5,508254.3,513134.8,517029.9,530474.1,523640.4,521066.9,505604.6,511344.2,508941.4,517384.9,519178.8,529535.1,537629.7,543821.1,552665.7,558943.6,564862.2,567075.3,577153.4,582597.5,583829.7,596786.6,583717.7,589826.3,591039.5,595097.5,604927.2,611565.8,619033.0,625807.5,631824.7,638762.5,645210.0,648269.0,648132.7,651399.9,659876.4,666250.2,672982.8,676829.9,685407.7,690322.2,698762.4,703675.8
 "42000" ,"Pennsylvania",2,SQINC4,12,"..."," Farm income 2/","Millions of dollars",894.3,841.7,829.8,883.5,895.9,787.4,749.1,734.4,945.5,1139.2,1093.1,1128.4,938.7,927.2,964.8,1087.0,501.3,487.6,659.1,775.3,1095.0,1203.2,1250.8,1229.8,1538.6,1523.1,1446.2,1525.4,1355.2,1375.7,1349.3,1249.6,1094.3,1131.1,1107.1,1066.2,1280.9,1231.4,1251.2,1309.6,1507.2,1402.7,1180.4,1136.7,802.9,809.1,894.2,1074.2,1089.1,1273.7,1379.7,1406.4,1784.9,1690.7,1760.1,1705.7,2228.0,2005.3,1902.2,1879.9,2194.7,2390.8,2339.8,2082.8,2370.4,2620.8,2576.2,2681.2,1586.9,1645.8,1736.8,1454.5,813.0,841.0,744.0,601.9,1192.9,1228.7,1095.9,1075.0,744.2,866.3
 "42000" ,"Pennsylvania",2,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12698487,12706771,12717312,12727304,12732548,12738453,12747648,12755681,12760239,12764696,12772059,12777530,12776221,12776439,12781600,12787116,12787723,12788723,12793165,12796327,12792943,12790742,12792762,12794255,12790036,12787119,12791147,12797978,12800117,12802633,12809942,12816937,12818692,12821121
 "42000" ,"Pennsylvania",2,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40971,41774,42384,42839,43546,44011,44449,44590,45405,45798,45860,46853,45860,46352,46424,46702,47491,48026,48589,49115,49513,50068,50571,50782,50738,51008,51647,52106,52669,52962,53591,53944,54569,54952
 "42000" ,"Pennsylvania",2,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",236187.7,240998.6,242821.2,248319.4,251505.1,254512.7,257090.3,261181.3,267730.4,270132.5,274672.4,278154.7,282770.5,284729.2,285993.1,285574.3,289633.2,291012.8,292795.4,293082.8,296454.3,299425.4,302753.3,308676.0,314006.9,319391.2,326503.8,328936.9,327660.1,331924.4,338414.7,341057.6,341806.8,344685.2,347915.2,352720.7,359278.9,360864.8,364261.6,367820.1,368270.7,370651.8,369835.1,370351.0,355881.0,356666.9,356906.9,367438.9,363842.2,373697.9,380551.4,384099.2,385646.6,391270.1,397967.4,394954.8,402312.4,404742.2,407089.3,413115.9,416821.9,423849.9,422738.5,424982.0,431477.3,433087.2,436864.5,442123.1,446132.1,449302.7,453556.3,456412.2,452465.0,453489.3,460083.4,464457.0,470786.6,475155.4,482893.9,485593.0,490435.6,495101.4
 "42000" ,"Pennsylvania",2,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",27559.7,28080.6,28184.9,28768.1,29088.9,29292.1,29450.8,29776.7,30503.9,30562.5,31051.9,31337.1,31826.4,31956.9,31993.6,31959.9,32677.6,32811.5,32961.8,32832.4,33163.3,33412.0,33687.2,34262.9,34440.4,34990.4,35863.2,36119.2,36344.8,36893.8,37594.2,37763.0,38556.3,38824.0,39106.1,39603.7,40327.9,40340.4,40611.8,40982.7,41398.2,41811.0,41899.3,42067.3,40934.6,41204.3,41041.6,41872.2,41497.9,42275.3,42750.1,42914.3,38978.7,39345.3,39907.7,39443.1,40072.0,40141.9,40295.7,40791.9,46162.7,46876.0,46701.2,46905.3,47895.6,47947.1,48228.0,48886.0,49530.0,49887.1,50277.2,50759.4,50323.2,50628.2,51473.4,52030.7,52853.8,53382.7,54342.4,54628.9,55513.1,56042.6
 "42000" ,"Pennsylvania",2,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",13693.6,13963.2,14029.3,14325.5,14564.3,14718.1,14819.2,14974.2,15302.8,15331.7,15567.7,15729.9,16006.1,16103.2,16163.3,16167.9,16603.5,16681.7,16771.5,16712.1,16815.8,16937.9,17113.8,17469.3,17607.3,17931.4,18378.9,18482.5,18562.1,18791.9,19108.5,19172.7,19722.8,19900.6,20076.1,20354.4,20859.9,20913.4,21080.1,21264.5,21538.4,21775.8,21805.5,21897.7,21388.2,21506.0,21438.8,21896.0,21606.7,21997.9,22270.8,22378.9,17912.7,18117.2,18391.5,18235.4,18381.8,18421.2,18488.3,18619.6,23928.5,24267.4,24147.6,24220.7,24878.8,24890.5,25009.2,25306.9,25751.4,25886.0,26069.5,26309.3,26271.2,26429.0,26871.6,27163.0,27749.4,28036.0,28543.9,28688.6,29285.4,29565.1
 "42000" ,"Pennsylvania",2,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",13866.1,14117.4,14155.7,14442.6,14524.7,14573.9,14631.6,14802.5,15201.1,15230.8,15484.2,15607.2,15820.3,15853.7,15830.3,15792.0,16074.1,16129.9,16190.3,16120.3,16347.5,16474.1,16573.5,16793.6,16833.1,17059.0,17484.3,17636.7,17782.7,18101.9,18485.7,18590.3,18833.5,18923.4,19030.0,19249.3,19468.0,19427.0,19531.7,19718.2,19859.8,20035.2,20093.8,20169.7,19546.5,19698.3,19602.8,19976.2,19891.2,20277.5,20479.3,20535.3,21066.0,21228.1,21516.3,21207.7,21690.2,21720.7,21807.4,22172.3,22234.1,22608.6,22553.6,22684.6,23016.8,23056.6,23218.7,23579.1,23778.6,24001.1,24207.7,24450.1,24052.1,24199.2,24601.8,24867.7,25104.4,25346.7,25798.6,25940.3,26227.7,26477.5
 "42000" ,"Pennsylvania",2,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",3177.1,3215.4,3374.0,3316.4,3545.3,3474.7,3554.1,3651.4,3867.3,4030.9,4052.4,4273.3,4235.9,4284.8,4262.4,4485.7,4579.8,4588.2,4570.1,4625.1,4863.9,5089.5,5202.8,5164.3,5710.7,5840.4,5883.4,6040.5,6735.1,6763.4,6866.7,7202.5,7291.5,7397.7,7274.4,7398.8,8273.5,8285.4,8103.1,8238.5,8790.0,8457.6,8519.3,8536.7,7199.0,7360.8,7504.1,7262.4,8105.7,8047.1,7976.0,7882.6,7976.9,7879.7,7830.9,7779.9,8222.2,8147.2,8174.4,8371.0,8159.0,8047.0,8087.2,8314.4,8879.5,8908.5,8992.8,9057.0,8733.2,8920.5,8899.8,8907.7,9435.7,9549.5,9512.3,9690.4,10127.2,10190.1,10261.6,10276.3,10379.9,10482.6
 "42000" ,"Pennsylvania",2,SQINC4,45,"..."," Equals: Net earnings by place of residence","Millions of dollars",211805.2,216133.4,218010.2,222867.6,225961.4,228695.4,231193.6,235056.0,241093.8,243600.9,247672.9,251090.9,255180.1,257057.2,258261.9,258100.1,261535.4,262789.5,264403.7,264875.6,268154.9,271102.9,274268.8,279577.5,285277.2,290241.2,296524.0,298858.2,298050.5,301794.0,307687.2,310497.1,310542.0,313258.9,316083.4,320515.8,327224.6,328809.8,331753.0,335075.9,335662.6,337298.5,336455.1,336820.4,322145.4,322823.4,323369.4,332829.1,330450.1,339469.7,345777.2,349067.5,354644.8,359804.5,365890.5,363291.5,370462.7,372747.5,374967.9,380695.0,378818.3,385020.8,384124.5,386391.1,392461.2,394048.6,397629.3,402294.0,405335.3,408336.0,412178.9,414560.5,411577.5,412410.6,418122.3,422116.7,428060.0,431962.7,438813.2,441240.4,445302.4,449541.4
 "42000" ,"Pennsylvania",2,SQINC4,46,"..."," Plus: Dividends, interest, and rent 7/","Millions of dollars",65686.8,66652.6,66774.3,65811.2,64370.3,64424.2,64960.3,66417.3,69025.7,70697.9,71454.3,71327.4,71107.6,70128.3,69124.2,68221.8,66806.6,67346.7,66800.1,67605.0,68367.8,67650.4,67874.6,68483.9,68456.1,69135.4,68923.3,72898.1,68999.2,70392.9,70710.6,75026.0,77861.9,81401.9,83331.6,84752.1,86614.8,91005.6,91918.9,92125.8,93794.6,92631.3,93673.8,90904.2,85214.7,83885.8,81922.9,80548.5,79812.0,80970.8,81444.0,84395.9,87536.8,88883.8,90029.4,94382.9,98061.1,100580.3,98815.5,105594.8,94725.0,94322.5,95385.4,96641.7,100228.7,103780.6,106136.4,107166.2,107465.3,110192.0,111436.6,110574.1,110693.7,111481.2,112235.8,113546.8,116369.5,116830.5,117475.8,120458.5,121542.5,122515.9
 "42000" ,"Pennsylvania",2,SQINC4,47,"..."," Plus: Personal current transfer receipts","Millions of dollars",51836.6,52047.6,52193.9,52838.3,53711.9,54044.1,54927.6,55630.7,56292.0,57721.9,58498.9,59141.7,60612.0,61914.9,61268.7,63700.7,64566.0,65680.6,65991.0,66351.3,67377.5,68072.1,68903.1,68760.8,69715.9,70176.9,71266.8,72165.2,74448.0,76663.9,76309.1,76982.8,79150.1,79174.4,80622.1,80717.7,83835.8,84555.5,85833.7,87242.8,89079.9,101947.0,94691.8,94479.0,99047.5,105444.1,104543.4,105081.5,110005.8,110368.3,111788.1,111764.1,112269.0,111946.0,110702.4,111106.6,110857.7,111275.0,111948.5,112376.7,112369.2,112873.8,113869.4,114147.5,114607.7,116357.4,117843.5,119028.5,120611.0,121880.3,123331.4,124588.8,126674.5,128349.2,130262.3,131188.5,129746.3,129265.3,130214.6,129698.3,132661.8,132484.8
