GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "97000" ,"Rocky Mountain",7,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",224776.3,228979.3,234801.7,236829.4,240997.4,244513.0,247022.4,255162.3,261429.4,268523.1,273791.8,277746.1,282311.3,283657.1,282510.5,283463.7,284594.6,286293.5,287242.1,290437.7,290814.4,293581.9,298709.9,299967.4,303805.5,309772.5,312687.0,320486.2,325615.5,332097.7,338320.4,345763.6,359322.8,364367.4,370014.1,374859.9,384247.8,392352.6,394927.4,401598.0,402814.7,416302.5,411875.8,405733.8,395907.1,391971.0,388842.1,389395.6,395936.4,401307.9,408560.6,417026.1,431066.8,435779.3,441637.2,445131.7,458264.7,464489.0,462763.5,484172.3,475762.2,483094.9,488776.2,493910.0,509217.9,518406.8,525464.2,533682.2,541807.2,548772.9,554283.8,555173.8,556591.3,560489.6,566253.2,573723.8,584054.0,589005.9,596539.6,606106.2,615636.8,622727.1
 "97000" ,"Rocky Mountain",7,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",222490.0,226747.0,232550.8,234280.3,238066.7,241893.9,244485.2,252652.8,259314.6,266227.5,271506.6,275198.1,279293.6,280697.2,279591.0,280444.5,282566.5,284409.6,284898.3,287723.8,288744.3,291171.3,296266.2,297744.0,300362.1,306459.0,309647.9,317153.9,322236.6,328534.7,334952.1,342874.4,357057.1,362048.7,367755.1,372810.9,380720.2,389176.4,391739.9,398336.8,399036.1,412870.6,408987.8,403113.8,394026.8,390027.5,386638.6,386652.0,393322.2,398315.5,405175.7,413333.2,426153.5,431309.6,437013.1,440669.1,453557.4,460462.6,458511.8,479679.1,470611.5,477445.8,483242.7,489149.0,504409.7,512791.0,520127.4,527908.3,536425.2,543230.7,548484.8,550328.7,552005.1,555930.6,562142.6,570181.5,579846.3,584717.1,592684.1,602291.6,611851.5,618538.1
 "97000" ,"Rocky Mountain",7,SQINC4,12,"..."," Farm income 2/","Millions of dollars",2286.3,2232.3,2250.9,2549.1,2930.8,2619.0,2537.2,2509.5,2114.9,2295.5,2285.3,2548.0,3017.7,2959.9,2919.5,3019.2,2028.1,1883.9,2343.8,2714.0,2070.1,2410.6,2443.7,2223.4,3443.4,3313.5,3039.0,3332.3,3378.8,3563.1,3368.3,2889.3,2265.7,2318.6,2259.0,2048.9,3527.7,3176.2,3187.5,3261.1,3778.6,3431.9,2888.0,2619.9,1880.3,1943.5,2203.5,2743.7,2614.1,2992.4,3384.9,3692.9,4913.4,4469.8,4624.1,4462.7,4707.3,4026.4,4251.7,4493.3,5150.7,5649.2,5533.5,4760.9,4808.3,5615.8,5336.8,5773.9,5382.0,5542.2,5799.0,4845.1,4586.1,4559.0,4110.5,3542.3,4207.7,4288.8,3855.5,3814.7,3785.4,4189.0
 "97000" ,"Rocky Mountain",7,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10895556,10931395,10967000,11001002,11031444,11062696,11097684,11132959,11165421,11198095,11236390,11276555,11311390,11347484,11386587,11425514,11460410,11495894,11538548,11584483,11625120,11666967,11714343,11763409,11807908,11853870,11901472,11947555,11989971,12032876,12079395,12125483,12168092,12211674
 "97000" ,"Rocky Mountain",7,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36339,36712,37254,37908,39076,39392,39795,39983,41043,41479,41184,42936,42060,42573,42926,43229,44433,45095,45540,46069,46607,47036,47317,47195,47137,47283,47578,48020,48712,48950,49385,49986,50594,50994
 "97000" ,"Rocky Mountain",7,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",170559.1,173501.4,179175.6,181357.7,185639.8,189026.6,190856.1,198257.2,202479.5,208015.7,211958.3,214817.8,218584.7,219050.9,218913.9,218930.4,219797.2,221207.3,222829.1,225091.5,222950.9,225830.5,230421.6,230903.7,234224.5,239375.4,242021.0,245688.0,249972.3,253275.2,259313.7,262520.9,273161.4,275448.4,280017.2,283953.5,289698.0,293478.0,294237.0,300213.9,298292.8,300841.3,302954.9,300021.5,290558.2,284584.2,284105.2,285871.7,287799.9,291520.4,296379.9,301584.7,306843.3,309522.9,314578.4,314101.7,323796.7,326861.6,328297.6,338713.9,344478.5,350560.6,353256.3,357212.2,368599.4,372434.4,375820.3,382547.9,387885.7,388569.8,390783.8,391732.8,391793.7,393513.5,398553.3,404491.3,411561.9,416988.7,423797.7,428625.8,436305.1,441957.8
 "97000" ,"Rocky Mountain",7,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",18797.2,19074.2,19665.3,19770.4,20159.2,20481.0,20596.2,21332.8,21852.0,22343.1,22775.8,23070.9,23511.9,23589.7,23601.2,23733.4,24076.2,24310.8,24482.8,24637.7,24647.2,24921.1,25425.9,25529.1,26193.4,26796.1,27156.8,27530.1,28195.2,28520.4,29199.6,29588.6,30798.5,31091.2,31664.3,32187.7,32827.0,33301.0,33375.9,34166.6,34388.0,34591.3,34759.5,34421.5,33718.9,33443.6,33383.9,33252.6,33797.0,33817.0,34048.2,34371.1,31754.6,31936.1,32378.9,32314.9,33072.0,33388.6,33428.6,34341.3,38392.9,38909.5,39158.1,39641.2,40869.3,41102.5,41491.6,42425.4,42896.7,43245.9,43472.5,43716.3,44036.9,44299.3,44798.4,45424.5,46410.0,46933.7,47723.6,48220.3,49332.6,49896.8
 "97000" ,"Rocky Mountain",7,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",9556.5,9701.2,10007.7,10076.3,10309.4,10486.7,10547.0,10924.4,11151.9,11412.9,11633.9,11798.6,12058.3,12101.9,12075.0,12062.7,12174.6,12201.3,12247.8,12320.6,12300.9,12438.1,12688.4,12716.6,12993.2,13269.6,13425.5,13600.0,13966.4,14119.7,14423.1,14583.3,15256.3,15407.1,15708.5,15985.0,16414.6,16701.9,16754.3,17142.2,17289.4,17406.8,17497.8,17349.3,17097.2,16966.5,16968.1,16921.3,17128.4,17102.6,17203.4,17341.8,14007.2,14074.5,14249.8,14272.2,14522.5,14699.7,14772.9,15179.7,19437.9,19734.6,19887.8,20103.0,20783.0,20882.7,21057.3,21530.8,21902.1,22085.8,22199.1,22310.4,22617.2,22725.4,22962.6,23271.1,23899.9,24184.0,24568.8,24828.4,25514.2,25811.5
 "97000" ,"Rocky Mountain",7,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",9240.7,9372.9,9657.6,9694.2,9849.8,9994.3,10049.2,10408.4,10700.1,10930.3,11141.9,11272.2,11453.7,11487.8,11526.2,11670.7,11901.6,12109.5,12235.0,12317.1,12346.3,12483.0,12737.6,12812.5,13200.2,13526.5,13731.3,13930.1,14228.7,14400.7,14776.5,15005.3,15542.3,15684.1,15955.8,16202.7,16412.4,16599.1,16621.6,17024.4,17098.6,17184.4,17261.6,17072.1,16621.6,16477.1,16415.8,16331.3,16668.7,16714.4,16844.8,17029.3,17747.4,17861.5,18129.1,18042.7,18549.6,18688.9,18655.7,19161.6,18955.0,19174.9,19270.3,19538.2,20086.3,20219.8,20434.3,20894.6,20994.5,21160.1,21273.3,21405.9,21419.7,21573.9,21835.8,22153.4,22510.1,22749.7,23154.8,23391.9,23818.4,24085.3
 "97000" ,"Rocky Mountain",7,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",683.6,692.8,700.5,717.3,782.5,778.9,803.1,826.9,874.7,846.5,856.0,850.9,842.4,853.8,837.2,840.2,825.9,833.8,833.4,844.2,823.7,846.4,857.0,872.5,854.8,876.7,888.0,902.2,867.5,883.0,882.6,902.0,856.2,850.6,855.9,868.8,845.9,859.7,882.8,894.4,929.2,924.6,935.7,926.4,1039.9,1052.3,1040.3,1054.2,1192.6,1223.9,1234.9,1247.9,1599.2,1611.0,1638.3,1662.8,2205.5,2245.4,2264.2,2301.3,2508.0,2536.0,2569.1,2600.3,2756.9,2795.4,2857.6,2896.3,2632.3,2634.6,2635.1,2623.4,2405.2,2402.3,2424.1,2465.1,2602.8,2640.3,2662.4,2677.1,2750.7,2762.2
