GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "47000" ,"Tennessee",5,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",137528.7,141066.1,142374.5,144554.4,144156.8,145925.9,147333.5,150599.2,152627.5,154593.8,157614.3,157462.0,157958.5,159676.5,159397.6,160807.1,161904.5,163937.8,164172.3,166035.8,167599.2,169229.6,171640.8,174250.5,176448.1,179637.8,182508.1,184339.4,184959.4,187542.4,190026.0,192902.4,197644.2,200366.1,201671.3,205001.0,207139.8,210515.9,211951.0,214677.2,216974.7,223843.1,218672.3,215643.1,215340.9,217827.6,216944.6,219163.6,222789.0,226685.5,229635.6,231943.3,237974.8,240598.4,243305.5,245197.4,250152.0,253846.3,253814.2,259811.3,255323.9,255888.8,256901.2,258709.3,263602.5,266897.2,269320.8,272136.7,276432.6,281559.2,284838.5,285769.2,288212.9,289595.1,293485.8,297184.8,301944.7,304256.5,306838.2,309723.1,314168.2,316835.8
 "47000" ,"Tennessee",5,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",137366.3,140883.1,142172.7,144309.2,144014.2,145877.5,147310.2,150616.6,152337.5,154260.7,157287.8,157129.9,157497.1,159212.2,158929.4,160389.9,161848.6,163935.2,164079.1,165867.6,167501.8,169041.1,171421.4,173995.6,176027.6,179237.1,182196.5,183968.6,184475.3,186932.6,189423.6,192446.6,197236.5,200088.6,201461.8,204818.4,207200.0,210662.7,212111.6,214796.7,216656.3,223556.5,218511.1,215524.6,215084.3,217574.5,216659.3,218770.9,222747.0,226611.3,229516.2,231798.7,237445.3,240131.9,242780.5,244726.1,249790.0,253523.8,253539.1,259479.3,254272.6,254779.0,255722.0,258030.1,263196.4,266374.9,269037.7,271849.8,276253.1,281368.7,284582.1,285520.1,288332.6,289674.8,293604.6,297373.2,301998.6,304346.4,306980.0,309860.3,314150.1,316702.8
 "47000" ,"Tennessee",5,SQINC4,12,"..."," Farm income 2/","Millions of dollars",162.4,183.0,201.8,245.2,142.6,48.5,23.3,-17.4,290.0,333.1,326.5,332.1,461.5,464.3,468.2,417.2,55.9,2.6,93.2,168.2,97.4,188.6,219.4,255.0,420.5,400.7,311.6,370.8,484.1,609.9,602.4,455.8,407.7,277.4,209.5,182.6,-60.2,-146.8,-160.7,-119.5,318.4,286.6,161.2,118.5,256.7,253.1,285.3,392.7,42.0,74.2,119.4,144.7,529.5,466.5,524.9,471.3,361.9,322.5,275.2,332.0,1051.3,1109.8,1179.2,679.1,406.1,522.4,283.1,286.9,179.6,190.5,256.3,249.2,-119.7,-79.7,-118.8,-188.4,-53.9,-89.9,-141.8,-137.2,18.0,133.0
 "47000" ,"Tennessee",5,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6340438,6351012,6361902,6372931,6381873,6391035,6403803,6418166,6431039,6443762,6456871,6468257,6476525,6485480,6497676,6511208,6522422,6533788,6547569,6561666,6572688,6584268,6599018,6614850,6627950,6641779,6658508,6676227,6691666,6707321,6725164,6742791,6758112,6773876
 "47000" ,"Tennessee",5,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35138,35693,36095,36395,37289,37646,37994,38204,38898,39394,39309,40167,39423,39456,39537,39733,40415,40849,41133,41474,42058,42762,43164,43201,43484,43602,44077,44514,45122,45362,45625,45934,46488,46773
 "47000" ,"Tennessee",5,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",106941.3,110041.4,110965.7,113266.8,113001.4,114775.6,115811.0,118838.3,120247.2,120994.5,123672.8,122773.1,122719.8,123914.2,124442.4,125075.4,126703.4,128557.6,128901.4,130051.0,130776.8,132510.7,134188.4,136708.0,138400.8,141073.8,144350.3,144566.8,144937.4,146250.3,148837.2,150513.4,153688.3,155683.3,156159.6,159091.8,158901.0,160166.4,160533.0,162699.2,163393.8,162297.3,162208.6,160352.2,158319.1,158404.3,158525.5,161242.5,161735.2,164341.3,165426.9,166768.1,170231.6,172541.3,175835.2,175794.2,180812.2,183525.0,183657.1,187459.6,188041.6,188242.3,188475.5,189794.9,194814.9,196075.9,197106.7,199479.7,202272.7,206438.8,208679.2,209768.4,211683.5,212420.5,216143.5,219875.0,222991.3,224922.3,227433.3,228983.0,232859.5,234535.7
 "47000" ,"Tennessee",5,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",11379.0,11702.1,11760.8,11989.7,12108.7,12297.3,12374.6,12662.6,12813.5,12799.5,13115.1,12982.5,13185.5,13306.9,13364.4,13490.4,13736.7,13987.6,14002.7,14079.9,14243.3,14374.9,14497.1,14706.7,14945.8,15160.5,15487.5,15433.3,15688.9,15768.4,15991.4,16106.4,16437.4,16708.5,16767.2,17077.5,17273.8,17444.4,17534.5,17862.3,17958.3,17897.9,18065.5,18020.6,17580.9,17679.9,17584.3,17709.5,17921.1,17990.5,17960.2,18061.7,16535.6,16644.8,16863.7,16666.2,17085.6,17194.2,17091.3,17424.2,19756.7,19804.0,19832.5,20020.3,20481.0,20499.8,20554.5,20877.8,21137.1,21664.7,21831.2,21989.4,22096.9,22186.4,22590.6,22973.5,23375.5,23611.4,23899.7,24048.1,24629.3,24758.5
 "47000" ,"Tennessee",5,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",5931.0,6102.4,6133.2,6260.2,6344.0,6448.4,6487.0,6635.0,6699.3,6697.8,6870.1,6810.4,6939.1,7025.4,7065.0,7130.9,7273.6,7396.2,7402.2,7443.2,7505.0,7568.5,7640.2,7762.0,7891.4,8027.6,8225.3,8229.0,8416.6,8490.8,8631.6,8710.7,8966.8,9140.7,9182.2,9354.9,9503.7,9607.8,9655.0,9818.3,9892.1,9842.0,9896.2,9835.2,9584.5,9597.0,9540.6,9612.4,9712.4,9759.9,9769.7,9852.1,8015.6,8104.1,8235.4,8176.2,8323.7,8380.3,8341.3,8477.9,10870.2,10906.1,10956.3,11097.7,11471.5,11526.7,11564.3,11726.8,11884.8,12148.8,12225.2,12314.7,12468.2,12523.1,12750.8,12958.5,13244.0,13372.7,13530.2,13606.9,14001.6,14075.8
 "47000" ,"Tennessee",5,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",5448.0,5599.6,5627.6,5729.5,5764.7,5848.8,5887.6,6027.6,6114.2,6101.7,6245.1,6172.2,6246.5,6281.5,6299.4,6359.5,6463.0,6591.4,6600.5,6636.7,6738.3,6806.4,6856.9,6944.7,7054.3,7132.9,7262.2,7204.2,7272.3,7277.6,7359.9,7395.7,7470.6,7567.8,7585.0,7722.6,7770.1,7836.6,7879.5,8044.1,8066.2,8055.9,8169.3,8185.4,7996.4,8082.9,8043.7,8097.1,8208.7,8230.7,8190.5,8209.6,8519.9,8540.7,8628.2,8490.1,8761.9,8814.0,8750.0,8946.3,8886.6,8897.9,8876.2,8922.7,9009.5,8973.0,8990.1,9151.0,9252.4,9515.9,9605.9,9674.7,9628.6,9663.2,9839.7,10015.0,10131.5,10238.7,10369.5,10441.1,10627.7,10682.7
 "47000" ,"Tennessee",5,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-1129.3,-1199.8,-1169.1,-1200.8,-1319.3,-1359.8,-1353.0,-1403.3,-1544.6,-1527.1,-1604.6,-1522.5,-1562.3,-1561.6,-1554.6,-1573.8,-1530.7,-1556.0,-1540.9,-1565.7,-1518.7,-1548.5,-1560.5,-1593.7,-1586.1,-1631.2,-1687.5,-1652.7,-1453.7,-1435.7,-1474.6,-1452.4,-1327.8,-1393.0,-1381.2,-1426.1,-1428.3,-1467.4,-1487.5,-1544.8,-1437.4,-1374.0,-1400.8,-1320.5,-1013.3,-977.5,-927.6,-954.1,-765.2,-736.7,-710.6,-774.8,-716.6,-748.0,-790.3,-783.3,-989.9,-1062.0,-1077.0,-1162.5,-1243.0,-1225.1,-1225.6,-1271.7,-1218.0,-1195.1,-1181.2,-1205.3,-1241.1,-1328.4,-1346.4,-1374.6,-1693.4,-1717.4,-1798.8,-1851.7,-1871.0,-1910.0,-1938.7,-1934.3,-2031.9,-2013.4
