GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "49000" ,"Utah",7,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",47537.0,48489.3,49276.7,49980.1,50261.2,50974.2,51747.7,52674.6,53749.4,54832.6,55456.4,56202.0,56864.6,57325.9,57485.3,57980.4,58796.2,58805.2,59030.9,59562.8,60225.5,60721.8,61434.6,62228.4,63311.9,64692.8,65667.8,67153.8,68738.4,70470.4,72078.4,74260.3,77162.9,78659.7,80046.9,81882.2,83981.9,86315.6,86846.1,88330.5,89166.2,92777.9,91035.3,89289.2,87142.7,87430.2,86572.8,86440.1,87759.9,88382.8,89791.2,91450.2,94551.0,95829.4,96959.7,97909.1,101154.9,102529.8,102085.9,107140.7,104603.4,106367.0,107644.3,107836.9,110933.4,112314.7,113825.1,115846.8,118689.4,121299.5,123251.6,124265.2,126282.6,127393.4,128911.6,131040.5,132563.4,133338.7,135590.7,137722.5,141045.5,142232.8
 "49000" ,"Utah",7,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",47311.0,48271.4,49058.6,49744.3,49994.5,50747.3,51533.3,52465.5,53567.5,54633.0,55255.6,55993.0,56562.8,57027.7,57189.0,57647.4,58625.5,58638.5,58831.5,59332.3,60028.5,60508.2,61219.8,62038.3,63002.7,64402.6,65388.9,66850.2,68465.8,70195.2,71820.4,74035.2,77020.6,78506.2,79908.3,81770.1,83784.7,86150.5,86681.7,88174.1,88949.4,92589.1,90883.5,89166.0,87070.6,87352.7,86483.2,86319.8,87601.2,88190.5,89572.2,91222.3,94176.0,95491.6,96613.4,97576.5,100812.0,102226.1,101779.0,106840.1,104115.6,105825.1,107105.1,107354.3,110416.8,111712.2,113215.5,115194.7,118089.3,120683.2,122621.9,123781.9,125908.1,127042.4,128610.0,130795.9,132233.1,132990.9,135296.0,137432.3,140742.4,141903.6
 "49000" ,"Utah",7,SQINC4,12,"..."," Farm income 2/","Millions of dollars",226.0,217.9,218.1,235.8,266.7,226.9,214.4,209.1,182.0,199.6,200.8,209.1,301.8,298.2,296.4,333.1,170.8,166.6,199.4,230.5,197.1,213.6,214.8,190.1,309.2,290.2,278.9,303.6,272.6,275.2,258.0,225.2,142.2,153.5,138.6,112.1,197.3,165.1,164.4,156.4,216.7,188.8,151.8,123.1,72.1,77.5,89.6,120.3,158.7,192.3,218.9,227.9,375.0,337.8,346.3,332.6,343.0,303.7,307.0,300.6,487.8,542.0,539.3,482.5,516.6,602.5,609.6,652.1,600.2,616.3,629.7,483.3,374.5,351.0,301.7,244.5,330.3,347.7,294.7,290.1,303.1,329.3
 "49000" ,"Utah",7,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2757540,2769524,2780617,2790919,2800419,2810222,2820539,2830496,2839817,2849262,2860422,2872373,2883070,2894089,2905025,2915153,2924326,2933721,2944920,2957007,2967833,2979018,2992696,3007915,3022093,3036728,3051753,3066477,3080383,3094450,3109213,3123769,3137733,3152042
 "49000" ,"Utah",7,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31825,31913,32292,32767,33763,34100,34376,34591,35620,35985,35689,37300,36282,36753,37055,36992,37935,38284,38651,39177,39992,40718,41184,41313,41786,41951,42242,42733,43035,43090,43609,44089,44951,45124
 "49000" ,"Utah",7,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",37556.6,38267.9,38990.7,39816.2,40085.7,40808.3,41531.0,42281.1,42931.1,43644.9,43925.6,44473.2,45136.2,45427.8,45783.7,46000.3,46510.6,46319.3,46625.5,46972.8,47180.2,47766.6,48426.4,49259.7,50279.3,51612.6,52537.9,53074.8,54147.0,55089.8,56695.6,58198.6,60740.0,61893.4,63129.8,64875.5,65971.0,67392.6,67330.2,68405.8,68339.8,68961.1,68942.1,67958.3,65884.1,65709.5,65299.5,65425.6,65804.4,66245.0,67296.9,68421.7,69843.0,70660.7,71786.9,71947.6,75012.7,75929.8,76049.7,78865.8,79100.2,80451.9,81051.8,80985.3,83929.3,84113.2,84791.9,86471.7,88584.8,89793.4,90898.6,92093.9,93607.6,94370.0,95905.5,97742.8,98638.5,99508.5,101736.2,102895.2,105949.2,106926.2
 "49000" ,"Utah",7,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",4375.1,4445.9,4520.5,4595.9,4622.2,4691.4,4771.1,4835.1,4958.3,5031.8,5062.7,5131.6,5242.7,5278.4,5311.8,5333.6,5419.1,5395.2,5428.7,5464.2,5524.6,5604.6,5687.7,5787.5,5940.1,6094.2,6207.3,6271.6,6420.5,6536.1,6716.0,6882.2,7085.2,7187.9,7325.7,7527.6,7683.0,7846.7,7827.7,7959.8,7974.2,8049.1,8073.9,7990.5,7825.8,7820.4,7738.0,7689.1,7824.2,7796.9,7867.8,7963.4,7375.3,7429.4,7532.4,7518.3,7718.1,7798.0,7799.1,8100.5,9119.7,9301.0,9386.3,9400.8,9744.9,9723.0,9764.3,9946.3,10079.3,10204.7,10270.5,10397.3,10565.6,10675.3,10852.4,11092.2,11325.4,11445.1,11751.6,11883.6,12323.9,12432.6
 "49000" ,"Utah",7,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",2172.6,2210.2,2250.7,2295.7,2320.9,2362.3,2404.7,2438.4,2494.4,2527.5,2537.1,2567.2,2618.2,2631.6,2645.5,2652.2,2706.5,2686.1,2698.1,2708.8,2720.7,2750.5,2784.8,2828.8,2893.6,2964.2,3014.1,3041.7,3118.4,3171.6,3256.8,3337.8,3459.6,3522.6,3601.1,3714.2,3827.0,3926.3,3921.6,3982.7,3991.0,4027.1,4036.8,3998.3,3938.0,3942.9,3918.5,3914.1,3990.3,3979.8,4012.8,4041.8,3250.6,3256.0,3285.2,3290.7,3365.7,3414.5,3427.9,3552.0,4577.8,4668.2,4712.3,4715.7,4914.1,4907.1,4929.5,5023.4,5123.3,5189.3,5228.0,5293.2,5416.1,5469.5,5557.5,5679.1,5826.4,5888.6,6041.8,6108.2,6368.2,6423.1
 "49000" ,"Utah",7,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",2202.5,2235.6,2269.8,2300.2,2301.3,2329.1,2366.3,2396.7,2463.9,2504.3,2525.6,2564.4,2624.5,2646.7,2666.4,2681.4,2712.6,2709.1,2730.7,2755.5,2803.9,2854.1,2902.9,2958.7,3046.5,3129.9,3193.2,3229.9,3302.2,3364.4,3459.3,3544.5,3625.6,3665.3,3724.7,3813.4,3856.0,3920.4,3906.0,3977.1,3983.2,4022.0,4037.1,3992.2,3887.8,3877.5,3819.5,3775.0,3833.9,3817.1,3855.1,3921.6,4124.7,4173.4,4247.3,4227.6,4352.4,4383.5,4371.1,4548.6,4541.9,4632.7,4673.9,4685.1,4830.8,4815.9,4834.8,4922.9,4956.0,5015.4,5042.4,5104.2,5149.5,5205.7,5294.8,5413.1,5499.1,5556.4,5709.8,5775.4,5955.7,6009.5
 "49000" ,"Utah",7,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",-4.4,-5.0,-3.1,-2.8,-1.1,-2.3,-3.3,1.4,3.2,2.8,7.9,5.7,2.2,1.9,-0.9,-4.0,-7.7,-2.1,-1.3,1.4,-1.6,-0.2,2.6,3.1,1.2,(L),1.6,3.9,17.1,20.1,14.4,8.3,25.1,21.5,17.3,13.2,19.0,11.4,15.0,17.1,40.4,32.6,31.8,28.9,10.2,5.2,5.6,7.0,0.2,4.9,2.3,-3.6,1.8,-1.0,-2.6,-3.7,16.1,16.7,18.0,13.6,26.2,24.6,24.1,34.0,28.4,32.6,36.9,35.5,18.0,12.4,7.2,0.3,-25.1,-28.9,-29.5,-40.0,-37.1,-33.7,-39.4,-40.7,-51.1,-50.5
