GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "50000" ,"Vermont",1,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",14948.9,15193.6,15443.9,15628.3,15897.9,16136.4,16441.0,16735.0,17203.8,17607.9,17678.4,18019.3,18548.8,18726.6,18674.1,18822.0,18915.9,18981.6,19065.9,19330.4,19417.2,19594.3,19817.0,20423.2,20387.2,20988.7,21178.7,21304.3,21179.2,21274.5,21464.8,21950.7,22577.0,22795.4,23075.5,23316.0,23824.8,24146.7,24320.0,24476.5,25161.1,25745.8,25361.5,25207.1,24801.1,24985.4,25022.2,25152.7,25193.5,25733.7,26031.8,26189.6,26881.9,27229.6,27445.4,27844.3,27939.6,28335.9,28100.0,28839.9,28379.2,28731.2,28747.9,28909.6,29168.2,29608.8,30049.5,30404.2,30406.1,30788.8,31056.0,31211.0,31372.3,31464.5,31673.6,31776.6,32321.8,32451.0,32679.6,32829.0,33163.4,33472.9
 "50000" ,"Vermont",1,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",14809.8,15062.8,15320.9,15490.7,15722.5,15992.5,16309.5,16613.9,17074.2,17456.1,17528.5,17863.1,18412.9,18587.8,18534.6,18656.2,18815.0,18883.4,18953.4,19200.8,19278.6,19448.6,19669.1,20287.3,20196.3,20805.8,20993.9,21105.5,20984.3,21074.6,21267.9,21765.5,22457.7,22669.4,22957.0,23211.1,23602.1,23932.7,24102.7,24269.7,24916.8,25512.7,25155.0,25006.0,24695.8,24872.6,24905.1,25013.4,25045.6,25550.6,25829.9,25974.6,26623.5,26971.7,27183.1,27589.7,27661.2,28088.3,27866.0,28606.2,28112.4,28428.8,28451.5,28623.3,28860.2,29261.9,29691.5,30025.4,30195.0,30564.7,30830.2,31033.6,31169.4,31259.8,31485.1,31605.9,32136.4,32257.1,32501.0,32652.4,33049.7,33345.9
 "50000" ,"Vermont",1,SQINC4,12,"..."," Farm income 2/","Millions of dollars",139.1,130.8,123.0,137.6,175.4,143.9,131.4,121.1,129.6,151.9,150.0,156.2,135.8,138.8,139.6,165.8,100.9,98.2,112.5,129.6,138.6,145.8,147.9,135.8,190.9,182.9,184.9,198.8,194.9,199.9,196.9,185.2,119.3,126.1,118.4,104.9,222.7,213.9,217.3,206.8,244.3,233.1,206.4,201.2,105.3,112.8,117.1,139.3,147.9,183.0,201.9,215.0,258.4,257.9,262.3,254.5,278.4,247.6,234.0,233.7,266.8,302.4,296.4,286.3,308.1,346.9,358.0,378.7,211.1,224.1,225.8,177.4,202.9,204.7,188.5,170.8,185.4,193.9,178.6,176.5,113.7,127.0
 "50000" ,"Vermont",1,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),625667,625795,625977,626160,626128,626145,626198,626110,625887,625670,625769,625990,625934,625940,626052,626065,625863,625699,625620,625435,624979,624581,624400,624223,623810,623456,623446,623611,623589,623589,623770,623936,623887,623882
 "50000" ,"Vermont",1,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40267,41122,41586,41826,42934,43488,43829,44472,44640,45289,44905,46071,45339,45901,45919,46177,46605,47321,48031,48613,48651,49295,49737,50000,50291,50468,50804,50956,51832,52039,52390,52616,53156,53653
 "50000" ,"Vermont",1,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",10578.9,10728.9,10937.7,11093.1,11341.4,11558.8,11818.6,12039.5,12394.5,12717.1,12671.9,12954.5,13377.5,13496.1,13540.9,13612.0,13836.3,13879.9,13980.9,14188.1,14123.7,14303.0,14441.1,15009.3,14823.1,15385.4,15570.6,15489.7,15650.4,15654.3,15844.0,16017.2,16325.4,16176.4,16262.3,16347.1,16664.1,16824.7,16900.2,16937.7,17452.2,17304.2,17307.7,17382.9,16907.8,16978.0,17187.7,17459.9,17373.6,17828.7,18078.2,17990.9,18289.6,18510.5,18691.8,18929.7,18966.8,19223.1,19059.0,19194.9,19491.5,19642.9,19454.4,19533.3,19591.7,19675.1,19886.9,20252.3,20087.0,20259.7,20441.0,20581.6,20721.3,20734.9,20903.4,20986.9,21447.2,21512.2,21700.7,21743.1,21971.0,22213.3
 "50000" ,"Vermont",1,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",1239.5,1255.4,1279.1,1290.6,1306.3,1330.8,1358.8,1377.3,1406.7,1437.5,1430.4,1464.1,1516.5,1527.4,1523.6,1523.0,1546.0,1543.1,1550.3,1570.3,1580.9,1604.2,1617.1,1679.5,1657.4,1718.5,1735.8,1724.4,1782.5,1782.6,1801.3,1813.9,1881.2,1864.6,1884.4,1906.3,1959.1,1987.0,2004.0,2014.3,2059.1,2039.5,2049.8,2069.1,2015.4,2026.6,2037.7,2048.8,2043.5,2069.4,2086.9,2061.6,1906.7,1921.3,1936.9,1958.5,1984.8,2019.4,2002.6,2013.1,2313.6,2332.9,2315.4,2342.8,2389.0,2403.1,2434.3,2489.1,2488.5,2514.6,2537.0,2555.8,2568.7,2572.8,2598.0,2611.5,2678.7,2688.5,2716.4,2720.5,2774.7,2801.8
 "50000" ,"Vermont",1,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",644.7,653.4,666.2,673.0,683.5,697.3,712.5,721.5,734.3,750.6,746.3,764.9,794.4,802.7,802.5,803.3,819.7,819.5,824.4,836.7,840.5,852.8,861.2,896.8,884.6,918.9,930.0,925.1,960.1,960.8,970.5,976.4,1019.6,1010.3,1021.9,1034.5,1070.2,1086.6,1093.9,1094.8,1118.4,1103.4,1105.3,1113.7,1088.2,1091.6,1097.4,1101.6,1092.7,1104.6,1114.1,1100.3,900.5,907.9,913.2,922.7,922.4,934.8,924.0,923.6,1208.2,1218.4,1211.5,1226.6,1258.6,1267.8,1282.9,1308.7,1312.3,1321.1,1331.2,1340.8,1358.6,1360.7,1374.4,1381.3,1425.8,1430.9,1445.4,1447.5,1483.2,1498.0
 "50000" ,"Vermont",1,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",594.8,602.0,612.9,617.6,622.8,633.4,646.3,655.8,672.3,686.9,684.2,699.2,722.1,724.7,721.1,719.7,726.4,723.6,725.8,733.7,740.4,751.4,756.0,782.7,772.8,799.6,805.8,799.3,822.4,821.8,830.8,837.6,861.6,854.3,862.4,871.8,888.9,900.4,910.1,919.5,940.8,936.1,944.6,955.3,927.2,935.0,940.3,947.2,950.8,964.9,972.8,961.3,1006.3,1013.4,1023.7,1035.8,1062.4,1084.7,1078.7,1089.5,1105.4,1114.5,1104.0,1116.2,1130.3,1135.3,1151.4,1180.4,1176.2,1193.5,1205.8,1215.0,1210.1,1212.1,1223.5,1230.3,1252.8,1257.6,1271.1,1273.0,1291.5,1303.8
 "50000" ,"Vermont",1,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",161.0,171.2,178.0,187.0,193.4,192.2,194.5,202.1,228.4,212.8,229.7,236.2,249.3,236.0,230.1,231.7,231.5,241.4,235.7,230.7,246.4,251.2,256.9,249.8,233.9,226.6,242.5,246.9,233.7,249.1,255.9,260.1,261.1,271.4,276.4,316.5,294.1,298.3,283.9,288.9,289.6,286.9,283.4,282.1,321.0,331.0,338.4,335.9,317.6,339.1,331.6,332.4,305.9,311.2,310.8,293.2,304.9,297.4,308.9,338.8,327.5,333.3,341.9,348.0,360.1,374.9,366.3,384.4,355.1,374.1,371.0,388.3,339.5,349.4,350.0,343.1,344.4,345.4,372.8,363.0,383.5,379.3
