GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "55000" ,"Wisconsin",3,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",139933.3,142175.3,144087.9,145845.5,146203.3,147650.9,149662.8,152761.8,156092.3,158430.2,159969.2,161218.6,165851.7,166817.9,166505.1,168067.0,168979.1,171178.8,171271.3,173265.1,173572.0,174723.6,176125.2,179058.5,179281.3,182570.5,185610.9,188187.3,187202.9,189237.1,192081.0,193589.4,199417.5,201453.7,203653.6,205291.4,209797.3,211414.3,212172.1,214162.7,216749.3,222593.6,219849.1,218866.0,212820.0,216373.3,216508.9,217951.0,217218.5,220495.3,223094.3,226773.1,231658.9,233535.8,237041.1,236063.6,242708.0,244769.1,243580.7,251743.5,244293.4,246732.9,248222.3,249261.2,252053.2,256621.7,258929.4,262685.4,264532.2,267435.7,269816.7,271167.4,271247.2,272483.7,274971.5,276447.6,280102.0,281930.6,285453.4,287057.4,291728.5,294514.2
 "55000" ,"Wisconsin",3,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",138623.4,140913.8,142787.8,144379.0,144882.2,146368.7,148385.0,151500.8,155405.0,157543.3,159088.6,160284.6,164732.2,165704.6,165399.4,166813.4,168046.1,170286.4,170148.3,171973.8,172180.6,173160.5,174511.4,177538.4,177378.4,180714.3,183832.4,186263.9,185574.0,187499.5,190396.6,192126.4,198021.3,200056.2,202288.6,204002.7,207656.4,209358.1,210124.9,212099.2,214691.8,220765.2,218402.4,217442.9,212245.1,215666.9,215641.1,216796.8,215866.5,218858.9,221240.7,224815.2,228744.2,230754.1,234144.8,233224.6,239920.7,242122.7,240990.0,249052.6,241387.6,243466.2,245112.3,246489.7,249488.9,253512.9,255851.0,259336.4,261792.3,264523.4,266815.5,268712.9,269110.4,270380.0,273115.1,274900.8,278369.5,280101.0,283873.4,285573.3,290348.6,292959.0
 "55000" ,"Wisconsin",3,SQINC4,12,"..."," Farm income 2/","Millions of dollars",1309.9,1261.6,1300.1,1466.4,1321.1,1282.2,1277.8,1261.1,687.3,886.9,880.6,934.0,1119.5,1113.3,1105.6,1253.6,933.0,892.4,1123.1,1291.2,1391.4,1563.1,1613.8,1520.1,1902.9,1856.1,1778.5,1923.4,1628.9,1737.6,1684.4,1463.1,1396.1,1397.5,1365.1,1288.7,2140.8,2056.2,2047.2,2063.5,2057.6,1828.4,1446.7,1423.1,574.9,706.4,867.8,1154.3,1351.9,1636.4,1853.6,1957.9,2914.7,2781.7,2896.4,2839.0,2787.3,2646.4,2590.7,2690.9,2905.8,3266.6,3110.0,2771.5,2564.4,3108.8,3078.4,3349.0,2739.8,2912.3,3001.1,2454.5,2136.7,2103.7,1856.4,1546.8,1732.5,1829.5,1579.9,1484.0,1379.9,1555.2
 "55000" ,"Wisconsin",3,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5685022,5688768,5693230,5697866,5700508,5703639,5708375,5712841,5715849,5718995,5724129,5729203,5731356,5734354,5739129,5743823,5746379,5749283,5753428,5756738,5757259,5758462,5762237,5766527,5768369,5770946,5776387,5782911,5787447,5792309,5799019,5805434,5809764,5814604
 "55000" ,"Wisconsin",3,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38209,38760,39186,39800,40638,40945,41525,41322,42462,42799,42553,43940,42624,43027,43251,43396,43863,44635,45004,45631,45948,46442,46825,47024,47023,47216,47603,47804,48398,48673,49224,49446,50213,50651
 "55000" ,"Wisconsin",3,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",103802.6,105603.7,107510.6,109655.0,110440.8,111926.0,113601.3,115833.3,118141.4,119241.7,119991.4,120994.8,124514.6,125275.6,125550.9,126621.1,127979.5,129726.7,130028.8,131654.5,131457.6,133307.1,134119.9,137279.4,137174.6,139916.2,143251.7,143934.0,143323.8,144348.0,146942.2,146279.1,150391.9,150832.3,152206.8,153523.6,156678.0,156366.4,156505.1,157907.8,159135.9,159655.7,159790.5,160331.8,153324.0,154335.6,154453.8,155860.2,154134.4,157535.0,160006.4,161850.6,164786.0,165945.6,169462.3,167018.7,172562.3,173339.7,172259.0,176405.5,176442.2,178590.5,178824.0,179806.4,181382.4,183819.0,184357.3,187253.2,187779.6,189358.6,191029.4,192443.3,191875.2,192655.5,194925.0,195838.9,197773.7,199001.9,202134.3,202091.1,206099.6,208223.7
 "55000" ,"Wisconsin",3,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",12156.1,12360.0,12578.3,12808.5,12969.4,13147.4,13328.8,13559.8,13858.3,13867.8,13918.2,13957.7,14196.9,14207.1,14162.0,14240.1,14418.6,14622.5,14599.4,14714.3,14849.1,15002.9,15057.6,15378.8,15478.7,15741.6,16124.0,16155.8,16292.5,16412.7,16712.4,16663.5,17213.7,17316.6,17465.2,17628.2,17952.4,17902.4,17932.5,18146.6,18396.8,18504.4,18625.2,18680.9,17981.1,18063.5,17998.0,18066.8,18056.0,18364.8,18540.3,18692.1,17137.1,17165.4,17468.3,17166.9,17658.8,17738.2,17630.0,18038.1,20316.0,20523.6,20614.6,20716.0,21000.0,21129.0,21126.2,21449.9,21640.8,21850.6,22001.1,22168.7,22103.9,22191.3,22422.8,22576.2,22934.8,23087.2,23469.6,23501.9,24124.2,24344.5
 "55000" ,"Wisconsin",3,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",6117.3,6225.1,6338.6,6466.9,6571.3,6670.8,6766.6,6881.4,7010.4,7024.4,7047.4,7079.8,7223.4,7249.4,7241.9,7288.6,7408.5,7511.4,7505.6,7571.3,7617.5,7692.9,7722.2,7895.0,7933.1,8069.7,8265.8,8285.4,8372.6,8440.2,8592.3,8557.8,8904.5,8966.2,9060.7,9148.5,9378.2,9370.4,9383.6,9480.0,9622.6,9671.8,9710.5,9729.5,9385.4,9410.9,9376.0,9411.6,9357.4,9502.5,9590.9,9654.3,7766.6,7777.3,7917.2,7810.1,7990.5,8037.2,7998.7,8146.5,10445.9,10553.7,10599.1,10650.0,10858.7,10937.9,10926.6,11084.9,11223.4,11328.5,11414.5,11524.0,11603.5,11678.2,11823.0,11920.1,12192.4,12284.0,12494.5,12510.0,12908.0,13026.0
 "55000" ,"Wisconsin",3,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",6038.8,6134.9,6239.6,6341.6,6398.2,6476.6,6562.2,6678.4,6847.9,6843.4,6870.8,6877.9,6973.5,6957.7,6920.1,6951.5,7010.1,7111.1,7093.8,7143.0,7231.6,7310.0,7335.5,7483.8,7545.6,7671.9,7858.2,7870.4,7919.9,7972.5,8120.1,8105.7,8309.2,8350.3,8404.4,8479.6,8574.2,8532.1,8548.9,8666.6,8774.1,8832.5,8914.7,8951.4,8595.7,8652.5,8622.0,8655.2,8698.5,8862.3,8949.4,9037.7,9370.5,9388.1,9551.1,9356.8,9668.3,9701.1,9631.3,9891.6,9870.2,9970.0,10015.5,10066.0,10141.4,10191.0,10199.7,10365.0,10417.4,10522.0,10586.6,10644.8,10500.4,10513.2,10599.9,10656.1,10742.4,10803.2,10975.2,10991.9,11216.2,11318.4
 "55000" ,"Wisconsin",3,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",2254.5,2289.7,2320.8,2359.7,2431.2,2467.3,2462.9,2546.4,2646.6,2668.1,2745.6,2769.3,2863.7,2833.9,2823.7,2834.8,2888.0,2923.1,2937.7,2946.1,2941.3,2986.5,3041.4,3027.7,3040.7,3076.9,3111.9,3190.3,3254.2,3264.2,3321.5,3354.1,3381.7,3427.1,3413.1,3468.7,3607.2,3691.4,3683.1,3751.3,3747.8,3707.6,3764.4,3690.7,3301.0,3280.6,3266.0,3315.3,3147.9,3219.1,3269.2,3334.0,3326.2,3376.3,3356.4,3369.9,3248.6,3264.6,3306.4,3365.9,3213.1,3238.2,3265.6,3300.0,3438.1,3442.6,3517.4,3547.4,3613.1,3621.5,3683.8,3685.3,3709.7,3712.6,3755.5,3852.0,3910.2,3940.8,3926.5,3992.3,3992.0,4038.1
