GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "54000" ,"West Virginia",5,SQINC4,10,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",36814.1,37160.3,37510.6,37641.1,37857.4,38011.3,38358.1,38903.4,39668.3,40338.7,40629.8,41173.6,42292.2,42761.3,42800.9,43544.8,43851.2,44131.6,44386.5,44777.0,44403.6,44571.9,45011.7,45498.4,45468.9,46354.9,46749.7,47368.8,47826.2,48558.0,49047.5,49929.7,51181.0,52015.1,52471.6,53047.4,53399.4,53940.2,54410.4,55044.4,55897.5,58569.2,57961.9,58181.1,57690.2,58543.6,58032.7,58332.8,58802.4,59650.1,60763.3,61030.3,62206.5,63236.2,63961.3,64390.7,64795.5,65511.4,64925.3,65774.9,64774.7,64842.9,64682.9,64869.9,65544.7,66466.5,67005.1,67702.4,67182.9,67974.6,68039.4,67749.9,67288.7,67448.8,67567.6,68026.5,69333.6,69264.9,70240.8,70651.7,71402.9,72039.7
 "54000" ,"West Virginia",5,SQINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",36818.5,37167.4,37519.7,37644.1,37855.6,38032.5,38388.3,38942.0,39667.3,40327.4,40620.7,41159.0,42278.2,42746.2,42786.8,43508.8,43903.6,44177.6,44423.2,44804.1,44424.6,44588.8,45028.6,45526.5,45440.8,46334.5,46730.1,47340.4,47816.5,48546.1,49041.8,49935.0,51205.6,52034.9,52498.8,53093.6,53442.8,54000.9,54473.8,55125.4,55903.2,58595.5,58015.5,58231.4,57740.3,58587.9,58070.9,58357.4,58855.3,59683.9,60785.0,61054.1,62186.3,63235.5,63959.5,64398.5,64763.9,65514.7,64954.6,65808.3,64764.0,64808.4,64653.7,64842.1,65556.6,66457.0,66986.2,67666.5,67197.3,67978.9,68031.8,67790.4,67309.8,67471.5,67606.7,68087.8,69412.6,69336.0,70328.7,70746.7,71474.2,72097.7
 "54000" ,"West Virginia",5,SQINC4,12,"..."," Farm income 2/","Millions of dollars",-4.4,-7.1,-9.1,-3.0,1.8,-21.2,-30.1,-38.5,1.1,11.4,9.0,14.6,14.0,15.1,14.0,36.0,-52.4,-45.9,-36.7,-27.1,-21.0,-16.9,-16.9,-28.1,28.1,20.3,19.5,28.4,9.7,11.9,5.8,-5.3,-24.6,-19.8,-27.2,-46.2,-43.4,-60.7,-63.3,-81.0,-5.8,-26.4,-53.6,-50.3,-50.1,-44.3,-38.2,-24.7,-52.8,-33.7,-21.6,-23.8,20.2,0.7,1.8,-7.8,31.6,-3.3,-29.4,-33.4,10.7,34.5,29.2,27.8,-11.8,9.5,18.8,35.9,-14.4,-4.4,7.6,-40.6,-21.1,-22.8,-39.1,-61.4,-79.0,-71.1,-87.9,-94.9,-71.2,-58.0
 "54000" ,"West Virginia",5,SQINC4,20,"...","Population (midperiod, persons) 3/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1852366,1853639,1854690,1855126,1854846,1854744,1855171,1855541,1855375,1855264,1855347,1854995,1853638,1852586,1851965,1851152,1849601,1848177,1847016,1845479,1842938,1840685,1838660,1836227,1832969,1829946,1827269,1824388,1820836,1817366,1814528,1811661,1808070,1804612
 "54000" ,"West Virginia",5,SQINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31745,32180,32762,32898,33537,34094,34477,34702,34923,35311,34994,35458,34945,35001,34927,35043,35437,35963,36277,36686,36454,36929,37005,36896,36710,36858,36977,37287,38078,38113,38710,38998,39491,39920
 "54000" ,"West Virginia",5,SQINC4,35,"..."," Earnings by place of work","Millions of dollars",24670.1,24762.7,25089.6,25215.6,25429.4,25691.9,26017.4,26489.5,27049.3,27411.2,27416.5,27748.3,28256.1,28501.6,28776.7,29104.2,29194.6,29236.4,29500.4,29751.0,29661.0,29855.6,30081.9,30487.1,30745.1,31500.6,31937.3,32039.6,32710.0,33124.8,33451.1,34006.8,34754.1,35256.8,35368.9,35690.7,35370.1,35440.8,35534.4,35852.3,36276.6,36860.9,37451.1,38034.2,37123.9,36955.1,36747.5,37088.3,37145.1,37831.7,38823.7,38761.8,39185.5,40225.2,40866.5,40894.0,41508.5,41858.9,41355.9,41427.7,41809.4,41837.4,41417.7,41516.0,41556.2,42070.6,42314.6,42742.7,42079.7,42409.9,42200.3,41932.7,41281.6,41107.7,41178.2,41500.8,42448.7,42417.1,43279.3,43323.6,44010.4,44585.6
 "54000" ,"West Virginia",5,SQINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",3707.1,3706.2,3738.6,3731.0,3737.3,3774.5,3842.6,3950.4,4086.2,4158.0,4154.9,4165.0,4160.0,4120.1,4093.0,4085.3,4056.5,4027.0,4056.7,4104.0,4199.5,4249.6,4272.1,4291.8,4316.7,4373.2,4414.3,4421.1,4528.4,4583.8,4583.7,4587.8,4658.2,4655.2,4603.9,4590.7,4572.9,4525.2,4475.9,4458.3,4471.9,4496.1,4560.3,4655.3,4615.9,4613.0,4574.9,4589.5,4639.4,4679.2,4766.9,4721.9,4290.8,4378.0,4433.9,4422.2,4523.0,4550.9,4473.0,4449.7,5069.7,5062.2,5015.3,5047.0,5103.9,5184.6,5221.4,5284.0,5226.9,5276.0,5257.7,5260.9,5224.5,5243.5,5283.0,5340.6,5515.1,5511.5,5635.6,5639.0,5758.5,5825.6
 "54000" ,"West Virginia",5,SQINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",1531.2,1534.1,1553.8,1560.4,1581.0,1597.6,1611.5,1629.5,1642.5,1653.8,1654.0,1682.4,1726.2,1749.9,1765.5,1774.6,1774.1,1761.8,1776.4,1797.5,1830.2,1850.4,1866.9,1889.6,1913.2,1955.3,1981.5,1989.3,2041.6,2072.7,2083.3,2102.3,2177.8,2209.0,2222.6,2256.5,2306.7,2329.5,2344.5,2367.4,2410.3,2443.6,2483.6,2528.8,2497.8,2480.8,2454.3,2464.9,2487.7,2515.5,2572.0,2552.8,2059.6,2113.7,2144.1,2147.9,2179.3,2193.2,2151.6,2126.3,2735.8,2727.3,2701.4,2716.5,2763.4,2809.7,2827.9,2857.9,2835.5,2857.3,2841.8,2840.0,2832.3,2836.8,2853.0,2880.0,2988.5,2985.4,3049.8,3050.0,3129.6,3168.2
 "54000" ,"West Virginia",5,SQINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",2175.9,2172.1,2184.8,2170.6,2156.3,2176.9,2231.1,2320.9,2443.7,2504.1,2500.9,2482.7,2433.7,2370.2,2327.5,2310.7,2282.5,2265.2,2280.3,2306.5,2369.3,2399.1,2405.2,2402.2,2403.5,2417.9,2432.8,2431.8,2486.8,2511.2,2500.4,2485.5,2480.5,2446.2,2381.3,2334.2,2266.2,2195.7,2131.4,2090.9,2061.6,2052.5,2076.7,2126.4,2118.1,2132.2,2120.5,2124.6,2151.7,2163.7,2194.9,2169.0,2231.2,2264.3,2289.8,2274.3,2343.7,2357.7,2321.4,2323.5,2334.0,2334.9,2313.9,2330.4,2340.5,2374.8,2393.5,2426.0,2391.4,2418.7,2415.9,2420.9,2392.1,2406.8,2430.0,2460.6,2526.5,2526.2,2585.8,2589.0,2628.8,2657.3
 "54000" ,"West Virginia",5,SQINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",390.7,430.0,444.5,490.1,495.4,480.3,499.5,528.0,593.7,602.8,654.3,650.2,789.7,790.2,759.9,749.3,781.8,819.3,833.8,832.4,904.2,944.2,981.3,1015.1,1060.6,1057.9,1094.8,1147.4,1249.1,1274.5,1324.0,1309.6,1350.1,1319.7,1329.2,1346.7,1485.9,1485.9,1486.4,1483.8,1499.6,1463.3,1424.4,1376.0,1251.5,1315.8,1356.2,1389.4,1429.1,1474.2,1440.8,1491.6,1504.0,1454.6,1472.8,1438.5,1189.9,1157.9,1224.0,1287.6,1227.1,1241.8,1264.9,1289.5,1458.5,1452.6,1481.6,1504.2,1464.7,1497.8,1568.8,1618.9,1614.6,1654.6,1701.3,1749.1,1694.8,1742.8,1728.4,1760.1,1749.0,1763.1
