GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "08000" ,"Colorado",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",118231878,120721438,124897610,125407954,128374574,130865410,132078394,137501478,141336677,145943161,150062021,151595177,154961944,155089296,153822656,153765360,153537792,154690588,154658380,156175240,155177316,156500332,159641920,158853236,159541148,162475116,163629572,168062196,170144220,173320612,176416068,179205680,185983048,187168720,190290468,191770936,196360128,200582480,202139528,205827052,204016656,210417580,209656772,206999908,201132428,197977716,196459640,197019000,199254696,202191344,206103764,211217796,218837760,221337156,224525796,225587112,231995368,235091160,234166292,245496732,243142780,247206804,250749076,254737236,264332444,269354912,273280340,277436456,280673448,283857116,285684660,286356436,285354056,287389652,290867288,294872424,301188636,303726276,308015560,312714052,316875631,320966114
 "08000" ,"Colorado",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5020517,5038584,5057372,5075196,5091321,5107687,5125763,5143876,5160682,5177480,5196853,5216979,5234642,5252812,5273098,5293984,5313009,5332238,5355572,5381185,5404375,5428048,5452426,5475709,5496869,5518662,5540337,5560359,5578671,5597222,5617451,5637379,5655679,5674446
 "08000" ,"Colorado",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39688,40129,40753,41618,42983,43334,43803,43855,44954,45406,45059,47057,46449,47062,47553,48118,49752,50514,51027,51557,51934,52295,52396,52296,51912,52076,52500,53031,53989,54264,54832,55472,56028,56563
 "08000" ,"Colorado",7,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",91593410,93441834,97671074,98180726,101262210,103690030,104443762,109604430,112245053,116168869,119881597,120705865,123757496,123368464,122489948,122042612,121843004,122969204,123336204,124499064,122287964,123805016,126975836,125911984,126608696,129275472,130352448,132787712,134550964,136231924,139229188,139786996,145296764,144875760,147391040,148153564,150831836,152742180,153513020,157200220,154214304,155975968,157920756,156462672,150408732,146248440,146002992,147332156,147485192,149536436,152231796,155763732,158218364,159652052,162412232,161464368,166495108,168205636,169122656,175188440,179338644,182749124,184685772,187964808,195020068,197497548,199601540,203188344,204858988,204823764,205081912,205715040,203992872,204980416,208266588,211598112,216465316,219286248,223306752,225591352,229008005,232244771
 "08000" ,"Colorado",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9363524,9532524,9978692,9965124,10242904,10472724,10484688,10996168,11220840,11574600,11981920,12036744,12330888,12314132,12263600,12346632,12527968,12730712,12789712,12851736,12718660,12835292,13171356,13093348,13443232,13765196,13918912,14178896,14412208,14561800,14867196,14894696,15472876,15409592,15680336,15786680,16078072,16309232,16397176,16896572,17026956,17150312,17252484,17021956,16659872,16452804,16435280,16413008,16528228,16535352,16663484,16943048,15585584,15716380,15981268,15902244,16286800,16466024,16516136,17019780,18880912,19129432,19285640,19595736,20243628,20457436,20726116,21299968,21539160,21789700,21897928,22089464,22145184,22278520,22598692,22869532,23387488,23589776,23978232,24164688,24643692,24954019
 "08000" ,"Colorado",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4909176,4997316,5227560,5222744,5379960,5502372,5508252,5774452,5873024,6067584,6282568,6324380,6501592,6490352,6428920,6397252,6412444,6441192,6438812,6472588,6410556,6477896,6646720,6582588,6712312,6847672,6900940,7016668,7149556,7224132,7364208,7379716,7737196,7728920,7900592,7966748,8171324,8311860,8362424,8613168,8694720,8761268,8820248,8716480,8592296,8496220,8510068,8514396,8547072,8533640,8586464,8707184,7007448,7046208,7145620,7130620,7257100,7359012,7416068,7667188,9734180,9893148,9989896,10121456,10457948,10537020,10647128,10929404,11116500,11238752,11274836,11342516,11420936,11454808,11601148,11735208,12077300,12205192,12398280,12501172,12800994,12966356
 "08000" ,"Colorado",7,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4454348,4535208,4751132,4742380,4862944,4970352,4976436,5221716,5347816,5507016,5699352,5712364,5829296,5823780,5834680,5949380,6115524,6289520,6350900,6379148,6308104,6357396,6524636,6510760,6730920,6917524,7017972,7162228,7262652,7337668,7502988,7514980,7735680,7680672,7779744,7819932,7906748,7997372,8034752,8283404,8332236,8389044,8432236,8305476,8067576,7956584,7925212,7898612,7981156,8001712,8077020,8235864,8578136,8670172,8835648,8771624,9029700,9107012,9100068,9352592,9146732,9236284,9295744,9474280,9785680,9920416,10078988,10370564,10422660,10550948,10623092,10746948,10724248,10823712,10997544,11134324,11310188,11384584,11579952,11663516,11842698,11987663
 "08000" ,"Colorado",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",230388,231616,226040,236048,258096,257816,264224,262604,293696,284964,284940,288960,301040,304680,312288,317096,332548,338188,341872,344316,353476,360932,361176,378192,387884,393876,405488,405756,417184,423432,432040,444348,460732,472864,477248,492556,498152,503108,507696,511064,522368,522428,523396,523556,568108,565928,559424,559424,648188,662184,669196,672852,818508,822992,832500,833656,1013372,1024208,1023320,1047456,1168248,1179684,1184504,1199688,1213192,1221504,1238512,1254224,1227160,1228388,1233664,1229872,1201360,1199484,1201260,1211528,1289428,1304080,1315592,1327396,1347426,1361023
 "08000" ,"Colorado",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",82460274,84140926,87918422,88451650,91277402,93475122,94223298,98870866,101317909,104879233,108184617,108958081,111727648,111359012,110538636,110013076,109647584,110576680,110888364,111991644,109922780,111330656,114165656,113196828,113553348,115904152,116839024,119014572,120555940,122093556,124794032,125336648,130284620,129939032,132187952,132859440,135251916,136936056,137623540,140814712,137709716,139348084,141191668,139964272,134316968,130361564,130127136,131478572,131605152,133663268,136237508,139493536,143451288,144758664,147263464,146395780,151221680,152763820,153629840,159216116,161625980,164799376,166584636,169568760,175989632,178261616,180113936,183142600,184546988,184262452,184417648,184855448,183049048,183901380,186869156,189940108,194367256,197000552,200644112,202754060,205711739,208651775
 "08000" ,"Colorado",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",25192116,25912428,26249264,26059348,25856340,26069536,26374116,27059204,28306584,29065772,29733380,30296508,30365496,30407504,30148624,29660336,29387620,29262008,28833344,29109300,29905628,29623596,29737668,29956924,29979224,30369788,30553976,32529676,32412452,33706900,33939904,36052944,37167616,38460344,39096584,39805764,41269036,43685124,44227124,44331632,45029700,44558860,45116428,44077168,42367008,41132460,39735884,38548616,38747812,39194276,39864336,41590756,44743256,46036320,46896704,48539832,50448516,51580872,49820692,55264720,49994756,50748196,52124744,52944784,55063008,57099584,58567032,59389360,60056580,62683012,64064004,63733792,64194920,64920576,65363364,66033332,67650796,67510344,67706812,69890684,70507532,71087991
