GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "09000" ,"Connecticut",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",124158290,125753310,127839802,129715566,130913329,132841337,135391177,137559373,143793001,145796989,148505441,149965293,154730436,156182720,154804452,155588512,154234980,155755500,155270836,155702312,154121532,156338292,158565812,160926288,161118652,164827244,168488088,171259784,171714992,174321596,175790796,181104660,187756416,189569236,190810956,194206468,203004396,204672148,205729576,206643744,217379316,219846616,216921208,213943288,211333968,213821520,213741072,215850608,218218420,223004720,224708880,224594812,226160496,229984292,230831416,229244272,231088848,233727128,231039552,238941416,227680480,228685268,229668724,230972640,235872696,238287668,241359688,243908528,243092872,245623068,247343568,247989160,248983164,249102884,249383580,250583076,254811404,256681600,258803140,260558132,262890482,265636709
 "09000" ,"Connecticut",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3572520,3577092,3582271,3585817,3588076,3590400,3593126,3595081,3596066,3596965,3599044,3601046,3601237,3601736,3602634,3602793,3601609,3600465,3600124,3599349,3596855,3594605,3593668,3592811,3590440,3588345,3588225,3588947,3588430,3587975,3588745,3589372,3588716,3588236
 "09000" ,"Connecticut",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61082,62342,62728,62634,63031,64055,64243,63766,64262,64979,64195,66353,63223,63493,63750,64109,65491,66182,67042,67765,67585,68331,68828,69024,69346,69420,69501,69821,71009,71539,72115,72592,73255,74030
 "09000" ,"Connecticut",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",90712438,91533994,93591894,95732354,97131453,99118925,101193157,102688289,108228689,108894201,110934745,111467873,115887640,117616868,116574932,117755252,116500172,117958424,118208776,118284828,115833656,118351844,120045096,121821984,120166748,122916568,126332968,126531120,127044408,128374968,129500292,131924040,135762436,134960812,134962076,137519688,143501388,143046916,143223128,143390976,152215484,151706148,150409268,149284696,151003308,152391064,153085800,155423084,154012720,158314588,159418364,157745756,156770416,160280944,160946372,157281772,156445776,157245688,155671072,159507996,155317592,156033436,156203372,156249564,159342916,159498944,160805244,162919704,162596980,163145824,163970140,165507368,166667900,166247476,165863040,166259316,166257548,168146740,169706380,169124900,170595667,172127382
 "09000" ,"Connecticut",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9421404,9467900,9643440,9836096,9823660,9996448,10158236,10235772,10635036,10574284,10762980,10747196,10924472,11074416,10968056,11222768,11258856,11533228,11625504,11604768,11523640,11709752,11817168,11958780,12046044,12259852,12574360,12498948,12603188,12702508,12770632,12994976,13288120,13193632,13140988,13335396,13844060,13787080,13816364,13898580,14248004,14186224,14336448,14374956,13847872,13958440,13916536,13954652,13862060,14077028,14142500,14022928,13051184,13061168,13026952,12783600,13211944,13192492,13236440,13654856,15315380,15412448,15524316,15509844,15870052,15857092,15860484,16094528,16248732,16362276,16426532,16658692,16665744,16779184,16693324,16763824,16916844,17096028,17221340,17173600,17399237,17550691
 "09000" ,"Connecticut",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4822836,4851988,4949916,5055144,5081432,5178856,5265144,5306880,5488004,5452720,5558604,5574760,5688308,5774128,5703536,5800736,5765152,5878992,5913008,5907408,5853004,5970740,6032332,6098680,6138808,6245172,6417120,6399628,6473280,6545312,6601444,6752088,6985220,6937108,6915752,7015544,7320672,7271044,7277924,7305876,7531628,7487452,7561496,7553404,7275568,7317504,7296128,7323648,7264088,7387340,7424112,7366468,6047672,6062076,6034392,5907584,6052156,6055980,6087376,6287864,8030980,8096000,8177612,8171176,8413628,8400340,8398776,8501152,8627452,8669920,8690764,8821000,8900724,8961156,8912840,8935656,9062244,9150372,9210276,9180388,9335562,9412014
 "09000" ,"Connecticut",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4598568,4615912,4693524,4780952,4742228,4817592,4893092,4928892,5147032,5121564,5204376,5172436,5236164,5300288,5264520,5422032,5493704,5654236,5712496,5697360,5670636,5739012,5784836,5860100,5907236,6014680,6157240,6099320,6129908,6157196,6169188,6242888,6302900,6256524,6225236,6319852,6523388,6516036,6538440,6592704,6716376,6698772,6774952,6821552,6572304,6640936,6620408,6631004,6597972,6689688,6718388,6656460,7003512,6999092,6992560,6876016,7159788,7136512,7149064,7366992,7284400,7316448,7346704,7338668,7456424,7456752,7461708,7593376,7621280,7692356,7735768,7837692,7765020,7818028,7780484,7828168,7854600,7945656,8011064,7993212,8063675,8138677
 "09000" ,"Connecticut",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",5297208,5572988,5557036,5499820,5421220,5274624,5396396,5354808,5315608,5437348,5511972,5839428,5889008,5532756,5457728,5372372,5745976,5798344,5703932,5664280,5662292,5837980,5846108,5975252,6693052,6791988,6949924,6936500,7482460,7520508,7744128,7860824,8574496,8756264,8782764,9140792,10543792,10142296,10249244,10409832,11690488,11377608,11428712,11369692,8481676,8932536,8953376,9067472,10746400,11025460,10847144,10789608,11445888,11283288,11382904,11344808,12870816,13065348,13224416,13614328,12243160,12524540,12497140,12762160,12837232,12719320,12958732,13193176,12913176,13201992,13457684,13287484,12637536,12624872,12707544,12848528,15536880,15655436,15919240,16447776,16501148,16621524
 "09000" ,"Connecticut",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",86588242,87639082,89505490,91396078,92729013,94397101,96431317,97807325,102909261,103757265,105683737,106560105,110852176,112075208,111064604,111904856,110987292,112223540,112287204,112344340,109972308,112480072,114074036,115838456,114813756,117448704,120708532,120968672,121923680,123192968,124473788,126789888,131048812,130523444,130603852,133325084,140201120,139402132,139656008,139902228,149657968,148897532,147501532,146279432,145637112,147365160,148122640,150535904,150897060,155263020,156123008,154512436,155165120,158503064,159302324,155842980,156104648,157118544,155659048,159467468,152245372,153145528,153176196,153501880,156310096,156361172,157903492,160018352,159261424,159985540,161001292,162136160,162639692,162093164,161877260,162344020,164877584,166706148,168404280,168399076,169697578,171198215
 "09000" ,"Connecticut",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",23767860,24286936,24532312,24390456,24150980,24396792,24736592,25372872,26410136,27184744,27738588,28138256,28470640,28368420,27939724,27284748,26589284,26467252,25910836,26235740,26976380,26642656,27021536,27646872,28278768,29034336,29320468,31618004,30997660,32155084,32344036,35223928,36842172,38907920,39817260,40352660,41689472,44107820,44522480,44704452,45102216,44514996,44841448,43044112,39732180,38852140,37978992,37548420,38283748,39045340,39439524,40698376,41812800,42239224,42565128,44178364,45797796,47022392,45875804,49753480,45470220,45782552,46751740,47618016,49523040,51416844,52567284,52850328,52529440,53913388,54472128,53808360,53840488,54291936,54698228,55330016,56761964,56798328,57032728,58720244,59261265,59736068
