GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "20000" ,"Kansas",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",68453670,69669854,70571718,71253610,70880118,71514662,72161294,74580386,74385474,76255502,77545814,76784666,78106000,78721036,78717688,79236952,78459964,79324276,79474660,80257196,80769520,81001804,81978608,82436036,82141856,83189196,84625748,85483272,86682020,88214268,89220088,89852292,95493984,97400248,98399300,100027852,103061220,104693344,105450328,107432524,112542944,116706432,114970700,113358172,110863684,110729752,109773932,110560472,109288736,111690148,113829260,115921044,119208308,121826144,123787468,124356264,129513000,129802952,127710428,132388588,130111848,132809236,133181056,134178044,132829728,134723500,136572100,137528840,136701096,137080968,137847820,137323368,136487336,137674768,138629600,139630148,140255528,141005012,141716576,142860288,143448763,145117316
 "20000" ,"Kansas",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2850097,2855725,2860196,2863225,2865202,2867356,2871207,2875722,2879439,2883193,2886868,2889410,2890442,2891815,2894080,2896298,2897415,2898669,2900910,2903084,2903866,2904921,2906492,2907495,2907254,2907356,2908756,2910542,2911363,2912284,2914222,2916015,2916743,2917645
 "20000" ,"Kansas",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38346,39111,39798,40486,41606,42487,43113,43243,44979,45021,44238,45819,45015,45926,46018,46327,45844,46478,47079,47373,47076,47189,47428,47231,46947,47354,47659,47974,48175,48417,48629,48992,49181,49738
 "20000" ,"Kansas",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",49837890,50841962,51708618,52601382,52643326,53240030,53624654,55604718,54819122,56169098,57151450,56150858,57310152,57979616,58412268,58623636,58065672,58858432,59006136,59511748,60127584,60355760,61180892,61645604,61467828,62383148,63949008,63902112,65202200,66119068,67040696,66301592,70618428,71502968,71986120,73504788,75795532,76238956,76411952,77820048,81527772,82618292,82623480,81632856,79533956,79103188,78920116,80493188,78502600,81053896,83124744,84232380,85669980,87754648,89235496,88530536,93378164,93051952,91406952,94410180,96229992,98979336,98850472,99349528,97042076,97703680,98904692,99875180,99492364,99722292,100098328,99585980,97964084,98639740,99345560,100054120,100063836,100607332,101217428,101768888,101826986,103244269
 "20000" ,"Kansas",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",5947024,6042944,6115884,6167964,6253236,6288628,6301684,6529004,6546824,6648700,6784576,6643152,6803956,6862884,6900704,6912192,6944076,7037492,7016512,7035364,7125572,7112668,7194716,7258168,7392496,7495904,7688208,7649632,7772268,7863584,8009376,7999736,8268772,8349904,8406244,8602828,8743228,8797644,8777584,8909308,9092000,9216968,9274348,9244724,8934828,9020048,9000240,9056320,9094276,9244220,9320088,9284456,8429600,8516856,8579932,8537556,8751832,8759912,8759296,8993472,10093260,10241412,10258336,10308588,10546212,10546732,10610532,10737920,10959452,11088596,11032648,11042728,10813524,10825132,10870792,10952188,11050020,11097836,11206356,11254500,11432375,11555791
 "20000" ,"Kansas",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3063224,3111884,3148400,3179184,3227016,3248088,3255440,3375024,3376820,3432068,3498940,3421692,3503264,3533084,3553772,3558772,3586836,3632576,3621716,3631424,3664940,3651552,3689632,3717276,3774592,3824124,3923636,3909508,3990776,4045996,4121284,4110820,4269944,4316664,4356356,4478068,4605696,4659500,4651808,4710460,4803972,4859440,4887556,4881364,4750704,4796272,4778380,4790560,4756672,4810420,4846148,4836308,3884632,3945980,3986556,3981848,4047176,4051068,4050612,4139128,5272788,5347632,5366072,5403516,5579440,5584004,5597184,5625720,5718852,5755892,5722184,5753040,5725100,5769992,5813504,5855364,5920228,5932344,5977056,5996092,6119316,6186821
 "20000" ,"Kansas",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2883800,2931060,2967484,2988780,3026220,3040540,3046244,3153980,3170004,3216632,3285636,3221460,3300692,3329800,3346932,3353420,3357240,3404916,3394796,3403940,3460632,3461116,3505084,3540892,3617904,3671780,3764572,3740124,3781492,3817588,3888092,3888916,3998828,4033240,4049888,4124760,4137532,4138144,4125776,4198848,4288028,4357528,4386792,4363360,4184124,4223776,4221860,4265760,4337604,4433800,4473940,4448148,4544968,4570876,4593376,4555708,4704656,4708844,4708684,4854344,4820472,4893780,4892264,4905072,4966772,4962728,5013348,5112200,5240600,5332704,5310464,5289688,5088424,5055140,5057288,5096824,5129792,5165492,5229300,5258408,5313059,5368970
 "20000" ,"Kansas",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1054344,1046052,1074492,1083012,1001340,1016744,1037544,1017516,1125336,1105888,1093264,1160592,1159692,1127732,1107344,1138084,1187256,1154932,1210292,1237788,1127188,1185404,1184672,1179100,1125596,1118108,1100184,1129564,1229448,1253088,1233268,1324540,1413972,1433608,1359564,1265224,1232276,1255704,1271952,1254256,1317920,1353836,1285864,1696184,1736004,1692124,1704704,1643816,1750700,1700540,1637908,1607612,1280352,1209240,1238944,1225848,1585672,1634660,1661324,1678440,1418668,1361948,1339508,1346836,1129028,1149268,1196756,1256536,1117152,1126680,1211448,1184376,1209376,1140084,1092652,1146832,1260848,1327712,1331472,1330796,1370799,1372630
 "20000" ,"Kansas",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",44945210,45845070,46667226,47516430,47391430,47968146,48360514,50093230,49397634,50626286,51460138,50668298,51665888,52244464,52618908,52849528,52308852,52975872,53199916,53714172,54129200,54428496,55170848,55566536,55200928,56005352,57360984,57382044,58659380,59508572,60264588,59626396,63763628,64586672,64939440,66167184,68284580,68697016,68906320,70164996,73753692,74755160,74634996,74084316,72335132,71775264,71624580,73080684,71159024,73510216,75442564,76555536,78520732,80447032,81894508,81218828,86212004,85926700,84308980,87095148,87555400,90099872,89931644,90387776,87624892,88306216,89490916,90393796,89650064,89760376,90277128,89727628,88359936,88954692,89567420,90248764,90274664,90837208,91342544,91845184,91765410,93061108
 "20000" ,"Kansas",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",15013880,15303496,15361452,15119180,14736472,14738056,14847176,15392792,15710460,16041120,16312696,16151484,16128700,15904464,15692052,15481176,15090564,15188996,15027088,15174648,15119388,14900456,14945376,15089472,15021740,15197488,15203848,15905880,15524200,16032104,16198376,17368112,18404408,19291896,19667572,19929436,20311616,21414644,21819900,22291060,23516952,23562180,23975256,23085856,21466624,20666248,19781076,19095820,18942260,19056640,19261644,20042308,21168436,21776220,22268204,23381144,23901220,24478268,24117044,25957772,23107040,23129692,23523280,23989644,25244332,26158744,26590252,26549620,26080684,26107796,26158964,26106708,26390632,26711412,26964152,27231312,27604216,27772256,27850936,28312924,28565207,28811691
