GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "21000" ,"Kentucky",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",87989229,89329409,90267205,91367325,91813522,92657726,93723222,95962110,98760095,100292591,101855619,102668939,103415804,104246736,104378008,105035020,105128652,106527116,106962052,107950728,108018748,108767160,110041048,111426136,113186104,114866692,116566404,118956572,118854376,120849136,122395524,123980932,126908884,128318684,129251388,130390876,132666072,134283288,134753844,136319640,138292504,144029024,140237240,139327704,136891420,139016868,138878416,140563312,140963964,143537972,145359312,146175580,148683924,150018584,151874024,153701324,155085220,156595584,155735376,158630424,157264464,157490700,158161424,158486372,162219740,164714864,166294112,168247352,169573912,172028852,173336440,174506488,173017900,174002300,176000548,177030424,178936268,179891972,181313988,183163856,184282336,186755499
 "21000" ,"Kentucky",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4336196,4343590,4351137,4356839,4361127,4365741,4370835,4375124,4378363,4381668,4386383,4391108,4393725,4396929,4400976,4404564,4406590,4408896,4412660,4416465,4418181,4420439,4424412,4428647,4431106,4434145,4438822,4443990,4447763,4451693,4456873,4461832,4465432,4469348
 "21000" ,"Kentucky",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32509,33046,33407,33551,34093,34363,34747,35131,35421,35739,35504,36125,35793,35818,35938,35982,36813,37360,37686,38095,38381,38917,39177,39404,39046,39241,39650,39836,40231,40410,40682,41051,41269,41786
 "21000" ,"Kentucky",5,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",63749509,64870193,65887901,67193233,67955550,68876546,69616934,71388078,73244103,73805591,74920543,75437783,75731268,76292200,76945124,76845168,77116556,78273984,78932788,79840048,79966956,80918016,82093264,83460672,85091120,85950556,87614604,88674428,89178808,90879528,92210608,92682704,94287436,94584988,94953876,95894016,97008700,97816428,97560188,98745684,99953408,100531804,99784512,99760000,96256268,96312468,97095052,99147696,98455416,101107672,102647704,102735924,103534956,104701364,106360620,106652988,108385656,109013924,108703208,109458656,111855744,111843788,111808148,111696752,113389416,114435600,114919444,116217172,116529572,118451788,119446952,120720256,118829756,119629128,121449144,122430284,123469756,123996500,124891112,125844400,126422260,127860504
 "21000" ,"Kentucky",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7551192,7685864,7811752,7941556,8098480,8227360,8272236,8431620,8503104,8469700,8556752,8569444,8689884,8726572,8780404,8776096,8889204,9022812,9062988,9113848,9163020,9221084,9309628,9418480,9534204,9574432,9745400,9823672,9944048,10101796,10241844,10299356,10553432,10637264,10701624,10830480,11034296,11143840,11137936,11340204,11507624,11639108,11657000,11740564,11383012,11457132,11527112,11657664,11660192,11850172,11921572,11855852,10801532,10876000,11020976,11015308,11225972,11300512,11280160,11329500,12861724,12877796,12905808,12951064,13299412,13401968,13471460,13646800,13760212,14021464,14111092,14296324,14162764,14273676,14504124,14591056,14717404,14743632,14832280,14924948,15104866,15254012
 "21000" ,"Kentucky",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3788456,3853024,3906464,3957972,4029416,4085132,4107436,4199496,4252532,4264572,4327148,4351928,4427924,4460568,4492976,4481252,4539172,4598648,4620872,4657084,4683880,4722044,4779368,4842152,4901352,4927824,5018972,5066784,5145564,5233620,5308232,5341492,5517428,5570820,5610512,5676192,5805720,5869872,5865188,5965740,6068372,6138748,6136860,6178228,6007956,6035056,6059908,6111724,6070092,6158160,6202852,6187628,4990452,5052708,5129500,5150588,5196892,5222980,5209968,5206812,6722984,6725696,6739436,6749324,6960824,7010184,7036372,7108888,7188456,7308844,7350188,7442868,7438132,7499232,7629916,7680004,7800936,7830348,7877088,7930648,8061379,8141707
 "21000" ,"Kentucky",5,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3762736,3832840,3905288,3983584,4069064,4142228,4164800,4232124,4250572,4205128,4229604,4217516,4261960,4266004,4287428,4294844,4350032,4424164,4442116,4456764,4479140,4499040,4530260,4576328,4632852,4646608,4726428,4756888,4798484,4868176,4933612,4957864,5036004,5066444,5091112,5154288,5228576,5273968,5272748,5374464,5439252,5500360,5520140,5562336,5375056,5422076,5467204,5545940,5590100,5692012,5718720,5668224,5811080,5823292,5891476,5864720,6029080,6077532,6070192,6122688,6138740,6152100,6166372,6201740,6338588,6391784,6435088,6537912,6571756,6712620,6760904,6853456,6724632,6774444,6874208,6911052,6916468,6913284,6955192,6994300,7043487,7112305
 "21000" ,"Kentucky",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-159380,-188416,-210444,-191840,-234684,-271312,-282408,-298776,-236564,-270860,-303732,-367244,-394096,-436728,-477864,-465172,-486620,-509628,-500016,-542780,-692704,-718664,-778524,-753632,-936232,-879984,-929844,-963896,-1258572,-1318440,-1346820,-1327436,-1354300,-1333324,-1347692,-1403996,-1397676,-1507220,-1506444,-1595916,-1759192,-1820164,-1771396,-1820684,-1765112,-1821316,-1882236,-1951516,-2075900,-2152136,-2187452,-2147272,-2300264,-2340872,-2351560,-2383764,-2419716,-2418868,-2406252,-2344104,-2100952,-2040176,-2029200,-1993860,-1966336,-1998812,-1974656,-1994944,-1985752,-2067860,-2096212,-2142208,-1863688,-1909828,-1993252,-1957280,-2109592,-2111864,-2076556,-2135224,-2095287,-2116717
 "21000" ,"Kentucky",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",56038937,56995913,57865705,59059837,59622386,60377874,61062290,62657682,64504435,65065031,66060059,66501095,66647288,67128900,67686856,67603900,67740732,68741544,69369784,70183420,70111232,70978268,72005112,73288560,74620684,75496140,76939360,77886860,77976188,79459292,80621944,81055912,82379704,82614400,82904560,83659540,84576728,85165368,84915808,85809564,86686592,87072532,86356116,86198752,83108144,83034020,83685704,85538516,84719324,87105364,88538680,88732800,90433160,91484492,92988084,93253916,94739968,95294544,95016796,95785052,96893068,96925816,96873140,96751828,98123668,99034820,99473328,100575428,100783608,102362464,103239648,104281724,102803304,103445624,104951768,105881948,106642760,107141004,107982276,108784228,109222107,110489775
 "21000" ,"Kentucky",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",16857052,17179616,17255916,17016224,16656908,16688840,16853124,17291988,17976960,18431652,18680092,18725264,18850500,18689804,18488700,18273136,17895356,18007324,17791840,17905520,17828428,17550076,17513236,17590848,17366524,17532836,17563804,18568248,17801516,18333820,18495884,19507316,20097444,20809308,21105448,21295280,21605900,22552672,22796944,23010868,23534336,23491428,23885088,23346528,22165292,21748288,21276408,20928812,20874096,21106036,21273988,21868876,22450740,22801716,23116732,24028088,24614544,25244392,24748424,26700968,23887136,23925516,24259512,24520080,24947252,25832328,26439076,26796704,26924132,27446132,27777728,27764420,27916992,28153660,28359348,28647072,29069688,29314432,29427520,29982476,30244396,30502164
