GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "24000" ,"Maryland",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",158749772,162321460,165032364,167358444,170260101,171520981,174584729,178034409,184438330,186997446,190598910,193670074,196760232,198826380,199497752,201289016,203804596,206404368,207717244,210034264,211401064,214655672,218432404,221585588,225731912,229948900,232647420,237599924,237880760,242241148,246335460,250928440,253733944,256416972,258980680,261715472,264332628,268054928,269025220,271932908,276884892,283260244,280959992,280130260,274588708,278803040,279189040,281605348,281800288,287110292,290263024,295252808,300427496,303920396,307631560,308734120,312147932,312751176,313213848,318452836,311949000,312687204,312918196,315224728,318385360,323457268,327875540,330154780,336693052,340204608,343152424,345130632,348104188,351774400,355186048,360453880,363760808,366604232,369419216,373248592,376491606,379941110
 "24000" ,"Maryland",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5767341,5780890,5795839,5810605,5823508,5836206,5849906,5862837,5874492,5885630,5897942,5909511,5918383,5927407,5938048,5948646,5957233,5965595,5975171,5984107,5990417,5996803,6004479,6011620,6016371,6021561,6028986,6036898,6042675,6048503,6056481,6064276,6069867,6075679
 "24000" ,"Maryland",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48861,49665,50081,50813,51589,52075,52587,52660,53136,53138,53106,53888,52708,52753,52697,52991,53445,54220,54873,55172,56205,56731,57149,57411,57859,58419,58913,59708,60199,60611,60996,61549,62026,62535
 "24000" ,"Maryland",2,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",105597184,108386432,110313724,112837440,115273153,115753533,117898905,120104781,123964214,125550230,128651642,130542282,133281204,134590752,135914660,137069876,139705456,141747292,143234224,144714096,144989780,148106140,151005696,152926584,155746420,158864540,161075404,163497828,163838904,166595364,170533176,172340188,174265372,175263916,176979828,179521316,180256048,181474184,180823100,183484840,187589312,188355588,188607856,189183840,185516964,188201872,189675572,192612696,191861932,195863656,197540456,200732888,202441240,205110128,208620272,207623664,211841000,210846592,212282044,214101136,214285288,214358864,213667300,214510636,216923440,219190560,221724000,222915044,228115856,230096272,232656100,234722576,237002812,239728272,242042700,245895264,247971980,250176456,251762792,254841240,256388418,258937379
 "24000" ,"Maryland",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11620900,11894964,12078888,12326896,12590408,12583992,12767308,12942024,13255808,13363696,13740992,14003776,14390844,14581976,14735136,14875732,15161644,15324272,15439996,15539912,15596384,15948384,16248072,16479628,16869824,17165584,17400140,17617156,17731364,17978068,18408348,18637764,19058036,19235708,19470140,19753280,20010840,20173412,20175124,20586416,20845740,20982280,21065012,21142860,20693756,20974044,21031108,21240328,21411164,21796588,21844904,22019028,20047648,20144000,20364788,20176472,20756864,20621368,20771472,20907804,23679216,23629012,23454636,23465724,23878832,24012796,24258688,24463304,24935568,25253672,25557248,25835352,25770620,26042052,26268984,26626880,26842364,27085040,27241920,27534592,27864234,28153759
 "24000" ,"Maryland",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",5926960,6072544,6169596,6305040,6465436,6469500,6568688,6652332,6797564,6854484,7039580,7174252,7378704,7486164,7569280,7638204,7806620,7891136,7963544,8034524,8053928,8228700,8362160,8436616,8556340,8667376,8768764,8891960,9020004,9173220,9399244,9502888,9754452,9834988,9953704,10101960,10304604,10416192,10419976,10624816,10780020,10853088,10891652,10939860,10761068,10888580,10902332,10971664,10949024,11085924,11086948,11163388,8915760,8956660,9041164,8961508,9130392,9087096,9196756,9276784,12096280,12127396,12089072,12119788,12420704,12500716,12615092,12691696,12954804,13094716,13248104,13412104,13519004,13695112,13826012,14025564,14210308,14338776,14421652,14570780,14820285,14974595
 "24000" ,"Maryland",2,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5693940,5822420,5909292,6021856,6124972,6114492,6198620,6289692,6458244,6509212,6701412,6829524,7012140,7095812,7165856,7237528,7355024,7433136,7476452,7505388,7542456,7719684,7885912,8043012,8313484,8498208,8631376,8725196,8711360,8804848,9009104,9134876,9303584,9400720,9516436,9651320,9706236,9757220,9755148,9961600,10065720,10129192,10173360,10203000,9932688,10085464,10128776,10268664,10462140,10710664,10757956,10855640,11131888,11187340,11323624,11214964,11626472,11534272,11574716,11631020,11582936,11501616,11365564,11345936,11458128,11512080,11643596,11771608,11980764,12158956,12309144,12423248,12251616,12346940,12442972,12601316,12632056,12746264,12820268,12963812,13043949,13179164
 "24000" ,"Maryland",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",15432160,15500184,15908844,15832020,16205820,16476376,16920776,17384396,18894980,18783152,18828668,19453464,19567556,19898300,19907316,20096872,19759708,20159932,20350484,20660560,20520492,20942964,21216788,21712340,21982060,22327132,22743708,23130312,23211676,23574756,23739488,23903656,22842076,22839620,22985512,23129152,23209756,23305728,24102732,23840228,22945332,22790060,23107032,23463832,22787544,23258880,23331628,23550936,23081964,23717348,23828856,23897332,23135244,23217224,23440256,23320684,22603032,22907656,22822188,23431104,22720692,22901544,22756032,23230360,21749456,21882752,22057856,22568680,22505056,22978724,22948016,22950380,22648648,22653332,22803128,23104356,23544416,23344232,24046432,23679700,24255673,24490128
 "24000" ,"Maryland",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",109408444,111991652,114143680,116342564,118888565,119645917,122052373,124547153,129603386,130969686,133739318,135991970,138457916,139907076,141086840,142291016,144303520,146582952,148144712,149834744,149913888,153100720,155974412,158159296,160858656,164026088,166418972,169010984,169319216,172192052,175864316,177606080,178049412,178867828,180495200,182897188,183454964,184606500,184750708,186738652,189688904,190163368,190649876,191504812,187610752,190486708,191976092,194923304,193532732,197784416,199524408,202611192,205528836,208183352,211695740,210767876,213687168,213132880,214332760,216624436,213326764,213631396,212968696,214275272,214794064,217060516,219523168,221020420,225685344,227821324,230046868,231837604,233880840,236339552,238576844,242372740,244674032,246435648,248567304,250986348,252779857,255273748
 "24000" ,"Maryland",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",33243884,34124892,34595540,34460424,34410304,34757140,35146940,35902812,37079948,37835736,38456968,39043924,38893616,39010812,38805768,38414104,38628564,38631496,38117928,38317816,39095556,38732056,39134520,40034456,41087384,42056212,42296176,44194396,43201532,44107984,44208276,46951080,48762540,50675328,51385224,51565216,52246076,54338360,54729812,55064344,56366552,56224220,57122716,55787852,52514776,51756068,50791208,50064008,49925780,50558484,51033744,52680136,54454088,55325056,55806224,57533520,58207996,58908204,58003992,60596092,56856128,56991228,57642708,58226344,59724576,61491808,62775672,63585188,64328536,65665784,66344948,66087784,66070388,66414688,66813092,67565216,69015064,69621444,70050576,71408520,72058617,72608643
 "24000" ,"Maryland",2,SQINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",16097444,16204916,16293144,16555456,16961232,17117924,17385416,17584444,17754996,18192024,18402624,18634180,19408700,19908492,19605144,20583896,20872512,21189920,21454604,21881704,22391620,22822896,23323472,23391836,23785872,23866600,23932272,24394544,25360012,25941112,26262868,26371280,26921992,26873816,27100256,27253068,28631588,29110068,29544700,30129912,30829436,36872656,33187400,32837596,34463180,36560264,36421740,36618036,38341776,38767392,39704872,39961480,40444572,40411988,40129596,40432724,40252768,40710092,40877096,41232308,41766108,42064580,42306792,42723112,43866720,44904944,45576700,45549172,46679172,46717500,46760608,47205244,48152960,49020160,49796112,50515924,50071712,50547140,50801336,50853724,51653132,52058719
 "24000" ,"Maryland",2,SQINC5N,50,"..."," Wages and salaries","Thousands of dollars",79243936,81265584,82619816,84460496,86242136,86343028,87894732,89503496,92334316,93226144,95658236,96887264,98738424,99495744,100189964,101038492,102478176,103888424,104922004,105833016,105524852,107972284,109975700,111425120,112208568,114274860,116033292,117752388,118029988,120044360,123118904,124446484,126503456,127235852,128720764,130865152,132945824,134241900,133902188,136184772,136958672,137298576,137552268,138034688,134358364,136274968,136589636,137849484,135908304,138897100,140030992,142156384,142619060,144049008,146106712,144468968,148943720,147679756,148743868,150055932,151002748,150364544,149282816,149867632,153096820,154399064,156114560,157333004,159984616,161583588,163280252,164952824,164318284,166146160,167693856,170241676,170692492,172242944,173461712,175342172,176602799,178589632
 "24000" ,"Maryland",2,SQINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",16680800,17187136,17503276,17853456,18224432,18395760,18819928,19194660,19689836,19897328,20296348,20499364,20720908,20872156,21162152,21465124,22118204,22510016,22937164,23397648,23569224,24050228,24610912,24908972,25624904,26135112,26504368,27217640,27502348,28035776,28513680,28626644,28547888,28640696,28979868,29328088,29560656,30070752,30228924,30773796,30939984,31233104,31468020,31912760,32203008,32806112,33090952,33389308,33577684,33955520,34198972,34952840,35538392,36076132,36487480,36076172,36212048,35718968,35916692,35915268,36844816,37150600,37424964,37742992,38213048,38733672,39146500,39276852,39647852,39832316,40231884,40608508,40474640,41028616,41388848,42007948,42148820,42666008,42786544,43235328,43307593,43614863
