GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "29000" ,"Missouri",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",138509701,140319917,142222165,143514225,144578011,145718915,147183011,150620015,154029385,156767185,158895021,158958809,161468880,162141904,161591924,163083412,164034380,165073320,165984748,167997648,169619932,170883136,172532536,174123856,177287456,179222264,181559868,184272596,182931556,185832672,187559996,191186812,195213040,198402660,199130096,201046832,204095596,207781688,209058432,211802304,214834236,223149644,217949316,221713900,214354340,216289144,215581160,215937556,217533192,220091028,221767792,222794372,226932152,228167380,230889280,232588508,237607532,240409540,239069504,246804696,240964388,242243568,243121520,243928568,246826104,250146404,253395100,256191980,257121556,259556880,261955964,261944048,263794560,264265904,265489416,268430668,271794828,274088180,276014444,278005832,281183578,284046559
 "29000" ,"Missouri",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5985064,5992230,5998455,6002975,6005437,6008229,6012598,6016593,6019079,6021542,6026672,6032426,6035128,6038566,6043927,6049306,6052428,6055798,6061016,6066004,6068007,6070652,6075868,6081611,6084748,6088599,6094699,6101289,6105758,6110431,6117226,6123893,6128198,6132845
 "29000" ,"Missouri",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36346,36729,36971,37114,37788,37976,38401,38658,39476,39925,39669,40913,39927,40116,40226,40323,40781,41307,41807,42234,42373,42756,43114,43071,43353,43403,43561,43996,44515,44856,45121,45397,45884,46316
 "29000" ,"Missouri",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",104865205,106174321,108162465,109719589,111303339,112428343,113442871,116275955,118902897,120463765,122021889,121952273,123585976,124073308,124438504,125261056,126828092,127308368,128403600,129597144,130263764,131551396,132966840,134099760,137102048,138708324,141019236,141360764,141190636,143132068,144847364,146871016,149602892,151270868,150969664,152510316,153795408,155910292,156256272,158023136,159737372,161807140,160246940,167346944,158536404,158757448,159298600,159841372,159708060,161525276,162264392,162338952,163623224,164658568,167001708,165991960,169658920,170631656,170411256,174447824,177041036,178285872,178103272,178337988,180095832,180780580,182370808,184541368,184631664,186161684,188047356,188216568,189138580,188815840,189461604,191977468,194093696,196070672,197440392,198152928,200491601,202711657
 "29000" ,"Missouri",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11790684,11910588,12107704,12230540,12455504,12561372,12622500,12907272,13133344,13236560,13418244,13414996,13622872,13678748,13686204,13766256,13933520,13968316,14046504,14130832,14283584,14400500,14523716,14584420,14781744,14893740,15143564,15114892,15421160,15632700,15828128,16068908,16502764,16745016,16730196,16920100,17241920,17481512,17533756,17737308,17867024,18129840,18055644,18962844,17829244,17804012,17705192,17546364,17694084,17732020,17699020,17677404,16165112,16274064,16479984,16297112,16634740,16655136,16655132,17044556,19309388,19455268,19456268,19552848,19848340,19866316,20036348,20328212,20731260,21004584,21224284,21383408,21442248,21498304,21545312,21803064,22060600,22198712,22315824,22361472,22782756,22993228
 "29000" ,"Missouri",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6123688,6186352,6286720,6354592,6484860,6541348,6572444,6717696,6819504,6877928,6965636,6962904,7076300,7111652,7125524,7168124,7284276,7297296,7338696,7381964,7430864,7487360,7558472,7606388,7726536,7796132,7930096,7906884,8074184,8169844,8258120,8373852,8657768,8796436,8790372,8889152,9099972,9237764,9254672,9338032,9412624,9546816,9482952,10001688,9406984,9395312,9366712,9300448,9375048,9400904,9403980,9409628,7615020,7685144,7793616,7736520,7826468,7838240,7845716,8001904,10299792,10369400,10373344,10419272,10623072,10626804,10705848,10842244,11085400,11209388,11315916,11389224,11511036,11538572,11573968,11725272,11959164,12060512,12128544,12159564,12445079,12561490
 "29000" ,"Missouri",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5666996,5724236,5820984,5875948,5970644,6020024,6050056,6189576,6313840,6358632,6452608,6452092,6546572,6567096,6560680,6598132,6649244,6671020,6707808,6748868,6852720,6913140,6965244,6978032,7055208,7097608,7213468,7208008,7346976,7462856,7570008,7695056,7844996,7948580,7939824,8030948,8141948,8243748,8279084,8399276,8454400,8583024,8572692,8961156,8422260,8408700,8338480,8245916,8319036,8331116,8295040,8267776,8550092,8588920,8686368,8560592,8808272,8816896,8809416,9042652,9009596,9085868,9082924,9133576,9225268,9239512,9330500,9485968,9645860,9795196,9908368,9994184,9931212,9959732,9971344,10077792,10101436,10138200,10187280,10201908,10337677,10431738
 "29000" ,"Missouri",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3495104,-3509500,-3579880,-3618356,-3610772,-3652088,-3699532,-3757504,-3927620,-3950688,-3968832,-4007924,-4022372,-4007800,-3994016,-4053560,-4100788,-4062024,-4151732,-4209644,-4109388,-4181604,-4213468,-4222624,-4237244,-4258604,-4308916,-4322264,-4473944,-4552240,-4567956,-4695380,-4987492,-5055932,-4956188,-4894264,-4758888,-4848780,-4872668,-4869968,-5211708,-5331788,-5212168,-5946976,-5169396,-5130080,-5132496,-5044772,-5000988,-4960620,-4893848,-4853992,-4363836,-4301872,-4367780,-4315228,-4783688,-4841196,-4888096,-4999284,-4762260,-4720588,-4693584,-4715596,-4691596,-4719336,-4805452,-4912080,-4902760,-4963336,-5057632,-5041508,-4913924,-4836936,-4798188,-4904632,-5018256,-5132480,-5152764,-5167264,-5248350,-5284702
 "29000" ,"Missouri",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",89579417,90754233,92474881,93870693,95237063,96214883,97120839,99611179,101841933,103276517,104634813,104529353,105940732,106386760,106758284,107441240,108793784,109278028,110205364,111256668,111870792,112969292,114229656,115292716,118083060,119555980,121566756,121923608,121295532,122947128,124451280,126106728,128112636,129469920,129283280,130695952,131794600,133580000,133849848,135415860,136658640,138345512,136979128,142437124,135537764,135823356,136460912,137250236,137012988,138832636,139671524,139807556,143094276,144082632,146153944,145379620,148240492,149135324,148868028,152403984,152969388,154110016,153953420,154069544,155555896,156194928,157529008,159301076,158997644,160193764,161765440,161791652,162782408,162480600,163118104,165269772,167014840,168739480,169971804,170624192,172460495,174433727
 "29000" ,"Missouri",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29204356,29689128,29805224,29439128,28773876,28842108,29061904,29739328,30657404,31311628,31695108,31512968,31576012,31085892,30587640,30117580,29313688,29632008,29499464,30084312,30706344,30545808,30773496,31109416,30799264,30997960,30890688,32827292,31126356,31922688,32109392,33848276,34920772,36136524,36655544,37027876,37682336,39457024,39986732,40470284,41545984,41357092,41874908,40532144,37904740,36836792,35820036,35279700,35437856,35960812,36154944,37021068,37483140,37875264,38469464,40429544,42814536,44137880,43361576,47245616,40634892,40494628,41030412,41620424,43033848,45024300,46308588,46938276,47131340,47863484,48324388,48206332,48374472,48798088,49196108,49747024,50761912,51268984,51480776,52516708,52981424,53440513
 "29000" ,"Missouri",4,SQINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19725928,19876556,19942060,20204404,20567072,20661924,21000268,21269508,21530048,22179040,22565100,22916488,23952136,24669252,24246000,25524592,25926908,26163284,26279920,26656668,27042796,27368036,27529384,27721724,28405132,28668324,29102424,29521696,30509668,30962856,30999324,31231808,32179632,32796216,33191272,33323004,34618660,34744664,35221852,35916160,36629612,43447040,39095280,38744632,40911836,43628996,43300212,43407620,45082348,45297580,45941324,45965748,46354736,46209484,46265872,46779344,46552504,47136336,46839900,47155096,47360108,47638924,48137688,48238600,48236360,48927176,49557504,49952628,50992572,51499632,51866136,51946064,52637680,52987216,53175204,53413872,54018076,54079716,54561864,54864932,55741659,56172319
