GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "33000" ,"New Hampshire",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",35468989,36283973,37112093,37719709,38045937,38577449,39313949,40413701,43100725,43530717,44371869,45290557,46444652,46304828,46190560,46564688,46711828,47313436,47138212,47458992,47331460,47615036,48284080,49258596,49610680,50713344,51653152,52164288,51840976,52625484,53154604,54057348,55566584,56083600,56713060,58490156,58268288,59316640,58894224,59138436,60130652,61183808,60239128,60028724,58643792,59423728,59989256,60332564,60626988,62356632,62945476,63296044,64342540,65442632,65834844,66153120,67524444,68123044,68119072,70463700,67473748,67982616,68229344,68782060,68864476,70272776,70694476,72194144,71636640,73262392,73770176,75050796,75250584,75988536,76787044,76963628,79263704,79421376,80901496,80901532,82711547,83270271
 "33000" ,"New Hampshire",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1316571,1316571,1317094,1317683,1317821,1318091,1318795,1319596,1320056,1320566,1321371,1322043,1322080,1322316,1323506,1325259,1326525,1327883,1329092,1329722,1329728,1329894,1330928,1332383,1333276,1334338,1336128,1338292,1339998,1341752,1343924,1346060,1347717,1349472
 "33000" ,"New Hampshire",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46049,47363,47791,48036,48825,49650,49920,50131,51153,51586,51552,53299,51036,51412,51552,51901,51913,52921,53190,54293,53873,55089,55428,56328,56440,56948,57470,57509,59152,59192,60198,60102,61372,61706
 "33000" ,"New Hampshire",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",24506537,25102949,25955497,26734769,26821461,27322461,27845545,28696809,30663501,30672861,31120893,31985153,33099480,32957008,32944956,33297472,33540184,34044428,33981548,34293964,34170316,34621300,35078360,35874284,35823108,36560064,37547780,37614732,37713176,38367352,38827392,39256056,40308504,40282716,40711724,42497068,41390248,42072972,41290444,41297748,42021208,41652524,41385932,41497936,40655032,41118476,42106372,42552872,42174152,43796164,44031904,43908784,43867676,44510816,44816688,44709516,44973968,45142588,45383280,46717432,45849104,46195216,46089124,46350888,46936524,47843876,47610468,48946820,48070840,49130508,49333160,50682812,50147840,50573036,50985380,50896860,52535772,52556508,54149096,53479680,55135753,55430545
 "33000" ,"New Hampshire",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2624348,2686428,2773500,2853244,2826152,2872388,2919844,2997576,3171912,3138700,3180972,3268996,3343996,3318420,3300660,3332160,3341064,3393776,3390076,3415008,3465164,3517816,3564580,3651684,3703456,3775652,3880864,3877072,3926020,3977524,4001332,4002516,4090424,4074248,4118732,4318088,4262876,4366208,4303024,4352688,4461456,4440352,4451676,4484320,4369016,4404860,4478160,4475116,4466216,4610152,4600764,4553612,4188528,4230008,4255976,4226296,4287652,4298532,4307488,4425348,4946312,4973180,4942404,4953636,5065132,5135260,5080724,5241516,5177788,5313792,5337284,5503804,5434768,5511528,5570828,5561472,5762388,5766804,5967500,5879012,6119188,6142936
 "33000" ,"New Hampshire",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1403188,1436912,1484200,1527900,1517548,1543408,1568688,1609948,1699372,1680784,1702336,1751776,1794784,1784092,1777228,1795760,1806892,1837164,1837920,1854880,1880232,1907028,1929532,1971996,1991724,2025656,2082712,2084872,2124940,2160496,2175060,2172460,2232272,2223724,2249880,2372300,2344416,2407616,2369932,2394940,2463420,2450424,2449456,2459756,2392432,2399096,2432396,2423568,2403324,2475852,2470484,2444188,1988472,2011740,2024592,2015492,2027212,2035420,2043964,2102696,2671484,2694144,2686036,2695664,2774248,2821016,2792876,2891016,2878064,2960256,2976296,3072536,3050492,3093724,3126116,3115652,3248840,3250096,3367204,3313136,3467207,3478422
 "33000" ,"New Hampshire",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1221160,1249516,1289300,1325344,1308604,1328980,1351156,1387628,1472540,1457916,1478636,1517220,1549212,1534328,1523432,1536400,1534172,1556612,1552156,1560128,1584932,1610788,1635048,1679688,1711732,1749996,1798152,1792200,1801080,1817028,1826272,1830056,1858152,1850524,1868852,1945788,1918460,1958592,1933092,1957748,1998036,1989928,2002220,2024564,1976584,2005764,2045764,2051548,2062892,2134300,2130280,2109424,2200056,2218268,2231384,2210804,2260440,2263112,2263524,2322652,2274828,2279036,2256368,2257972,2290884,2314244,2287848,2350500,2299724,2353536,2360988,2431268,2384276,2417804,2444712,2445820,2513548,2516708,2600296,2565876,2651981,2664514
 "33000" ,"New Hampshire",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2790396,2918180,2956328,2950988,3243528,3295596,3433796,3530356,3937612,3927552,4120008,4097700,4161056,4072908,4037172,3984116,3934448,3947328,3941236,3915460,3873304,3883292,3993828,4045008,4141340,4264888,4296176,4212152,4166660,4149780,4244256,4319688,4323588,4402332,4379272,4396168,4676852,4650788,4776640,4885240,4864884,4907348,4860252,4880264,4117412,4160276,4142952,4225308,4599272,4698740,4861552,4911320,4968884,5181960,5091972,5102220,5402392,5483244,5506984,5580444,5128280,5192232,5219236,5269364,4911868,4817836,4979672,5080372,5377456,5444068,5473388,5496012,5935492,5965668,6121788,6160180,6545416,6654268,6669356,6773684,6911347,6933689
 "33000" ,"New Hampshire",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",24672585,25334701,26138325,26832513,27238837,27745669,28359497,29229589,31429201,31461713,32059929,32813857,33916540,33711496,33681468,33949428,34133568,34597980,34532708,34794416,34578456,34986776,35507608,36267608,36260992,37049300,37963092,37949812,37953816,38539608,39070316,39573228,40541668,40610800,40972264,42575148,41804224,42357552,41764060,41830300,42424636,42119520,41794508,41893880,40403428,40873892,41771164,42303064,42307208,43884752,44292692,44266492,44648032,45462768,45652684,45585440,46088708,46327300,46582776,47872528,46031072,46414268,46365956,46666616,46783260,47526452,47509416,48785676,48270508,49260784,49469264,50675020,50648564,51027176,51536340,51495568,53318800,53443972,54850952,54374352,55927912,56221298
 "33000" ,"New Hampshire",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6939508,7068064,7093924,6985048,6882916,6912316,6987580,7162024,7571376,7825652,7990392,8097040,8030672,7974668,7874680,7751832,7600108,7631492,7515392,7548020,7619268,7513844,7545856,7687652,7791636,7969792,8005508,8422532,8006188,8139116,8121356,8566828,8821664,9185304,9359720,9471648,9718148,10191304,10248940,10225516,10402000,10305580,10504700,10326840,10026144,9837936,9560076,9315712,9229440,9355888,9482452,9861700,10626768,10893784,11083892,11525048,12329024,12587116,12290372,13289840,12142600,12216120,12439500,12603568,12340884,12780748,13068864,13189044,12902752,13281448,13472048,13383432,13476428,13604028,13701444,13847424,14144104,14161732,14214868,14604968,14739179,14851071
