GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "35000" ,"New Mexico",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",37646328,38008556,38379968,38878976,38632156,38984944,39191280,39920432,41032736,41989608,42507528,43321224,44397512,45149972,45558324,45996476,46151856,46838340,47119640,47616884,48068184,48685416,49304108,50110916,50871832,51514752,52226832,53762888,54070056,55641000,56326416,57091832,58767548,59404816,59918488,60715796,61871896,62797304,63671240,64415212,65601248,68678540,67083336,66898160,66331504,66562252,66676136,67144904,67665964,68782688,69819192,70780080,71914316,72451588,73196112,73720944,74111952,74871068,74124896,75226488,73061676,73326340,73374400,73862440,75794304,77128832,78398432,79667860,79372164,79930252,80098272,80412164,80508544,81108740,81396712,81724480,82619792,82619556,83427804,83841880,84884948,85597481
 "35000" ,"New Mexico",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2055739,2061865,2066665,2070411,2073344,2076129,2078846,2080726,2081905,2082907,2084290,2085239,2085125,2084976,2085258,2085315,2084485,2083500,2083582,2083909,2083170,2082441,2083056,2084325,2084665,2085037,2086079,2087155,2087471,2087714,2088754,2089843,2090091,2090319
 "35000" ,"New Mexico",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32916,33359,33784,34186,34685,34897,35210,35430,35598,35945,35564,36076,35039,35169,35187,35420,36361,37019,37627,38230,38102,38383,38452,38579,38619,38900,39019,39156,39579,39574,39941,40119,40613,40949
 "35000" ,"New Mexico",6,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",26626004,26727328,27032092,27598968,27339456,27713076,27864748,28529052,29423640,30129332,30396784,30964912,31634516,32036896,32759352,32731500,33032604,33754832,34101492,34380064,34579756,35258780,35767412,36579408,37003520,37601244,38176212,38896404,39183280,40057540,40615364,40964812,42275224,42649988,42980432,43657212,44068536,44429000,45062080,45507044,46303360,46520428,46560000,46792224,45527396,45084172,45390120,46130236,45965212,46857252,47549124,48095848,48188532,48550436,49326248,49172136,49336216,49754316,49195976,49457128,49374016,49517272,49295816,49579820,50325240,50669968,51279284,52475540,51623356,51807264,51980900,52116412,51864888,52164740,52334080,52689560,53266416,53201612,53997624,54165988,54856614,55395661
 "35000" ,"New Mexico",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3042524,3049840,3090692,3149612,3134168,3190276,3210604,3276676,3315172,3366044,3396936,3464088,3547616,3599312,3681244,3666868,3738548,3811372,3833600,3839956,3904888,3969612,4013228,4087560,4137632,4178772,4225920,4278728,4353928,4444172,4505224,4570700,4763268,4839668,4905580,4988156,5044632,5086312,5163404,5248200,5353104,5394608,5424724,5481564,5358144,5337644,5356624,5385140,5407424,5442052,5469184,5491084,4992464,5015408,5078028,5043852,5131016,5181020,5111820,5144848,5908312,5929316,5901156,5936488,6011768,6031388,6119852,6325432,6338216,6434744,6486776,6527748,6443796,6455872,6447500,6470424,6539332,6505688,6589552,6598376,6741926,6798974
 "35000" ,"New Mexico",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1577016,1581048,1603552,1638004,1634348,1666496,1678740,1714696,1731496,1759848,1773096,1808028,1853140,1880668,1923464,1911000,1949900,1984596,1994584,1999420,2028636,2064448,2092212,2139084,2169980,2198648,2228140,2260240,2307164,2356708,2386872,2416404,2531072,2570920,2603600,2647116,2691740,2717844,2756172,2792368,2846840,2862800,2872168,2898532,2841244,2825012,2835328,2850904,2849328,2864000,2879564,2893684,2314364,2329480,2361640,2357788,2383936,2412332,2380328,2382280,3103948,3110644,3097980,3118648,3181944,3192276,3224792,3306200,3288956,3310948,3319556,3335892,3322072,3341016,3355868,3392740,3483764,3490708,3553184,3564948,3659621,3691287
 "35000" ,"New Mexico",6,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1465508,1468792,1487140,1511608,1499820,1523780,1531864,1561980,1583676,1606196,1623840,1656060,1694476,1718644,1757780,1755868,1788648,1826776,1839016,1840536,1876252,1905164,1921016,1948476,1967652,1980124,1997780,2018488,2046764,2087464,2118352,2154296,2232196,2268748,2301980,2341040,2352892,2368468,2407232,2455832,2506264,2531808,2552556,2583032,2516900,2512632,2521296,2534236,2558096,2578052,2589620,2597400,2678100,2685928,2716388,2686064,2747080,2768688,2731492,2762568,2804364,2818672,2803176,2817840,2829824,2839112,2895060,3019232,3049260,3123796,3167220,3191856,3121724,3114856,3091632,3077684,3055568,3014980,3036368,3033428,3082305,3107687
 "35000" ,"New Mexico",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",174936,183464,192892,194700,208276,211184,215348,224512,235232,234240,245692,243920,222912,213916,204520,205140,198272,192468,192080,193520,181628,182312,184352,180776,133016,135056,139360,137256,66384,60788,70388,81332,73128,77380,86476,92556,72312,77296,70256,73576,57320,57760,59508,55844,68856,72056,67604,65416,7332,7088,8456,10168,-21800,-21684,-21788,-17568,-32496,-33576,-12412,15200,-85644,-69724,-57212,-53744,-80896,-74484,-71952,-79040,-53916,-57744,-53684,-59416,-14988,-21900,-17540,-14452,46688,61620,61648,67508,72667,81786
 "35000" ,"New Mexico",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",23758416,23860952,24134292,24644056,24413564,24733984,24869492,25476888,26343700,26997528,27245540,27744744,28309812,28651500,29282628,29269772,29492328,30135928,30459972,30733628,30856496,31471480,31938536,32672624,32998904,33557528,34089652,34754932,34895736,35674156,36180528,36475444,37585084,37887700,38161328,38761612,39096216,39419984,39968932,40332420,41007576,41183580,41194784,41366504,40238108,39818584,40101100,40810512,40565120,41422288,42088396,42614932,43174268,43513344,44226432,44110716,44172704,44539720,44071744,44327480,43380060,43518232,43337448,43589588,44232576,44564096,45087480,46071068,45231224,45314776,45440440,45529248,45406104,45686968,45869040,46204684,46773772,46757544,47469720,47635120,48187355,48678473
 "35000" ,"New Mexico",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",8261608,8453676,8516468,8408068,8250532,8248264,8234884,8298552,8463912,8595848,8772768,8995168,9166672,9299132,9288560,9159188,8957268,8908552,8749340,8798532,8939408,8834824,8835084,8898956,8929820,9065200,9177812,9834748,9826924,10237628,10301748,10721140,10848716,11016160,11056732,11147740,11415276,11973232,12160832,12306436,12590348,12597296,12790372,12551468,12194116,11904492,11606780,11373512,11444820,11575888,11717680,12103652,12535464,12821268,13076704,13572940,13943668,14241220,14065308,14901832,13625076,13630760,13813060,14016072,14551608,15015304,15283808,15362864,15332472,15493404,15593768,15569776,15672992,15807488,15909528,16043600,16262356,16349028,16401848,16672936,16821834,16952163
