GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "32000" ,"Nevada",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",52599927,53853707,55227531,56418383,57720267,58311727,58949871,60559995,62754758,64392410,65309494,65848582,67341004,68466736,68445368,67892328,68920808,69625028,70047656,71311660,72108708,73317892,75451924,77403208,79260436,81596448,83900276,87255548,90090284,93562208,93903084,95759556,98903644,100277388,100361364,101982320,103064816,104106308,104516716,106133760,103511404,104444844,102591560,100503956,97657268,97807804,97086056,97626380,99124348,100985604,102088088,102622920,104400400,105274652,105490748,105575848,108073240,108997820,108303808,112408204,108461668,109226380,110249404,111667780,113862808,116268236,118468968,121089868,124107220,126885488,127831148,128895940,128403916,129385844,132940244,132297360,135961076,137236632,139399020,140948992,143968356,145167169
 "32000" ,"Nevada",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2698402,2701699,2705163,2709482,2712878,2716225,2722827,2731797,2740061,2748155,2757259,2766449,2774346,2782273,2792547,2804447,2815329,2826123,2838723,2852216,2864424,2876680,2890556,2905170,2918587,2932186,2947014,2962215,2976421,2990609,3005899,3021201,3035528,3049976
 "32000" ,"Nevada",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36734,37379,37738,37875,38483,38758,38743,38647,39442,39662,39280,40633,39094,39258,39480,39818,40444,41141,41733,42455,43327,44108,44224,44368,43995,44126,45110,44662,45679,45889,46375,46653,47428,47596
 "32000" ,"Nevada",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",40109155,41046467,42350867,43716599,45017879,45403219,45817803,47210591,48564242,49654854,50195242,50277006,51745568,52945296,53210884,52265948,52874012,53459016,54056584,54938460,54630048,55614008,57370748,58950848,60040892,61835820,63885744,65709808,67406228,70158980,70286684,71272284,74172820,75453836,75498976,77142212,77296172,77134180,77215964,78734704,75854972,73703748,73490276,72055384,69329380,68897776,68698076,69511700,69882588,71464136,72425500,72296980,72638812,73422460,73552260,72620152,73985032,73944084,73844356,74727584,75076660,75705912,76161044,77407768,78072404,78675012,79646116,81686304,83102136,84615804,84718916,85689268,84638380,85243424,88848652,87393444,90062500,91107828,93192476,93461828,96241143,97049881
 "32000" ,"Nevada",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4619572,4706188,4836820,4977988,5127576,5103292,5047476,5064448,5017688,4983996,4981952,4961872,5170072,5337244,5375020,5284044,5427556,5483232,5503124,5513144,5485228,5472168,5593092,5719924,5863696,6020060,6189064,6297940,6392484,6684124,6747828,6957732,7412080,7712216,7819504,8060208,8225760,8171508,8131260,8188808,7968056,7663648,7625380,7537628,7431360,7450060,7402104,7391888,7243420,7301536,7366904,7333232,6737276,6895460,7015464,7012544,7290108,7318244,7255680,7232040,7949180,7939360,7976040,8158904,8553752,8695652,8871196,9145392,9221348,9406036,9416408,9546832,9552276,9634848,10027336,9797212,9966920,10032984,10226088,10273508,10668595,10751127
 "32000" ,"Nevada",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2058920,2099768,2162280,2230172,2307928,2323828,2336140,2400192,2446012,2489516,2516972,2521660,2611848,2691696,2705864,2656300,2736744,2760920,2774532,2786204,2768720,2769376,2835232,2904336,2982016,3063324,3147824,3201208,3258976,3417052,3427160,3525740,3777576,3931084,3982524,4097840,4194948,4168444,4151412,4201072,4106028,3947236,3930044,3877780,3836392,3843668,3834064,3846976,3788736,3829216,3862956,3831944,3075684,3137020,3173144,3174420,3268896,3276704,3247020,3223688,4056428,4067640,4101480,4200216,4424940,4498012,4579952,4716344,4769620,4852492,4843576,4896664,4929508,4961184,5174228,5030320,5149348,5181680,5284912,5293384,5522659,5561945
 "32000" ,"Nevada",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2560652,2606420,2674540,2747816,2819648,2779464,2711336,2664256,2571676,2494480,2464980,2440212,2558224,2645548,2669156,2627744,2690812,2722312,2728592,2726940,2716508,2702792,2757860,2815588,2881680,2956736,3041240,3096732,3133508,3267072,3320668,3431992,3634504,3781132,3836980,3962368,4030812,4003064,3979848,3987736,3862028,3716412,3695336,3659848,3594968,3606392,3568040,3544912,3454684,3472320,3503948,3501288,3661592,3758440,3842320,3838124,4021212,4041540,4008660,4008352,3892752,3871720,3874560,3958688,4128812,4197640,4291244,4429048,4451728,4553544,4572832,4650168,4622768,4673664,4853108,4766892,4817572,4851304,4941176,4980124,5145936,5189182
 "32000" ,"Nevada",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-326632,-340048,-357044,-375344,-379392,-378900,-378480,-391044,-334172,-350564,-334808,-333096,-333132,-366652,-371108,-346080,-345616,-353684,-367844,-387148,-380924,-388916,-420064,-449132,-451988,-478148,-509388,-537596,-516124,-580288,-548656,-550272,-456252,-483560,-469316,-486564,-387340,-382236,-395288,-434308,-359536,-317272,-312720,-292624,-329728,-309216,-297808,-294052,-253976,-259104,-266244,-227796,-142516,-156528,-144956,-137472,-169312,-165164,-162800,-129816,-141120,-134916,-135936,-132928,-170576,-173380,-165052,-185552,-118484,-127412,-114976,-125820,-135256,-137940,-204428,-143804,-95392,-94264,-114500,-90300,-131713,-127203
 "32000" ,"Nevada",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",35162951,36000231,37157003,38363267,39510911,39921027,40391847,41755099,43212382,44320294,44878482,44982038,46242364,47241400,47464756,46635824,47100840,47622100,48185616,49038168,48763896,49752924,51357592,52781792,53725208,55337612,57187292,58874272,60497620,62894568,62990200,63764280,66304488,67258060,67210156,68595440,68683072,68580436,68689416,70111588,67527380,65722828,65552176,64225132,61568292,61138500,60998164,61825760,62385192,63903496,64792352,64735952,65759020,66370472,66391840,65470136,66525612,66460676,66425876,67365728,66986360,67631636,68049068,69115936,69348076,69805980,70609868,72355360,73762304,75082356,75187532,76016616,74950848,75470636,78616888,77452428,80000188,80980580,82851888,83098020,85440835,86171551
 "32000" ,"Nevada",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",12137200,12508084,12707500,12657224,12700708,12829212,12942308,13160340,13758608,14085548,14373808,14690364,14579192,14500076,14295708,14029624,14356144,14357504,14181872,14457972,15360880,15382712,15748316,16258284,16936104,17416348,17793228,19238488,20141312,21105696,21266408,22345848,22446416,22743424,22732184,22837408,23305676,24322884,24455160,24417520,24049996,23683844,23765948,23078400,21804656,21187920,20516868,20076020,19973004,20237848,20434472,21052756,21653300,21846688,22057204,22988720,24502604,25362172,24725020,27635296,23928740,24034796,24564592,24991952,26064772,27540772,28608544,29278624,29939564,31073384,31722884,31599428,31743120,32061620,32293900,32623612,33334564,33475536,33543704,34546512,34856226,35153864
