GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "40000" ,"Oklahoma",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",73950023,75014143,75486923,75795759,75716295,76318147,77217499,79019555,80928085,82722357,84227121,85578121,87494208,88430012,88228604,89263448,89511632,90015472,90407440,90997752,92761056,93968140,94627792,95856208,99170608,101008524,102351544,104326868,107641028,109828484,112002420,114737076,122003612,123146948,123906320,124590516,124921764,126748008,129164788,130440168,134993192,142872808,143349464,144639968,136604220,131234884,128816392,128963724,131871264,136179544,139433876,141825216,143527100,146799124,149583268,151203776,155721072,157528356,157073396,162620036,163268008,165621508,166691840,167860072,173314248,175951952,178147200,178093432,174098512,172335140,172944980,171166288,165333636,164797096,164740240,165556928,171358016,173963664,175573616,176846312,179436243,181408328
 "40000" ,"Oklahoma",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3746427,3755509,3763382,3770382,3776086,3781926,3789499,3797513,3804535,3811518,3820397,3829861,3837484,3845386,3853445,3860538,3866161,3871849,3879490,3887686,3894031,3900663,3907076,3911947,3915218,3918950,3922897,3925937,3927642,3929458,3932652,3935700,3937290,3939083
 "40000" ,"Oklahoma",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35199,36261,37050,37616,38009,38816,39473,39817,40930,41330,41114,42461,42546,43070,43258,43481,44829,45444,45920,45810,44709,44181,44265,43755,42228,42051,41995,42170,43629,44272,44645,44934,45574,46053
 "40000" ,"Oklahoma",6,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",52743163,53382771,53594439,53867711,53877943,54328459,54913971,56250371,57383045,58458521,59608793,60724669,62121756,62776120,63052716,63644040,63968264,64327540,64873896,65118152,66472996,67797224,68104020,69049596,72049596,73562552,74829880,75773220,78806656,80162532,82114984,83646696,89569032,89531080,89606416,89745836,88838552,89486804,91328828,92158128,95823284,99403620,102629872,104918284,96657596,90421796,88706928,89081128,90686700,94826064,97580304,99224468,98899788,101778400,104259432,104868516,108699208,109572980,109497116,113297728,117539880,119936988,120484296,121337252,125955312,127334288,128832736,128514852,124458752,121937384,122158264,120593052,113967940,113132820,112741944,113207884,118413864,120895484,122184072,122717616,124981124,126619071
 "40000" ,"Oklahoma",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",5998008,6047312,6044644,6041612,6148740,6175388,6211328,6336620,6434548,6515144,6654308,6794884,6941520,7027344,7069788,7150608,7209024,7251288,7291148,7274056,7333224,7458996,7487724,7610764,7770208,7960856,8101864,8158756,8301528,8409664,8542484,8651848,9107860,9073424,9095648,9185740,9408264,9541796,9661024,9760456,9894804,10028164,10083252,10169108,9926832,9860752,9865108,9756788,9910800,10084812,10178836,10193920,9382140,9654260,9890144,9991928,10131824,10248196,10270452,10630700,11812812,11930796,11900772,11944904,12168280,12175048,12253228,12295924,12385004,12217748,12283608,12267588,12173992,12174464,12167436,12256084,12497640,12733848,12850304,12897464,13218659,13373383
 "40000" ,"Oklahoma",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3132760,3162364,3165384,3173004,3247336,3271216,3294296,3360316,3401800,3440708,3504616,3570928,3641776,3678084,3691448,3721832,3753520,3761360,3774988,3760280,3772356,3825376,3826896,3875608,3932732,4020752,4086684,4121844,4220080,4286636,4364268,4427216,4725360,4710028,4728956,4778812,4926348,5012336,5085792,5146620,5247784,5332544,5360508,5402724,5276868,5231728,5243680,5192832,5273720,5365008,5405316,5385388,4331772,4426292,4514660,4567760,4583844,4629936,4632724,4762168,6028864,6089536,6088004,6133912,6317620,6357444,6432716,6470704,6569352,6478708,6508860,6479040,6442232,6420724,6406464,6453572,6636704,6772520,6839500,6866312,7069957,7155594
 "40000" ,"Oklahoma",6,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2865248,2884948,2879260,2868608,2901404,2904172,2917032,2976304,3032748,3074436,3149692,3223956,3299744,3349260,3378340,3428776,3455504,3489928,3516160,3513776,3560868,3633620,3660828,3735156,3837476,3940104,4015180,4036912,4081448,4123028,4178216,4224632,4382500,4363396,4366692,4406928,4481916,4529460,4575232,4613836,4647020,4695620,4722744,4766384,4649964,4629024,4621428,4563956,4637080,4719804,4773520,4808532,5050368,5227968,5375484,5424168,5547980,5618260,5637728,5868532,5783948,5841260,5812768,5810992,5850660,5817604,5820512,5825220,5815652,5739040,5774748,5788548,5731760,5753740,5760972,5802512,5860936,5961328,6010804,6031152,6148702,6217789
 "40000" ,"Oklahoma",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",868496,881880,903156,917472,920056,929532,941400,964700,1010412,1012452,1028788,1023560,1014148,1013104,1015568,1013156,972388,985628,989864,998448,948352,954780,974616,992940,926924,939808,964840,968476,898796,904688,914056,931584,860712,878832,887040,909884,829008,842932,840136,880824,790444,791336,792392,797748,684432,678528,676472,687488,606932,613636,619728,618484,580228,562824,561600,550740,551564,554968,555668,556964,470568,473068,477788,476496,459988,462288,460180,478972,399952,424404,431668,443776,434912,446496,460176,478936,413304,403920,406732,414680,416576,422956
 "40000" ,"Oklahoma",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",47613651,48217339,48452951,48743571,48649259,49082603,49644043,50878451,51958909,52955829,53983273,54953345,56194384,56761880,56998496,57506588,57731628,58061880,58572612,58842544,60088124,61293008,61590912,62431772,65206312,66541504,67692856,68582940,71403924,72657556,74486556,75926432,81321884,81336488,81397808,81469980,80259296,80787940,82507940,83278496,86718924,90166792,93339012,95546924,87415196,81239572,79518292,80011828,81382832,85354888,88021196,89649032,90097876,92686964,94930888,95427328,99118948,99879752,99782332,103223992,106197636,108479260,109061312,109868844,114247020,115621528,117039688,116697900,112473700,110144040,110306324,108769240,102228860,101404852,101034684,101430736,106329528,108565556,109740500,110234832,112179041,113668644
 "40000" ,"Oklahoma",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",14881412,15252068,15420320,15310952,15104340,15209992,15412512,15870152,16555176,17024292,17328416,17509160,17503072,17478216,17331392,17113464,16902324,16941464,16705040,16782892,16939148,16690148,16776012,17038860,17197588,17517004,17641772,18481616,18402056,18983652,19092408,20214556,21158180,21931300,22304076,22713492,23475276,24729724,25099952,25348480,26087032,25964448,26280004,25518976,24447200,23706112,22988280,22513836,22917120,23235768,23611596,24387452,25504084,26097416,26641576,27633848,28329256,28934852,28610916,30495624,27933116,27971100,28297632,28598744,29450148,30144216,30554980,30677032,30493588,30908620,31089116,30909636,30876080,31045768,31216096,31508176,32079068,32242160,32390784,32979224,33272772,33553673
