GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "41000" ,"Oregon",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",85577992,86442012,87172476,88258948,88641623,89592079,90832475,93124899,95626291,97311087,98970883,99184659,101071256,100847912,100321788,100188452,100761524,101716572,101952028,103031612,103661920,104512500,106188528,107886020,109127252,111345956,112105632,113373624,114671844,115870100,117587040,120449964,125470368,127075084,128834884,130514780,131542812,133256060,134429408,136125748,137764316,142313396,140008020,137913480,134446012,135401952,134687908,134787896,137202124,137462136,138708684,139939864,144642120,145476800,146048296,148159280,152337596,153674764,153536128,156718864,154291396,155983224,157469032,158832460,163105696,166636092,169803116,172365232,176856208,179726524,183361244,184145056,187608136,188662976,189734400,192572068,196047364,198530900,199827324,203283212,205666716,207873663
 "41000" ,"Oregon",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3827855,3834006,3841355,3849166,3855511,3862115,3869871,3877433,3883846,3890348,3897968,3905296,3910567,3916275,3925312,3936359,3945837,3955496,3968494,3983375,3996224,4009477,4025890,4044016,4060367,4077163,4093639,4108511,4121911,4135484,4150542,4165509,4178938,4192671
 "41000" ,"Oregon",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35843,35853,36109,36356,37516,37668,37740,38211,39223,39502,39389,40130,39455,39829,40116,40350,41336,42128,42788,43271,44256,44825,45546,45535,46205,46273,46349,46871,47562,48007,48145,48802,49215,49580
 "41000" ,"Oregon",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",65998816,66560868,67170204,68271660,68899047,69726751,70676115,72761791,74967867,76085247,77525323,77326299,78440064,77993972,77897128,77276748,78028704,78763544,79020244,79767136,80232092,80836328,82040684,83918792,84813424,86960620,87724500,87818100,89887592,90427648,92148600,93613892,97429848,97687288,99049260,100813292,101141236,101784400,102537076,103672652,103827816,103818852,103365484,101884644,98030056,97466404,97365320,97668312,99102384,99082804,99949780,100056564,102967736,103080252,103583816,104760728,108916184,109789860,110265816,110603260,112242400,113570532,114173852,115090824,117283636,118810976,120440360,122295708,125905296,126912156,130045052,130653428,134190416,134337740,135039800,137843432,140398480,143464536,144434968,146966156,148825467,150520741
 "41000" ,"Oregon",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",8296768,8338236,8369988,8458576,8575288,8637008,8724044,8967440,9291528,9379572,9542836,9454984,9597164,9465100,9395208,9339652,9492188,9615524,9627088,9685268,9744632,9800432,9936280,10174608,10371144,10635656,10745060,10716168,11087788,11099944,11256580,11389240,11883660,11918156,12084444,12281360,12406300,12476996,12583272,12728604,12760888,12755252,12752104,12597760,12258612,12203720,12167880,12184300,12579180,12545216,12581560,12499524,11637484,11525240,11517564,11597464,12007728,12089096,12146768,12204152,13918344,14141780,14276180,14469420,14787108,14940076,15125108,15350676,15652336,15747340,16085936,16137672,16504660,16536380,16643816,17052004,17416968,17879012,18051824,18384836,18734607,18934356
 "41000" ,"Oregon",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3888716,3912736,3934032,3987832,4066168,4099924,4133672,4232224,4347980,4380080,4455900,4432152,4538060,4506772,4491776,4466644,4543756,4591220,4591304,4618440,4630512,4648472,4706684,4810352,4884796,5006196,5064384,5068648,5290948,5322016,5414056,5489004,5779924,5812124,5903368,6003596,6101216,6150372,6208692,6285496,6330156,6336612,6334564,6259796,6111056,6068636,6038424,6025492,6169148,6135812,6168348,6158844,5065512,5055436,5069624,5126676,5251720,5279668,5289936,5274264,6883508,6981224,7051156,7139496,7329796,7415128,7511076,7625940,7817440,7873028,8060156,8090332,8351064,8363972,8414220,8615200,8844108,9075940,9149600,9312748,9538841,9641810
 "41000" ,"Oregon",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4408052,4425500,4435956,4470744,4509120,4537084,4590372,4735216,4943548,4999492,5086936,5022832,5059104,4958328,4903432,4873008,4948432,5024304,5035784,5066828,5114120,5151960,5229596,5364256,5486348,5629460,5680676,5647520,5796840,5777928,5842524,5900236,6103736,6106032,6181076,6277764,6305084,6326624,6374580,6443108,6430732,6418640,6417540,6337964,6147556,6135084,6129456,6158808,6410032,6409404,6413212,6340680,6571972,6469804,6447940,6470788,6756008,6809428,6856832,6929888,7034836,7160556,7225024,7329924,7457312,7524948,7614032,7724736,7834896,7874312,8025780,8047340,8153596,8172408,8229596,8436804,8572860,8803072,8902224,9072088,9195766,9292546
 "41000" ,"Oregon",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1649724,-1658388,-1659944,-1686472,-1716376,-1755120,-1756956,-1799612,-1921228,-1991076,-2057796,-2025088,-2151136,-2095960,-2115896,-2080968,-2162620,-2196768,-2193964,-2207696,-2334272,-2332188,-2362568,-2442608,-2543196,-2597200,-2630916,-2604332,-2852428,-2856640,-2909040,-2923608,-3230188,-3230312,-3290572,-3346596,-3501068,-3525656,-3557372,-3598428,-3690452,-3683588,-3666260,-3626612,-3533596,-3494140,-3479020,-3453028,-3373224,-3346096,-3381364,-3381896,-3692688,-3693924,-3688244,-3735688,-3904988,-3922796,-3921188,-3905664,-3861288,-3901108,-3916480,-3957004,-3805132,-3863480,-3913456,-3985900,-4092416,-4118200,-4247200,-4271096,-4554424,-4544504,-4555064,-4645124,-4621672,-4736160,-4737204,-4821956,-4850198,-4924391
 "41000" ,"Oregon",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",56052324,56564244,57140272,58126612,58607383,59334623,60195115,61994739,63755111,64714599,65924691,65846227,66691764,66432912,66386024,65856128,66373896,66951252,67199192,67874172,68153188,68703708,69741836,71301576,71899084,73727764,74348524,74497600,75947376,76471064,77982980,79301044,82316000,82538820,83674244,85185336,85233868,85781748,86396432,87345620,87376476,87380012,86947120,85660272,82237848,81768544,81718420,82030984,83149980,83191492,83986856,84175144,87637564,87861088,88378008,89427576,93003468,93777968,94197860,94493444,94462768,95527644,95981192,96664400,98691396,100007420,101401796,102959132,106160544,107046616,109711916,110244660,113131332,113256856,113840920,116146304,118359840,120849364,121645940,123759364,125240662,126661994
 "41000" ,"Oregon",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18366608,18583836,18610968,18411752,17911200,17947816,18094912,18480528,19160728,19602868,19896956,19994244,20139448,19776692,19420604,19116272,18785292,18955096,18862624,19176924,19609752,19543992,19837592,20321236,20652944,21028456,21032268,21847244,21266824,21742692,21859996,23331080,24567864,25592540,25961104,26041508,26241360,27279828,27538344,27853616,28910732,28910752,29392272,28579584,26732576,26109620,25450544,24950900,24885276,25156384,25386804,26253980,27380340,27833144,28071712,28990792,29763172,30300616,29699572,32394784,29443348,29858464,30582672,31060072,32017344,33406192,34405064,35030780,35663772,36970740,37767992,37800372,38199836,38673980,38967640,39358524,40162496,40262840,40376772,41472780,41828825,42174321
