GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "51000" ,"Virginia",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",193738473,197983109,201884749,205017561,210747885,210760013,214685549,219733093,225455160,230352120,234561380,237765624,242385212,245537840,243258556,245365252,247227308,250210236,252091148,254183836,259249876,263120660,268191452,273359588,277588964,281933364,286718264,293587904,296614332,302301016,307255716,312711060,321854732,324838532,327196504,330796548,338278244,342449364,345253796,347169988,352002088,360726016,357598872,355410668,345553476,350125008,349169392,350928828,356580088,363152324,366867448,370930128,380684940,384113240,388913656,391480196,399397428,402580564,402853128,414258804,400415528,401542580,401747912,404552252,412292960,417893388,422817172,427940188,433244464,440572100,444788548,444689820,444128352,445770580,449312344,455522728,460985340,463775244,468952384,473260136,478911113,484091881
 "51000" ,"Virginia",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7989604,8013010,8036698,8058526,8077782,8097110,8118613,8139903,8159362,8178474,8199314,8219330,8235546,8252304,8269446,8284762,8297334,8309941,8324638,8338859,8349419,8360467,8373868,8387166,8397217,8408105,8422310,8437522,8449976,8462656,8478088,8493235,8505486,8518190
 "51000" ,"Virginia",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44631,45320,45649,46030,47127,47438,47904,48094,48950,49224,49133,50401,48620,48658,48582,48831,49690,50288,50791,51319,51889,52697,53116,53020,52890,53017,53348,53988,54555,54803,55313,55722,56306,56830
 "51000" ,"Virginia",5,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",142348741,145661301,149081401,152953669,157438577,156294617,159770465,164172341,170143068,174102844,177609500,179383416,183191396,185911160,183958696,185604740,185814484,188535660,190855164,191384612,193794488,197271292,201946912,206672744,210389704,214148932,219179592,223608872,225406868,228783852,233406052,235044116,240362104,240558072,241507440,244705644,250036100,250679808,252131440,253283540,254374672,255201168,256555348,256968728,249781848,253086408,253800708,256511908,258817776,263822264,266003436,267231944,269293444,270779092,274663824,273710880,279951136,281237380,282915724,288986956,285773752,286271296,284981612,286436464,290336164,292051308,294262260,298365392,301935796,307065412,310568896,310361076,307592336,308100892,310900628,316147956,319155296,321026208,325036424,326907164,331011626,335280095
 "51000" ,"Virginia",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",15501772,15846008,16204796,16628532,17151952,16957320,17303580,17716452,18167164,18486864,18862832,19047032,19469292,19775056,19577076,19834500,20004160,20297392,20516676,20459772,20760216,21065280,21522692,22037616,22586084,22969716,23526252,23965236,24281752,24659200,25171568,25410724,26248512,26374848,26522888,26828340,27528092,27496580,27671416,27864872,28266452,28436604,28695720,28785108,28274248,28653076,28651236,28862972,29172484,29611668,29678384,29638824,27018444,27031824,27314564,27127688,27621624,27750680,27990928,28627544,32338616,32440268,32311172,32455256,32908456,32960188,33125124,33588024,33984928,34626536,35006440,35051568,34908420,35005000,35334724,35915244,36476656,36681444,37132344,37323944,38006001,38470689
 "51000" ,"Virginia",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8006480,8188036,8377080,8605940,8916484,8807768,8986164,9194652,9416900,9589416,9777728,9864984,10094060,10276248,10150752,10282924,10408568,10564592,10685572,10655740,10770332,10902328,11128028,11378436,11611704,11787888,12071160,12303064,12508440,12705708,12961276,13066984,13577700,13647636,13727012,13888076,14341856,14355556,14451332,14543512,14801408,14890020,15003144,15024852,14779124,14941144,14937600,15060068,15165352,15383724,15421740,15377740,12302568,12284844,12394048,12334412,12462228,12548524,12694376,12986080,16747768,16823432,16781784,16852372,17177532,17211648,17281512,17507036,17781424,18096852,18288832,18305592,18374644,18425256,18594560,18898772,19300592,19406876,19643156,19736628,20204246,20456081
 "51000" ,"Virginia",5,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7495292,7657972,7827716,8022592,8235468,8149552,8317416,8521800,8750264,8897448,9085104,9182048,9375232,9498808,9426324,9551576,9595592,9732800,9831104,9804032,9989884,10162952,10394664,10659180,10974380,11181828,11455092,11662172,11773312,11953492,12210292,12343740,12670812,12727212,12795876,12940264,13186236,13141024,13220084,13321360,13465044,13546584,13692576,13760256,13495124,13711932,13713636,13802904,14007132,14227944,14256644,14261084,14715876,14746980,14920516,14793276,15159396,15202156,15296552,15641464,15590848,15616836,15529388,15602884,15730924,15748540,15843612,16080988,16203504,16529684,16717608,16745976,16533776,16579744,16740164,17016472,17176064,17274568,17489188,17587316,17801755,18014608
 "51000" ,"Virginia",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",6255348,6197104,6332808,6060360,7465624,7907180,8104748,8209056,6304280,5901356,5798240,6246188,6335584,6382488,6761304,6819452,7833304,8039424,8048400,8393460,8595504,8848300,8810420,8847152,9120992,9277680,9263704,9300208,9343504,9501880,9548360,9639736,10640432,10713864,10913264,10966580,11100492,11253524,11671224,11643500,13266072,13094376,13190172,13481328,12729420,13069956,13184404,13351640,14148304,14609916,14649328,14985420,16620488,16888724,17092532,16903256,16921724,16855744,16783532,16832500,16484832,16581552,16502460,16880980,18154128,18422056,18695956,18870696,18738504,18827072,18776956,19045368,19597368,19882812,20005704,20232340,20384436,20353716,20728636,20612220,20917389,21043824
 "51000" ,"Virginia",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",133102317,136012397,139209413,142385497,147752249,147244477,150571633,154664945,158280184,161517336,164544908,166582572,170057688,172518592,171142924,172589692,173643628,176277692,178386888,179318300,181629776,185054312,189234640,193482280,196924612,200456896,204917044,208943844,210468620,213626532,217782844,219273128,224754024,224897088,225897816,228843884,233608500,234436752,236131248,237062168,239374292,239858940,241049800,241664948,234237020,237503288,238333876,241000576,243793596,248820512,250974380,252578540,258895488,260635992,264441792,263486448,269251236,270342444,271708328,277191912,269919968,270412580,269172900,270862188,275581836,277513176,279833092,283648064,286689372,291265948,294339412,294354876,292281284,292978704,295571608,300465052,303063076,304698480,308632716,310195440,313923014,317853230
 "51000" ,"Virginia",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",41623280,42844332,43446840,43146376,43066300,43428976,43737152,44464208,46145660,47177876,48116380,49009312,48625180,48765512,48452172,47846320,48341872,48443248,48055308,48861564,50795992,50669276,51248392,52020332,52190500,52701212,52787248,54976464,55429744,57176620,57518348,61210612,63140152,65531036,66469056,66907484,68387456,71594692,72198088,72555644,74008956,73504520,74530132,72411356,67861136,66540628,64889092,63773716,64124136,65092876,65769180,68039632,70839676,72095432,73034176,76099576,78626304,80447072,79218652,84678552,77277640,77399864,78417428,79309676,81966476,84564068,86301880,87196296,87894484,89671372,90602908,90249620,90483200,91098824,91652992,92577916,94401896,95003736,95444860,97416424,98306559,99069020
