GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "04000" ,"Arizona",6,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",74299808,75981424,78233668,80432280,80150584,82618348,83714484,85650440,89510856,90300996,92145052,93332876,94702568,94990428,96311292,95885576,96594008,97572336,98246540,99743408,99812244,101714064,102989440,106185376,107249700,109798664,112518072,114915432,116494296,119944480,124384940,126217840,131173256,132730484,135604648,138666688,141076516,141946984,143454560,143832320,145186580,144467020,143688988,142122796,135807792,135174392,133938500,135538336,131801940,134331372,135447616,136784552,138010484,138621132,140795288,141200096,143273188,144594592,144761020,148399076,148473640,150474560,150614020,152136620,155680216,155396804,156569464,158785476,161119356,162862092,163566252,166794872,166611208,169239236,172150228,173093020,177066004,177623844,182181908,182638140,186792439,189033253
 "04000" ,"Arizona",6,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",61796416,63203728,65117520,67039288,66878596,68997040,69933864,71680316,75150164,75733540,77307520,78141824,79147008,79185492,80050380,79554104,80009252,80833524,81359020,82510912,82502708,84149476,85322272,88030536,88798652,91008008,93430376,95392680,96722008,99595596,103337052,104826764,108982020,110099352,112164496,114635832,116586676,116976524,117777540,117820904,118579632,117700356,116954448,115661196,110062492,109726784,108735292,110057368,106745052,108920044,109913236,111055608,111994416,112575416,114508024,114909792,117188832,118370108,118524120,121710324,121343812,122714576,122580796,123755892,126917108,126643916,127709436,129692468,131951448,133426832,134125576,136611316,136322592,138361896,140686392,141603096,144973376,145487340,149321184,149783936,153347837,155275760
 "04000" ,"Arizona",6,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",12503392,12777696,13116148,13392992,13271988,13621308,13780620,13970124,14360692,14567456,14837532,15191052,15555560,15804936,16260912,16331472,16584756,16738812,16887520,17232496,17309536,17564588,17667168,18154840,18451048,18790656,19087696,19522752,19772288,20348884,21047888,21391076,22191236,22631132,23440152,24030856,24489840,24970460,25677020,26011416,26606948,26766664,26734540,26461600,25745300,25447608,25203208,25480968,25056888,25411328,25534380,25728944,26016068,26045716,26287264,26290304,26084356,26224484,26236900,26688752,27129828,27759984,28033224,28380728,28763108,28752888,28860028,29093008,29167908,29435260,29440676,30183556,30288616,30877340,31463836,31489924,32092628,32136504,32860724,32854204,33444602,33757493
 "04000" ,"Arizona",6,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",7911764,8093064,8302828,8458320,8366928,8579752,8691748,8782120,8952208,9129216,9278128,9548136,9822704,10044516,10414784,10493548,10667864,10756520,10886060,11186748,11246564,11422348,11478732,11810532,11976988,12183936,12336644,12656156,12787368,13188580,13640780,13890032,14444564,14806128,15450200,15836972,16147312,16562980,17158464,17438780,17961724,18158240,18158224,17978008,17636096,17356356,17198708,17403060,17041888,17290392,17414132,17594624,17642380,17690996,17838524,17857764,17487672,17564748,17573516,17788564,18244628,18734880,19020636,19320980,19593320,19665408,19713752,19791808,19720756,19846792,19774100,20322300,20497024,20934524,21351716,21321576,21703920,21707900,22171096,22121628,22461204,22647577
 "04000" ,"Arizona",6,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",4591628,4684632,4813320,4934672,4905060,5041556,5088872,5188004,5408484,5438240,5559404,5642916,5732856,5760420,5846128,5837924,5916892,5982292,6001460,6045748,6062972,6142240,6188436,6344308,6474060,6606720,6751052,6866596,6984920,7160304,7407108,7501044,7746672,7825004,7989952,8193884,8342528,8407480,8518556,8572636,8645224,8608424,8576316,8483592,8109204,8091252,8004500,8077908,8015000,8120936,8120248,8134320,8373688,8354720,8448740,8432540,8596684,8659736,8663384,8900188,8885200,9025104,9012588,9059748,9169788,9087480,9146276,9301200,9447152,9588468,9666576,9861256,9791592,9942816,10112120,10168348,10388708,10428604,10689628,10732576,10983398,11109916
 "04000" ,"Arizona",6,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",338456,333264,328812,327524,328844,330040,335004,341848,354360,364968,373184,378700,368364,374180,377096,377012,427228,423824,421068,418632,366284,368008,373448,382688,388700,397420,401804,401952,447000,442148,437160,431988,408388,411196,421576,439840,469324,489420,503020,509528,470316,469068,467132,464656,517804,514204,510952,507696,467716,460024,448336,432696,436704,432396,443948,471792,485724,514660,531336,535544,588508,584184,584204,587948,564624,566184,561848,551456,480544,473144,473192,480584,538448,550776,559444,564748,568404,571456,575600,581120,585695,589769
 "04000" ,"Arizona",6,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",73961352,75648160,77904856,80104756,79821740,82288308,83379480,85308592,89156496,89936028,91771868,92954176,94334204,94616248,95934196,95508564,96166780,97148512,97825472,99324776,99445960,101346056,102615992,105802688,106861000,109401244,112116268,114513480,116047296,119502332,123947780,125785852,130764868,132319288,135183072,138226848,140607192,141457564,142951540,143322792,144716264,143997952,143221856,141658140,135289988,134660188,133427548,135030640,131334224,133871348,134999280,136351856,137573780,138188736,140351340,140728304,142787464,144079932,144229684,147863532,147885132,149890376,150029816,151548672,155115592,154830620,156007616,158234020,160638812,162388948,163093060,166314288,166072760,168688460,171590784,172528272,176497600,177052388,181606308,182057020,186206744,188443484
 "04000" ,"Arizona",6,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",60070604,61638648,63576480,65523876,65342040,67357700,67895596,69829528,73608180,73793896,75687624,76222656,77245744,77067144,77796332,76793724,77259280,78071288,78481728,79517336,79205468,80651328,82169328,84564888,85713380,87614148,90244388,91763452,93490412,96136624,100080280,102036540,106369756,107934700,109373428,112652360,114453348,114919608,115469432,115718932,116352132,115666144,114766176,113160528,106931844,106330984,105263908,106014608,103480772,104875780,106227864,107580228,109133052,109713152,111336808,111890416,114182320,115122828,115271328,118835460,118500420,120225452,120475492,121771660,125514944,125038864,126194272,127837392,130358856,131390444,132655336,134964584,135041776,137480276,139712356,141190848,144314284,144952936,148883712,149615352,153677462,155663285
 "04000" ,"Arizona",6,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",239616,255448,260036,255264,260696,261720,248832,247372,237632,211204,234004,329468,289520,256176,245456,286940,265052,305200,268196,283244,275300,251160,290800,296808,317416,330740,319484,316120,302428,299556,327640,321188,347628,360708,382060,392988,361268,396988,382988,363880,342832,346292,338236,328936,352764,331412,346904,366196,362488,344040,338332,369488,355436,373660,378936,372080,380608,381124,370092,371808,355120,368908,376416,370284,397740,388548,410296,445108,424884,427404,465860,450840,449672,472160,472792,468332,457228,454404,470740,475280,493893,494764
 "04000" ,"Arizona",6,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",691024,706776,674420,627868,612148,624208,643880,641764,574696,523000,531040,534604,537048,553972,548812,518620,452772,498732,486292,482004,481004,469036,487128,478200,492308,514084,557572,561440,580680,570152,528068,608920,641208,685576,705988,780600,774044,853184,895768,941104,1078780,1036752,1174416,1113264,903080,874144,811824,851648,867616,892868,883336,850656,1042144,954376,1006496,1017240,1141120,1164108,1108236,1149504,1182276,1197676,1188764,1175984,1170520,1151120,1168104,1132828,1171808,1121032,1138152,1127544,957468,1069176,1086520,1122368,1081376,1154588,1141004,1203920,1278807,1325021
 "04000" ,"Arizona",6,SQINC6N,300,"22","   Utilities","Thousands of dollars",680644,668420,685124,706628,714952,818064,733276,745816,747932,765904,798596,848368,905096,970304,990592,992044,1029996,1023412,1004988,1029428,983528,982536,1012944,1054604,953988,1108476,1036096,1051644,1154796,1090352,1131424,1206112,1213964,1318012,1343868,1378944,1385428,1413056,1504160,1479788,1551696,1532816,1544256,1562216,1600228,1584504,1509276,1477292,1579856,1482456,1478972,1510528,1680344,1544672,1524852,1520424,1483356,1567668,1491132,1576820,1592484,1560864,1540492,1594460,1639536,1626772,1739664,1625020,1589856,1644180,1612732,1697912,1792192,1775256,1756900,1793764,1817932,1721928,1794212,1788556,1861988,1881730
 "04000" ,"Arizona",6,SQINC6N,400,"23","   Construction","Thousands of dollars",5345216,5538924,5826132,5957296,6249492,6335596,6403352,6625944,6811020,7015196,7109596,7324964,7276096,7415352,7397664,7138992,7350836,7228352,7320348,7412948,7413248,7555244,7691780,7994108,8075788,8413436,8764068,9123600,9459968,10090700,10682212,10955504,12227496,11880680,11830004,11981528,12148452,11798844,11568632,11428544,11061916,10601504,10018232,9307492,7968172,7207444,6725796,6527620,6189324,6185212,6173124,6229016,6161804,6185472,6408368,6252948,6512612,6671896,6876956,7148100,7022960,7279148,7438872,7582748,7847612,7573192,7454040,7685380,7783364,7800856,7793440,8155568,8191676,8408392,8781360,8781808,9154292,9288528,9809772,10113392,10597739,10938405
 "04000" ,"Arizona",6,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",10214860,10473552,10544348,11360008,10233828,10793772,10976432,11029232,11984488,11952640,12112360,12074036,12376780,11884380,11711504,11483940,11290180,11255636,11137456,11006208,10774512,11009372,10988580,11678172,11338832,11629976,11891804,11930316,11944404,11824072,12085212,12266748,12753728,12765948,12911628,13734216,13140172,13445916,13457016,13299760,13536892,13254696,13309164,13171468,12308668,11956056,11818948,12155576,11777640,12067040,12352004,12328656,12822756,12792396,12641704,12557208,13290192,13283960,13200636,13162424,13321412,13224316,13285848,13306280,13623632,13720812,13674056,13908220,13968404,14027380,13991032,14384512,14233292,14461128,14471136,14302488,14572272,14661520,15377380,15400460,16052279,16369635
 "04000" ,"Arizona",6,SQINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",8731708,8978320,9016752,9793620,8689100,9195092,9373700,9394260,10303776,10251248,10402008,10379760,10788784,10296096,10119936,9978780,9815960,9773432,9654216,9511636,9212716,9449440,9450000,10081972,9776528,10048544,10308492,10319824,10360392,10206448,10447324,10606100,11050176,11059608,11155884,12002692,11388936,11728852,11734840,11525888,11786132,11505776,11586296,11467988,10713860,10353816,10240820,10583032,10223828,10468476,10722492,10723628,11167076,11132376,10958944,10901640,11580564,11527052,11454460,11390884,11536904,11416084,11462932,11478580,11651024,11805648,11749288,11981020,11980448,12009912,11937260,12239556,12103656,12319564,12260472,12030604,12308316,12325036,12996692,12982340,13571712,13863491
