GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "12000" ,"Florida",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",234007340,239311284,244037220,247782456,250836600,255625600,259966672,262721668,275483320,275391120,280941912,285240796,291756972,294229716,296591436,297278108,301526460,305775872,309707260,314346108,316531640,321789696,328358008,335620436,338924872,347694512,354246564,362723852,370602944,376721724,387486480,389289832,399620440,400355424,404103196,411848540,415598040,415954724,418996632,419870412,419677040,417076976,414388204,408783220,393084348,392967076,390786680,395377244,389904144,397372992,401879796,403077240,403148256,406239588,407557140,405943056,415820448,418100624,422905164,431995892,432973156,437215948,439201852,445017676,453679052,456903584,461168536,471304080,479483240,487412528,494320016,502519592,500864180,506935296,516664252,521675576,529069964,532058076,539669760,547180364,558060833,564715968
 "12000" ,"Florida",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",193207996,197537564,201298092,204356288,206762780,210637568,214157624,216748668,228205380,227943804,232737448,235834384,240750384,242029596,243247128,243246840,246137852,249500728,252350824,255585276,256862072,261256104,266807716,273170096,275370996,282897836,288399692,294945180,300871780,305777008,315200132,317648404,328051388,329560968,332717212,339383376,342476144,342218164,343675656,343740476,343013980,340397388,338344528,334326700,320526060,321026748,318952896,322111852,315661356,321607032,325515124,327510404,328928516,332241056,334478420,332581012,341341172,342703288,346269428,354008128,353879468,356952468,358372116,363660808,372366628,375446272,379257372,387675628,394286020,400664028,406725476,413977716,413791668,419279940,427928264,432527480,438536024,440965152,447106484,453466972,462947793,468738754
 "12000" ,"Florida",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",40799344,41773720,42739128,43426168,44073820,44988032,45809048,45973000,47277940,47447316,48204464,49406412,51006588,52200120,53344308,54031268,55388608,56275144,57356436,58760832,59669568,60533592,61550292,62450340,63553876,64796676,65846872,67778672,69731164,70944716,72286348,71641428,71569052,70794456,71385984,72465164,73121896,73736560,75320976,76129936,76663060,76679588,76043676,74456520,72558288,71940328,71833784,73265392,74242788,75765960,76364672,75566836,74219740,73998532,73078720,73362044,74479276,75397336,76635736,77987764,79093688,80263480,80829736,81356868,81312424,81457312,81911164,83628452,85197220,86748500,87594540,88541876,87072512,87655356,88735988,89148096,90533940,91092924,92563276,93713392,95113040,95977214
 "12000" ,"Florida",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",27553564,28259036,28974160,29459308,29938716,30598356,31227060,31282044,31924088,32151608,32541800,33424468,34530000,35546748,36535632,37188184,38308568,39000640,39937652,41185872,41847940,42428872,43095160,43594340,44220684,44995960,45725928,47262464,48776940,49674296,50316704,49369756,48489028,47477808,47793128,48455180,49143220,49924272,51426992,52227900,52839516,53004188,52432388,51048776,49931120,49174536,49224772,50484484,51433252,52676004,53172720,52367868,50342700,49925376,48792132,49125724,49375372,50122104,51138584,51991564,53333388,54312600,54821660,54998136,54472176,54482852,54740096,56008980,57455028,58706020,59244672,59751168,58505176,58739812,59290584,59517544,60627864,61122996,62234716,62983676,63767908,64269055
 "12000" ,"Florida",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",13245780,13514684,13764968,13966860,14135104,14389676,14581988,14690956,15353852,15295708,15662664,15981944,16476588,16653372,16808676,16843084,17080040,17274504,17418784,17574960,17821628,18104720,18455132,18856000,19333192,19800716,20120944,20516208,20954224,21270420,21969644,22271672,23080024,23316648,23592856,24009984,23978676,23812288,23893984,23902036,23823544,23675400,23611288,23407744,22627168,22765792,22609012,22780908,22809536,23089956,23191952,23198968,23877040,24073156,24286588,24236320,25103904,25275232,25497152,25996200,25760300,25950880,26008076,26358732,26840248,26974460,27171068,27619472,27742192,28042480,28349868,28790708,28567336,28915544,29445404,29630552,29906076,29969928,30328560,30729716,31345132,31708159
 "12000" ,"Florida",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",948244,955176,951732,943492,897980,886992,887104,897028,920972,939796,980512,1036424,1251184,1266888,1274940,1274920,1219088,1210388,1202684,1195324,1053464,1056652,1070832,1095832,1261680,1288896,1302340,1302708,1224244,1208676,1190224,1169136,1328536,1333596,1369672,1438236,1263428,1322764,1354688,1356788,1480136,1461956,1454028,1457172,1416908,1419284,1411952,1393456,1457492,1422464,1385460,1345068,1185184,1187248,1232324,1323384,1169980,1242148,1274920,1266688,1480840,1451456,1446808,1464964,1354568,1374868,1375812,1356780,1212228,1192224,1188120,1199480,1345804,1367492,1382696,1392444,1257856,1264444,1273448,1285552,1295559,1304514
 "12000" ,"Florida",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",233059096,238356108,243085488,246838964,249938620,254738608,259079568,261824640,274562348,274451324,279961400,284204372,290505788,292962828,295316496,296003188,300307372,304565484,308504576,313150784,315478176,320733044,327287176,334524604,337663192,346405616,352944224,361421144,369378700,375513048,386296256,388120696,398291904,399021828,402733524,410410304,414334612,414631960,417641944,418513624,418196904,415615020,412934176,407326048,391667440,391547792,389374728,393983788,388446652,395950528,400494336,401732172,401963072,405052340,406324816,404619672,414650468,416858476,421630244,430729204,431492316,435764492,437755044,443552712,452324484,455528716,459792724,469947300,478271012,486220304,493131896,501320112,499518376,505567804,515281556,520283132,527812108,530793632,538396312,545894812,556765274,563411454
 "12000" ,"Florida",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",189613120,194637764,198244876,201859676,204706620,209044516,212029196,214331512,226352796,224763324,230838564,233560428,239960808,240759288,242116320,242246628,245426768,248972596,251590516,255173072,256565776,260569476,266668672,273217144,274699248,281990256,287969428,294248044,303123792,307392508,316840064,318803796,327873636,329270256,329335140,336222272,339020456,340886400,341367544,341043784,339827124,337078856,334170964,329708508,313163100,313187732,311161124,314143288,310226552,315215148,319186264,321327648,323434052,323844284,328838344,325900144,336719060,338560732,343581168,352699012,352519888,356800864,358874288,363752840,372380036,375303864,379736244,388520496,397266284,404324388,411972692,418365632,418042648,421282412,430098852,436194368,442236288,446154364,450618780,458085720,468574840,474931213
 "12000" ,"Florida",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",954608,972328,989020,953948,1001840,966152,947656,947432,826364,865864,979832,1242180,1035316,1033952,956608,1005352,1014544,1004248,986604,988032,997532,979444,1021344,1148716,1211804,1291312,1234408,1156600,1144048,1172148,1237636,1170112,1208588,1248884,1320488,1338344,1224764,1262716,1303044,1320508,1292012,1252260,1184012,1206184,1269804,1353056,1274988,1325160,1216168,1300040,1304968,1261008,1220548,1275972,1253128,1320376,1369524,1270280,1383420,1355124,1339220,1376052,1399976,1442032,1421844,1463928,1526700,1456676,1493732,1536160,1558884,1734228,1536668,1545844,1666976,1644272,1662016,1673048,1623288,1583548,1562903,1682495
 "12000" ,"Florida",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",312768,326856,328580,335820,320032,305648,299960,313188,319268,319176,321468,322476,371848,338564,333952,327488,309072,302328,296164,298916,300192,307652,309096,312520,320288,326560,317916,312692,325432,329676,324528,316596,291824,308976,323576,303708,354360,314840,310676,346276,346584,322660,317808,275388,263468,261184,244208,239800,244048,263796,270480,271360,286908,279140,275904,273776,279396,302476,308688,391260,303096,314380,308996,301440,324828,327704,325752,319692,318344,329048,343232,345640,352436,343384,337588,353156,354880,365064,348064,361872,364453,381067
