GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "98000" ,"Far West",8,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",850465020,857964716,875876928,894896956,916837416,928637180,948146744,984684708,1027742820,1034438700,1068948320,1064576076,1085036456,1079695992,1069306840,1068849172,1076071164,1085117824,1090488568,1101629060,1106256520,1126099140,1145589288,1159386228,1176158192,1201432320,1222073932,1236490460,1249482060,1264907436,1286717296,1303681928,1342788340,1339598740,1354153988,1378843700,1407895012,1421674204,1430002120,1452475428,1451989104,1456633492,1459526044,1434673620,1391669688,1387437988,1376145108,1378831480,1383044344,1401096960,1409711184,1437247644,1464530600,1465828352,1479763340,1470128988,1521560408,1528553052,1538845664,1599475488,1576422240,1600904088,1613767876,1647867292,1675004844,1681446916,1712292228,1739876024,1781266588,1813519636,1828969680,1840874772,1865352816,1880113496,1902259492,1931581768,1961418600,1992574340,2020446652,2053564500,2081554695,2099597989
 "98000" ,"Far West",8,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",700781896,706858008,721796336,738115968,757404368,767207172,783618572,815053712,852702428,856487248,884884924,878953688,893583588,886492152,875029216,872436200,876254420,882386980,884543668,890464744,890746948,905807196,920236916,930372808,940179684,960696916,977411676,988587984,997381516,1010694624,1029937976,1045529720,1080673912,1079360532,1091721032,1113614276,1139501656,1149826340,1155449320,1173180164,1172515744,1175137320,1177576572,1157665544,1117981924,1116673228,1107090604,1110035084,1108803676,1124661120,1131473528,1152510660,1171626964,1171743096,1183987876,1176349968,1224595412,1232333252,1240753296,1293144228,1267385192,1284425180,1291602520,1320407380,1346733676,1352000688,1377858640,1401488736,1437338680,1463726768,1476683356,1488058168,1509157360,1522676484,1542130296,1567525760,1592924244,1618944596,1643540196,1671346372,1696064633,1711718724
 "98000" ,"Far West",8,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",149683124,151106708,154080592,156780988,159433048,161430008,164528172,169630996,175040392,177951452,184063396,185622388,191452868,193203840,194277624,196412972,199816744,202730844,205944900,211164316,215509572,220291944,225352372,229013420,235978508,240735404,244662256,247902476,252100544,254212812,256779320,258152208,262114428,260238208,262432956,265229424,268393356,271847864,274552800,279295264,279473360,281496172,281949472,277008076,273687764,270764760,269054504,268796396,274240668,276435840,278237656,284736984,292903636,294085256,295775464,293779020,296964996,296219800,298092368,306331260,309037048,316478908,322165356,327459912,328271168,329446228,334433588,338387288,343927908,349792868,352286324,352816604,356195456,357437012,360129196,364056008,368494356,373629744,376906456,382218128,385490062,387879265
 "98000" ,"Far West",8,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",96534220,97656208,99684512,101437292,103042448,104647084,106914712,110211052,113414860,116298792,120345264,121740312,126100760,127784540,129033752,130881708,133250136,135216388,137938468,142458772,145670728,148974432,152472036,154771480,159239576,162038676,164552768,167214044,170672268,172284136,173959564,174725980,177203824,176264960,178381472,180433864,183073392,186759804,189590260,193608908,194278268,196302552,196568696,192792296,191630444,188547976,187687708,187692992,192047444,193933552,195849568,201422732,205906352,207314728,208357820,207217640,207165824,206168432,207636384,212393684,216701500,222567748,227657100,231082916,230399232,231429180,234782712,237192932,240832984,245028804,246786584,246543312,249246064,249659472,251301884,253745056,256878136,260501800,262205696,265889280,267290724,268686534
 "98000" ,"Far West",8,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",53148904,53450500,54396080,55343696,56390600,56782924,57613460,59419944,61625532,61652660,63718132,63882076,65352108,65419300,65243872,65531264,66566608,67514456,68006432,68705544,69838844,71317512,72880336,74241940,76738932,78696728,80109488,80688432,81428276,81928676,82819756,83426228,84910604,83973248,84051484,84795560,85319964,85088060,84962540,85686356,85195092,85193620,85380776,84215780,82057320,82216784,81366796,81103404,82193224,82502288,82388088,83314252,86997284,86770528,87417644,86561380,89799172,90051368,90455984,93937576,92335548,93911160,94508256,96376996,97871936,98017048,99650876,101194356,103094924,104764064,105499740,106273292,106949392,107777540,108827312,110310952,111616220,113127944,114700760,116328848,118199338,119192731
 "98000" ,"Far West",8,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",6142544,6250052,6426340,6646796,7017072,7278320,7453560,7519140,7472416,7454396,7415268,7405696,7299536,7406192,7484836,7534084,7081436,7066952,7031628,6972460,7041532,7029724,7098120,7245688,7437820,7590000,7664564,7665640,8402556,8308696,8205844,8094404,7786124,7834540,8041964,8415192,7604412,7930828,8114844,8144244,8751316,8674956,8649684,8679392,9326092,9341600,9290284,9163988,9276776,9049744,8817860,8571416,7617728,7621112,7878544,8402720,8808028,9308396,9563852,9570816,10193992,10076456,10079756,10192348,9696312,9774632,9709552,9499304,9577992,9395484,9394652,9573756,9603832,9853680,10004368,10059320,11156260,11141356,11172048,11253768,11341670,11420049
 "98000" ,"Far West",8,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",844322476,851714664,869450588,888250160,909820344,921358860,940693184,977165568,1020270404,1026984304,1061533052,1057170380,1077736920,1072289800,1061822004,1061315088,1068989728,1078050872,1083456940,1094656600,1099214988,1119069416,1138491168,1152140540,1168720372,1193842320,1214409368,1228824820,1241079504,1256598740,1278511452,1295587524,1335002216,1331764200,1346112024,1370428508,1400290600,1413743376,1421887276,1444331184,1443237788,1447958536,1450876360,1425994228,1382343596,1378096388,1366854824,1369667492,1373767568,1392047216,1400893324,1428676228,1456912872,1458207240,1471884796,1461726268,1512752380,1519244656,1529281812,1589904672,1566228248,1590827632,1603688120,1637674944,1665308532,1671672284,1702582676,1730376720,1771688596,1804124152,1819575028,1831301016,1855748984,1870259816,1892255124,1921522448,1950262340,1981432984,2009274604,2042310732,2070213025,2088177940
 "98000" ,"Far West",8,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",679635252,685484836,700277952,716724032,735777168,744887780,761233124,794343192,832886976,834996244,866529424,861171540,874264600,864432368,849382152,844214492,849569000,854916016,856210060,863813668,865268736,882088048,899596660,909980716,922539988,945211928,963060872,975703160,981876008,997513504,1016753048,1032058696,1064826028,1060720780,1069509508,1090383712,1113897944,1123025084,1128136048,1143780780,1140900996,1142307112,1140420784,1113071560,1070510208,1065425836,1053050432,1058688604,1056260380,1073029160,1084827280,1109963808,1133402340,1134796648,1148181952,1140569744,1188141596,1197214604,1208919304,1265413124,1238358496,1259687028,1266935648,1297069568,1324062996,1326499884,1351425112,1374564000,1414656224,1440003124,1449886828,1462448696,1480180812,1493580144,1511196740,1537703724,1561274504,1588823676,1616070748,1644783364,1671350083,1686702431
 "98000" ,"Far West",8,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",4636540,4501824,4703876,4860364,4843892,4814416,4883860,5027784,4481044,4527908,5174276,6488444,(D),(D),(D),(D),5201780,5333500,5460720,5457216,5461896,5471828,5585616,5845224,6147964,6464188,6263780,6138908,6215620,6092400,6205668,6650880,7068936,6826724,7246108,7283168,7186508,7559712,7500552,7369836,7334828,7462288,7639344,7560620,7246104,7477388,7555084,7408956,7555512,7621592,7772052,7795644,8001956,7687848,8435180,8816576,8985448,9019916,9257268,9429148,9577100,9642240,9460812,9661380,9948316,10074348,10397324,10457276,11070892,10877420,11473504,10892804,11900400,11629276,11422292,11834268,11651788,11935404,12197552,12409908,12885610,12912401
 "98000" ,"Far West",8,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",4231140,3770764,3834292,3789416,3668680,3680088,3552028,3633812,3672744,3843776,3805400,3939412,(D),(D),(D),(D),4054240,3819468,3767856,3794944,3709760,3852944,3826096,4089364,4354320,4232416,4517696,4647272,4523160,4631520,4932444,4718652,5161444,5603720,5727084,5925428,6033828,6173288,6437604,6581332,6688248,6991496,7184016,7596248,6387624,6818956,6618248,6790644,6752244,6837032,7231728,8476232,7659736,7899160,8026784,7847452,8435992,8617960,9058760,8997332,9025244,9096184,9104760,8619516,9226384,9084752,9164984,9663584,9006492,9097776,9051988,8769152,8376936,7760188,7544892,7336980,6981280,7072460,7069132,7120116,7307175,7601323
 "98000" ,"Far West",8,SQINC6N,300,"22","   Utilities","Thousands of dollars",5396664,5418340,5352084,5483680,5531424,5510852,5443728,5848860,5884416,5246732,6173136,5956160,6018928,7004524,7096740,6976692,6658124,7250080,7149764,7085780,7369008,6928324,7382236,7671660,8031240,8148476,8410680,8302228,8040504,8026120,8488644,8791076,9039888,9293704,9339920,9477596,9141804,9479696,9531708,9907732,10009536,10045184,9852348,10074436,10556904,10236440,10266760,10473628,10190640,9945624,10069188,10936232,10919632,11391920,11292304,10851584,10419988,10950832,11285524,11286012,11887444,11612888,12054556,11643880,11613752,11726812,11668272,11944788,12501380,11777040,12566872,12656228,12480320,12611340,12944940,13168236,13118636,13298972,12838660,13014644,12542649,12701536
