GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "93000" ,"Great Lakes",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",837704224,850394800,859778716,878871412,887071156,897878200,903923060,927010204,950438388,951274692,961622368,958382324,977099920,972143744,971952584,973507116,973376068,988980572,991950220,996532296,998509444,1006380748,1012732860,1034728472,1030725480,1050151284,1068887572,1074715560,1077987644,1087100064,1096745136,1103044840,1122036972,1130878088,1136296524,1144161472,1169129868,1169475256,1170038132,1178271748,1186342616,1186927812,1185881212,1180483336,1123429612,1123337184,1119592788,1127467872,1111232212,1137965248,1154123328,1160771880,1177756648,1182338724,1199808780,1195228152,1224455300,1229146588,1231910680,1254622400,1256248464,1265199708,1266805864,1275255832,1299651052,1305428032,1314043660,1331708184,1346338336,1359881944,1374271112,1386446928,1386523716,1392911732,1404547980,1425843256,1440853504,1447990176,1467032888,1471056264,1495147810,1510573810
 "93000" ,"Great Lakes",3,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",687357500,697658580,705597512,721730772,728768908,737340412,741762676,760626096,780598264,779641340,787350104,783162884,796841612,790850368,788799264,788932960,787684256,800309496,802057160,803809296,803401632,809691592,814549316,832412304,826751464,842677664,858003588,861404532,862095664,868788788,876549676,881374368,897901924,904236196,908016420,915422400,937570008,937756532,937591708,944882812,951850352,951490092,950442632,945247372,893850088,894047852,890610584,897600896,882397592,906212052,920301572,926275664,939627276,943563064,958397220,953852124,980429036,984590444,986334116,1006287808,1005357468,1011159356,1011243332,1018900732,1042018064,1047274844,1055805008,1071572524,1085711392,1097491644,1110033300,1119203604,1118394768,1122282408,1131194756,1148513928,1160639876,1166012364,1181605620,1185170492,1205697713,1218949865
 "93000" ,"Great Lakes",3,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",150346724,152736220,154181204,157140640,158302248,160537788,162160384,166384108,169840124,171633352,174272264,175219440,180258308,181293376,183153320,184574156,185691812,188671076,189893060,192723000,195107812,196689156,198183544,202316168,203974016,207473620,210883984,213311028,215891980,218311276,220195460,221670472,224135048,226641892,228280104,228739072,231559860,231718724,232446424,233388936,234492264,235437720,235438580,235235964,229579524,229289332,228982204,229866976,228834620,231753196,233821756,234496216,238129372,238775660,241411560,241376028,244026264,244556144,245576564,248334592,250890996,254040352,255562532,256355100,257632988,258153188,258238652,260135660,260626944,262390300,264237812,267243324,268128948,270629324,273353224,277329328,280213628,281977812,285427268,285885772,289450097,291623945
 "93000" ,"Great Lakes",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",99089376,100806008,101729280,103522648,104316032,106032800,107500656,110678080,113107332,115233244,117449384,118631096,122491308,123971336,126091792,127604740,128798184,131030180,132209820,134906292,136507708,137467072,138493208,141224220,142277564,144545500,146707220,148831884,150833500,152785712,154015020,155062076,156592664,158725564,160300052,160401320,162197936,162624368,163406080,163747424,164450176,165274168,165071844,165010352,162657976,162164568,162234208,162957160,161988048,163716972,165353200,165984928,166755040,167315428,168853796,169166920,169385852,169588148,170736540,172257064,175394784,178259660,179997752,180496636,180776032,181306744,180978124,181963860,182101780,183066272,184031100,186290532,187696184,189790692,191869096,194677724,196816260,198225408,200640764,200803488,202922945,204208927
 "93000" ,"Great Lakes",3,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",51257348,51930212,52451924,53617992,53986216,54504988,54659728,55706028,56732792,56400108,56822880,56588344,57767000,57322040,57061528,56969416,56893628,57640896,57683240,57816708,58600104,59222084,59690336,61091948,61696452,62928120,64176764,64479144,65058480,65525564,66180440,66608396,67542384,67916328,67980052,68337752,69361924,69094356,69040344,69641512,70042088,70163552,70366736,70225612,66921548,67124764,66747996,66909816,66846572,68036224,68468556,68511288,71374332,71460232,72557764,72209108,74640412,74967996,74840024,76077528,75496212,75780692,75564780,75858464,76856956,76846444,77260528,78171800,78525164,79324028,80206712,80952792,80432764,80838632,81484128,82651604,83397368,83752404,84786504,85082284,86527152,87415018
 "93000" ,"Great Lakes",3,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",2157028,2234868,2265736,2254904,2163756,2104088,2081948,2097760,2171808,2247276,2307072,2347128,2289520,2323176,2339344,2337300,2349616,2326368,2304028,2281284,2353396,2352636,2378360,2430624,2624544,2684492,2720576,2734056,2459836,2446128,2428292,2406268,2294360,2308848,2360860,2450976,3072980,3185720,3259436,3291204,3010676,3007632,3007712,3012720,2970644,2971032,2965696,2951476,2691748,2646024,2581396,2496948,2821428,2797312,2872408,3049868,3223456,3403788,3502404,3518620,3314552,3286036,3288160,3317244,3547632,3566440,3541860,3473276,3531424,3467220,3457968,3502576,3807952,3885020,3937068,3966272,3401880,3415572,3437300,3468624,3495853,3520132
 "93000" ,"Great Lakes",3,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",835547196,848159932,857512980,876616508,884907400,895774112,901841112,924912444,948266580,949027416,959315296,956035196,974810400,969820568,969613240,971169816,971026452,986654204,989646192,994251012,996156048,1004028112,1010354500,1032297848,1028100936,1047466792,1066166996,1071981504,1075527808,1084653936,1094316844,1100638572,1119742612,1128569240,1133935664,1141710496,1166056888,1166289536,1166778696,1174980544,1183331940,1183920180,1182873500,1177470616,1120458968,1120366152,1116627092,1124516396,1108540464,1135319224,1151541932,1158274932,1174935220,1179541412,1196936372,1192178284,1221231844,1225742800,1228408276,1251103780,1252933912,1261913672,1263517704,1271938588,1296103420,1301861592,1310501800,1328234908,1342806912,1356414724,1370813144,1382944352,1382715764,1389026712,1400610912,1421876984,1437451624,1444574604,1463595588,1467587640,1491651957,1507053678
 "93000" ,"Great Lakes",3,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",710444768,721284716,729667736,747298920,753023012,761857156,767139796,787046644,808337812,807447152,815556404,811256356,827248316,819533120,815318764,814845908,812966616,827074948,828944620,831256964,831054092,836898684,841881948,862584644,855577872,872910212,890949248,893647668,896493564,903224948,912738016,918846216,936945008,944104800,946645988,954173580,975525676,976099884,974652256,981951152,987620740,986668660,984271200,977186740,920628064,917791828,912345160,917744028,900012100,924066220,940497976,946520036,965945168,969980128,986235308,984404580,1011112292,1017807940,1018927208,1040966696,1041475488,1048802256,1050438772,1058139368,1082797960,1086632124,1095703804,1109163372,1123633784,1135210992,1151212064,1161791896,1162465404,1167607692,1177591400,1197894092,1211679536,1218149620,1234082936,1238713572,1262605653,1277182056
 "93000" ,"Great Lakes",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",540600,538688,533800,573680,545372,545440,538560,564396,502680,511032,563384,729280,588720,582156,605144,576760,577036,582352,579944,579448,574880,583264,599568,624596,700364,703608,686204,701980,662544,669200,680736,687880,729728,744076,730696,757248,733140,764656,774484,784972,747056,772852,811740,817240,847136,845608,875700,855120,828808,844636,844164,851172,835348,847876,887820,937876,965384,1001300,971636,954720,962068,960352,998344,1031216,1169132,1147320,1191048,1183776,1164384,1203524,1275784,1256436,1309920,1282272,1288184,1323948,1331044,1340112,1353320,1348612,1376923,1414517
 "93000" ,"Great Lakes",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2206328,2152428,2221852,2200940,2208000,2260796,2185372,2180832,2162996,2112180,2181552,2206312,2331540,2307952,2365332,2340560,2167752,2164304,2118372,2164672,2117576,2164040,2178972,2281044,2303212,2299060,2372004,2315048,2364640,2382720,2427788,2471856,2581632,2654632,2716896,2629432,2669452,2727548,2691348,2668648,2696032,2756604,2766680,2853168,2638008,2658680,2558544,2605412,2524868,2742864,3022032,2779408,2867640,2971768,2962312,2968168,3205824,3345540,3186980,3297920,3120520,3111980,3190932,3297788,3449868,3561900,3638632,3747648,3562096,3478136,3312044,3248692,3029136,2932988,2938792,2924604,2975552,3069196,3159024,3162804,3263625,3412767
