GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "15000" ,"Hawaii",8,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",21674416,21615056,21722492,21866520,21930536,22098208,22763220,22807032,23115508,23638772,23726228,24108728,24414860,24418600,24916100,24787012,25484976,25937088,26366712,26859136,27288960,27780216,28103000,28570280,28974636,29534524,30388388,31001176,31294912,31830112,32150200,32792172,33248484,33555344,34122220,34535648,35131864,35427084,36020860,36448512,36921708,36934964,36730500,36679520,36019652,36265756,35874836,35934120,36011404,36306548,36878100,37051628,37939520,37879268,38301148,38544928,38984160,39457604,39586896,40131484,40512600,40688832,40806036,41277724,41955712,42264068,42637540,43189908,43942264,44406868,44703748,45177756,45567656,45744140,45984412,46477856,47271352,47279092,47743296,47820196,48155535,48617887
 "15000" ,"Hawaii",8,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",17580240,17529348,17623988,17750568,17817392,17951288,18459076,18513988,18786964,19173688,19226908,19504560,19727744,19694288,20030616,19871720,20400996,20739588,21022696,21306916,21524496,21866016,22110932,22521000,22825116,23325240,24029052,24480168,24596228,25001612,25300644,25844628,26336472,26617592,27083980,27444260,27960964,28151316,28569236,28895452,29279376,29262116,29121972,29119812,28494424,28738524,28408836,28424364,28253704,28467804,28824880,28851296,29342576,29224556,29551952,29685944,30200324,30595980,30698240,31174716,31377660,31434460,31450344,31794136,32377752,32603788,32895840,33385884,34014388,34427676,34695832,35130924,35459772,35641168,35875808,36259560,36890056,36866992,37261088,37320368,37637750,38029450
 "15000" ,"Hawaii",8,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",4094176,4085708,4098504,4115952,4113144,4146920,4304144,4293044,4328544,4465084,4499320,4604168,4687116,4724312,4885484,4915292,5083980,5197500,5344016,5552220,5764464,5914200,5992068,6049280,6149520,6209284,6359336,6521008,6698684,6828500,6849556,6947544,6912012,6937752,7038240,7091388,7170900,7275768,7451624,7553060,7642332,7672848,7608528,7559708,7525228,7527232,7466000,7509756,7757700,7838744,8053220,8200332,8596944,8654712,8749196,8858984,8783836,8861624,8888656,8956768,9134940,9254372,9355692,9483588,9577960,9660280,9741700,9804024,9927876,9979192,10007916,10046832,10107884,10102972,10108604,10218296,10381296,10412100,10482208,10499828,10517785,10588437
 "15000" ,"Hawaii",8,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2765024,2763712,2771948,2784084,2781860,2808388,2935792,2917908,2933596,3040552,3062476,3138792,3195628,3228808,3362364,3400760,3525716,3604068,3715864,3883880,4036424,4147568,4212356,4263440,4356964,4414360,4533788,4671628,4815168,4903808,4888520,4932808,4854444,4851308,4914828,4949400,5016896,5128300,5284432,5371200,5448036,5488952,5438668,5395776,5402432,5369176,5308596,5306608,5461640,5489228,5650196,5772724,6046356,6106364,6170348,6285468,6172360,6216832,6221400,6214348,6332912,6418276,6533252,6679992,6821992,6950664,7045568,7084124,7161136,7176816,7193008,7210716,7301636,7302384,7297668,7382464,7487100,7509640,7542504,7553284,7545645,7589346
 "15000" ,"Hawaii",8,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1329152,1321996,1326556,1331868,1331284,1338532,1368352,1375136,1394948,1424532,1436844,1465376,1491488,1495504,1523120,1514532,1558264,1593432,1628152,1668340,1728040,1766632,1779712,1785840,1792556,1794924,1825548,1849380,1883516,1924692,1961036,2014736,2057568,2086444,2123412,2141988,2154004,2147468,2167192,2181860,2194296,2183896,2169860,2163932,2122796,2158056,2157404,2203148,2296060,2349516,2403024,2427608,2550588,2548348,2578848,2573516,2611476,2644792,2667256,2742420,2802028,2836096,2822440,2803596,2755968,2709616,2696132,2719900,2766740,2802376,2814908,2836116,2806248,2800588,2810936,2835832,2894196,2902460,2939704,2946544,2972140,2999091
 "15000" ,"Hawaii",8,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",172076,176560,181696,186632,195936,200216,202944,203732,200280,199868,199532,200104,194148,197152,199080,199880,202972,201860,200292,198180,196584,196208,198316,202924,201648,206460,209112,209712,199532,197780,195684,193324,184876,186172,191152,199936,185956,193632,197572,197480,212308,209324,207460,206864,207072,207108,206780,205888,205088,202212,198216,192956,186932,186312,191560,202856,269088,282824,290120,291068,285580,283356,283856,286784,292672,294544,292584,286688,276416,271204,270504,274180,281948,287964,292024,294256,291112,292244,294080,296744,299072,301148
 "15000" ,"Hawaii",8,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",21502340,21438496,21540796,21679888,21734600,21897992,22560276,22603300,22915228,23438904,23526696,23908624,24220712,24221448,24717020,24587132,25282004,25735228,26166420,26660956,27092376,27584008,27904684,28367356,28772988,29328064,30179276,30791464,31095380,31632332,31954516,32598848,33063608,33369172,33931068,34335712,34945908,35233452,35823288,36251032,36709400,36725640,36523040,36472656,35812580,36058648,35668056,35728232,35806316,36104336,36679884,36858672,37752588,37692956,38109588,38342072,38715072,39174780,39296776,39840416,40227020,40405476,40522180,40990940,41663040,41969524,42344956,42903220,43665848,44135664,44433244,44903576,45285708,45456176,45692388,46183600,46980240,46986848,47449216,47523452,47856463,48316739
 "15000" ,"Hawaii",8,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",14669108,14635608,14790268,14849576,14839880,14961344,15008664,15408212,15680744,16078096,16171376,16407128,16736084,16767752,16848572,16420160,17042480,17291896,17552632,17874292,18094076,18367916,18641712,19056860,19161456,19573396,20228544,20764964,20657328,21178392,21566156,21870148,22242524,22321236,22608652,22901996,23447396,23604284,23925076,24142580,24482288,24324112,23969012,23794056,22931040,23029888,22771664,22913652,22568236,22926096,23430436,23633456,23971168,23944348,24458032,24379096,24840284,25106152,25238380,25850500,26306084,26466520,26565272,26793360,27151064,27314660,27491248,27999776,28540736,28997164,29246860,29895212,29945600,30243476,30571192,30852188,31581600,31563264,32044340,32093740,32484769,32874810
 "15000" ,"Hawaii",8,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",39704,38568,38340,43820,40712,44088,44048,40436,40704,37512,45780,53760,41404,36628,37304,37556,39360,42440,40776,38660,39572,38708,41120,42240,42632,40120,38900,39788,35876,37800,39300,39456,41264,41664,37712,45816,43076,37032,30904,29972,40152,35376,35204,32588,32816,39072,42288,41228,37848,40080,37872,37968,42064,41100,45248,47184,52604,46156,46224,47748,51152,45884,48908,52408,50216,52932,54092,54292,56244,58508,60912,58380,62724,61560,63136,59360,63488,61052,59948,60376,60052,63023
 "15000" ,"Hawaii",8,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",16728,16120,15544,15168,15156,15676,15320,15712,15720,16788,17468,17896,18056,17812,17016,17000,16484,16824,17144,16732,19984,21164,22124,22588,20148,25992,28964,31032,28484,29184,30072,30192,30936,27984,29328,28976,30376,30296,29832,28992,33556,33452,31568,32204,28688,30696,32236,35200,31144,30716,29968,29256,30248,30908,33160,30812,29640,30412,29900,31656,27756,26904,27480,28844,29188,28900,29316,26856,34884,32132,31980,33096,31744,26436,25596,24556,25692,26392,26684,24736,23986,24568
