GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "18000" ,"Indiana",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",103105904,104940828,106213396,108152156,109266584,110449076,111414372,114835708,117224876,117477128,118561520,116409112,119448400,118663264,118273616,118005244,118597788,120391448,121522984,122747860,122195248,123286400,124350224,128300548,127103020,130538892,132353180,132919104,132646660,134857216,136360800,137044848,139812080,140632268,141112348,142170932,144478508,145308912,145368664,146679108,148399036,147733272,147331820,146728160,138195372,137728936,137482632,139976016,138521376,142530924,143696292,144708116,145720660,147021280,149506084,148988908,153560248,154507296,154961632,156530384,157270028,157230812,158248376,158684088,162568172,164209312,166036132,167882412,168108704,170343004,171165552,173025660,173623920,175727004,178362612,181543664,184277500,184234396,186172168,187522132,190736852,192737673
 "18000" ,"Indiana",3,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",85019604,86491632,87529880,89135404,90017884,90830736,91437868,94064836,95893340,95813372,96612804,94783572,97245848,96592064,96195412,95951420,96315712,97761100,98582076,99306200,98600952,99449296,100342016,103630068,102535960,105477920,106999668,107276312,106775556,108348516,109524412,110003824,112360136,112890496,113178028,114090292,116125888,116665780,116503024,117484052,118745596,118160736,118060276,117909144,111001364,111019724,110895724,112895992,111129636,114446032,115457804,116400724,117460084,118568868,120630240,119888528,123547084,124156684,124541572,126321820,127269288,127303124,127834468,127724344,130283768,131196952,132754320,134856704,136185088,138594404,139399692,140591532,140253264,141342936,143170768,145726476,148159052,148235192,149971804,151110824,153854199,155556591
 "18000" ,"Indiana",3,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",18086300,18449196,18683516,19016752,19248700,19618340,19976504,20770872,21331536,21663756,21948716,21625540,22202552,22071200,22078204,22053824,22282076,22630348,22940908,23441660,23594296,23837104,24008208,24670480,24567060,25060972,25353512,25642792,25871104,26508700,26836388,27041024,27451944,27741772,27934320,28080640,28352620,28643132,28865640,29195056,29653440,29572536,29271544,28819016,27194008,26709212,26586908,27080024,27391740,28084892,28238488,28307392,28260576,28452412,28875844,29100380,30013164,30350612,30420060,30208564,30000740,29927688,30413908,30959744,32284404,33012360,33281812,33025708,31923616,31748600,31765860,32434128,33370656,34384068,35191844,35817188,36118448,35999204,36200364,36411308,36882653,37181082
 "18000" ,"Indiana",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11901124,12169408,12338372,12557668,12753972,13059224,13372992,13990248,14422544,14772128,14996360,14794948,15203820,15119560,15154060,15139732,15316352,15559444,15807960,16246276,16340140,16508116,16629868,17091008,16990924,17306964,17491688,17743060,17908472,18401968,18613640,18758120,19036056,19291748,19467968,19551740,19725128,19999936,20229096,20475568,20853768,20796020,20468716,20000828,18824776,18314896,18223056,18615896,18922900,19450648,19607864,19667880,19308524,19451692,19733684,20036664,20648292,20943848,20992048,20637176,20364100,20241444,20671588,21208792,22390872,23061472,23211180,22799928,21669568,21313920,21287224,21874108,22928068,23882460,24586812,25070816,25247736,25163992,25268456,25413000,25695188,25880485
 "18000" ,"Indiana",3,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",6185176,6279788,6345144,6459084,6494728,6559116,6603512,6780624,6908992,6891628,6952356,6830592,6998732,6951640,6924144,6914092,6965724,7070904,7132948,7195384,7254156,7328988,7378340,7579472,7576136,7754008,7861824,7899732,7962632,8106732,8222748,8282904,8415888,8450024,8466352,8528900,8627492,8643196,8636544,8719488,8799672,8776516,8802828,8818188,8369232,8394316,8363852,8464128,8468840,8634244,8630624,8639512,8952052,9000720,9142160,9063716,9364872,9406764,9428012,9571388,9636640,9686244,9742320,9750952,9893532,9950888,10070632,10225780,10254048,10434680,10478636,10560020,10442588,10501608,10605032,10746372,10870712,10835212,10931908,10998308,11187465,11300597
 "18000" ,"Indiana",3,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",265860,276648,281352,280116,271012,264604,259772,257784,255952,258156,262748,269372,282460,286228,288768,290020,272176,270800,268428,264944,300372,299420,302844,310732,332344,341268,345988,346520,325096,321412,317588,313576,291624,293632,301348,315004,347716,361908,369348,369644,332304,328656,327284,328292,365204,367292,367968,366952,401840,394780,384192,370108,353368,349976,360320,384876,407508,432580,444500,442964,445732,438884,439740,447936,481192,488888,487340,476468,397956,388564,386900,392792,393752,403456,409680,412576,423304,424188,426360,429976,433391,436424
 "18000" ,"Indiana",3,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",102840044,104664180,105932044,107872040,108995572,110184472,111154600,114577924,116968924,117218972,118298772,116139740,119165940,118377036,117984848,117715224,118325612,120120648,121254556,122482916,121894876,122986980,124047380,127989816,126770676,130197624,132007192,132572584,132321564,134535804,136043212,136731272,139520456,140338636,140811000,141855928,144130792,144947004,144999316,146309464,148066732,147404616,147004536,146399868,137830168,137361644,137114664,139609064,138119536,142136144,143312100,144338008,145367292,146671304,149145764,148604032,153152740,154074716,154517132,156087420,156824296,156791928,157808636,158236152,162086980,163720424,165548792,167405944,167710748,169954440,170778652,172632868,173230168,175323548,177952932,181131088,183854196,183810208,185745808,187092156,190303461,192301249
 "18000" ,"Indiana",3,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",88823240,90301588,91357912,93352564,94115448,94889840,95936576,98684304,100660464,100806420,101682260,100073840,102281976,101623920,100984196,100615936,101054880,102579532,103507232,104429036,103775884,104458260,105204800,108904344,107353324,110654372,112414240,112424472,112324032,113651600,115435144,116313384,118996448,119652108,119850848,120706112,122760864,123379464,123111948,124284624,125576084,124884584,124190844,123464724,114818640,114158112,113787156,116138784,114792488,118498892,120226856,120555624,122470404,122719620,125025676,125012192,129443100,130669008,131024704,132774512,133586772,133710924,134578684,134759072,138519936,139745656,141375028,142926552,143516244,145495084,145988320,148047044,148503020,150345144,152821988,156005480,158458856,158363532,160160888,161123604,164669559,166561472
 "18000" ,"Indiana",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",69268,66464,64676,70948,70052,72788,71240,68860,63388,62680,73060,98968,63112,61424,87136,66348,65556,64280,64252,66300,67756,66840,69008,74192,82044,89352,77556,87888,78492,79960,80556,88224,98780,99764,91512,97052,96084,101128,99180,103552,79908,83624,91308,90408,92736,91996,93292,86476,91628,90808,95424,95344,90348,91844,93156,97488,102816,106080,103860,108016,103164,107252,112184,104324,161660,140924,164356,153056,149980,151480,155256,161700,185224,165292,171736,172280,168468,171068,172916,181864,185362,185591
 "18000" ,"Indiana",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",384912,371468,386116,383136,373556,370584,379036,378736,386560,384116,381180,395364,365972,386000,392636,396620,385676,376884,373736,384412,380252,387040,388888,416808,395436,419028,427212,410456,410572,408136,405196,401752,438108,460920,455564,462316,465596,462564,483980,475444,455120,471684,473400,485084,432932,453492,439380,462088,456836,471248,482684,486880,494492,505088,523300,511892,564856,541796,533048,509664,575908,549420,540496,553176,576804,590352,592428,587520,549132,553656,557700,554364,521836,509496,503776,497112,511036,518696,522516,544860,530639,557084
