GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "22000" ,"Louisiana",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",63079384,64161820,64534236,64721740,64959020,65266328,65486820,66713984,67960824,68331084,68355220,68657808,70806472,71714840,72805152,73201856,73615940,74389580,75006972,75846504,75855172,77204588,78295704,79451328,79995956,80841860,81921140,82809628,84170204,84805848,84313356,84709196,86838536,88898544,90521332,92910268,94382752,95506712,97083504,98847908,100552604,101973332,103024856,104742124,102057648,101568360,101754104,101540852,102310120,103991928,106154340,105213756,106132608,106026872,106522224,106130204,108683872,110039964,108837176,111590684,112261976,112918912,113141436,113580032,115992572,117512080,118974344,120330288,121130304,120633356,121056956,120147448,119332020,118920064,118597676,119329688,121187472,121195484,121803472,121630196,123795441,125556890
 "22000" ,"Louisiana",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",52303320,53175800,53416920,53524176,53636248,53814192,53889348,54883472,55963908,56115824,56106928,56217412,57856280,58454980,59214492,59470184,59756580,60396676,60839600,61357436,61219604,62271472,63143480,64067164,64305348,65028312,65959072,66629248,67629964,68150396,67769876,68173468,70088112,71768260,73079444,75150316,76576904,77532372,78829316,80376988,81910484,83151164,84010608,85501376,82796428,82333208,82229488,81762728,81771048,83121404,84952900,84503424,85663356,85957408,86591544,86065660,88263308,89167472,88070252,90502584,90982980,91425284,91473900,91763560,93795120,94925736,96017472,97019636,97593664,97091304,97401452,96615160,95899036,95525792,95229664,95832288,97238624,97202876,97641472,97481856,99359104,100859183
 "22000" ,"Louisiana",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",10776064,10986020,11117316,11197564,11322772,11452136,11597472,11830512,11996916,12215260,12248292,12440396,12950192,13259860,13590660,13731672,13859360,13992904,14167372,14489068,14635568,14933116,15152224,15384164,15690608,15813548,15962068,16180380,16540240,16655452,16543480,16535728,16750424,17130284,17441888,17759952,17805848,17974340,18254188,18470920,18642120,18822168,19014248,19240748,19261220,19235152,19524616,19778124,20539072,20870524,21201440,20710332,20469252,20069464,19930680,20064544,20420564,20872492,20766924,21088100,21278996,21493628,21667536,21816472,22197452,22586344,22956872,23310652,23536640,23542052,23655504,23532288,23432984,23394272,23368012,23497400,23948848,23992608,24162000,24148340,24436337,24697707
 "22000" ,"Louisiana",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",7219448,7366432,7492164,7569732,7693796,7812488,7966584,8134720,8222672,8450300,8456264,8651492,9040932,9311460,9593840,9715824,9805888,9899848,10060700,10367296,10499988,10742624,10919356,11128716,11389068,11510424,11623640,11846200,12162284,12276716,12228052,12177480,12276840,12557396,12801352,12993000,12979084,13099028,13301432,13426364,13541076,13641184,13790536,13893592,14062704,14043536,14347028,14649228,15301332,15572652,15819128,15369216,14895680,14482572,14312156,14504888,14702600,15111616,15076388,15226244,15384364,15543636,15704256,15839912,16138312,16470728,16772200,17048804,17243212,17250700,17324108,17257072,17253936,17236728,17230792,17304548,17680064,17704288,17860824,17850912,18010947,18180690
 "22000" ,"Louisiana",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",3556616,3619588,3625152,3627832,3628976,3639648,3630888,3695792,3774244,3764960,3792028,3788904,3909260,3948400,3996820,4015848,4053472,4093056,4106672,4121772,4135580,4190492,4232868,4255448,4301540,4303124,4338428,4334180,4377956,4378736,4315428,4358248,4473584,4572888,4640536,4766952,4826764,4875312,4952756,5044556,5101044,5180984,5223712,5347156,5198516,5191616,5177588,5128896,5237740,5297872,5382312,5341116,5573572,5586892,5618524,5559656,5717964,5760876,5690536,5861856,5894632,5949992,5963280,5976560,6059140,6115616,6184672,6261848,6293428,6291352,6331396,6275216,6179048,6157544,6137220,6192852,6268784,6288320,6301176,6297428,6425390,6517017
 "22000" ,"Louisiana",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",184348,187804,190612,192928,196916,199252,200000,199440,196832,195740,196956,200952,211996,214820,216540,217112,214380,213112,211492,209400,153824,153424,154664,157524,196592,200532,202916,203848,177508,176404,174764,172584,175960,177136,182076,190956,198684,208424,214940,217840,197856,197436,197004,196756,197140,195936,194020,191060,203132,198404,193560,188296,164196,163840,168308,177776,235628,247160,253900,255924,198028,197900,199460,202488,160232,161648,160728,157416,238492,233300,231700,233552,183812,186948,189304,191016,186640,187960,189504,191412,192878,194200
 "22000" ,"Louisiana",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",62895036,63974016,64343624,64528812,64762104,65067076,65286820,66514544,67763992,68135344,68158264,68456856,70594476,71500020,72588612,72984744,73401560,74176468,74795480,75637104,75701348,77051164,78141040,79293804,79799364,80641328,81718224,82605780,83992696,84629444,84138592,84536612,86662576,88721408,90339256,92719312,94184068,95298288,96868564,98630068,100354748,101775896,102827852,104545368,101860508,101372424,101560084,101349792,102106988,103793524,105960780,105025460,105968412,105863032,106353916,105952428,108448244,109792804,108583276,111334760,112063948,112721012,112941976,113377544,115832340,117350432,118813616,120172872,120891812,120400056,120825256,119913896,119148208,118733116,118408372,119138672,121000832,121007524,121613968,121438784,123602563,125362690
 "22000" ,"Louisiana",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",49987912,51118460,51103420,51295080,51323932,51634232,51452776,52595272,53757176,53412704,54042796,53947524,55945296,56543172,57163336,57157728,57373660,57874252,58154820,58678684,58419612,59381364,60396320,61225904,61311860,61828004,62879932,63365732,64379460,64917520,64445372,65504244,67790856,69522376,70706216,72732468,73976788,74937752,75937904,77210944,78402020,79699976,80008916,81986220,78932032,78448024,78453032,78053144,78532516,80008184,81822056,81168472,81865836,81847444,82428152,81939084,85007040,86146312,85363672,88086940,88764904,89426880,89930620,90420168,93031264,94697652,96045140,97136520,97609056,97065464,97492792,96527600,95522684,95136932,94804868,95779452,97027448,97422720,97578424,97441996,99750251,101427421
 "22000" ,"Louisiana",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",243480,258144,247620,219728,239092,220984,218264,222572,204772,186532,215496,269004,215648,219004,218432,230760,228232,231444,230992,224376,226016,231504,241740,265292,261116,258792,271164,251516,261052,263452,260372,256352,274604,270952,273484,288968,279200,283340,290164,303544,302556,305200,279584,287024,282948,282024,285732,282016,299208,303348,311924,295776,295592,289784,293952,281868,308076,314096,316976,315664,309916,321680,313988,313268,337260,327812,332224,356344,329608,328700,361356,330124,365836,360068,359180,374716,360764,353216,356060,370732,363298,376614
 "22000" ,"Louisiana",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",3146864,3010008,2893572,2755464,2648684,2543908,2556008,2524920,2567484,2625796,2688196,2800500,3244136,3235596,3221892,3132344,3027388,2873248,2887980,2875860,2877004,3039360,3026152,3050208,2931360,3000952,2945088,3053724,3034596,3076576,3227488,3280504,3596968,3762784,3853412,4113560,3959104,4147932,4145900,4223100,4546516,4785380,5073156,4969984,4634020,4483284,4377804,4295008,4380168,4650716,4678912,4817052,4694144,4701980,5011908,5002288,5484112,5363660,5033680,5306956,5242588,5435816,5350288,5423560,5451156,5692904,5747604,5508736,5432196,4976672,4852736,4707220,4286784,4023232,3847756,3689924,3607188,3589544,3724808,3594984,3869083,4054820
 "22000" ,"Louisiana",5,SQINC6N,300,"22","   Utilities","Thousands of dollars",510812,519396,537320,559752,557280,560160,563440,556244,600256,571840,581664,628220,669852,738988,770440,790380,742348,799816,804128,810332,740344,782124,784568,829444,932360,846076,774752,806228,806580,806748,889160,884584,769828,871504,852892,842660,826360,837472,869436,853456,929416,910916,983232,919644,960548,922236,943800,1002628,926732,978700,984788,1022864,1021760,988968,980576,953308,912500,943524,965228,978444,973324,984180,1040456,1003336,1044420,1038508,990616,1031828,1034100,1036988,998584,1048412,986712,1053428,1085460,1061528,1047868,1044072,1089504,1064256,1135151,1159386
 "22000" ,"Louisiana",5,SQINC6N,400,"23","   Construction","Thousands of dollars",4680884,4986080,4914776,4997252,5027176,4963904,4838768,5105612,5214312,5171744,5116080,4904700,4977168,5045176,5122200,5019472,4976240,4994892,4945144,4901008,4821460,4969412,5099876,5121736,5075696,4921664,5152156,5117808,5218620,5392604,5290984,5786668,6507800,6854748,6714608,7022640,7318916,7394660,7728728,7811092,7717236,8190260,8110156,8824900,8492384,8256532,8288372,7956644,7605540,7461468,7854212,7590380,7729856,7888696,7631508,7219388,7873516,8085932,7807100,8375252,8286204,8539972,8544080,8700872,9067868,9558992,9933160,9915624,10012592,9861300,10057820,10285392,10113668,10153108,10243488,10564260,11128224,11183220,11250068,10835440,11433584,11774020
