GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "23000" ,"Maine",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",18177624,18677984,19074548,19416492,19391504,19879676,20787268,20469556,21195692,21404380,21593156,21683028,22443968,22576564,22639664,22752768,23143900,23409944,23686404,23719064,23968444,24149508,24506776,25267940,25262800,25642156,26058388,26265816,26021992,26200184,26322948,26712356,27422920,27773448,27893928,27991132,28666144,28844704,28897564,29079300,29701256,29644368,29738288,29665156,28471096,28910852,29062924,29236488,28853044,29316332,29653800,29252300,29734588,29508992,29714408,29738696,30174984,30506712,30292568,30462288,31025880,31067168,31036924,31309800,31696636,31910376,32110312,32992688,32517220,33377388,33690616,34281524,34019420,34477516,34520160,34973712,35476228,35572560,36186964,36195060,36714110,37146624
 "23000" ,"Maine",1,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",14776768,15173716,15492740,15781596,15760092,16145472,16873824,16575712,17162288,17290976,17442536,17502904,18121508,18227488,18252688,18337284,18616472,18841016,19063172,19064216,19255276,19415252,19707440,20325728,20248768,20556260,20906184,21043812,20805588,20921976,21010836,21278208,21827036,22063112,22121816,22236276,22836016,22990828,23036720,23223668,23764552,23720464,23818856,23753708,22686564,23050776,23167160,23319908,22925596,23347228,23665160,23392376,23813856,23671956,23855612,23828332,24198988,24437888,24242804,24420576,24852420,24870640,24823372,25037576,25408124,25560144,25717992,26432848,26046152,26726468,26974564,27465244,27256768,27617096,27657516,28033676,28431908,28500260,29010300,29013708,29463562,29828343
 "23000" ,"Maine",1,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",3400856,3504268,3581808,3634896,3631412,3734204,3913444,3893844,4033404,4113404,4150620,4180124,4322460,4349076,4386976,4415484,4527428,4568928,4623232,4654848,4713168,4734256,4799336,4942212,5014032,5085896,5152204,5222004,5216404,5278208,5312112,5434148,5595884,5710336,5772112,5754856,5830128,5853876,5860844,5855632,5936704,5923904,5919432,5911448,5784532,5860076,5895764,5916580,5927448,5969104,5988640,5859924,5920732,5837036,5858796,5910364,5975996,6068824,6049764,6041712,6173460,6196528,6213552,6272224,6288512,6350232,6392320,6559840,6471068,6650920,6716052,6816280,6762652,6860420,6862644,6940036,7044320,7072300,7176664,7181352,7250548,7318281
 "23000" ,"Maine",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2173228,2246616,2303220,2338168,2344524,2420972,2545196,2557256,2648724,2722504,2749492,2775340,2876024,2906008,2963168,3005460,3121180,3168052,3224440,3270544,3306696,3322464,3374780,3486464,3550924,3613820,3659108,3724212,3720384,3772196,3794052,3890080,4013156,4105212,4163168,4135600,4176000,4191876,4194960,4174568,4223584,4214916,4201988,4202640,4148260,4194252,4217240,4218452,4203728,4214792,4218696,4121428,4114792,4052308,4063804,4116628,4141900,4209796,4204140,4177132,4276768,4291452,4314648,4372484,4388196,4455400,4484792,4590220,4516692,4633084,4675432,4746036,4740272,4827540,4837712,4890464,4970144,4989292,5058016,5061064,5099297,5140516
 "23000" ,"Maine",1,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1227628,1257652,1278588,1296728,1286888,1313232,1368248,1336588,1384680,1390900,1401128,1404784,1446436,1443068,1423808,1410024,1406248,1400876,1398792,1384304,1406472,1411792,1424556,1455748,1463108,1472076,1493096,1497792,1496020,1506012,1518060,1544068,1582728,1605124,1608944,1619256,1654128,1662000,1665884,1681064,1713120,1708988,1717444,1708808,1636272,1665824,1678524,1698128,1723720,1754312,1769944,1738496,1805940,1784728,1794992,1793736,1834096,1859028,1845624,1864580,1896692,1905076,1898904,1899740,1900316,1894832,1907528,1969620,1954376,2017836,2040620,2070244,2022380,2032880,2024932,2049572,2074176,2083008,2118648,2120288,2151251,2177765
 "23000" ,"Maine",1,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",80008,80340,79800,78824,74056,72616,72892,74484,80500,83868,86836,89108,87436,88856,89552,89436,111176,109916,108692,107424,96796,96648,97620,99700,92632,94860,96364,97180,77816,77460,76700,75528,83468,83528,85292,88812,96136,100356,103272,104768,96860,96872,96800,96728,92820,92464,92024,91348,91228,89556,87284,84388,73964,73336,75240,79796,125452,132272,135856,136192,136060,134632,134492,135444,143136,144264,144204,142872,121520,120220,120028,120912,132288,133976,135480,136928,125160,126456,127756,129180,130184,131083
 "23000" ,"Maine",1,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",18097616,18597644,18994748,19337668,19317448,19807060,20714376,20395072,21115192,21320512,21506320,21593920,22356532,22487708,22550112,22663332,23032724,23300028,23577712,23611640,23871648,24052860,24409156,25168240,25170168,25547296,25962024,26168636,25944176,26122724,26246248,26636828,27339452,27689920,27808636,27902320,28570008,28744348,28794292,28974532,29604396,29547496,29641488,29568428,28378276,28818388,28970900,29145140,28761816,29226776,29566516,29167912,29660624,29435656,29639168,29658900,30049532,30374440,30156712,30326096,30889820,30932536,30902432,31174356,31553500,31766112,31966108,32849816,32395700,33257168,33570588,34160612,33887132,34343540,34384680,34836784,35351068,35446104,36059208,36065880,36583926,37015541
 "23000" ,"Maine",1,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",14534580,14937084,15239776,15586380,15523000,15949844,16768708,16343620,17011464,17169120,17361268,17410668,18017268,18127828,18040040,18157180,18369348,18614048,18844308,18765932,18961664,19036116,19312692,19940556,19926252,20205100,20652188,20764340,20503204,20557376,20721256,21017924,21592828,21940476,21879340,22059008,22565280,22753448,22728632,22914036,23445540,23359940,23443120,23274480,22211704,22478676,22625880,22785120,22435412,22757888,23191924,22881040,23377004,23270356,23458544,23544852,23870920,24219908,23982764,24156104,24626028,24665168,24673076,24761756,25149640,25186236,25343488,26087440,25747040,26430172,26721132,27278760,27014052,27353328,27368784,27817728,28203556,28311532,28853484,28849976,29320238,29697137
 "23000" ,"Maine",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",107852,116516,120140,118564,126756,124432,121348,125736,114588,123476,135008,174620,139480,138236,142424,140624,139208,141828,141104,143004,140984,138400,144252,148680,160480,174208,165360,174368,173728,172924,168992,174860,189336,195388,202224,199044,198628,202376,205612,202332,(D),(D),(D),(D),(D),(D),(D),(D),204032,204648,203316,189364,197720,199216,206308,217876,(D),(D),(D),(D),212176,209948,204420,208016,222504,221220,228024,228544,229656,227596,240784,243360,242172,231980,230176,245716,249088,263972,265828,255324,257826,271928
 "23000" ,"Maine",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),4580,4432,4552,4408,4420,4900,4412,4896,4516,4828,4664,4392,4604,4352,4312,4232,4260,4196,4844,5564,5232,5540,5972,5776,4664,5120,5836,6604,(D),(D),(D),(D),(D),(D),(D),(D),10080,12368,12944,12708,12100,12624,14760,14072,(D),(D),(D),(D),11944,12492,13016,14580,13696,13600,13284,14172,11532,13920,15560,15536,16732,15312,15268,15012,15800,16104,15964,16856,17948,18641
 "23000" ,"Maine",1,SQINC6N,300,"22","   Utilities","Thousands of dollars",157372,132820,134612,138284,136280,141296,127600,124416,132920,130532,139892,141628,157936,159852,169324,153724,169208,168516,169024,165216,157680,151276,148932,153284,158416,161144,152976,147764,158900,152800,157220,167536,163928,168820,167632,169404,158840,200028,175868,166948,176308,175948,179936,193120,191056,170908,170940,166424,187912,185532,175936,181356,175084,173636,178940,165092,155732,181820,174036,175140,191892,173204,182600,175940,210696,173692,173236,184640,187524,180220,190112,182312,184668,210248,199924,187924,205424,207560,196532,225652,205395,206555
