GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "27000" ,"Minnesota",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",98066224,99413492,100595464,102579676,104374664,105871660,106691400,110046472,113022948,114342100,116776180,118136196,120612200,120219748,119207728,120260428,120964504,121950052,123107072,124223660,124494072,126663496,128769808,129024700,130894856,132739540,134949632,138673108,136442144,136906108,140273212,139713408,141936956,142984708,142681888,144436984,149054688,152014928,151527652,153615472,156616124,155000244,158146176,155917824,148751804,148671636,147896304,150101880,148263220,151440412,154070204,158452056,158141404,160805856,161224180,160193236,163172532,163990116,164871936,168594256,168099928,169897676,171621584,172976952,175668336,177387404,180101176,181890840,185052208,186223928,187665584,189482328,189864608,191158744,195511948,198181412,201323808,202190200,202089952,205303500,205454572,207626484
 "27000" ,"Minnesota",4,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",81264104,82395012,83382840,85090848,86685896,87905020,88512916,91276320,93774636,94706420,96675804,97659844,99603900,99129816,98167940,99021760,99535768,100335344,101110500,101648956,101386924,102998956,104658428,104938500,106319976,107986740,109782740,112570652,110326980,110527236,113418436,113273336,115772356,116923644,116746296,118221548,122032748,124179824,123493416,125096016,127451592,125944252,128628044,126905188,120725508,120917732,120357844,122258556,120402480,123065076,124967668,128227220,127382832,129359208,129869992,129321620,132974500,134248432,135344116,138770536,137985276,139086632,140172124,141028132,143242784,144517808,146928292,148771052,152011736,153212560,154418756,155570840,155383176,155951628,159297496,161537960,164289500,165067596,165036640,167778784,167973441,169845604
 "27000" ,"Minnesota",4,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",16802120,17018480,17212624,17488828,17688768,17966640,18178484,18770152,19248312,19635680,20100376,20476352,21008300,21089932,21039788,21238668,21428736,21614708,21996572,22574704,23107148,23664540,24111380,24086200,24574880,24752800,25166892,26102456,26115164,26378872,26854776,26440072,26164600,26061064,25935592,26215436,27021940,27835104,28034236,28519456,29164532,29055992,29518132,29012636,28026296,27753904,27538460,27843324,27860740,28375336,29102536,30224836,30758572,31446648,31354188,30871616,30198032,29741684,29527820,29823720,30114652,30811044,31449460,31948820,32425552,32869596,33172884,33119788,33040472,33011368,33246828,33911488,34481432,35207116,36214452,36643452,37034308,37122604,37053312,37524716,37481131,37780880
 "27000" ,"Minnesota",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",10697236,10843068,10965864,11130444,11215712,11410952,11582964,11984636,12291412,12622232,12940768,13240468,13638208,13763756,13786556,13927772,14066096,14184668,14492288,14991980,15392184,15791860,16117772,16091416,16418784,16511576,16789540,17494844,17564044,17763984,17991504,17574192,17155560,16978268,16909928,17113156,17727596,18451536,18718040,19093536,19605684,19577012,19834668,19410240,18806340,18500448,18358648,18574752,18583052,18987972,19643584,20577448,20862652,21405992,21271340,20857212,19903640,19369716,19076796,19076456,19355684,19887784,20434528,20914756,21386280,21841112,22053000,21932788,21729384,21633692,21787332,22373608,23018072,23691028,24467116,24755520,24977368,25048048,24982604,25280444,25220187,25394974
 "27000" ,"Minnesota",4,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",6104884,6175412,6246760,6358384,6473056,6555688,6595520,6785516,6956900,7013448,7159608,7235884,7370092,7326176,7253232,7310896,7362640,7430040,7504284,7582724,7714964,7872680,7993608,7994784,8156096,8241224,8377352,8607612,8551120,8614888,8863272,8865880,9009040,9082796,9025664,9102280,9294344,9383568,9316196,9425920,9558848,9478980,9683464,9602396,9219956,9253456,9179812,9268572,9277688,9387364,9458952,9647388,9895920,10040656,10082848,10014404,10294392,10371968,10451024,10747264,10758968,10923260,11014932,11034064,11039272,11028484,11119884,11187000,11311088,11377676,11459496,11537880,11463360,11516088,11747336,11887932,12056940,12074556,12070708,12244272,12260944,12385906
 "27000" ,"Minnesota",4,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",493884,512960,519716,515868,494592,477884,478140,493176,533556,569876,592680,600352,559172,566828,570408,569780,624068,617220,609728,601312,531656,531352,539380,555896,494988,509844,517332,517500,494596,487824,481388,475300,458104,461748,474292,496176,576716,601348,615672,618932,532608,527900,524836,523628,733008,730884,726652,719604,646152,635360,623360,609420,484804,484884,498392,525476,752676,788792,811872,822532,606704,607240,609496,612888,614644,613772,607260,595036,675908,664976,664232,673536,717956,733980,746288,755216,679740,685344,691604,698888,704390,709280
 "27000" ,"Minnesota",4,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",97572340,98900532,100075748,102063808,103880072,105393776,106213260,109553296,112489392,113772224,116183500,117535844,120053028,119652920,118637320,119690648,120340436,121332832,122497344,123622348,123962416,126132144,128230428,128468804,130399868,132229696,134432300,138155608,135947548,136418284,139791824,139238108,141478852,142522960,142207596,143940808,148477972,151413580,150911980,152996540,156083516,154472344,157621340,155394196,148018796,147940752,147169652,149382276,147617068,150805052,153446844,157842636,157656600,160320972,160725788,159667760,162419856,163201324,164060064,167771724,167493224,169290436,171012088,172364064,175053692,176773632,179493916,181295804,184376300,185558952,187001352,188808792,189146652,190424764,194765660,197426196,200644068,201504856,201398348,204604612,204750182,206917204
 "27000" ,"Minnesota",4,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",82709436,84192152,84952092,86791316,88669444,89731816,90387712,93273880,96079072,96913628,99359632,100269004,102656216,101882940,100711768,101632936,101849564,102617436,103568476,104415632,104665700,106534596,108810640,108737488,110346472,112022980,114022568,117275196,115134392,115265696,118447784,117898824,119775920,120976260,120104948,121711204,125976880,128675752,127902464,129947712,132419180,130643140,133533104,131432356,123797808,123610736,122645004,124517040,123206744,126258480,128260568,132713320,133166164,135676212,136071400,135037992,138088524,138582360,139438308,142877640,142240296,143565024,145209312,146223880,148857696,150181648,152709736,154115248,157192084,157819508,159580964,160714512,161404128,162086028,165767964,168889188,171624016,172564396,172085612,175231700,175182474,177238068
 "27000" ,"Minnesota",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",92080,97900,99176,96556,101864,100676,98920,104720,90504,92536,108780,138692,109144,105628,105776,108840,114464,116160,115428,116692,116216,118512,122588,128800,133788,153140,146628,151896,139416,140436,142184,144468,152424,157380,156156,157452,152956,158352,165988,166100,163748,161704,181012,177048,180780,185544,177744,184852,182032,188304,188312,190592,188268,195644,209328,211492,212540,218612,212776,230600,217832,216116,220032,218704,222928,227736,232628,246844,244020,245996,267584,252812,258780,259760,267268,279080,279012,280480,271204,275172,281902,289377
 "27000" ,"Minnesota",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",431940,434880,416308,417532,407844,407360,402748,407528,412216,406920,424444,418252,400136,377036,360080,332184,323000,325788,349820,337500,356896,345432,335392,371404,333660,359056,377708,391892,380548,388228,368120,369524,394320,421228,408232,405112,413968,418144,410752,412044,434932,467900,530160,509760,437608,291944,288280,351132,408516,470352,500940,492704,558744,567036,570704,589692,600452,643292,632040,623208,637060,621060,633140,645060,630120,645436,663096,676016,672648,633524,528316,544876,483496,512564,541180,557588,591324,601328,618220,624960,628668,652762
