GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "30000" ,"Montana",7,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",10850524,10886064,11125552,11249216,11404364,11457704,11345304,11795048,12152008,12289688,12253876,12471460,12700424,12775552,12940640,13086684,13232352,13485112,13749356,13845940,13881576,14274360,14410476,14659440,14816532,15126488,15319212,15498216,16044916,16092168,16391944,16694680,17209292,17385644,17715256,18047816,18539792,18848900,18982936,19291508,19569212,19548076,19624376,19578960,19109928,19126528,19325564,19143396,19555992,19665528,19729884,19799888,20385812,20506008,20712136,20949756,21553520,21510872,21566768,21975200,22124340,22271108,22224440,22477364,22936432,23052128,23229080,23542248,23961772,24138976,24311524,24120192,24463872,24381628,24482324,25044880,25372416,25603456,25651020,25824976,26077232,26365836
 "30000" ,"Montana",7,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",8767860,8793200,8988144,9101144,9233212,9273620,9174544,9514032,9790080,9876360,9856516,10037432,10251800,10320048,10444532,10542980,10619640,10802200,10990968,11043252,11055760,11364180,11475544,11682208,11777600,12039232,12203336,12335912,12747720,12786840,13031468,13269108,13685580,13819416,14070744,14348556,14768712,15010220,15096656,15349156,15564552,15544876,15626060,15612836,15200032,15242224,15381380,15214792,15433808,15504392,15531492,15559860,15963744,16048124,16236144,16414468,17001408,16980352,17045404,17414680,17518144,17623504,17565352,17765564,18162888,18251432,18410276,18670108,19040524,19209052,19391684,19303572,19630196,19613608,19720120,20189076,20431204,20609536,20638672,20779464,20999218,21244389
 "30000" ,"Montana",7,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",2082664,2092864,2137408,2148072,2171152,2184084,2170760,2281016,2361928,2413328,2397360,2434028,2448624,2455504,2496108,2543704,2612712,2682912,2758388,2802688,2825816,2910180,2934932,2977232,3038932,3087256,3115876,3162304,3297196,3305328,3360476,3425572,3523712,3566228,3644512,3699260,3771080,3838680,3886280,3942352,4004660,4003200,3998316,3966124,3909896,3884304,3944184,3928604,4122184,4161136,4198392,4240028,4422068,4457884,4475992,4535288,4552112,4530520,4521364,4560520,4606196,4647604,4659088,4711800,4773544,4800696,4818804,4872140,4921248,4929924,4919840,4816620,4833676,4768020,4762204,4855804,4941212,4993920,5012348,5045512,5078014,5121447
 "30000" ,"Montana",7,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1266648,1277116,1307300,1316128,1331796,1344288,1341420,1421464,1472672,1515868,1498688,1518820,1517984,1519628,1546816,1579016,1629524,1675460,1729376,1767436,1777912,1836504,1855144,1886832,1930672,1959360,1974988,2007316,2090672,2093024,2122132,2159840,2222004,2249592,2302308,2327936,2358620,2405888,2446280,2481540,2535092,2542280,2533996,2507076,2486384,2457624,2507964,2512680,2656196,2695728,2736236,2781188,2878732,2913256,2921084,2980196,2961764,2952780,2950100,2951896,2986836,3006328,3017356,3049140,3077568,3100680,3103208,3134748,3161056,3167720,3166112,3108340,3158452,3128812,3132844,3191472,3243544,3271148,3279504,3296624,3311203,3337442
 "30000" ,"Montana",7,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",816016,815748,830108,831944,839356,839796,829340,859552,889256,897460,898672,915208,930640,935876,949292,964688,983188,1007452,1029012,1035252,1047904,1073676,1079788,1090400,1108260,1127896,1140888,1154988,1206524,1212304,1238344,1265732,1301708,1316636,1342204,1371324,1412460,1432792,1440000,1460812,1469568,1460920,1464320,1459048,1423512,1426680,1436220,1415924,1465988,1465408,1462156,1458840,1543336,1544628,1554908,1555092,1590348,1577740,1571264,1608624,1619360,1641276,1641732,1662660,1695976,1700016,1715596,1737392,1760192,1762204,1753728,1708280,1675224,1639208,1629360,1664332,1697668,1722772,1732844,1748888,1766811,1784005
 "30000" ,"Montana",7,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",143420,142528,141768,141900,140564,140948,142632,144920,151344,154992,158280,160976,155552,158088,159248,159008,177680,175840,174340,173056,152932,153488,155700,159584,164172,167860,169588,169428,190368,188036,185752,183528,175764,176924,181232,188760,203520,212044,218072,221360,205060,204924,204156,202872,225616,223724,222304,221140,204232,201324,196688,190292,192544,190840,195768,207564,256712,270888,278608,279888,306692,304024,304080,306536,295320,296760,294772,289288,251752,247392,246764,249784,278720,284452,288848,292052,294952,297284,299940,303056,305433,307553
 "30000" ,"Montana",7,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",10707104,10743536,10983784,11107316,11263800,11316756,11202672,11650128,12000664,12134696,12095596,12310484,12544872,12617464,12781392,12927676,13054672,13309272,13575016,13672884,13728644,14120872,14254776,14499856,14652360,14958628,15149624,15328788,15854548,15904132,16206192,16511152,17033528,17208720,17534024,17859056,18336272,18636856,18764864,19070148,19364152,19343152,19420220,19376088,18884312,18902804,19103260,18922256,19351760,19464204,19533196,19609596,20193268,20315168,20516368,20742192,21296808,21239984,21288160,21695312,21817648,21967084,21920360,22170828,22641112,22755368,22934308,23252960,23710020,23891584,24064760,23870408,24185152,24097176,24193476,24752828,25077464,25306172,25351080,25521920,25771799,26058283
 "30000" ,"Montana",7,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",7925088,7937580,8092852,8219924,8324420,8379096,8335112,8557612,8836720,8898156,8975132,9084128,9286444,9340476,9439080,9545516,9632348,9816904,10008040,10076656,10106320,10293352,10383512,10564712,10676332,10992064,11168684,11319240,11658144,11751484,12047928,12312828,12700852,12897804,13133144,13417740,13786800,14043276,14099620,14389260,14555248,14535848,14573092,14445012,13944192,13914492,13978288,13867596,14168116,14226772,14417268,14516640,14891744,15021328,15329916,15440144,15979612,15891640,15926508,16317100,16438544,16605320,16572556,16724272,17136772,17183352,17414320,17605584,18064312,18176196,18335104,18297720,18330804,18306720,18350244,18822352,19053108,19310684,19349036,19494124,19743369,19982016
 "30000" ,"Montana",7,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",68904,68664,67248,69484,70360,71556,72112,74456,72948,67592,72648,93560,70244,74648,78080,74528,85508,88056,86888,86500,84300,81288,82396,88364,91264,97608,86320,90892,94148,90868,84496,88040,96716,102736,100060,99400,97580,105212,109960,99520,97908,100204,108172,104200,91080,90524,99900,106400,108868,107180,93508,100124,112116,104280,113092,120840,123328,128500,136172,131556,131524,133708,135680,131508,143708,146744,141184,150672,156504,160616,163976,164864,165832,183616,159396,169068,174168,172528,191248,181932,187883,191715
 "30000" ,"Montana",7,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",263792,254948,264208,250808,258076,266868,258800,271476,308876,258184,273996,280700,340208,308848,344208,330380,313772,314580,320192,319584,297584,321716,314928,321924,366976,396204,407588,416024,428004,440444,477156,492400,534580,547244,562764,600536,562864,608616,587592,615340,620724,640392,665816,641156,546932,534028,531968,541420,600092,606344,596820,615848,708060,682384,731132,724864,768720,836044,899200,881540,889728,873940,845456,872528,880568,907320,860408,876352,835372,795208,778036,727508,712472,662356,653460,659592,646612,693984,669704,669304,693059,726367
 "30000" ,"Montana",7,SQINC6N,300,"22","   Utilities","Thousands of dollars",178064,183968,187208,192336,203956,202840,193640,197428,200180,196736,193632,216252,216596,237864,226492,225316,217028,221180,231440,227408,216284,232828,217404,223876,218344,236384,216452,245836,227228,232952,253480,247072,263744,254132,276876,273304,261820,273232,290204,284700,301436,299720,307044,301892,317052,298996,305004,307828,299940,307552,328200,336292,330992,345700,355368,357564,322264,336064,328824,336316,341576,348320,345700,349564,357232,348772,345572,361548,368460,369984,360028,365424,353140,370944,368664,356056,364728,324704,353964,339288,331863,335376
 "30000" ,"Montana",7,SQINC6N,400,"23","   Construction","Thousands of dollars",716212,685608,700384,689492,731988,750808,729172,750236,782556,779452,763560,765696,817904,816468,818376,819152,813404,815852,847512,867900,895036,957516,949776,963916,965520,1013964,1037720,1074368,1136780,1156604,1212136,1245736,1307148,1309612,1347884,1389884,1525952,1570456,1528956,1546148,1563036,1449016,1416708,1356608,1265496,1216736,1176616,1152052,1163212,1154096,1195712,1202792,1165576,1195200,1264108,1283472,1262764,1280220,1266184,1290340,1350232,1391436,1340156,1349280,1391576,1437432,1470452,1508156,1582400,1558056,1618056,1594256,1628032,1591084,1607856,1674112,1709816,1737104,1676148,1727344,1757429,1793959
