GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "37000" ,"North Carolina",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",132007768,134358468,137772816,140766860,142931668,144267532,147034720,149321128,153001564,155096100,157608912,157863632,160445324,161260496,159686464,160092912,161067616,163250536,163812512,163700452,164461768,166127744,169201632,173570012,172530688,176474824,181348884,183619560,185845796,187098836,190031172,192461204,198188616,199802796,202353424,207336632,213018948,213596300,214333048,217665872,219141804,219516052,220218492,218876584,209039832,211188412,212330172,213261280,214261184,216651212,216891236,218256432,221503588,222386312,223229064,222991720,229598044,230556620,233760284,235567268,236882896,236999192,237380192,240233804,246774536,247208396,251233852,254921592,259861916,262021152,264908624,267137320,268044688,268920988,272596924,278070432,280636500,283121244,285462132,288097756,291830952,295220088
 "37000" ,"North Carolina",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",109126268,111040460,113846964,116315876,118160412,119221044,121397744,123447900,126808368,128416388,130441896,130507256,132380992,132823076,131287784,131518724,132246588,134062836,134334028,133763808,133848424,134965648,137379412,140951152,139824272,143178932,147166648,148799856,150078156,150902524,153253588,155221208,160320832,161563880,163599620,167748596,172701544,173033784,173493968,176349164,177752568,177991764,178424428,177084768,167793352,169446412,170137908,170816160,170952136,173379924,174021328,175724128,178989948,180019852,180846888,180008144,185042756,185395892,187911104,190013396,191550284,191794912,191862692,193858824,198822956,198531296,201590944,204776576,209211040,211426004,214266092,216448836,217817984,218859304,222122204,226889348,229157392,231140888,233249656,235471444,238732900,241640700
 "37000" ,"North Carolina",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",22881500,23318008,23925852,24450984,24771256,25046488,25636976,25873228,26193196,26679712,27167016,27356376,28064332,28437420,28398680,28574188,28821028,29187700,29478484,29936644,30613344,31162096,31822220,32618860,32706416,33295892,34182236,34819704,35767640,36196312,36777584,37239996,37867784,38238916,38753804,39588036,40317404,40562516,40839080,41316708,41389236,41524288,41794064,41791816,41246480,41742000,42192264,42445120,43309048,43271288,42869908,42532304,42513640,42366460,42382176,42983576,44555288,45160728,45849180,45553872,45332612,45204280,45517500,46374980,47951580,48677100,49642908,50145016,50650876,50595148,50642532,50688484,50226704,50061684,50474720,51181084,51479108,51980356,52212476,52626312,53098052,53579388
 "37000" ,"North Carolina",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",14841952,15149108,15563344,15908324,16113120,16321292,16773068,16904440,17036956,17421652,17732736,17849480,18330304,18652456,18744044,18959848,19237188,19512408,19748612,20133424,20481108,20823380,21282220,21898456,22080960,22552616,23195616,23686480,24378232,24671992,25033484,25340232,25693824,25988600,26357252,26868260,27268200,27466656,27677920,27916628,27902760,28000280,28188836,28211400,28222164,28555948,28998740,29321796,30046560,30008860,29692352,29303592,28633132,28405616,28340280,29014584,30135640,30725184,31239384,30785260,30498720,30271764,30528780,31171484,32395952,33098640,33807504,34031556,34309644,34098604,33984728,33952560,33607632,33474264,33771204,34286652,34574824,35056580,35211140,35505780,35745713,36031071
 "37000" ,"North Carolina",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",8039548,8168900,8362508,8542660,8658136,8725196,8863908,8968788,9156240,9258060,9434280,9506896,9734028,9784964,9654636,9614340,9583840,9675292,9729872,9803220,10132236,10338716,10540000,10720404,10625456,10743276,10986620,11133224,11389408,11524320,11744100,11899764,12173960,12250316,12396552,12719776,13049204,13095860,13161160,13400080,13486476,13524008,13605228,13580416,13024316,13186052,13193524,13123324,13262488,13262428,13177556,13228712,13880508,13960844,14041896,13968992,14419648,14435544,14609796,14768612,14833892,14932516,14988720,15203496,15555628,15578460,15835404,16113460,16341232,16496544,16657804,16735924,16619072,16587420,16703516,16894432,16904284,16923776,17001336,17120532,17352339,17548317
 "37000" ,"North Carolina",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",484936,492980,497372,498328,500852,501920,497840,490904,449080,438388,439524,451576,509452,515300,519492,521944,617232,615280,611308,605036,536812,535548,540904,552912,553128,566168,573732,576028,551480,546600,539840,531228,581900,583804,598552,626804,710744,741716,757792,758008,676600,668044,664408,665948,549180,552708,554776,554856,438720,432552,422416,408284,512352,507384,520608,552380,609576,643840,662092,664288,668524,663336,666344,676940,659720,668072,666452,654660,662428,648192,642516,644944,757396,766032,772272,776792,776712,781024,786812,794396,800700,806315
 "37000" ,"North Carolina",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",131522832,133865488,137275444,140268532,142430816,143765612,146536880,148830224,152552484,154657712,157169388,157412056,159935872,160745196,159166972,159570968,160450384,162635256,163201204,163095416,163924956,165592196,168660728,173017100,171977560,175908656,180775152,183043532,185294316,186552236,189491332,191929976,197606716,199218992,201754872,206709828,212308204,212854584,213575256,216907864,218465204,218848008,219554084,218210636,208490652,210635704,211775396,212706424,213822464,216218660,216468820,217848148,220991236,221878928,222708456,222439340,228988468,229912780,233098192,234902980,236214372,236335856,236713848,239556864,246114816,246540324,250567400,254266932,259199488,261372960,264266108,266492376,267287292,268154956,271824652,277293640,279859788,282340220,284675320,287303360,291030252,294413773
 "37000" ,"North Carolina",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",106233968,108226428,110946724,113480400,115618196,116685292,118057440,120711620,123939304,125264820,126818388,127171768,129063240,129457840,127230688,127155512,127953384,129733456,130151592,129585276,129769000,130556652,133376544,136279600,135042616,138250380,142489692,144355588,145239484,146259984,148635392,150492620,156067152,156964412,158513588,162184984,167241944,167041872,166817316,169392740,170305992,170199564,169632896,168005256,157801676,159712228,160848444,161511972,161385768,163566080,164089328,165355872,168355368,168678100,170055340,169866324,175938084,177026892,179812656,181385252,182341804,182375812,182916128,185944860,192658384,192860864,196408828,200092164,203418592,205577880,208334416,209305116,210986148,211567648,213843660,218887732,221692032,223431928,226191212,228571180,231985171,234954043
 "37000" ,"North Carolina",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",258232,281288,278412,285244,298948,280064,275380,272652,255832,251492,296312,394664,311768,302820,307196,323980,343744,328216,328856,316956,320848,332800,347500,368012,359540,400260,398168,403560,369556,393408,383908,397440,431488,420992,422812,440844,421764,443820,445856,437168,424364,420768,425784,444284,449712,467304,492960,455004,471764,476848,479188,460748,475840,461416,483284,487992,517044,516256,514748,528568,538188,518652,534612,539428,564076,592672,593776,625280,601736,605636,650116,609472,645040,634644,644704,619144,648248,645872,638064,646268,651332,673902
 "37000" ,"North Carolina",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",203488,194584,231964,226384,220196,222000,216152,217316,220824,220408,232992,233768,239568,236088,241680,235788,198800,195044,197752,176708,180936,201120,198468,210336,205060,221592,227556,217468,219032,223216,258420,291640,307668,269976,260220,290312,357716,326528,279788,254940,258124,239524,258268,244948,199388,235576,205648,219324,150376,174636,176432,160776,167156,174792,177572,175328,178608,179452,174996,178364,177764,175156,177068,175088,168736,179956,178868,182192,186760,196008,195560,202332,208636,206852,208120,209220,247296,224872,237028,235692,240380,251980
