GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "38000" ,"North Dakota",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",9223320,9265116,9322448,9394564,9464404,9636216,9680392,9928776,10187340,10127660,10323604,10259164,10609892,10765276,10856180,10971180,11012048,11198372,11305976,11456768,11588572,11700048,11997040,12119928,12399980,12635880,12799364,12959100,13101872,13267592,13423092,13658136,13944432,14271804,14268296,14598088,14843788,15091616,15312180,15738108,16074564,16271344,16639008,16846956,16604592,16785824,17135164,17218348,17589296,18157292,18515684,18947072,19828440,20355848,21242384,22129336,23393588,24390844,24592644,25082236,25403472,26048764,26650204,27061288,28012592,28841104,29529692,30102100,29869372,28774232,28217444,27654464,27008020,26770320,26966612,27042836,27275424,27988148,27681708,27712424,28141008,28539978
 "38000" ,"North Dakota",4,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",7562252,7599692,7654264,7727568,7799576,7944840,7968040,8161612,8357732,8281684,8432860,8366116,8642708,8758668,8819608,8908888,8934220,9083080,9160296,9260604,9343064,9429664,9673128,9787128,10005184,10215620,10364080,10488112,10584284,10715308,10842052,11019904,11255824,11507740,11496404,11775504,12011336,12217628,12397500,12770204,13075992,13240512,13540664,13687584,13378832,13499772,13767288,13844316,14107820,14618664,14933000,15307116,16016208,16482088,17284808,18080400,19285264,20198436,20393780,20824064,21031704,21516220,21961480,22274732,23077428,23755316,24315664,24800560,24590904,23607396,23053480,22478280,21808100,21521840,21625788,21645424,21827936,22395644,22143532,22165188,22535809,22874660
 "38000" ,"North Dakota",4,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1661068,1665424,1668184,1666996,1664828,1691376,1712352,1767164,1829608,1845976,1890744,1893048,1967184,2006608,2036572,2062292,2077828,2115292,2145680,2196164,2245508,2270384,2323912,2332800,2394796,2420260,2435284,2470988,2517588,2552284,2581040,2638232,2688608,2764064,2771892,2822584,2832452,2873988,2914680,2967904,2998572,3030832,3098344,3159372,3225760,3286052,3367876,3374032,3481476,3538628,3582684,3639956,3812232,3873760,3957576,4048936,4108324,4192408,4198864,4258172,4371768,4532544,4688724,4786556,4935164,5085788,5214028,5301540,5278468,5166836,5163964,5176184,5199920,5248480,5340824,5397412,5447488,5592504,5538176,5547236,5605199,5665318
 "38000" ,"North Dakota",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",897772,901996,904788,905964,904448,922764,939868,973248,1007808,1030404,1066960,1087716,1156424,1200696,1232380,1249756,1254464,1273548,1294640,1336392,1371332,1390700,1426284,1432812,1472000,1484888,1493784,1523848,1560388,1589336,1613008,1662508,1703936,1767724,1788312,1826976,1833928,1874532,1913720,1951504,1979232,1999456,2024340,2039188,2072780,2090216,2143556,2173848,2287844,2339904,2373888,2388268,2421952,2429636,2453868,2523368,2559572,2630984,2651368,2668328,2734688,2821796,2912680,2965632,3042300,3130956,3202608,3241132,3240664,3191196,3219044,3266040,3350448,3411764,3480212,3522012,3534296,3611812,3568296,3570152,3595291,3626160
 "38000" ,"North Dakota",4,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",763296,763428,763396,761032,760380,768612,772484,793916,821800,815572,823784,805332,810760,805912,804192,812536,823364,841744,851040,859772,874176,879684,897628,899988,922796,935372,941500,947140,957200,962948,968032,975724,984672,996340,983580,995608,998524,999456,1000960,1016400,1019340,1031376,1074004,1120184,1152980,1195836,1224320,1200184,1193632,1198724,1208796,1251688,1390280,1444124,1503708,1525568,1548752,1561424,1547496,1589844,1637080,1710748,1776044,1820924,1892864,1954832,2011420,2060408,2037804,1975640,1944920,1910144,1849472,1836716,1860612,1875400,1913192,1980692,1969880,1977084,2009908,2039158
 "38000" ,"North Dakota",4,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",133288,138796,140612,139136,133924,129272,127800,129488,134768,140516,146512,152120,158764,161088,162732,163688,150208,149580,148216,146104,116788,116020,116808,119168,164036,168088,170888,172480,168648,167808,165824,162704,157692,157124,159900,166172,224944,233972,239380,240952,261204,259472,258396,258044,193696,193636,193436,192940,201144,198512,194280,188464,209924,208468,214056,226692,294112,311044,322096,327436,301548,302736,305752,310472,352948,357212,358404,356272,221720,219028,217512,217076,219480,219340,219104,219064,232900,233728,235152,237268,239165,240846
 "38000" ,"North Dakota",4,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9090032,9126320,9181836,9255428,9330480,9506944,9552592,9799288,10052572,9987144,10177092,10107044,10451128,10604188,10693448,10807492,10861840,11048792,11157760,11310664,11471784,11584028,11880232,12000760,12235944,12467792,12628476,12786620,12933224,13099784,13257268,13495432,13786740,14114680,14108396,14431916,14618844,14857644,15072800,15497156,15813360,16011872,16380612,16588912,16410896,16592188,16941728,17025408,17388152,17958780,18321404,18758608,19618516,20147380,21028328,21902644,23099476,24079800,24270548,24754800,25101924,25746028,26344452,26750816,27659644,28483892,29171288,29745828,29647652,28555204,27999932,27437388,26788540,26550980,26747508,26823772,27042524,27754420,27446556,27475156,27901843,28299132
 "38000" ,"North Dakota",4,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",6857844,6900116,6945644,7005660,7068348,7219868,7238908,7444664,7648340,7568012,7762884,7676232,7931704,8031188,8047252,8115092,8133776,8250188,8289532,8392924,8503292,8554696,8798436,8903296,9052356,9263740,9437532,9550400,9593280,9767948,9948856,10099076,10363288,10643732,10603640,10887228,11076940,11265796,11423232,11806084,12092236,12248420,12582264,12723968,12468352,12545660,12838992,12902888,13064996,13622456,13937600,14403740,15149012,15683700,16604044,17399364,18601216,19529040,19707608,20146732,20430400,21002640,21559492,21916580,22761788,23524672,24116916,24628344,24400024,23265592,22641860,22095140,21322472,21099024,21284236,21264176,21443860,22139388,21857404,21896008,22364822,22754454
 "38000" ,"North Dakota",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",30956,31992,31660,31924,32000,33684,32844,32780,37416,35352,42720,56396,31392,31024,29872,31716,32292,29424,32108,30796,30276,31824,33856,34088,37912,38384,38044,39540,38820,40748,37936,41212,46428,41656,41280,40016,40228,43200,45228,45980,47004,51124,52960,54336,57148,62840,65084,68552,65572,65528,71532,69424,71920,70520,75624,80484,82660,83156,81416,87748,82208,85468,87796,90088,89332,92884,93384,94868,97364,92580,99940,99912,106652,107096,103720,104896,115084,105688,107660,103968,108471,111148
 "38000" ,"North Dakota",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",178136,177080,174736,162528,169364,161996,159792,169788,169388,177772,179488,186612,203956,207080,208788,209144,175460,185580,184040,189992,186384,200952,202256,209380,212252,218992,227108,233824,239824,258552,286672,298412,323876,342936,366576,374400,384256,397168,402704,438256,481268,543464,609896,692780,620228,549676,561996,615840,716588,886524,1047280,1200132,1327680,1525680,1745724,2036984,2341600,2742136,2721884,2626032,2705700,2820676,2890128,2974744,3169764,3439388,3544792,3683328,3203448,2736276,2423980,2224072,1857948,1645344,1676412,1745560,1952172,2138648,2284348,2335660,2473513,2627873
