GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "39000" ,"Ohio",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",204558000,206540496,208876376,214018228,215110108,216823328,218265932,223227964,228534992,227467208,229527940,228231756,233126036,232822840,232954192,232811944,233061736,235699156,238259764,238486916,240570920,242250960,243258980,249190632,247400844,252736708,256918864,259810916,257661436,259995808,262918048,265118808,268974020,271674576,273238844,274107376,281632640,279609092,278996344,279589896,283093940,283304360,283247960,280375940,270108680,267878728,267292824,268751724,266455484,272166520,276339448,278556736,281524564,282987192,288137008,287391036,293149300,295603468,296123816,301397248,303825080,306438904,306446488,308297820,314827048,315338312,318706936,323031820,324721124,328320984,330120884,333731700,332898792,333304984,336471448,341190204,345077416,347902696,352717580,352687568,356485836,360134018
 "39000" ,"Ohio",3,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",167285076,168862468,170847504,175133076,176111384,177538644,178741424,182988592,187655872,186661972,188259788,186921108,190689868,190054368,189786632,189554268,189624976,191847160,193759756,193451988,194530044,195768140,196449828,201260448,199262604,203725376,207302984,209462936,207543724,209281448,211589752,212979124,215983556,217645624,218634164,219646504,226371340,224784444,224089368,224614560,227220188,227215656,227265632,225181220,216218720,214857824,214390988,215567344,212783060,217616128,220999472,222810596,225047952,226372328,230920612,230479268,236502772,238646760,238839416,242895012,243440520,244551076,244002224,245688276,252085496,252735100,255854264,259542500,260858280,263826456,265433780,268602716,268236552,268659092,271217652,274918848,277856776,279806168,283593360,283568100,286827918,289968723
 "39000" ,"Ohio",3,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",37272924,37678028,38028872,38885152,38998724,39284684,39524508,40239372,40879120,40805236,41268152,41310648,42436168,42768472,43167560,43257676,43436760,43851996,44500008,45034928,46040876,46482820,46809152,47930184,48138240,49011332,49615880,50347980,50117712,50714360,51328296,52139684,52990464,54028952,54604680,54460872,55261300,54824648,54906976,54975336,55873752,56088704,55982328,55194720,53889960,53020904,52901836,53184380,53672424,54550392,55339976,55746140,56476612,56614864,57216396,56911768,56646528,56956708,57284400,58502236,60384560,61887828,62444264,62609544,62741552,62603212,62852672,63489320,63862844,64494528,64687104,65128984,64662240,64645892,65253796,66271356,67220640,68096528,69124220,69119468,69657918,70165295
 "39000" ,"Ohio",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",24438324,24720584,24904644,25382164,25440856,25657104,25904792,26529328,27187812,27360884,27789132,27842380,28452948,28769756,29235164,29456672,29831288,30229992,30807656,31307804,31943168,32134500,32271728,32909168,32942676,33416804,33751516,34430720,34371224,34974176,35424644,36103728,36699400,37589972,38132364,37954564,38469768,38206320,38328984,38244636,38870968,38932536,38645796,37829428,37012272,36135524,36091220,36439224,37035836,37767520,38500040,38896512,38951228,39054332,39334872,39119644,38396640,38656692,39171304,40300632,42453200,44050892,44784116,44954788,44823164,44757244,44847160,45255280,45675988,46049296,46022048,46075084,45602668,45339736,45638480,46285684,46912004,47580888,48288020,48232796,48529669,48808286
 "39000" ,"Ohio",3,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",12834600,12957444,13124228,13502988,13557868,13627580,13619716,13710044,13691308,13444352,13479020,13468268,13983220,13998716,13932396,13801004,13605472,13622004,13692352,13727124,14097708,14348320,14537424,15021016,15195564,15594528,15864364,15917260,15746488,15740184,15903652,16035956,16291064,16438980,16472316,16506308,16791532,16618328,16577992,16730700,17002784,17156168,17336532,17365292,16877688,16885380,16810616,16745156,16636588,16782872,16839936,16849628,17525384,17560532,17881524,17792124,18249888,18300016,18113096,18201604,17931360,17836936,17660148,17654756,17918388,17845968,18005512,18234040,18186856,18445232,18665056,19053900,19059572,19306156,19615316,19985672,20308636,20515640,20836200,20886672,21128249,21357009
 "39000" ,"Ohio",3,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",345716,359100,365956,366588,355836,348760,341572,335992,326604,326776,332128,342416,362040,369580,372676,371184,339232,333800,329040,324760,387188,387080,391572,400712,422908,433428,440052,442928,390928,389240,386796,383496,366680,369868,379948,397212,537696,559744,572140,574184,458600,454028,451316,450572,471696,473768,476940,480800,398056,394840,385468,370324,467528,458784,467820,494644,599796,634048,653112,657032,597172,592416,592584,597216,535580,536540,530176,516500,684852,669008,665736,674760,746184,764680,778924,789160,598840,603984,609688,616168,621042,625361
 "39000" ,"Ohio",3,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",204212284,206181396,208510420,213651640,214754272,216474568,217924360,222891972,228208388,227140432,229195812,227889340,232763996,232453260,232581516,232440760,232722504,235365356,237930724,238162156,240183732,241863880,242867408,248789920,246977936,252303280,256478812,259367988,257270508,259606568,262531252,264735312,268607340,271304708,272858896,273710164,281094944,279049348,278424204,279015712,282635340,282850332,282796644,279925368,269636984,267404960,266815884,268270924,266057428,271771680,275953980,278186412,281057036,282528408,287669188,286896392,292549504,294969420,295470704,300740216,303227908,305846488,305853904,307700604,314291468,314801772,318176760,322515320,324036272,327651976,329455148,333056940,332152608,332540304,335692524,340401044,344478576,347298712,352107892,352071400,355864794,359508657
 "39000" ,"Ohio",3,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",172161820,174047840,176243188,180732528,181000216,182525348,184212560,188634552,192467900,191886820,193101192,191632388,196423680,195317820,194413288,194220656,193781812,196163536,198091408,198070404,199332424,200599308,201226980,206727124,204060164,209174452,213420328,214971116,213604376,214824280,218105408,219724712,223848016,225854576,226590700,228004404,233688644,232226896,230898568,231922028,234170528,234441104,233969076,231120800,220517320,218326536,217274516,218059292,214753284,219856868,223814940,225814836,229446216,230868828,235625032,235288612,240832828,242789816,243396024,248209144,250690540,252640096,253073412,254694148,261212028,260880272,264363472,268163556,268839216,272291172,274029752,277766096,276283364,276846936,279120248,282823372,286984028,289082184,293186796,293614600,297149735,300666592
 "39000" ,"Ohio",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",79536,80248,77852,79372,78824,79820,86972,88616,73888,77200,82660,104608,84688,85376,83480,86144,90956,91624,92468,91912,90220,94548,98240,104400,109480,118860,117852,118008,104520,106692,108712,111992,118476,119892,124028,126148,120852,129560,127136,128384,128252,128648,133372,132516,141528,137944,150760,145060,136620,144492,153276,154880,142360,150336,154456,167328,169432,177636,172956,168048,172400,177884,184500,188148,191836,194480,198704,207500,199176,208280,213392,212868,209956,212236,223356,221200,217776,224920,229636,228424,235330,239868
 "39000" ,"Ohio",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",653124,649136,644480,668732,678816,675368,657648,658376,653132,635072,656624,654476,740120,695248,777284,760124,675780,678996,637692,654144,637232,668760,650972,699056,749016,684880,720276,688364,719824,721440,739932,745956,779288,789680,890464,779548,829836,862612,789048,816896,850420,874004,895380,907736,876668,896792,874080,865396,806860,910188,942756,888788,955988,1025592,963704,959244,1049092,1134684,1056328,1148068,915136,934896,1000528,1051684,1139912,1162316,1280524,1349076,1257288,1185612,1130540,1083672,984080,936680,933956,935816,960848,984660,1035116,1034700,1098347,1158292
 "39000" ,"Ohio",3,SQINC6N,300,"22","   Utilities","Thousands of dollars",1653532,1492492,1518844,1543596,1586544,1572120,1598528,1511152,1515072,1638900,1554340,1729648,1834652,2013652,2081176,2076016,1902160,1945608,1952296,1949532,1987588,1917888,1935648,1926728,1773592,1974324,1845556,1987840,1907732,1958368,2068144,2072652,2158080,2272828,2245192,2291292,2163528,2388272,2316320,2311648,2527128,2459972,2482832,2493896,2681468,2408612,2367904,2276560,2066692,2347216,2639732,2285812,2271948,2381728,2378920,2463204,2174460,2231208,2348692,2319224,2372536,2437768,2376712,2385948,2439288,2358764,2334084,2390724,2505300,2572684,2538416,2657980,2569388,2644476,2701024,2685388,2617456,2649764,2637004,2697296,2671789,2688143
